,hpso01 (Ingest) [Nf_max=65536] [Na=64],hpso01 (RCAL) [Nf_max=65536] [Na=64],hpso01 (FastImg) [Nf_max=65536] [Na=64],hpso01 (ICAL) [Nf_max=65536] [Na=64],hpso01 (DPrepA) [Nf_max=65536] [Na=64],hpso01 (DPrepB) [Nf_max=65536] [Na=64],hpso01 (DPrepC) [Nf_max=65536] [Na=64],hpso01 (DPrepD) [Nf_max=65536] [Na=64],hpso02a (Ingest) [Nf_max=65536] [Na=64],hpso02a (RCAL) [Nf_max=65536] [Na=64],hpso02a (FastImg) [Nf_max=65536] [Na=64],hpso02a (ICAL) [Nf_max=65536] [Na=64],hpso02a (DPrepA) [Nf_max=65536] [Na=64],hpso02a (DPrepB) [Nf_max=65536] [Na=64],hpso02a (DPrepC) [Nf_max=65536] [Na=64],hpso02a (DPrepD) [Nf_max=65536] [Na=64],hpso02b (Ingest) [Nf_max=65536] [Na=64],hpso02b (RCAL) [Nf_max=65536] [Na=64],hpso02b (FastImg) [Nf_max=65536] [Na=64],hpso02b (ICAL) [Nf_max=65536] [Na=64],hpso02b (DPrepA) [Nf_max=65536] [Na=64],hpso02b (DPrepB) [Nf_max=65536] [Na=64],hpso02b (DPrepC) [Nf_max=65536] [Na=64],hpso02b (DPrepD) [Nf_max=65536] [Na=64],hpso04a (Ingest) [Nf_max=65536] [Na=64],hpso04a (RCAL) [Nf_max=65536] [Na=64],hpso04a (FastImg) [Nf_max=65536] [Na=64],hpso04a (PSS) [Nf_max=65536] [Na=64],hpso05a (Ingest) [Na=64],hpso05a (RCAL) [Na=64],hpso05a (FastImg) [Na=64],hpso05a (PST) [Na=64],max_low (Ingest) [Na=64],max_low (RCAL) [Na=64],max_low (FastImg) [Na=64],max_low (ICAL) [Na=64],max_low (DPrepA) [Na=64],max_low (DPrepA_Image) [Na=64],max_low (DPrepB) [Na=64],max_low (DPrepC) [Na=64],max_low (DPrepD) [Na=64]
Frequencies predict kernels1,,219.22988385217613,365.0584953999703,219.22988385217613,201.15295772586504,218.15734719428568,423.36862546111905,,,219.22988385217613,365.0584953999703,210.3501053290118,201.15295772586504,218.15734719428568,423.36862546111905,,,219.22988385217613,365.0584953999703,210.3501053290118,201.15295772586504,218.15734719428568,423.36862546111905,,,119.61211079831409,222.83688638800666,,,119.61211079831409,222.83688638800666,,,302.5614934178292,512.317136997464,302.5614934178292,301.22257589075963,280.08387328371566,301.22257589075963,1237.7927625562772,
Frequencies predict kernels2,,243.40148878589594,369.3268941633874,243.4014887838674,223.5641243989481,265.056189563791,511.0821343109544,,,243.40148878589594,369.3268941633874,234.38188913323464,223.5641243989481,265.056189563791,511.0821343109544,,,243.40148878589594,369.3268941633874,234.38188913323464,223.5641243989481,265.056189563791,511.0821343109544,,,127.96663287659288,223.45734073105942,,,127.96663287659288,223.45734073105942,,,326.2514821091287,517.5643890331957,326.2514821207796,324.3728072364853,305.07255787459036,360.2545022701573,1871.5459531222873,
Frequencies predict kernels3,,243.40148878589594,402.0118333134956,243.4014887838674,228.38760577618143,286.36479909468125,511.0821343109544,,,243.40148878589594,402.0118333134956,234.38188913323464,228.38760577618143,286.36479909468125,511.0821343109544,,,243.40148878589594,402.0118333134956,234.38188913323464,228.38760577618143,286.36479909468125,511.0821343109544,,,143.65594258404366,228.37652250683485,,,143.65594258404366,228.37652250683485,,,326.2514821091287,557.966411514353,326.2514821207796,324.3728072364853,305.07255787459036,376.5333487236756,1871.5459531222873,
Frequencies predict kernels4,,243.40148878589594,604.4805304839892,243.4014887838674,228.38760577618143,286.36479909468125,511.0821343109544,,,243.40148878589594,604.4805304839892,234.38188913323464,228.38760577618143,286.36479909468125,511.0821343109544,,,243.40148878589594,604.4805304839892,234.38188913323464,228.38760577618143,286.36479909468125,511.0821343109544,,,143.65594258404366,264.6765079351172,,,143.65594258404366,264.6765079351172,,,326.2514821091287,813.8877102172145,326.2514821207796,324.3728072364853,305.07255787459036,376.5333487236756,1871.5459531222873,
Frequencies predict de-grid0,65536.0,247.8208046142168,1186.6956875807953,247.8208046142168,183.75027833146083,500.0,1500.0,(undefined),65536.0,247.8208046142168,1186.6956875807953,220.3620236804831,183.75027833146083,500.0,1500.0,(undefined),65536.0,247.8208046142168,1186.6956875807953,220.3620236804831,183.75027833146083,500.0,1500.0,(undefined),65536.0,151.85837503115962,727.1815092638062,(undefined),65536.0,151.85837503115962,727.1815092638062,(undefined),65536.0,347.98681916370214,1666.3443177517802,347.98681916370214,343.7026748873344,258.01971053861473,500.0,65536.0,(undefined)
Frequencies predict de-grid1,65536.0,494.94943095103616,2372.6984303939844,494.94943095103616,366.8087160120356,500.0,1500.0,,65536.0,494.94943095103616,2372.6984303939844,440.0319897527685,366.8087160120356,500.0,1500.0,,65536.0,494.94943095103616,2372.6984303939844,440.0319897527685,366.8087160120356,500.0,1500.0,,65536.0,303.29369179712205,1453.9394929925988,,65536.0,303.29369179712205,1453.9394929925988,,65536.0,695.0020427868894,3331.7159644487933,695.0020427868894,686.4337711722908,515.0682992841859,686.4337711722908,65536.0,
Frequencies predict de-grid2,65536.0,989.2061999638064,4744.703814848597,989.2061999638064,732.92493954654,977.0023310935779,1898.2973433839127,,65536.0,989.2061999638064,4744.703814848597,879.3713781111805,732.92493954654,977.0023310935779,1898.2973433839127,,65536.0,989.2061999638064,4744.703814848597,879.3713781111805,732.92493954654,977.0023310935779,1898.2973433839127,,65536.0,606.1640304773304,2907.4553987723175,,65536.0,606.1640304773304,2907.4553987723175,,65536.0,1389.0318113753438,6662.459115881312,1389.0318113753438,1371.8952766430345,1029.1645621519401,1371.8952766430345,65536.0,
Frequencies predict de-grid3,65536.0,1977.719495566752,9488.714533153065,1977.719495566752,1465.1570596251374,1953.3117608590187,3795.901666127971,,65536.0,1977.719495566752,9488.714533153065,1758.04988218571,1465.1570596251374,1953.3117608590187,3795.901666127971,,65536.0,1977.719495566752,9488.714533153065,1758.04988218571,1465.1570596251374,1953.3117608590187,3795.901666127971,,65536.0,1211.9045600514535,5814.487179478897,,65536.0,1211.9045600514535,5814.487179478897,,65536.0,2777.0910083918284,13323.945347729323,2777.0910083918284,2742.8179431826493,2057.3566290643917,2742.8179431826493,65536.0,
Frequencies predict de-grid4,65536.0,3954.7459654110153,18976.73594444234,3954.7459654110153,2929.621136016344,3905.930497514414,7591.110248363827,,65536.0,3954.7459654110153,18976.73594444234,3515.4067538246277,2929.621136016344,3905.930497514414,7591.110248363827,,65536.0,3954.7459654110153,18976.73594444234,3515.4067538246277,2929.621136016344,3905.930497514414,7591.110248363827,,65536.0,2423.3855452164803,11628.550725478857,,65536.0,2423.3855452164803,11628.550725478857,,65536.0,5553.209232136797,26646.917775907757,5553.209232136797,5484.663103847904,4113.740533099671,5484.663103847904,65536.0,
Frequencies total0,65536.0,26361.045532597625,18976.735944442335,26361.045532597625,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,65536.0,26361.045532597625,18976.735944442335,17574.26139906265,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,65536.0,26361.045532597625,18976.735944442335,17574.26139906265,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,65536.0,16153.503118368213,11628.550725478857,(undefined),65536.0,16153.503118368213,11628.550725478857,(undefined),65536.0,37015.88183916187,26646.917775907757,37015.88183916187,13710.1984478155,13710.1984478155,13710.1984478155,65536.0,26646.917775907757
Frequencies total1,65536.0,26361.045532597625,18976.735944442335,26361.045532597625,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,65536.0,26361.045532597625,18976.735944442335,17574.26139906265,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,65536.0,26361.045532597625,18976.735944442335,17574.26139906265,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,65536.0,16153.503118368213,11628.550725478857,,65536.0,16153.503118368213,11628.550725478857,,65536.0,37015.88183916187,26646.917775907757,37015.88183916187,13710.1984478155,13710.1984478155,13710.1984478155,65536.0,26646.917775907757
Frequencies total2,65536.0,26361.045532597625,18976.735944442335,26361.045532597625,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,65536.0,26361.045532597625,18976.735944442335,17574.26139906265,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,65536.0,26361.045532597625,18976.735944442335,17574.26139906265,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,65536.0,16153.503118368213,11628.550725478857,,65536.0,16153.503118368213,11628.550725478857,,65536.0,37015.88183916187,26646.917775907757,37015.88183916187,13710.1984478155,13710.1984478155,13710.1984478155,65536.0,26646.917775907757
Frequencies total3,65536.0,26361.045532597625,18976.735944442335,26361.045532597625,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,65536.0,26361.045532597625,18976.735944442335,17574.26139906265,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,65536.0,26361.045532597625,18976.735944442335,17574.26139906265,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,65536.0,16153.503118368213,11628.550725478857,,65536.0,16153.503118368213,11628.550725478857,,65536.0,37015.88183916187,26646.917775907757,37015.88183916187,13710.1984478155,13710.1984478155,13710.1984478155,65536.0,26646.917775907757
Frequencies total4,65536.0,26361.045532597625,18976.735944442335,26361.045532597625,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,65536.0,26361.045532597625,18976.735944442335,17574.26139906265,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,65536.0,26361.045532597625,18976.735944442335,17574.26139906265,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,65536.0,16153.503118368213,11628.550725478857,,65536.0,16153.503118368213,11628.550725478857,,65536.0,37015.88183916187,26646.917775907757,37015.88183916187,13710.1984478155,13710.1984478155,13710.1984478155,65536.0,26646.917775907757
Frequencies backward kernels0,(undefined),199.4667596878358,364.52288461678205,199.4667596878358,192.64130052215603,199.05237204583554,386.2353290267752,(undefined),(undefined),199.4667596878358,364.52288461678205,196.07115992175898,192.64130052215603,199.05237204583554,386.2353290267752,(undefined),(undefined),199.4667596878358,364.52288461678205,196.07115992175898,192.64130052215603,199.05237204583554,386.2353290267752,(undefined),(undefined),116.52572507444233,222.75933872570835,(undefined),(undefined),116.52572507444233,222.75933872570835,(undefined),(undefined),277.9976118807018,511.6591552951528,277.9976118807018,277.48520338519785,269.57301555724183,277.48520338519785,841.0439984309672,(undefined)
Frequencies backward kernels1,,219.22988385217613,365.0584953999703,219.22988385217613,201.15295772586504,218.15734719428568,423.36862546111905,,,219.22988385217613,365.0584953999703,210.3501053290118,201.15295772586504,218.15734719428568,423.36862546111905,,,219.22988385217613,365.0584953999703,210.3501053290118,201.15295772586504,218.15734719428568,423.36862546111905,,,119.61211079831409,222.83688638800666,,,119.61211079831409,222.83688638800666,,,302.5614934178292,512.317136997464,302.5614934178292,301.22257589075963,280.08387328371566,301.22257589075963,1237.7927625562772,
Frequencies backward kernels2,,243.40148878589594,369.3268941633874,243.4014887838674,223.5641243989481,265.056189563791,511.0821343109544,,,243.40148878589594,369.3268941633874,234.38188913323464,223.5641243989481,265.056189563791,511.0821343109544,,,243.40148878589594,369.3268941633874,234.38188913323464,223.5641243989481,265.056189563791,511.0821343109544,,,127.96663287659288,223.45734073105942,,,127.96663287659288,223.45734073105942,,,326.2514821091287,517.5643890331957,326.2514821207796,324.3728072364853,305.07255787459036,360.2545022701573,1871.5459531222873,
Frequencies backward kernels3,,243.40148878589594,402.0118333134956,243.4014887838674,228.38760577618143,286.36479909468125,511.0821343109544,,,243.40148878589594,402.0118333134956,234.38188913323464,228.38760577618143,286.36479909468125,511.0821343109544,,,243.40148878589594,402.0118333134956,234.38188913323464,228.38760577618143,286.36479909468125,511.0821343109544,,,143.65594258404366,228.37652250683485,,,143.65594258404366,228.37652250683485,,,326.2514821091287,557.966411514353,326.2514821207796,324.3728072364853,305.07255787459036,376.5333487236756,1871.5459531222873,
Frequencies backward kernels4,,243.40148878589594,604.4805304839892,243.4014887838674,228.38760577618143,286.36479909468125,511.0821343109544,,,243.40148878589594,604.4805304839892,234.38188913323464,228.38760577618143,286.36479909468125,511.0821343109544,,,243.40148878589594,604.4805304839892,234.38188913323464,228.38760577618143,286.36479909468125,511.0821343109544,,,143.65594258404366,264.6765079351172,,,143.65594258404366,264.6765079351172,,,326.2514821091287,813.8877102172145,326.2514821207796,324.3728072364853,305.07255787459036,376.5333487236756,1871.5459531222873,
Frequencies backward grid0,65536.0,247.8208046142168,1186.6956875807953,247.8208046142168,183.75027833146083,500.0,1500.0,(undefined),65536.0,247.8208046142168,1186.6956875807953,220.3620236804831,183.75027833146083,500.0,1500.0,(undefined),65536.0,247.8208046142168,1186.6956875807953,220.3620236804831,183.75027833146083,500.0,1500.0,(undefined),65536.0,151.85837503115962,727.1815092638062,(undefined),65536.0,151.85837503115962,727.1815092638062,(undefined),65536.0,347.98681916370214,1666.3443177517802,347.98681916370214,343.7026748873344,258.01971053861473,500.0,65536.0,(undefined)
Frequencies backward grid1,65536.0,494.94943095103616,2372.6984303939844,494.94943095103616,366.8087160120356,500.0,1500.0,,65536.0,494.94943095103616,2372.6984303939844,440.0319897527685,366.8087160120356,500.0,1500.0,,65536.0,494.94943095103616,2372.6984303939844,440.0319897527685,366.8087160120356,500.0,1500.0,,65536.0,303.29369179712205,1453.9394929925988,,65536.0,303.29369179712205,1453.9394929925988,,65536.0,695.0020427868894,3331.7159644487933,695.0020427868894,686.4337711722908,515.0682992841859,686.4337711722908,65536.0,
Frequencies backward grid2,65536.0,989.2061999638064,4744.703814848597,989.2061999638064,732.92493954654,977.0023310935779,1898.2973433839127,,65536.0,989.2061999638064,4744.703814848597,879.3713781111805,732.92493954654,977.0023310935779,1898.2973433839127,,65536.0,989.2061999638064,4744.703814848597,879.3713781111805,732.92493954654,977.0023310935779,1898.2973433839127,,65536.0,606.1640304773304,2907.4553987723175,,65536.0,606.1640304773304,2907.4553987723175,,65536.0,1389.0318113753438,6662.459115881312,1389.0318113753438,1371.8952766430345,1029.1645621519401,1371.8952766430345,65536.0,
Frequencies backward grid3,65536.0,1977.719495566752,9488.714533153065,1977.719495566752,1465.1570596251374,1953.3117608590187,3795.901666127971,,65536.0,1977.719495566752,9488.714533153065,1758.04988218571,1465.1570596251374,1953.3117608590187,3795.901666127971,,65536.0,1977.719495566752,9488.714533153065,1758.04988218571,1465.1570596251374,1953.3117608590187,3795.901666127971,,65536.0,1211.9045600514535,5814.487179478897,,65536.0,1211.9045600514535,5814.487179478897,,65536.0,2777.0910083918284,13323.945347729323,2777.0910083918284,2742.8179431826493,2057.3566290643917,2742.8179431826493,65536.0,
Frequencies backward grid4,65536.0,3954.7459654110153,18976.73594444234,3954.7459654110153,2929.621136016344,3905.930497514414,7591.110248363827,,65536.0,3954.7459654110153,18976.73594444234,3515.4067538246277,2929.621136016344,3905.930497514414,7591.110248363827,,65536.0,3954.7459654110153,18976.73594444234,3515.4067538246277,2929.621136016344,3905.930497514414,7591.110248363827,,65536.0,2423.3855452164803,11628.550725478857,,65536.0,2423.3855452164803,11628.550725478857,,65536.0,5553.209232136797,26646.917775907757,5553.209232136797,5484.663103847904,4113.740533099671,5484.663103847904,65536.0,
Frequencies backward fft,65536,40,40,40,200,500,1500,2048,65536,40,40,40,200,500,1500,2048,65536,40,40,40,200,500,1500,2048,65536,40,40,(undefined),65536,40,40,(undefined),65536,40,40,40,200,40,500,65536,16384
Channels out,65536,40,40,40,40,500,1500,2048,65536,40,40,40,40,500,1500,2048,65536,40,40,40,40,500,1500,2048,65536,40,40,128,65536,40,40,4096,65536,40,40,40,40,40,500,65536,16384
-- Visibility --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingest rate [M/s],151.4609777777778,151.4609777777778,151.4609777777778,151.4609777777778,151.4609777777778,151.4609777777778,151.4609777777778,151.4609777777778,151.4609777777778,151.4609777777778,151.4609777777778,151.4609777777778,151.4609777777778,151.4609777777778,151.4609777777778,151.4609777777778,151.4609777777778,151.4609777777778,151.4609777777778,151.4609777777778,151.4609777777778,151.4609777777778,151.4609777777778,151.4609777777778,151.4609777777778,151.4609777777778,151.4609777777778,(undefined),151.4609777777778,151.4609777777778,151.4609777777778,(undefined),151.4609777777778,151.4609777777778,151.4609777777778,151.4609777777778,151.4609777777778,151.4609777777778,151.4609777777778,151.4609777777778,151.4609777777778
Averaged rate0 [M/s],67.96966166632858,27.33995584139012,19.68143191032412,27.33995584139012,10.126362188784258,10.126362188784258,19.68143191032412,19.68143191032412,67.96966166632858,27.33995584139012,19.68143191032412,18.22687685134745,10.126362188784258,10.126362188784258,19.68143191032412,19.68143191032412,67.96966166632858,27.33995584139012,19.68143191032412,18.22687685134745,10.126362188784258,10.126362188784258,19.68143191032412,19.68143191032412,67.96966166632858,16.75335909548143,12.060373817146875,(undefined),67.96966166632858,16.75335909548143,12.060373817146875,(undefined),67.96966166632858,38.3904566175633,27.63644387327464,38.3904566175633,14.21932296564091,14.21932296564091,14.21932296564091,67.96966166632858,27.63644387327464
Averaged rate1 [M/s],19.183536758063102,7.71634042290591,5.5548234792826365,7.71634042290591,2.8580316057426716,2.8580316057426716,5.5548234792826365,5.5548234792826365,19.183536758063102,7.71634042290591,5.5548234792826365,5.144294579234738,2.8580316057426716,2.8580316057426716,5.5548234792826365,5.5548234792826365,19.183536758063102,7.71634042290591,5.5548234792826365,5.144294579234738,2.8580316057426716,2.8580316057426716,5.5548234792826365,5.5548234792826365,19.183536758063102,4.7284137091476985,3.403880772174454,,19.183536758063102,4.7284137091476985,3.403880772174454,,19.183536758063102,10.83519790487186,7.800020242968927,10.83519790487186,4.013215574401983,4.013215574401983,4.013215574401983,19.183536758063102,7.800020242968927
Averaged rate2 [M/s],21.702428311158787,8.729533399633675,6.284198782563017,8.729533399633675,3.2333050373824257,3.2333050373824257,6.284198782563017,6.284198782563017,21.702428311158787,8.729533399633675,6.284198782563017,5.819765443950229,3.2333050373824257,3.2333050373824257,6.284198782563017,6.284198782563017,21.702428311158787,8.729533399633675,6.284198782563017,5.819765443950229,3.2333050373824257,3.2333050373824257,6.284198782563017,6.284198782563017,21.702428311158787,5.349277395636993,3.850826850622229,,21.702428311158787,5.349277395636993,3.850826850622229,,21.702428311158787,12.257912017650373,8.82420078651399,12.257912017650373,4.5401702719951835,4.5401702719951835,4.5401702719951835,21.702428311158787,8.82420078651399
Averaged rate3 [M/s],27.286869226029054,10.97580569624922,7.90124072346318,10.97580569624922,4.0652949272755565,4.0652949272755565,7.90124072346318,7.90124072346318,27.286869226029054,10.97580569624922,7.90124072346318,7.317299996036878,4.0652949272755565,4.0652949272755565,7.90124072346318,7.90124072346318,27.286869226029054,10.97580569624922,7.90124072346318,7.317299996036878,4.0652949272755565,4.0652949272755565,7.90124072346318,7.90124072346318,27.286869226029054,6.725746568804412,4.841716658544722,,27.286869226029054,6.725746568804412,4.841716658544722,,27.286869226029054,15.412102158071194,11.09483277325354,15.412102158071194,5.708441041693849,5.708441041693849,5.708441041693849,27.286869226029054,11.09483277325354
Averaged rate4 [M/s],10.658144038420478,4.2871066328397545,3.0861936199178723,4.2871066328397545,1.58788824524551,1.58788824524551,3.0861936199178723,3.0861936199178723,10.658144038420478,4.2871066328397545,3.0861936199178723,2.8581086633310346,1.58788824524551,1.58788824524551,3.0861936199178723,3.0861936199178723,10.658144038420478,4.2871066328397545,3.0861936199178723,2.8581086633310346,1.58788824524551,1.58788824524551,3.0861936199178723,3.0861936199178723,10.658144038420478,2.627050216074261,1.89115552658436,,10.658144038420478,2.627050216074261,1.89115552658436,,10.658144038420478,6.019906621565855,4.333598142022277,6.019906621565855,2.2296946693747937,2.2296946693747937,2.2296946693747937,10.658144038420478,4.333598142022277
Predict rate0 [M/s],(undefined),0.023132120695732224,1.1076869803952336,0.023132120695732224,0.017151641577689804,0.046671062850719994,0.14001318855216,(undefined),(undefined),0.023132120695732224,1.1076869803952336,0.020569059714207354,0.017151641577689804,0.046671062850719994,0.14001318855216,(undefined),(undefined),0.023132120695732224,1.1076869803952336,0.020569059714207354,0.017151641577689804,0.046671062850719994,0.14001318855216,(undefined),(undefined),0.014174783530974918,0.6787666784546506,(undefined),(undefined),0.014174783530974918,0.6787666784546506,(undefined),(undefined),0.03248182941682255,1.5554012076946693,0.03248182941682255,0.03208193828325473,0.024084108254544538,0.046671062850719994,6.1172695499695715,(undefined)
Predict rate1 [M/s],,0.013039234225202112,0.6250774047811198,0.013039234225202112,0.009663421078667194,0.013172289338879999,0.03951686801664,,,0.013039234225202112,0.6250774047811198,0.011592457374773091,0.009663421078667194,0.013172289338879999,0.03951686801664,,,0.013039234225202112,0.6250774047811198,0.011592457374773091,0.009663421078667194,0.013172289338879999,0.03951686801664,,,0.007990144526017574,0.38303423365846007,,,0.007990144526017574,0.38303423365846007,,,0.01830953599740313,0.8777265335737028,0.01830953599740313,0.018083808491719918,0.013569257334912268,0.018083808491719918,2.3979420947578878,
Predict rate2 [M/s],,0.029482054101106995,1.414099654533233,0.029482054101106995,0.02184391153285561,0.02911833304649972,0.06286264344490437,,,0.029482054101106995,1.414099654533233,0.026208564549420964,0.02184391153285561,0.02911833304649972,0.06286264344490437,,,0.029482054101106995,1.414099654533233,0.026208564549420964,0.02184391153285561,0.02911833304649972,0.06286264344490437,,,0.01806596111238647,0.8665307330897983,,,0.01806596111238647,0.8665307330897983,,,0.041398356594029524,1.9856626465545115,0.041398356594029524,0.04088762360013813,0.030672963130857604,0.04088762360013813,5.425607077789697,
Predict rate3 [M/s],,0.08234523504836747,3.5556881916861283,0.08234523504836747,0.05490355556247855,0.08132898342319424,0.31609580187530434,,,0.08234523504836747,3.5556881916861283,0.06654451852699592,0.05490355556247855,0.08132898342319424,0.31609580187530434,,,0.08234523504836747,3.5556881916861283,0.06654451852699592,0.05490355556247855,0.08132898342319424,0.31609580187530434,,,0.05045941352012982,2.178851870034437,,,0.05045941352012982,2.178851870034437,,,0.11562823360407863,4.992857038122916,0.11562823360407863,0.11420122455815267,0.07709493890338992,0.11420122455815267,13.643434613014527,
Predict rate4 [M/s],,0.12863236125095473,3.0861936199178728,0.12863236125095473,0.06806362489027454,0.12704458571340327,0.617272540577633,,,0.12863236125095473,3.0861936199178728,0.11434238139617627,0.06806362489027454,0.12704458571340327,0.617272540577633,,,0.12863236125095473,3.0861936199178728,0.11434238139617627,0.06806362489027454,0.12704458571340327,0.617272540577633,,,0.07882321838849911,1.8911555265843598,,,0.07882321838849911,1.8911555265843598,,,0.1806240962878429,4.333598142022277,0.1806240962878429,0.17839455982367336,0.09557416455615439,0.17839455982367336,10.658144038420478,
Backward rate0 [M/s],(undefined),0.023132120695732224,1.1076869803952336,0.023132120695732224,0.017151641577689804,0.046671062850719994,0.14001318855216,(undefined),(undefined),0.023132120695732224,1.1076869803952336,0.020569059714207354,0.017151641577689804,0.046671062850719994,0.14001318855216,(undefined),(undefined),0.023132120695732224,1.1076869803952336,0.020569059714207354,0.017151641577689804,0.046671062850719994,0.14001318855216,(undefined),(undefined),0.014174783530974918,0.6787666784546506,(undefined),(undefined),0.014174783530974918,0.6787666784546506,(undefined),(undefined),0.03248182941682255,1.5554012076946693,0.03248182941682255,0.03208193828325473,0.024084108254544538,0.046671062850719994,6.1172695499695715,(undefined)
Backward rate1 [M/s],,0.013039234225202112,0.6250774047811198,0.013039234225202112,0.009663421078667194,0.013172289338879999,0.03951686801664,,,0.013039234225202112,0.6250774047811198,0.011592457374773091,0.009663421078667194,0.013172289338879999,0.03951686801664,,,0.013039234225202112,0.6250774047811198,0.011592457374773091,0.009663421078667194,0.013172289338879999,0.03951686801664,,,0.007990144526017574,0.38303423365846007,,,0.007990144526017574,0.38303423365846007,,,0.01830953599740313,0.8777265335737028,0.01830953599740313,0.018083808491719918,0.013569257334912268,0.018083808491719918,2.3979420947578878,
Backward rate2 [M/s],,0.029482054101106995,1.414099654533233,0.029482054101106995,0.02184391153285561,0.02911833304649972,0.06286264344490437,,,0.029482054101106995,1.414099654533233,0.026208564549420964,0.02184391153285561,0.02911833304649972,0.06286264344490437,,,0.029482054101106995,1.414099654533233,0.026208564549420964,0.02184391153285561,0.02911833304649972,0.06286264344490437,,,0.01806596111238647,0.8665307330897983,,,0.01806596111238647,0.8665307330897983,,,0.041398356594029524,1.9856626465545115,0.041398356594029524,0.04088762360013813,0.030672963130857604,0.04088762360013813,5.425607077789697,
Backward rate3 [M/s],,0.08234523504836747,3.5556881916861283,0.08234523504836747,0.05490355556247855,0.08132898342319424,0.31609580187530434,,,0.08234523504836747,3.5556881916861283,0.06654451852699592,0.05490355556247855,0.08132898342319424,0.31609580187530434,,,0.08234523504836747,3.5556881916861283,0.06654451852699592,0.05490355556247855,0.08132898342319424,0.31609580187530434,,,0.05045941352012982,2.178851870034437,,,0.05045941352012982,2.178851870034437,,,0.11562823360407863,4.992857038122916,0.11562823360407863,0.11420122455815267,0.07709493890338992,0.11420122455815267,13.643434613014527,
Backward rate4 [M/s],,0.12863236125095473,3.0861936199178728,0.12863236125095473,0.06806362489027454,0.12704458571340327,0.617272540577633,,,0.12863236125095473,3.0861936199178728,0.11434238139617627,0.06806362489027454,0.12704458571340327,0.617272540577633,,,0.12863236125095473,3.0861936199178728,0.11434238139617627,0.06806362489027454,0.12704458571340327,0.617272540577633,,,0.07882321838849911,1.8911555265843598,,,0.07882321838849911,1.8911555265843598,,,0.1806240962878429,4.333598142022277,0.1806240962878429,0.17839455982367336,0.09557416455615439,0.17839455982367336,10.658144038420478,
-- Kernel Sizes --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta W earth0 [lambda],0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.22656956841670498,0.22656956841670498,0.22656956841670498,(undefined),0.22656956841670498,0.22656956841670498,0.22656956841670498,(undefined),0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373
Delta W earth1 [lambda],0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.9062782736668199,0.9062782736668199,0.9062782736668199,,0.9062782736668199,0.9062782736668199,0.9062782736668199,,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493
Delta W earth2 [lambda],1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,3.6251130946672796,3.6251130946672796,3.6251130946672796,,3.6251130946672796,3.6251130946672796,3.6251130946672796,,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997
