,hpso01 (Ingest) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso01 (RCAL) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso01 (FastImg) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso01 (ICAL) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso01 (DPrepA) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso01 (DPrepB) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso01 (DPrepC) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso01 (DPrepD) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso02a (Ingest) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso02a (RCAL) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso02a (FastImg) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso02a (ICAL) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso02a (DPrepA) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso02a (DPrepB) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso02a (DPrepC) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso02a (DPrepD) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso02b (Ingest) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso02b (RCAL) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso02b (FastImg) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso02b (ICAL) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso02b (DPrepA) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso02b (DPrepB) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso02b (DPrepC) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso02b (DPrepD) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso04a (Ingest) [Na=512] [Bmax=8125.0],hpso04a (RCAL) [Na=512] [Bmax=8125.0],hpso04a (FastImg) [Na=512] [Bmax=8125.0],hpso04a (PSS) [Na=512] [Bmax=8125.0],hpso05a (Ingest) [Na=512] [Bmax=8125.0],hpso05a (RCAL) [Na=512] [Bmax=8125.0],hpso05a (FastImg) [Na=512] [Bmax=8125.0],hpso05a (PST) [Na=512] [Bmax=8125.0],max_low (Ingest) [Na=512] [Bmax=8125.0],max_low (RCAL) [Na=512] [Bmax=8125.0],max_low (FastImg) [Na=512] [Bmax=8125.0],max_low (ICAL) [Na=512] [Bmax=8125.0],max_low (DPrepA) [Na=512] [Bmax=8125.0],max_low (DPrepA_Image) [Na=512] [Bmax=8125.0],max_low (DPrepB) [Na=512] [Bmax=8125.0],max_low (DPrepC) [Na=512] [Bmax=8125.0],max_low (DPrepD) [Na=512] [Bmax=8125.0]
Kernel time pred0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,(undefined),10.0,10.0,10.0,(undefined),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,(undefined),10.0,10.0,10.0,(undefined),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Visibilities kernel pred0,(undefined),8.33103280789766,32.55476508226232,8.33103280791234,3.221602811761119,3.194497401467512,4.047809324567599,(undefined),(undefined),8.33103280789766,32.55476508226232,5.707883675499981,3.221602811761119,3.194497401467512,4.047809324567599,(undefined),(undefined),8.33103280789766,32.55476508226232,5.707883675499981,3.221602811761119,3.194497401467512,4.047809324567599,(undefined),(undefined),14.988533081056493,32.64426593397331,(undefined),(undefined),14.988533081056493,32.64426593397331,(undefined),(undefined),8.427627811672497,32.567468020591605,8.427627811667252,3.2295939351877596,3.2294161672498207,3.208385229295018,125.32299981781449,(undefined)
Visibilities kernel pred1,,29.46257705648202,64.99502319018,29.46257705653393,6.439552278310233,6.385372195658978,11.005068241851244,,,29.46257705648202,64.99502319018,20.183727827996503,6.439552278310233,6.385372195658978,11.005068241851244,,,29.46257705648202,64.99502319018,20.183727827996503,6.439552278310233,6.385372195658978,11.005068241851244,,,29.970780418984788,65.2468054650771,,,29.970780418984788,65.2468054650771,,,29.815041221159852,65.03229728536151,29.815041221141293,6.455526794252689,6.45517145989501,6.413133424711616,215.48167263126896,
Visibilities kernel bw0,(undefined),8.33103280789766,32.55476508226232,8.33103280791234,3.221602811761119,3.194497401467512,4.047809324567599,(undefined),(undefined),8.33103280789766,32.55476508226232,5.707883675499981,3.221602811761119,3.194497401467512,4.047809324567599,(undefined),(undefined),8.33103280789766,32.55476508226232,5.707883675499981,3.221602811761119,3.194497401467512,4.047809324567599,(undefined),(undefined),14.988533081056493,32.64426593397331,(undefined),(undefined),14.988533081056493,32.64426593397331,(undefined),(undefined),8.427627811672497,32.567468020591605,8.427627811667252,3.2295939351877596,3.2294161672498207,3.208385229295018,125.32299981781449,(undefined)
Visibilities kernel bw1,,29.46257705648202,64.99502319018,29.46257705653393,6.439552278310233,6.385372195658978,11.005068241851244,,,29.46257705648202,64.99502319018,20.183727827996503,6.439552278310233,6.385372195658978,11.005068241851244,,,29.46257705648202,64.99502319018,20.183727827996503,6.439552278310233,6.385372195658978,11.005068241851244,,,29.970780418984788,65.2468054650771,,,29.970780418984788,65.2468054650771,,,29.815041221159852,65.03229728536151,29.815041221141293,6.455526794252689,6.45517145989501,6.413133424711616,215.48167263126896,
Oversampling used pred0,(undefined),7.869294114026388,25.671297738388773,7.869294114039363,3.1660432485786316,3.1400697772436743,3.9524506714738976,(undefined),(undefined),7.869294114026388,25.671297738388773,5.501957408404678,3.1660432485786316,3.1400697772436743,3.9524506714738976,(undefined),(undefined),7.869294114026388,25.671297738388773,5.501957408404678,3.1660432485786316,3.1400697772436743,3.9524506714738976,(undefined),(undefined),13.456299729544767,25.725283657850348,(undefined),(undefined),13.456299729544767,25.725283657850348,(undefined),(undefined),7.954615938340432,25.678964643980194,7.954615938335799,3.173698541737309,3.1735282550476214,3.1533790257063075,55.10711298046141,(undefined)
Oversampling used pred1,,23.758616650514888,41.00404669914422,23.758616650547786,6.172137172499646,6.122774649484718,10.183972042313698,,,23.758616650514888,41.00404669914422,17.42692741577411,6.172137172499646,6.122774649484718,10.183972042313698,,,23.758616650514888,41.00404669914422,17.42692741577411,6.172137172499646,6.122774649484718,10.183972042313698,,,24.07939787153932,41.09504872973558,,,24.07939787153932,41.09504872973558,,,23.981366978473588,41.017541494961016,23.981366978461892,6.18668323577937,6.18635971546707,6.14807267991236,61.85014417302384,
Oversampling used bw0,(undefined),7.869294114026388,25.671297738388773,7.869294114039363,3.1660432485786316,3.1400697772436743,3.9524506714738976,(undefined),(undefined),7.869294114026388,25.671297738388773,5.501957408404678,3.1660432485786316,3.1400697772436743,3.9524506714738976,(undefined),(undefined),7.869294114026388,25.671297738388773,5.501957408404678,3.1660432485786316,3.1400697772436743,3.9524506714738976,(undefined),(undefined),13.456299729544767,25.725283657850348,(undefined),(undefined),13.456299729544767,25.725283657850348,(undefined),(undefined),7.954615938340432,25.678964643980194,7.954615938335799,3.173698541737309,3.1735282550476214,3.1533790257063075,55.10711298046141,(undefined)
Oversampling used bw1,,23.758616650514888,41.00404669914422,23.758616650547786,6.172137172499646,6.122774649484718,10.183972042313698,,,23.758616650514888,41.00404669914422,17.42692741577411,6.172137172499646,6.122774649484718,10.183972042313698,,,23.758616650514888,41.00404669914422,17.42692741577411,6.172137172499646,6.122774649484718,10.183972042313698,,,24.07939787153932,41.09504872973558,,,24.07939787153932,41.09504872973558,,,23.981366978473588,41.017541494961016,23.981366978461892,6.18668323577937,6.18635971546707,6.14807267991236,61.85014417302384,
-- Channelization --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Channels predict, no-smear0",(undefined),1648.215074483811,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1009.991056768289,727.1815092638062,(undefined),(undefined),1009.991056768289,727.1815092638062,(undefined),(undefined),2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,1666.3443177517802,(undefined)
"Channels predict, no-smear1",,3295.7371475272034,2372.6984303939844,3295.7371475272034,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,2019.558553451659,1453.9394929925988,,,2019.558553451659,1453.9394929925988,,,4627.836498461537,3331.7159644487933,4627.836498461537,1714.625960512763,1714.625960512763,1714.625960512763,3331.7159644487933,
"Channels backward, no-smear0",(undefined),1648.215074483811,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1009.991056768289,727.1815092638062,(undefined),(undefined),1009.991056768289,727.1815092638062,(undefined),(undefined),2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,1666.3443177517802,(undefined)
"Channels backward, no-smear1",,3295.7371475272034,2372.6984303939844,3295.7371475272034,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,2019.558553451659,1453.9394929925988,,,2019.558553451659,1453.9394929925988,,,4627.836498461537,3331.7159644487933,4627.836498461537,1714.625960512763,1714.625960512763,1714.625960512763,3331.7159644487933,
Frequencies predict ifft,65536.0,200.0,40.0,200.0,200,200.0,200.0,40960.0,65536.0,200.0,40.0,200.0,200,200.0,200.0,40960.0,65536.0,200.0,40.0,200.0,200,200.0,200.0,40960.0,65536.0,200.0,40.0,(undefined),65536.0,200.0,40.0,(undefined),65536.0,200.0,40.0,200.0,200,200.0,200.0,200.0,65536.0
Frequencies predict kernels0,(undefined),197.84042536974945,364.52288461678205,197.84042536940083,189.62183208459007,191.2307792563477,370.57081490868774,(undefined),(undefined),197.84042536974945,364.52288461678205,192.5479004577963,189.62183208459007,191.2307792563477,370.57081490868774,(undefined),(undefined),197.84042536974945,364.52288461678205,192.5479004577963,189.62183208459007,191.2307792563477,370.57081490868774,(undefined),(undefined),119.48546110811053,222.75933872570835,(undefined),(undefined),119.48546110811053,222.75933872570835,(undefined),(undefined),274.6211242639684,511.6591552951528,274.62112426413927,265.6058932385321,265.6205139035378,267.3616541183791,522.9367322460482,(undefined)
Frequencies predict kernels1,,197.84042536974945,365.0584789317333,197.84042536940083,189.62183208459007,191.2307792563477,370.57081490868774,,,197.84042536974945,365.0584789317333,192.5479004577963,189.62183208459007,191.2307792563477,370.57081490868774,,,197.84042536974945,365.0584789317333,192.5479004577963,189.62183208459007,191.2307792563477,370.57081490868774,,,119.48546110811053,222.83688567263414,,,119.48546110811053,222.83688567263414,,,274.6211242639684,512.3171260318907,274.62112426413927,265.6058932385321,265.6205139035378,267.3616541183791,522.9367322460482,
Frequencies predict de-grid0,65536.0,1648.215074483811,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1500.0,(undefined),65536.0,1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),65536.0,1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),65536.0,1009.991056768289,727.1815092638062,(undefined),65536.0,1009.991056768289,727.1815092638062,(undefined),65536.0,2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,65536.0,(undefined)
Frequencies predict de-grid1,65536.0,3295.7371475272034,2372.6984303939844,3295.7371475272034,1221.0797008176821,1221.0797008176821,2372.6984303939844,,65536.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,65536.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,65536.0,2019.558553451659,1453.9394929925988,,65536.0,2019.558553451659,1453.9394929925988,,65536.0,4627.836498461537,3331.7159644487933,4627.836498461537,1714.625960512763,1714.625960512763,1714.625960512763,65536.0,
Frequencies total0,65536.0,3295.7371475272034,2372.6984303939844,3295.7371475272034,1221.0797008176821,1221.0797008176821,2372.6984303939844,8192.0,65536.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,8192.0,65536.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,8192.0,65536.0,2019.558553451659,1453.9394929925988,(undefined),65536.0,2019.558553451659,1453.9394929925988,(undefined),65536.0,4627.836498461537,3331.7159644487933,4627.836498461537,1714.625960512763,1714.625960512763,1714.625960512763,65536.0,16384.0
Frequencies total1,65536.0,3295.7371475272034,2372.6984303939844,3295.7371475272034,1221.0797008176821,1221.0797008176821,2372.6984303939844,8192.0,65536.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,8192.0,65536.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,8192.0,65536.0,2019.558553451659,1453.9394929925988,,65536.0,2019.558553451659,1453.9394929925988,,65536.0,4627.836498461537,3331.7159644487933,4627.836498461537,1714.625960512763,1714.625960512763,1714.625960512763,65536.0,16384.0
Frequencies backward kernels0,(undefined),197.84042536974945,364.52288461678205,197.84042536940083,189.62183208459007,191.2307792563477,370.57081490868774,(undefined),(undefined),197.84042536974945,364.52288461678205,192.5479004577963,189.62183208459007,191.2307792563477,370.57081490868774,(undefined),(undefined),197.84042536974945,364.52288461678205,192.5479004577963,189.62183208459007,191.2307792563477,370.57081490868774,(undefined),(undefined),119.48546110811053,222.75933872570835,(undefined),(undefined),119.48546110811053,222.75933872570835,(undefined),(undefined),274.6211242639684,511.6591552951528,274.62112426413927,265.6058932385321,265.6205139035378,267.3616541183791,522.9367322460482,(undefined)
Frequencies backward kernels1,,197.84042536974945,365.0584789317333,197.84042536940083,189.62183208459007,191.2307792563477,370.57081490868774,,,197.84042536974945,365.0584789317333,192.5479004577963,189.62183208459007,191.2307792563477,370.57081490868774,,,197.84042536974945,365.0584789317333,192.5479004577963,189.62183208459007,191.2307792563477,370.57081490868774,,,119.48546110811053,222.83688567263414,,,119.48546110811053,222.83688567263414,,,274.6211242639684,512.3171260318907,274.62112426413927,265.6058932385321,265.6205139035378,267.3616541183791,522.9367322460482,
Frequencies backward grid0,65536.0,1648.215074483811,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1500.0,(undefined),65536.0,1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),65536.0,1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),65536.0,1009.991056768289,727.1815092638062,(undefined),65536.0,1009.991056768289,727.1815092638062,(undefined),65536.0,2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,65536.0,(undefined)
Frequencies backward grid1,65536.0,3295.7371475272034,2372.6984303939844,3295.7371475272034,1221.0797008176821,1221.0797008176821,2372.6984303939844,,65536.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,65536.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,65536.0,2019.558553451659,1453.9394929925988,,65536.0,2019.558553451659,1453.9394929925988,,65536.0,4627.836498461537,3331.7159644487933,4627.836498461537,1714.625960512763,1714.625960512763,1714.625960512763,65536.0,
Frequencies backward fft,65536,40,40,40,200,500,1500,8192,65536,40,40,40,200,500,1500,8192,65536,40,40,40,200,500,1500,8192,65536,40,40,(undefined),65536,40,40,(undefined),65536,40,40,40,200,40,500,65536,16384
Channels out,65536,40,40,40,40,500,1500,8192,65536,40,40,40,40,500,1500,8192,65536,40,40,40,40,500,1500,8192,65536,40,40,128,65536,40,40,4096,65536,40,40,40,40,40,500,65536,16384
-- Visibility --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingest rate [M/s],906.1145245312945,906.1145245312945,5123.301219984474,906.1145245312945,906.1145245312945,906.1145245312945,1761.1700679208664,1761.1700679208664,906.1145245312945,906.1145245312945,5123.301219984474,906.1145245312945,906.1145245312945,906.1145245312945,1761.1700679208664,1761.1700679208664,906.1145245312945,906.1145245312945,5123.301219984474,906.1145245312945,906.1145245312945,906.1145245312945,1761.1700679208664,1761.1700679208664,908.4615630303579,908.4615630303579,5123.301219984474,(undefined),908.4615630303579,908.4615630303579,5123.301219984474,(undefined),906.4445425614921,906.4445425614921,5123.301219984474,906.4445425614921,906.4445425614921,906.4445425614921,906.4445425614921,1761.8115076737042,1761.8115076737042
Averaged rate0 [M/s],702.0388669534161,35.30480305215883,143.7111840473374,35.30480305215883,13.0805268802164,13.0805268802164,49.401708957179835,170.5647858965445,702.0388669534161,35.30480305215883,143.7111840473374,23.5390099926872,13.0805268802164,13.0805268802164,49.401708957179835,170.5647858965445,702.0388669534161,35.30480305215883,143.7111840473374,23.5390099926872,13.0805268802164,13.0805268802164,49.401708957179835,170.5647858965445,703.8573040316991,21.690079326883584,88.06317878182956,(undefined),703.8573040316991,21.690079326883584,88.06317878182956,(undefined),702.2945581245889,49.59265729919265,201.79759889707,49.59265729919265,18.374213886829523,18.374213886829523,18.374213886829523,1365.0152614787044,341.2538153696761
Averaged rate1 [M/s],198.14117180550167,9.964313055022608,40.560578265797105,9.964313055022608,3.6918054624622645,3.6918054624622645,13.942978035458937,48.139651716089915,198.14117180550167,9.964313055022608,40.560578265797105,6.6435738000271405,3.6918054624622645,3.6918054624622645,13.942978035458937,48.139651716089915,198.14117180550167,9.964313055022608,40.560578265797105,6.6435738000271405,3.6918054624622645,3.6918054624622645,13.942978035458937,48.139651716089915,198.65440158593987,6.121737608393945,24.85466582850452,,198.65440158593987,6.121737608393945,24.85466582850452,,198.21333725197667,13.996870675911918,56.9546995118936,13.996870675911918,5.18587850604417,5.18587850604417,5.18587850604417,385.25747814434123,96.31436953608531
Predict rate0 [M/s],(undefined),9.98301920229312,71.87657739453515,9.98301920229312,3.700056523636865,3.700056523636865,9.085300234940158,(undefined),(undefined),9.98301920229312,71.87657739453515,6.656745077999149,3.700056523636865,3.700056523636865,9.085300234940158,(undefined),(undefined),9.98301920229312,71.87657739453515,6.656745077999149,3.700056523636865,3.700056523636865,9.085300234940158,(undefined),(undefined),10.847314183243633,44.04441557972399,(undefined),(undefined),10.847314183243633,44.04441557972399,(undefined),(undefined),14.018040585930818,100.92825614374298,14.018040585930818,5.195575406221139,5.195575406221139,5.195575406221139,396.94282413135886,(undefined)
Predict rate1 [M/s],,9.964313055022608,40.560578265797105,9.964313055022608,2.0873996517782367,2.0873996517782367,6.971489017729468,,,9.964313055022608,40.560578265797105,6.6435738000271405,2.0873996517782367,2.0873996517782367,6.971489017729468,,,9.964313055022608,40.560578265797105,6.6435738000271405,2.0873996517782367,2.0873996517782367,6.971489017729468,,,6.121737608393946,24.85466582850452,,,6.121737608393946,24.85466582850452,,,13.996870675911918,56.9546995118936,13.996870675911918,2.93110239283116,2.93110239283116,2.93110239283116,192.62873907217062,
Backward rate0 [M/s],(undefined),9.98301920229312,71.87657739453515,9.98301920229312,3.700056523636865,3.700056523636865,9.085300234940158,(undefined),(undefined),9.98301920229312,71.87657739453515,6.656745077999149,3.700056523636865,3.700056523636865,9.085300234940158,(undefined),(undefined),9.98301920229312,71.87657739453515,6.656745077999149,3.700056523636865,3.700056523636865,9.085300234940158,(undefined),(undefined),10.847314183243633,44.04441557972399,(undefined),(undefined),10.847314183243633,44.04441557972399,(undefined),(undefined),14.018040585930818,100.92825614374298,14.018040585930818,5.195575406221139,5.195575406221139,5.195575406221139,396.94282413135886,(undefined)
Backward rate1 [M/s],,9.964313055022608,40.560578265797105,9.964313055022608,2.0873996517782367,2.0873996517782367,6.971489017729468,,,9.964313055022608,40.560578265797105,6.6435738000271405,2.0873996517782367,2.0873996517782367,6.971489017729468,,,9.964313055022608,40.560578265797105,6.6435738000271405,2.0873996517782367,2.0873996517782367,6.971489017729468,,,6.121737608393946,24.85466582850452,,,6.121737608393946,24.85466582850452,,,13.996870675911918,56.9546995118936,13.996870675911918,2.93110239283116,2.93110239283116,2.93110239283116,192.62873907217062,
-- Kernel Sizes --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta W earth0 [lambda],0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.22656956841670498,0.22656956841670498,0.22656956841670498,(undefined),0.22656956841670498,0.22656956841670498,0.22656956841670498,(undefined),0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373
Delta W earth1 [lambda],0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.9062782736668199,0.9062782736668199,0.9062782736668199,,0.9062782736668199,0.9062782736668199,0.9062782736668199,,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493
Delta W snapshot0 [lambda],23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,62.234063581847245,62.234063581847245,0.10375653953011668,(undefined),62.234063581847245,62.234063581847245,0.10375653953011668,(undefined),25.930859825769687,25.930859825769687,0.04323189147088195,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687
Delta W snapshot1 [lambda],47.41642939569314,47.41642939569314,0.07905260154675557,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.07905260154675557,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.07905260154675557,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,124.46812716369449,124.46812716369449,0.20751307906023336,,124.46812716369449,124.46812716369449,0.20751307906023336,,51.861719651539374,51.861719651539374,0.0864637829417639,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374
Delta W max0 [lambda],23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,62.234063581847245,62.234063581847245,0.22656956841670498,(undefined),62.234063581847245,62.234063581847245,0.22656956841670498,(undefined),25.930859825769687,25.930859825769687,0.09440398684029373,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687
Delta W max1 [lambda],47.41642939569314,47.41642939569314,0.3452488661587885,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.3452488661587885,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.3452488661587885,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,124.46812716369449,124.46812716369449,0.9062782736668199,,124.46812716369449,124.46812716369449,0.9062782736668199,,51.861719651539374,51.861719651539374,0.37761594736117493,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374
Delta W stack [lambda],(undefined),0.4812236242573936,0.3452426734747415,0.48122362424588816,1.0968314536087382,1.6885200477411397,1.6080573057332381,(undefined),(undefined),0.4812236242573936,0.3452426734747415,0.6499004828835571,1.0968314536087382,1.6885200477411397,1.6080573057332381,(undefined),(undefined),0.4812236242573936,0.3452426734747415,0.6499004828835571,1.0968314536087382,1.6885200477411397,1.6080573057332381,(undefined),(undefined),2.7502190329660197,0.9062733979334904,(undefined),(undefined),2.7502190329660197,0.9062733979334904,(undefined),(undefined),0.48593718583886736,0.37761227632268674,0.48593718584393936,1.1057984351421408,1.1113708099347228,1.7030021929407992,2.319722622269334,(undefined)
Delta W theory [lambda],(undefined),1.0,12.587303150687525,1.0,12.587303150687525,12.587303150687525,12.587303150687525,(undefined),(undefined),1.0,12.587303150687525,3.4612509132075626,12.587303150687525,12.587303150687525,12.587303150687525,(undefined),(undefined),1.0,12.587303150687525,3.4612509132075626,12.587303150687525,12.587303150687525,12.587303150687525,(undefined),(undefined),11.803825775723876,89.35330487828081,(undefined),(undefined),11.803825775723876,89.35330487828081,(undefined),(undefined),1.3581201072478302,15.152462172657435,1.3581201072478302,15.152462172657435,15.152462172657435,15.152462172657435,15.152462172657435,(undefined)
-- Kernel Sizes --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
