,hpso01 (Ingest) [Nf_max=8192] [Na=512],hpso01 (RCAL) [Nf_max=8192] [Na=512],hpso01 (FastImg) [Nf_max=8192] [Na=512],hpso01 (ICAL) [Nf_max=8192] [Na=512],hpso01 (DPrepA) [Nf_max=8192] [Na=512],hpso01 (DPrepB) [Nf_max=8192] [Na=512],hpso01 (DPrepC) [Nf_max=8192] [Na=512],hpso01 (DPrepD) [Nf_max=8192] [Na=512],hpso02a (Ingest) [Nf_max=8192] [Na=512],hpso02a (RCAL) [Nf_max=8192] [Na=512],hpso02a (FastImg) [Nf_max=8192] [Na=512],hpso02a (ICAL) [Nf_max=8192] [Na=512],hpso02a (DPrepA) [Nf_max=8192] [Na=512],hpso02a (DPrepB) [Nf_max=8192] [Na=512],hpso02a (DPrepC) [Nf_max=8192] [Na=512],hpso02a (DPrepD) [Nf_max=8192] [Na=512],hpso02b (Ingest) [Nf_max=8192] [Na=512],hpso02b (RCAL) [Nf_max=8192] [Na=512],hpso02b (FastImg) [Nf_max=8192] [Na=512],hpso02b (ICAL) [Nf_max=8192] [Na=512],hpso02b (DPrepA) [Nf_max=8192] [Na=512],hpso02b (DPrepB) [Nf_max=8192] [Na=512],hpso02b (DPrepC) [Nf_max=8192] [Na=512],hpso02b (DPrepD) [Nf_max=8192] [Na=512],hpso04a (Ingest) [Nf_max=8192] [Na=512],hpso04a (RCAL) [Nf_max=8192] [Na=512],hpso04a (FastImg) [Nf_max=8192] [Na=512],hpso04a (PSS) [Nf_max=8192] [Na=512],hpso05a (Ingest) [Nf_max=8192] [Na=512],hpso05a (RCAL) [Nf_max=8192] [Na=512],hpso05a (FastImg) [Nf_max=8192] [Na=512],hpso05a (PST) [Nf_max=8192] [Na=512],max_low (Ingest) [Nf_max=8192] [Na=512],max_low (RCAL) [Nf_max=8192] [Na=512],max_low (FastImg) [Nf_max=8192] [Na=512],max_low (ICAL) [Nf_max=8192] [Na=512],max_low (DPrepA) [Nf_max=8192] [Na=512],max_low (DPrepA_Image) [Nf_max=8192] [Na=512],max_low (DPrepB) [Nf_max=8192] [Na=512],max_low (DPrepC) [Nf_max=8192] [Na=512],max_low (DPrepD) [Nf_max=8192] [Na=512]
Coalesce time pred3 [s],,0.9,1.0,0.9,3.6,3.6,1.8,,,0.9,1.0,1.8,3.6,3.6,1.8,,,0.9,1.0,1.8,3.6,3.6,1.8,,,0.9,1.0,,,0.9,1.0,,,0.9,1.0,0.9,3.6,3.6,3.6,1.8,
Coalesce time pred4 [s],,0.9,0.9,0.9,1.8,1.8,0.9,,,0.9,0.9,0.9,1.8,1.8,0.9,,,0.9,0.9,0.9,1.8,1.8,0.9,,,0.9,0.9,,,0.9,0.9,,,0.9,0.9,0.9,1.8,1.8,1.8,0.9,
Coalesce time bw0 [s],(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,(undefined),(undefined),10.0,1.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,10.0,(undefined)
Coalesce time bw1 [s],,5.4,1.0,5.4,10.0,10.0,7.2,,,5.4,1.0,8.1,10.0,10.0,7.2,,,5.4,1.0,8.1,10.0,10.0,7.2,,,5.4,1.0,,,5.4,1.0,,,5.4,1.0,5.4,10.0,10.0,10.0,7.2,
Coalesce time bw2 [s],,2.7,1.0,2.7,7.2,7.2,3.6,,,2.7,1.0,3.6,7.2,7.2,3.6,,,2.7,1.0,3.6,7.2,7.2,3.6,,,2.7,1.0,,,2.7,1.0,,,2.7,1.0,2.7,7.2,7.2,7.2,3.6,
Coalesce time bw3 [s],,0.9,1.0,0.9,3.6,3.6,1.8,,,0.9,1.0,1.8,3.6,3.6,1.8,,,0.9,1.0,1.8,3.6,3.6,1.8,,,0.9,1.0,,,0.9,1.0,,,0.9,1.0,0.9,3.6,3.6,3.6,1.8,
Coalesce time bw4 [s],,0.9,0.9,0.9,1.8,1.8,0.9,,,0.9,0.9,0.9,1.8,1.8,0.9,,,0.9,0.9,0.9,1.8,1.8,0.9,,,0.9,0.9,,,0.9,0.9,,,0.9,0.9,0.9,1.8,1.8,1.8,0.9,
Combined samples full0,33.0,12.0,1.1111111111111112,12.0,33.0,33.0,17.0,17.0,33.0,12.0,1.1111111111111112,18.0,33.0,33.0,17.0,17.0,33.0,12.0,1.1111111111111112,18.0,33.0,33.0,17.0,17.0,33.0,12.0,1.1111111111111112,(undefined),33.0,12.0,1.1111111111111112,(undefined),33.0,12.0,1.1111111111111112,12.0,33.0,33.0,33.0,17.0,17.0
Combined samples full1,16.0,6.0,1.1111111111111112,6.0,16.0,16.0,8.0,8.0,16.0,6.0,1.1111111111111112,9.0,16.0,16.0,8.0,8.0,16.0,6.0,1.1111111111111112,9.0,16.0,16.0,8.0,8.0,16.0,6.0,1.1111111111111112,,16.0,6.0,1.1111111111111112,,16.0,6.0,1.1111111111111112,6.0,16.0,16.0,16.0,8.0,8.0
Combined samples full2,8.0,3.0,1.1111111111111112,3.0,8.0,8.0,4.0,4.0,8.0,3.0,1.1111111111111112,4.0,8.0,8.0,4.0,4.0,8.0,3.0,1.1111111111111112,4.0,8.0,8.0,4.0,4.0,8.0,3.0,1.1111111111111112,,8.0,3.0,1.1111111111111112,,8.0,3.0,1.1111111111111112,3.0,8.0,8.0,8.0,4.0,4.0
Combined samples full3,4.0,1.0,1.1111111111111112,1.0,4.0,4.0,2.0,2.0,4.0,1.0,1.1111111111111112,2.0,4.0,4.0,2.0,2.0,4.0,1.0,1.1111111111111112,2.0,4.0,4.0,2.0,2.0,4.0,1.0,1.1111111111111112,,4.0,1.0,1.1111111111111112,,4.0,1.0,1.1111111111111112,1.0,4.0,4.0,4.0,2.0,2.0
Combined samples full4,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,,2.0,1.0,1.0,,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0
Combined samples facet0,(undefined),12.0,1.1111111111111112,12.0,33.0,33.0,17.0,(undefined),(undefined),12.0,1.1111111111111112,18.0,33.0,33.0,17.0,(undefined),(undefined),12.0,1.1111111111111112,18.0,33.0,33.0,17.0,(undefined),(undefined),12.0,1.1111111111111112,(undefined),(undefined),12.0,1.1111111111111112,(undefined),(undefined),12.0,1.1111111111111112,12.0,33.0,33.0,33.0,17.0,(undefined)
Combined samples facet1,,6.0,1.1111111111111112,6.0,16.0,16.0,8.0,,,6.0,1.1111111111111112,9.0,16.0,16.0,8.0,,,6.0,1.1111111111111112,9.0,16.0,16.0,8.0,,,6.0,1.1111111111111112,,,6.0,1.1111111111111112,,,6.0,1.1111111111111112,6.0,16.0,16.0,16.0,8.0,
Combined samples facet2,,3.0,1.1111111111111112,3.0,8.0,8.0,4.0,,,3.0,1.1111111111111112,4.0,8.0,8.0,4.0,,,3.0,1.1111111111111112,4.0,8.0,8.0,4.0,,,3.0,1.1111111111111112,,,3.0,1.1111111111111112,,,3.0,1.1111111111111112,3.0,8.0,8.0,8.0,4.0,
Combined samples facet3,,1.0,1.1111111111111112,1.0,4.0,4.0,2.0,,,1.0,1.1111111111111112,2.0,4.0,4.0,2.0,,,1.0,1.1111111111111112,2.0,4.0,4.0,2.0,,,1.0,1.1111111111111112,,,1.0,1.1111111111111112,,,1.0,1.1111111111111112,1.0,4.0,4.0,4.0,2.0,
Combined samples facet4,,1.0,1.0,1.0,2.0,2.0,1.0,,,1.0,1.0,1.0,2.0,2.0,1.0,,,1.0,1.0,1.0,2.0,2.0,1.0,,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,1.0,2.0,2.0,2.0,1.0,
Kernel time pred0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,(undefined),10.0,10.0,10.0,(undefined),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred2 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred3 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred4 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,(undefined),10.0,10.0,10.0,(undefined),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward2 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward3 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward4 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Visibilities kernel pred0,(undefined),5.790309712694479,32.55476508226232,5.790309712676614,2.9634269688504147,2.7279006549225775,3.469846908478959,(undefined),(undefined),5.790309712694479,32.55476508226232,4.6009585453815065,2.9634269688504147,2.7279006549225775,3.469846908478959,(undefined),(undefined),5.790309712694479,32.55476508226232,4.6009585453815065,2.9634269688504147,2.7279006549225775,3.469846908478959,(undefined),(undefined),6.341663836770963,32.64426593397331,(undefined),(undefined),6.341663836770963,32.64426593397331,(undefined),(undefined),6.06150802175393,32.567468020591605,6.061508021729758,3.0093330071629496,2.9908338333705022,2.809165733463718,9.7402751999691,(undefined)
Visibilities kernel pred1,,21.441083067785037,64.99502025817469,21.441083067718882,5.923493367711179,5.452707830177175,7.62305584579208,,,21.441083067785037,64.99502025817469,11.356810193164211,5.923493367711179,5.452707830177175,7.62305584579208,,,21.441083067785037,64.99502025817469,11.356810193164211,5.923493367711179,5.452707830177175,7.62305584579208,,,23.482718831719012,65.24680525561551,,,23.482718831719012,65.24680525561551,,,22.445311805831107,65.03229589341818,22.445311805741596,6.015254626566549,5.978277249693398,5.6151469893125245,11.636784880648223,
Visibilities kernel pred2,,85.75531440179913,128.46894958994176,85.75531440153453,16.449479461706563,15.142112921423525,30.48777011777913,,,85.75531440179913,128.46894958994176,51.09758672589618,16.449479461706563,15.142112921423525,30.48777011777913,,,85.75531440179913,128.46894958994176,51.09758672589618,16.449479461706563,15.142112921423525,30.48777011777913,,,93.92102427772025,130.1123243148036,,,93.92102427772025,130.1123243148036,,,79.46347904663193,128.72715467010218,79.46347904631503,16.704301247653287,16.601615446139732,15.593206386488133,23.273569761296447,
Visibilities kernel pred3,,319.76825449762947,203.77509618259774,319.7682544966429,65.78857895799798,60.55985503012652,105.27772546022088,,,319.76825449762947,203.77509618259774,190.52495056137244,65.78857895799798,60.55985503012652,105.27772546022088,,,319.76825449762947,203.77509618259774,190.52495056137244,65.78857895799798,60.55985503012652,105.27772546022088,,,563.4965909684757,254.60091587588127,,,563.4965909684757,254.60091587588127,,,238.3904371398958,146.81887351904282,238.39043713894512,66.80772488273954,66.39703995344055,62.363976012143965,46.54713952259289,
Visibilities kernel pred4,,319.76825449762947,165.3039853781609,319.7682544966429,220.77573203723628,203.22898804184715,210.55545092044176,,,319.76825449762947,165.3039853781609,381.04990112274487,220.77573203723628,203.22898804184715,210.55545092044176,,,319.76825449762947,165.3039853781609,381.04990112274487,220.77573203723628,203.22898804184715,210.55545092044176,,,571.5222240246281,343.89989299466197,,,571.5222240246281,343.89989299466197,,,238.3904371398958,121.99168108565276,238.39043713894512,159.66218170954704,158.68069563256725,149.0421727076849,93.09427904518579,
Visibilities kernel bw0,(undefined),5.790309712694479,32.55476508226232,5.790309712676614,2.9634269688504147,2.7279006549225775,3.469846908478959,(undefined),(undefined),5.790309712694479,32.55476508226232,4.6009585453815065,2.9634269688504147,2.7279006549225775,3.469846908478959,(undefined),(undefined),5.790309712694479,32.55476508226232,4.6009585453815065,2.9634269688504147,2.7279006549225775,3.469846908478959,(undefined),(undefined),6.341663836770963,32.64426593397331,(undefined),(undefined),6.341663836770963,32.64426593397331,(undefined),(undefined),6.06150802175393,32.567468020591605,6.061508021729758,3.0093330071629496,2.9908338333705022,2.809165733463718,9.7402751999691,(undefined)
Visibilities kernel bw1,,21.441083067785037,64.99502025817469,21.441083067718882,5.923493367711179,5.452707830177175,7.62305584579208,,,21.441083067785037,64.99502025817469,11.356810193164211,5.923493367711179,5.452707830177175,7.62305584579208,,,21.441083067785037,64.99502025817469,11.356810193164211,5.923493367711179,5.452707830177175,7.62305584579208,,,23.482718831719012,65.24680525561551,,,23.482718831719012,65.24680525561551,,,22.445311805831107,65.03229589341818,22.445311805741596,6.015254626566549,5.978277249693398,5.6151469893125245,11.636784880648223,
Visibilities kernel bw2,,85.75531440179913,128.46894958994176,85.75531440153453,16.449479461706563,15.142112921423525,30.48777011777913,,,85.75531440179913,128.46894958994176,51.09758672589618,16.449479461706563,15.142112921423525,30.48777011777913,,,85.75531440179913,128.46894958994176,51.09758672589618,16.449479461706563,15.142112921423525,30.48777011777913,,,93.92102427772025,130.1123243148036,,,93.92102427772025,130.1123243148036,,,79.46347904663193,128.72715467010218,79.46347904631503,16.704301247653287,16.601615446139732,15.593206386488133,23.273569761296447,
Visibilities kernel bw3,,319.76825449762947,203.77509618259774,319.7682544966429,65.78857895799798,60.55985503012652,105.27772546022088,,,319.76825449762947,203.77509618259774,190.52495056137244,65.78857895799798,60.55985503012652,105.27772546022088,,,319.76825449762947,203.77509618259774,190.52495056137244,65.78857895799798,60.55985503012652,105.27772546022088,,,563.4965909684757,254.60091587588127,,,563.4965909684757,254.60091587588127,,,238.3904371398958,146.81887351904282,238.39043713894512,66.80772488273954,66.39703995344055,62.363976012143965,46.54713952259289,
Visibilities kernel bw4,,319.76825449762947,165.3039853781609,319.7682544966429,220.77573203723628,203.22898804184715,210.55545092044176,,,319.76825449762947,165.3039853781609,381.04990112274487,220.77573203723628,203.22898804184715,210.55545092044176,,,319.76825449762947,165.3039853781609,381.04990112274487,220.77573203723628,203.22898804184715,210.55545092044176,,,571.5222240246281,343.89989299466197,,,571.5222240246281,343.89989299466197,,,238.3904371398958,121.99168108565276,238.39043713894512,159.66218170954704,158.68069563256725,149.0421727076849,93.09427904518579,
Oversampling used pred0,(undefined),5.577842971770195,25.671297738388773,5.5778429717537605,2.9181982811057026,2.6912158696095148,3.403405470089858,(undefined),(undefined),5.577842971770195,25.671297738388773,4.473264617469702,2.9181982811057026,2.6912158696095148,3.403405470089858,(undefined),(undefined),5.577842971770195,25.671297738388773,4.473264617469702,2.9181982811057026,2.6912158696095148,3.403405470089858,(undefined),(undefined),6.082922024532593,25.725283657850348,(undefined),(undefined),6.082922024532593,25.725283657850348,(undefined),(undefined),5.826827708813738,25.678964643980194,5.8268277087915905,2.9623410862760835,2.944556297392687,2.769628141944011,9.101295403625677,(undefined)
Oversampling used pred1,,18.34006336128698,41.00404563732292,18.340063361239416,5.700250575770404,5.266404176646425,7.239964444376255,,,18.34006336128698,41.00404563732292,10.481254140962001,5.700250575770404,5.266404176646425,7.239964444376255,,,18.34006336128698,41.00404563732292,10.481254140962001,5.700250575770404,5.266404176646425,7.239964444376255,,,19.784790129130364,41.09504865417958,,,19.784790129130364,41.09504865417958,,,19.056493014172815,41.01754099116667,19.056493014109456,5.784438062023298,5.750527350521345,5.416461500400622,10.71670640216282,
Oversampling used pred2,,47.417004875182855,55.53696204160445,47.41700487511376,14.605908644270059,13.578398531428967,24.40310142491706,,,47.417004875182855,55.53696204160445,35.37787422031242,14.605908644270059,13.578398531428967,24.40310142491706,,,47.417004875182855,55.53696204160445,35.37787422031242,14.605908644270059,13.578398531428967,24.40310142491706,,,49.418096607812245,55.753179318800974,,,49.418096607812245,55.753179318800974,,,45.68969805248856,55.57130546895441,45.689698052397176,14.803731141741395,14.724109887014983,13.935323331361168,19.63891599010443,
Oversampling used pred3,,63.58394654756619,61.414910507046415,63.58394654755973,41.289643418746266,39.34043473543877,51.80614810092844,,,63.58394654756619,61.414910507046415,60.81507688000993,41.289643418746266,39.34043473543877,51.80614810092844,,,63.58394654756619,61.414910507046415,60.81507688000993,41.289643418746266,39.34043473543877,51.80614810092844,,,63.9910424845282,62.838935826255636,,,63.9910424845282,62.838935826255636,,,62.501259061219876,57.66096179967834,62.50125906119744,41.65123228652652,41.50622067488153,40.031201376934106,33.251472272921674,
Oversampling used pred4,,63.58394654756619,59.26199143543306,63.58394654755973,62.02211509224941,61.39258206844065,61.67671837286733,,,63.58394654756619,59.26199143543306,63.84150413624614,62.02211509224941,61.39258206844065,61.67671837286733,,,63.58394654756619,59.26199143543306,63.84150413624614,62.02211509224941,61.39258206844065,61.67671837286733,,,63.992106004847415,63.71548667581597,,,63.992106004847415,63.71548667581597,,,62.501259061219876,54.628112258700625,62.50125906119744,58.82175574716908,58.7410949242082,57.87907184553159,49.22700066589212,
Oversampling used bw0,(undefined),5.577842971770195,25.671297738388773,5.5778429717537605,2.9181982811057026,2.6912158696095148,3.403405470089858,(undefined),(undefined),5.577842971770195,25.671297738388773,4.473264617469702,2.9181982811057026,2.6912158696095148,3.403405470089858,(undefined),(undefined),5.577842971770195,25.671297738388773,4.473264617469702,2.9181982811057026,2.6912158696095148,3.403405470089858,(undefined),(undefined),6.082922024532593,25.725283657850348,(undefined),(undefined),6.082922024532593,25.725283657850348,(undefined),(undefined),5.826827708813738,25.678964643980194,5.8268277087915905,2.9623410862760835,2.944556297392687,2.769628141944011,9.101295403625677,(undefined)
Oversampling used bw1,,18.34006336128698,41.00404563732292,18.340063361239416,5.700250575770404,5.266404176646425,7.239964444376255,,,18.34006336128698,41.00404563732292,10.481254140962001,5.700250575770404,5.266404176646425,7.239964444376255,,,18.34006336128698,41.00404563732292,10.481254140962001,5.700250575770404,5.266404176646425,7.239964444376255,,,19.784790129130364,41.09504865417958,,,19.784790129130364,41.09504865417958,,,19.056493014172815,41.01754099116667,19.056493014109456,5.784438062023298,5.750527350521345,5.416461500400622,10.71670640216282,
Oversampling used bw2,,47.417004875182855,55.53696204160445,47.41700487511376,14.605908644270059,13.578398531428967,24.40310142491706,,,47.417004875182855,55.53696204160445,35.37787422031242,14.605908644270059,13.578398531428967,24.40310142491706,,,47.417004875182855,55.53696204160445,35.37787422031242,14.605908644270059,13.578398531428967,24.40310142491706,,,49.418096607812245,55.753179318800974,,,49.418096607812245,55.753179318800974,,,45.68969805248856,55.57130546895441,45.689698052397176,14.803731141741395,14.724109887014983,13.935323331361168,19.63891599010443,
Oversampling used bw3,,63.58394654756619,61.414910507046415,63.58394654755973,41.289643418746266,39.34043473543877,51.80614810092844,,,63.58394654756619,61.414910507046415,60.81507688000993,41.289643418746266,39.34043473543877,51.80614810092844,,,63.58394654756619,61.414910507046415,60.81507688000993,41.289643418746266,39.34043473543877,51.80614810092844,,,63.9910424845282,62.838935826255636,,,63.9910424845282,62.838935826255636,,,62.501259061219876,57.66096179967834,62.50125906119744,41.65123228652652,41.50622067488153,40.031201376934106,33.251472272921674,
Oversampling used bw4,,63.58394654756619,59.26199143543306,63.58394654755973,62.02211509224941,61.39258206844065,61.67671837286733,,,63.58394654756619,59.26199143543306,63.84150413624614,62.02211509224941,61.39258206844065,61.67671837286733,,,63.58394654756619,59.26199143543306,63.84150413624614,62.02211509224941,61.39258206844065,61.67671837286733,,,63.992106004847415,63.71548667581597,,,63.992106004847415,63.71548667581597,,,62.501259061219876,54.628112258700625,62.50125906119744,58.82175574716908,58.7410949242082,57.87907184553159,49.22700066589212,
-- Channelization --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Channels predict, no-smear0",(undefined),1648.215074483811,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1009.991056768289,727.1815092638062,(undefined),(undefined),1009.991056768289,727.1815092638062,(undefined),(undefined),2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,1666.3443177517802,(undefined)
"Channels predict, no-smear1",,3295.7371475272034,2372.6984303939844,3295.7371475272034,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,2019.558553451659,1453.9394929925988,,,2019.558553451659,1453.9394929925988,,,4627.836498461537,3331.7159644487933,4627.836498461537,1714.625960512763,1714.625960512763,1714.625960512763,3331.7159644487933,
"Channels predict, no-smear2",,6590.78122076136,4744.703814848597,6590.78122076136,2441.466451169051,2441.466451169051,4744.703814848597,,,6590.78122076136,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,,6590.78122076136,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,,4038.693502406632,2907.4553987723175,,,4038.693502406632,2907.4553987723175,,,9254.700144121867,6662.459115881312,9254.700144121867,3428.279241973887,3428.279241973887,3428.279241973887,6662.459115881312,
"Channels predict, no-smear3",,13180.869330776477,9488.714533153065,13180.869330776477,4882.239853545328,4882.239853545328,9488.714533153065,,,13180.869330776477,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,,,13180.869330776477,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,,,8076.963378093995,5814.487179478897,,,8076.963378093995,5814.487179478897,,,18508.427384292598,13323.945347729323,18508.427384292598,6855.585666930379,6855.585666930379,6855.585666930379,13323.945347729323,
"Channels predict, no-smear4",,26361.045532597625,18976.73594444234,26361.045532597625,9763.786609120725,9763.786609120725,18976.73594444234,,,26361.045532597625,18976.73594444234,17574.26139906265,9763.786609120725,9763.786609120725,18976.73594444234,,,26361.045532597625,18976.73594444234,17574.26139906265,9763.786609120725,9763.786609120725,18976.73594444234,,,16153.503118368213,11628.550725478857,,,16153.503118368213,11628.550725478857,,,37015.88183916187,26646.917775907757,37015.88183916187,13710.1984478155,13710.1984478155,13710.1984478155,26646.917775907757,
"Channels backward, no-smear0",(undefined),1648.215074483811,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1009.991056768289,727.1815092638062,(undefined),(undefined),1009.991056768289,727.1815092638062,(undefined),(undefined),2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,1666.3443177517802,(undefined)
"Channels backward, no-smear1",,3295.7371475272034,2372.6984303939844,3295.7371475272034,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,2019.558553451659,1453.9394929925988,,,2019.558553451659,1453.9394929925988,,,4627.836498461537,3331.7159644487933,4627.836498461537,1714.625960512763,1714.625960512763,1714.625960512763,3331.7159644487933,
"Channels backward, no-smear2",,6590.78122076136,4744.703814848597,6590.78122076136,2441.466451169051,2441.466451169051,4744.703814848597,,,6590.78122076136,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,,6590.78122076136,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,,4038.693502406632,2907.4553987723175,,,4038.693502406632,2907.4553987723175,,,9254.700144121867,6662.459115881312,9254.700144121867,3428.279241973887,3428.279241973887,3428.279241973887,6662.459115881312,
"Channels backward, no-smear3",,13180.869330776477,9488.714533153065,13180.869330776477,4882.239853545328,4882.239853545328,9488.714533153065,,,13180.869330776477,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,,,13180.869330776477,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,,,8076.963378093995,5814.487179478897,,,8076.963378093995,5814.487179478897,,,18508.427384292598,13323.945347729323,18508.427384292598,6855.585666930379,6855.585666930379,6855.585666930379,13323.945347729323,
"Channels backward, no-smear4",,26361.045532597625,18976.73594444234,26361.045532597625,9763.786609120725,9763.786609120725,18976.73594444234,,,26361.045532597625,18976.73594444234,17574.26139906265,9763.786609120725,9763.786609120725,18976.73594444234,,,26361.045532597625,18976.73594444234,17574.26139906265,9763.786609120725,9763.786609120725,18976.73594444234,,,16153.503118368213,11628.550725478857,,,16153.503118368213,11628.550725478857,,,37015.88183916187,26646.917775907757,37015.88183916187,13710.1984478155,13710.1984478155,13710.1984478155,26646.917775907757,
Frequencies predict ifft,8192.0,200.0,40.0,200.0,200,200.0,200.0,8192.0,8192.0,200.0,40.0,200.0,200,200.0,200.0,8192.0,8192.0,200.0,40.0,200.0,200,200.0,200.0,8192.0,8192.0,200.0,40.0,(undefined),8192.0,200.0,40.0,(undefined),8192.0,200.0,40.0,200.0,200,200.0,200.0,200.0,8192.0
