,hpso01 (Ingest) [Nf_max=65536] [Na=64] [Bmax=8125.0],hpso01 (RCAL) [Nf_max=65536] [Na=64] [Bmax=8125.0],hpso01 (FastImg) [Nf_max=65536] [Na=64] [Bmax=8125.0],hpso01 (ICAL) [Nf_max=65536] [Na=64] [Bmax=8125.0],hpso01 (DPrepA) [Nf_max=65536] [Na=64] [Bmax=8125.0],hpso01 (DPrepB) [Nf_max=65536] [Na=64] [Bmax=8125.0],hpso01 (DPrepC) [Nf_max=65536] [Na=64] [Bmax=8125.0],hpso01 (DPrepD) [Nf_max=65536] [Na=64] [Bmax=8125.0],hpso02a (Ingest) [Nf_max=65536] [Na=64] [Bmax=8125.0],hpso02a (RCAL) [Nf_max=65536] [Na=64] [Bmax=8125.0],hpso02a (FastImg) [Nf_max=65536] [Na=64] [Bmax=8125.0],hpso02a (ICAL) [Nf_max=65536] [Na=64] [Bmax=8125.0],hpso02a (DPrepA) [Nf_max=65536] [Na=64] [Bmax=8125.0],hpso02a (DPrepB) [Nf_max=65536] [Na=64] [Bmax=8125.0],hpso02a (DPrepC) [Nf_max=65536] [Na=64] [Bmax=8125.0],hpso02a (DPrepD) [Nf_max=65536] [Na=64] [Bmax=8125.0],hpso02b (Ingest) [Nf_max=65536] [Na=64] [Bmax=8125.0],hpso02b (RCAL) [Nf_max=65536] [Na=64] [Bmax=8125.0],hpso02b (FastImg) [Nf_max=65536] [Na=64] [Bmax=8125.0],hpso02b (ICAL) [Nf_max=65536] [Na=64] [Bmax=8125.0],hpso02b (DPrepA) [Nf_max=65536] [Na=64] [Bmax=8125.0],hpso02b (DPrepB) [Nf_max=65536] [Na=64] [Bmax=8125.0],hpso02b (DPrepC) [Nf_max=65536] [Na=64] [Bmax=8125.0],hpso02b (DPrepD) [Nf_max=65536] [Na=64] [Bmax=8125.0],hpso04a (Ingest) [Na=64] [Bmax=8125.0],hpso04a (RCAL) [Na=64] [Bmax=8125.0],hpso04a (FastImg) [Na=64] [Bmax=8125.0],hpso04a (PSS) [Na=64] [Bmax=8125.0],hpso05a (Ingest) [Na=64] [Bmax=8125.0],hpso05a (RCAL) [Na=64] [Bmax=8125.0],hpso05a (FastImg) [Na=64] [Bmax=8125.0],hpso05a (PST) [Na=64] [Bmax=8125.0],max_low (Ingest) [Na=64] [Bmax=8125.0],max_low (RCAL) [Na=64] [Bmax=8125.0],max_low (FastImg) [Na=64] [Bmax=8125.0],max_low (ICAL) [Na=64] [Bmax=8125.0],max_low (DPrepA) [Na=64] [Bmax=8125.0],max_low (DPrepA_Image) [Na=64] [Bmax=8125.0],max_low (DPrepB) [Na=64] [Bmax=8125.0],max_low (DPrepC) [Na=64] [Bmax=8125.0],max_low (DPrepD) [Na=64] [Bmax=8125.0]
Kernel time pred0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,(undefined),10.0,10.0,10.0,(undefined),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,(undefined),10.0,10.0,10.0,(undefined),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Visibilities kernel pred0,(undefined),5.858797423617659,32.55476508226232,5.858797423609253,2.931722453930209,2.717477238023076,3.475118151796315,(undefined),(undefined),5.858797423617659,32.55476508226232,4.632741180125335,2.931722453930209,2.717477238023076,3.475118151796315,(undefined),(undefined),5.858797423617659,32.55476508226232,4.632741180125335,2.931722453930209,2.717477238023076,3.475118151796315,(undefined),(undefined),11.15433831729575,32.64426593397331,(undefined),(undefined),11.15433831729575,32.64426593397331,(undefined),(undefined),6.2472921710665235,32.567468020591605,6.247292171129837,2.996368354473338,2.995983939452483,2.813944215272458,104.25626863433331,(undefined)
Visibilities kernel pred1,,20.71955236906733,64.99502319018,20.7195523690376,5.860120291259361,5.431872816687021,9.448051857803296,,,20.71955236906733,64.99502319018,16.381901312838238,5.860120291259361,5.431872816687021,9.448051857803296,,,20.71955236906733,64.99502319018,16.381901312838238,5.860120291259361,5.431872816687021,9.448051857803296,,,22.303998838235554,65.24680544793544,,,22.303998838235554,65.24680544793544,,,22.101506825324893,65.03229728536151,22.10150682554888,5.989340017951488,5.98857162368365,5.624698536030541,179.2593153713165,
Visibilities kernel bw0,(undefined),5.858797423617659,32.55476508226232,5.858797423609253,2.931722453930209,2.717477238023076,3.475118151796315,(undefined),(undefined),5.858797423617659,32.55476508226232,4.632741180125335,2.931722453930209,2.717477238023076,3.475118151796315,(undefined),(undefined),5.858797423617659,32.55476508226232,4.632741180125335,2.931722453930209,2.717477238023076,3.475118151796315,(undefined),(undefined),11.15433831729575,32.64426593397331,(undefined),(undefined),11.15433831729575,32.64426593397331,(undefined),(undefined),6.2472921710665235,32.567468020591605,6.247292171129837,2.996368354473338,2.995983939452483,2.813944215272458,104.25626863433331,(undefined)
Visibilities kernel bw1,,20.71955236906733,64.99502319018,20.7195523690376,5.860120291259361,5.431872816687021,9.448051857803296,,,20.71955236906733,64.99502319018,16.381901312838238,5.860120291259361,5.431872816687021,9.448051857803296,,,20.71955236906733,64.99502319018,16.381901312838238,5.860120291259361,5.431872816687021,9.448051857803296,,,22.303998838235554,65.24680544793544,,,22.303998838235554,65.24680544793544,,,22.101506825324893,65.03229728536151,22.10150682554888,5.989340017951488,5.98857162368365,5.624698536030541,179.2593153713165,
Oversampling used pred0,(undefined),5.640821325201259,25.671297738388773,5.640821325193535,2.887692887923947,2.6811511030211648,3.408435591941945,(undefined),(undefined),5.640821325201259,25.671297738388773,4.5030517384686135,2.887692887923947,2.6811511030211648,3.408435591941945,(undefined),(undefined),5.640821325201259,25.671297738388773,4.5030517384686135,2.887692887923947,2.6811511030211648,3.408435591941945,(undefined),(undefined),10.310331944860287,25.725283657850348,(undefined),(undefined),10.310331944860287,25.725283657850348,(undefined),(undefined),5.996781744813312,25.678964643980194,5.996781744871143,2.949877634390681,2.9495080416325905,2.774235752275814,51.60840836388117,(undefined)
Oversampling used pred1,,17.818274105459714,41.00404669914422,17.8182741054381,5.642037108830316,5.247129509881837,8.848067270232974,,,17.818274105459714,41.00404669914422,14.5533132565998,5.642037108830316,5.247129509881837,8.848067270232974,,,17.818274105459714,41.00404669914422,14.5533132565998,5.642037108830316,5.247129509881837,8.848067270232974,,,18.956362242238363,41.095048723552324,,,18.956362242238363,41.095048723552324,,,18.81249257019347,41.017541494961016,18.812492570352866,5.760674714355211,5.759969959089581,5.4252730419092785,60.1967978040159,
Oversampling used bw0,(undefined),5.640821325201259,25.671297738388773,5.640821325193535,2.887692887923947,2.6811511030211648,3.408435591941945,(undefined),(undefined),5.640821325201259,25.671297738388773,4.5030517384686135,2.887692887923947,2.6811511030211648,3.408435591941945,(undefined),(undefined),5.640821325201259,25.671297738388773,4.5030517384686135,2.887692887923947,2.6811511030211648,3.408435591941945,(undefined),(undefined),10.310331944860287,25.725283657850348,(undefined),(undefined),10.310331944860287,25.725283657850348,(undefined),(undefined),5.996781744813312,25.678964643980194,5.996781744871143,2.949877634390681,2.9495080416325905,2.774235752275814,51.60840836388117,(undefined)
Oversampling used bw1,,17.818274105459714,41.00404669914422,17.8182741054381,5.642037108830316,5.247129509881837,8.848067270232974,,,17.818274105459714,41.00404669914422,14.5533132565998,5.642037108830316,5.247129509881837,8.848067270232974,,,17.818274105459714,41.00404669914422,14.5533132565998,5.642037108830316,5.247129509881837,8.848067270232974,,,18.956362242238363,41.095048723552324,,,18.956362242238363,41.095048723552324,,,18.81249257019347,41.017541494961016,18.812492570352866,5.760674714355211,5.759969959089581,5.4252730419092785,60.1967978040159,
-- Channelization --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Channels predict, no-smear0",(undefined),1648.215074483811,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1009.991056768289,727.1815092638062,(undefined),(undefined),1009.991056768289,727.1815092638062,(undefined),(undefined),2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,1666.3443177517802,(undefined)
"Channels predict, no-smear1",,3295.7371475272034,2372.6984303939844,3295.7371475272034,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,2019.558553451659,1453.9394929925988,,,2019.558553451659,1453.9394929925988,,,4627.836498461537,3331.7159644487933,4627.836498461537,1714.625960512763,1714.625960512763,1714.625960512763,3331.7159644487933,
"Channels backward, no-smear0",(undefined),1648.215074483811,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1009.991056768289,727.1815092638062,(undefined),(undefined),1009.991056768289,727.1815092638062,(undefined),(undefined),2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,1666.3443177517802,(undefined)
"Channels backward, no-smear1",,3295.7371475272034,2372.6984303939844,3295.7371475272034,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,2019.558553451659,1453.9394929925988,,,2019.558553451659,1453.9394929925988,,,4627.836498461537,3331.7159644487933,4627.836498461537,1714.625960512763,1714.625960512763,1714.625960512763,3331.7159644487933,
Frequencies predict ifft,65536.0,200.0,40.0,200.0,200,200.0,200.0,40960.0,65536.0,200.0,40.0,200.0,200,200.0,200.0,40960.0,65536.0,200.0,40.0,200.0,200,200.0,200.0,40960.0,65536.0,200.0,40.0,(undefined),65536.0,200.0,40.0,(undefined),65536.0,200.0,40.0,200.0,200,200.0,200.0,200.0,65536.0
Frequencies predict kernels0,(undefined),281.32310358429834,364.52288461678205,281.32310358470204,208.37109822454988,224.7990227360361,431.6400002758579,(undefined),(undefined),281.32310358429834,364.52288461678205,237.23341646837198,208.37109822454988,224.7990227360361,431.6400002758579,(undefined),(undefined),281.32310358429834,364.52288461678205,237.23341646837198,208.37109822454988,224.7990227360361,431.6400002758579,(undefined),(undefined),160.55742040271835,222.75933872570835,(undefined),(undefined),160.55742040271835,222.75933872570835,(undefined),(undefined),370.46524496463223,511.6591552951528,370.4652449608778,286.27961601338677,286.31634858164625,304.8387303833723,628.6048873460057,(undefined)
Frequencies predict kernels1,,281.32310358429834,365.0584789317333,281.32310358470204,208.37109822454988,224.7990227360361,431.6400002758579,,,281.32310358429834,365.0584789317333,237.23341646837198,208.37109822454988,224.7990227360361,431.6400002758579,,,281.32310358429834,365.0584789317333,237.23341646837198,208.37109822454988,224.7990227360361,431.6400002758579,,,160.55742040271835,222.83688573117794,,,160.55742040271835,222.83688573117794,,,370.46524496463223,512.3171260318907,370.4652449608778,286.27961601338677,286.31634858164625,304.8387303833723,628.6048873460057,
Frequencies predict de-grid0,65536.0,1648.215074483811,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1500.0,(undefined),65536.0,1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),65536.0,1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),65536.0,1009.991056768289,727.1815092638062,(undefined),65536.0,1009.991056768289,727.1815092638062,(undefined),65536.0,2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,65536.0,(undefined)
Frequencies predict de-grid1,65536.0,3295.7371475272034,2372.6984303939844,3295.7371475272034,1221.0797008176821,1221.0797008176821,2372.6984303939844,,65536.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,65536.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,65536.0,2019.558553451659,1453.9394929925988,,65536.0,2019.558553451659,1453.9394929925988,,65536.0,4627.836498461537,3331.7159644487933,4627.836498461537,1714.625960512763,1714.625960512763,1714.625960512763,65536.0,
Frequencies total0,65536.0,3295.7371475272034,2372.6984303939844,3295.7371475272034,1221.0797008176821,1221.0797008176821,2372.6984303939844,8192.0,65536.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,8192.0,65536.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,8192.0,65536.0,2019.558553451659,1453.9394929925988,(undefined),65536.0,2019.558553451659,1453.9394929925988,(undefined),65536.0,4627.836498461537,3331.7159644487933,4627.836498461537,1714.625960512763,1714.625960512763,1714.625960512763,65536.0,16384.0
Frequencies total1,65536.0,3295.7371475272034,2372.6984303939844,3295.7371475272034,1221.0797008176821,1221.0797008176821,2372.6984303939844,8192.0,65536.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,8192.0,65536.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,8192.0,65536.0,2019.558553451659,1453.9394929925988,,65536.0,2019.558553451659,1453.9394929925988,,65536.0,4627.836498461537,3331.7159644487933,4627.836498461537,1714.625960512763,1714.625960512763,1714.625960512763,65536.0,16384.0
Frequencies backward kernels0,(undefined),281.32310358429834,364.52288461678205,281.32310358470204,208.37109822454988,224.7990227360361,431.6400002758579,(undefined),(undefined),281.32310358429834,364.52288461678205,237.23341646837198,208.37109822454988,224.7990227360361,431.6400002758579,(undefined),(undefined),281.32310358429834,364.52288461678205,237.23341646837198,208.37109822454988,224.7990227360361,431.6400002758579,(undefined),(undefined),160.55742040271835,222.75933872570835,(undefined),(undefined),160.55742040271835,222.75933872570835,(undefined),(undefined),370.46524496463223,511.6591552951528,370.4652449608778,286.27961601338677,286.31634858164625,304.8387303833723,628.6048873460057,(undefined)
Frequencies backward kernels1,,281.32310358429834,365.0584789317333,281.32310358470204,208.37109822454988,224.7990227360361,431.6400002758579,,,281.32310358429834,365.0584789317333,237.23341646837198,208.37109822454988,224.7990227360361,431.6400002758579,,,281.32310358429834,365.0584789317333,237.23341646837198,208.37109822454988,224.7990227360361,431.6400002758579,,,160.55742040271835,222.83688573117794,,,160.55742040271835,222.83688573117794,,,370.46524496463223,512.3171260318907,370.4652449608778,286.27961601338677,286.31634858164625,304.8387303833723,628.6048873460057,
Frequencies backward grid0,65536.0,1648.215074483811,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1500.0,(undefined),65536.0,1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),65536.0,1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),65536.0,1009.991056768289,727.1815092638062,(undefined),65536.0,1009.991056768289,727.1815092638062,(undefined),65536.0,2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,65536.0,(undefined)
Frequencies backward grid1,65536.0,3295.7371475272034,2372.6984303939844,3295.7371475272034,1221.0797008176821,1221.0797008176821,2372.6984303939844,,65536.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,65536.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,65536.0,2019.558553451659,1453.9394929925988,,65536.0,2019.558553451659,1453.9394929925988,,65536.0,4627.836498461537,3331.7159644487933,4627.836498461537,1714.625960512763,1714.625960512763,1714.625960512763,65536.0,
Frequencies backward fft,65536,40,40,40,200,500,1500,8192,65536,40,40,40,200,500,1500,8192,65536,40,40,40,200,500,1500,8192,65536,40,40,(undefined),65536,40,40,(undefined),65536,40,40,40,200,40,500,65536,16384
Channels out,65536,40,40,40,40,500,1500,8192,65536,40,40,40,40,500,1500,8192,65536,40,40,40,40,500,1500,8192,65536,40,40,128,65536,40,40,4096,65536,40,40,40,40,40,500,65536,16384
-- Visibility --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingest rate [M/s],14.614448305160538,14.614448305160538,82.6321825819525,14.614448305160538,14.614448305160538,14.614448305160538,28.405381679031503,28.405381679031503,14.614448305160538,14.614448305160538,82.6321825819525,14.614448305160538,14.614448305160538,14.614448305160538,28.405381679031503,28.405381679031503,14.614448305160538,14.614448305160538,82.6321825819525,14.614448305160538,14.614448305160538,14.614448305160538,28.405381679031503,28.405381679031503,14.652302982341135,14.652302982341135,82.6321825819525,(undefined),14.652302982341135,14.652302982341135,82.6321825819525,(undefined),14.619771066590268,14.619771066590268,82.6321825819525,14.619771066590268,14.619771066590268,14.619771066590268,14.619771066590268,28.415727267646332,28.415727267646332
Averaged rate0 [M/s],10.819092127706755,0.5440808689545026,2.2147271514144466,0.5440808689545026,0.20158346219511575,0.20158346219511575,0.761327706531881,2.6285669059398984,10.819092127706755,0.5440808689545026,2.2147271514144466,0.36275871564072737,0.20158346219511575,0.20158346219511575,0.761327706531881,2.6285669059398984,10.819092127706755,0.5440808689545026,2.2147271514144466,0.36275871564072737,0.20158346219511575,0.20158346219511575,0.761327706531881,2.6285669059398984,10.847115986789884,0.33426492113347994,1.357138029172031,(undefined),10.847115986789884,0.33426492113347994,1.357138029172031,(undefined),10.823032573837843,0.7642704035834484,3.109894503550737,0.7642704035834484,0.2831642551052495,0.2831642551052495,0.2831642551052495,21.03619409813072,5.25904852453268
Averaged rate1 [M/s],3.0535454559067037,0.15355961899863607,0.6250774047811198,0.15355961899863607,0.056894262263973254,0.056894262263973254,0.21487466150536033,0.7418781942548103,3.0535454559067037,0.15355961899863607,0.6250774047811198,0.10238384280863744,0.056894262263973254,0.056894262263973254,0.21487466150536033,0.7418781942548103,3.0535454559067037,0.15355961899863607,0.6250774047811198,0.10238384280863744,0.056894262263973254,0.056894262263973254,0.21487466150536033,0.7418781942548103,3.0614548189614017,0.09434184670470121,0.38303423365846007,,3.0614548189614017,0.09434184670470121,0.38303423365846007,,3.054657594636627,0.21570519877261518,0.8777265335737028,0.21570519877261518,0.07991936053835194,0.07991936053835194,0.07991936053835194,5.93718716318334,1.484296790795835
Predict rate0 [M/s],(undefined),0.15384789866547616,1.1076869803952336,0.15384789866547616,0.05702141902865032,0.05702141902865032,0.14001318855216,(undefined),(undefined),0.15384789866547616,1.1076869803952336,0.10258682483217868,0.05702141902865032,0.05702141902865032,0.14001318855216,(undefined),(undefined),0.15384789866547616,1.1076869803952336,0.10258682483217868,0.05702141902865032,0.05702141902865032,0.14001318855216,(undefined),(undefined),0.1671675130979327,0.6787666784546506,(undefined),(undefined),0.1671675130979327,0.6787666784546506,(undefined),(undefined),0.21603144738592014,1.5554012076946693,0.21603144738592014,0.08006879906847647,0.08006879906847647,0.08006879906847647,6.1172695499695715,(undefined)
Predict rate1 [M/s],,0.15355961899863607,0.6250774047811198,0.15355961899863607,0.032168830250007066,0.032168830250007066,0.10743733075268015,,,0.15355961899863607,0.6250774047811198,0.10238384280863744,0.032168830250007066,0.032168830250007066,0.10743733075268015,,,0.15355961899863607,0.6250774047811198,0.10238384280863744,0.032168830250007066,0.032168830250007066,0.10743733075268015,,,0.09434184670470122,0.38303423365846007,,,0.09434184670470122,0.38303423365846007,,,0.21570519877261518,0.8777265335737028,0.21570519877261518,0.04517109851965829,0.04517109851965829,0.04517109851965829,2.96859358159167,
Backward rate0 [M/s],(undefined),0.15384789866547616,1.1076869803952336,0.15384789866547616,0.05702141902865032,0.05702141902865032,0.14001318855216,(undefined),(undefined),0.15384789866547616,1.1076869803952336,0.10258682483217868,0.05702141902865032,0.05702141902865032,0.14001318855216,(undefined),(undefined),0.15384789866547616,1.1076869803952336,0.10258682483217868,0.05702141902865032,0.05702141902865032,0.14001318855216,(undefined),(undefined),0.1671675130979327,0.6787666784546506,(undefined),(undefined),0.1671675130979327,0.6787666784546506,(undefined),(undefined),0.21603144738592014,1.5554012076946693,0.21603144738592014,0.08006879906847647,0.08006879906847647,0.08006879906847647,6.1172695499695715,(undefined)
Backward rate1 [M/s],,0.15355961899863607,0.6250774047811198,0.15355961899863607,0.032168830250007066,0.032168830250007066,0.10743733075268015,,,0.15355961899863607,0.6250774047811198,0.10238384280863744,0.032168830250007066,0.032168830250007066,0.10743733075268015,,,0.15355961899863607,0.6250774047811198,0.10238384280863744,0.032168830250007066,0.032168830250007066,0.10743733075268015,,,0.09434184670470122,0.38303423365846007,,,0.09434184670470122,0.38303423365846007,,,0.21570519877261518,0.8777265335737028,0.21570519877261518,0.04517109851965829,0.04517109851965829,0.04517109851965829,2.96859358159167,
-- Kernel Sizes --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta W earth0 [lambda],0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.22656956841670498,0.22656956841670498,0.22656956841670498,(undefined),0.22656956841670498,0.22656956841670498,0.22656956841670498,(undefined),0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373
Delta W earth1 [lambda],0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.9062782736668199,0.9062782736668199,0.9062782736668199,,0.9062782736668199,0.9062782736668199,0.9062782736668199,,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493
Delta W snapshot0 [lambda],23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,62.234063581847245,62.234063581847245,0.10375653953011668,(undefined),62.234063581847245,62.234063581847245,0.10375653953011668,(undefined),25.930859825769687,25.930859825769687,0.04323189147088195,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687
Delta W snapshot1 [lambda],47.41642939569314,47.41642939569314,0.07905260154675557,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.07905260154675557,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.07905260154675557,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,124.46812716369449,124.46812716369449,0.20751307906023336,,124.46812716369449,124.46812716369449,0.20751307906023336,,51.861719651539374,51.861719651539374,0.0864637829417639,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374
Delta W max0 [lambda],23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,62.234063581847245,62.234063581847245,0.22656956841670498,(undefined),62.234063581847245,62.234063581847245,0.22656956841670498,(undefined),25.930859825769687,25.930859825769687,0.09440398684029373,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687
Delta W max1 [lambda],47.41642939569314,47.41642939569314,0.3452488661587885,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.3452488661587885,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.3452488661587885,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,124.46812716369449,124.46812716369449,0.9062782736668199,,124.46812716369449,124.46812716369449,0.9062782736668199,,51.861719651539374,51.861719651539374,0.37761594736117493,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374
Delta W stack [lambda],(undefined),2.4186611646733396,0.3452426734747415,2.418661164681854,5.761530951125548,8.747160301477937,8.335772048541907,(undefined),(undefined),2.4186611646733396,0.3452426734747415,3.338148621294877,5.761530951125548,8.747160301477937,8.335772048541907,(undefined),(undefined),2.4186611646733396,0.3452426734747415,3.338148621294877,5.761530951125548,8.747160301477937,8.335772048541907,(undefined),(undefined),13.928517360490723,0.9062737969075316,(undefined),(undefined),13.928517360490723,0.9062737969075316,(undefined),(undefined),2.4597914680494952,0.37761227632268674,2.4597914679825013,5.818546564644574,5.825086402502912,8.857892907838465,11.654779431374953,(undefined)
Delta W theory [lambda],(undefined),1.0,12.587303150687525,1.0,12.587303150687525,12.587303150687525,12.587303150687525,(undefined),(undefined),1.0,12.587303150687525,3.4612509132075626,12.587303150687525,12.587303150687525,12.587303150687525,(undefined),(undefined),1.0,12.587303150687525,3.4612509132075626,12.587303150687525,12.587303150687525,12.587303150687525,(undefined),(undefined),11.803825775723876,89.35330487828081,(undefined),(undefined),11.803825775723876,89.35330487828081,(undefined),(undefined),1.3581201072478302,15.152462172657435,1.3581201072478302,15.152462172657435,15.152462172657435,15.152462172657435,15.152462172657435,(undefined)
