,hpso01 (Ingest) [Nf_max=16384] [Na=256] [Bmax=16250.0],hpso01 (RCAL) [Nf_max=16384] [Na=256] [Bmax=16250.0],hpso01 (FastImg) [Nf_max=16384] [Na=256] [Bmax=16250.0],hpso01 (ICAL) [Nf_max=16384] [Na=256] [Bmax=16250.0],hpso01 (DPrepA) [Nf_max=16384] [Na=256] [Bmax=16250.0],hpso01 (DPrepB) [Nf_max=16384] [Na=256] [Bmax=16250.0],hpso01 (DPrepC) [Nf_max=16384] [Na=256] [Bmax=16250.0],hpso01 (DPrepD) [Nf_max=16384] [Na=256] [Bmax=16250.0],hpso02a (Ingest) [Nf_max=16384] [Na=256] [Bmax=16250.0],hpso02a (RCAL) [Nf_max=16384] [Na=256] [Bmax=16250.0],hpso02a (FastImg) [Nf_max=16384] [Na=256] [Bmax=16250.0],hpso02a (ICAL) [Nf_max=16384] [Na=256] [Bmax=16250.0],hpso02a (DPrepA) [Nf_max=16384] [Na=256] [Bmax=16250.0],hpso02a (DPrepB) [Nf_max=16384] [Na=256] [Bmax=16250.0],hpso02a (DPrepC) [Nf_max=16384] [Na=256] [Bmax=16250.0],hpso02a (DPrepD) [Nf_max=16384] [Na=256] [Bmax=16250.0],hpso02b (Ingest) [Nf_max=16384] [Na=256] [Bmax=16250.0],hpso02b (RCAL) [Nf_max=16384] [Na=256] [Bmax=16250.0],hpso02b (FastImg) [Nf_max=16384] [Na=256] [Bmax=16250.0],hpso02b (ICAL) [Nf_max=16384] [Na=256] [Bmax=16250.0],hpso02b (DPrepA) [Nf_max=16384] [Na=256] [Bmax=16250.0],hpso02b (DPrepB) [Nf_max=16384] [Na=256] [Bmax=16250.0],hpso02b (DPrepC) [Nf_max=16384] [Na=256] [Bmax=16250.0],hpso02b (DPrepD) [Nf_max=16384] [Na=256] [Bmax=16250.0],hpso04a (Ingest) [Nf_max=16384] [Na=256] [Bmax=16250.0],hpso04a (RCAL) [Nf_max=16384] [Na=256] [Bmax=16250.0],hpso04a (FastImg) [Nf_max=16384] [Na=256] [Bmax=16250.0],hpso04a (PSS) [Nf_max=16384] [Na=256] [Bmax=16250.0],hpso05a (Ingest) [Nf_max=16384] [Na=256] [Bmax=16250.0],hpso05a (RCAL) [Nf_max=16384] [Na=256] [Bmax=16250.0],hpso05a (FastImg) [Nf_max=16384] [Na=256] [Bmax=16250.0],hpso05a (PST) [Nf_max=16384] [Na=256] [Bmax=16250.0],max_low (Ingest) [Nf_max=16384] [Na=256] [Bmax=16250.0],max_low (RCAL) [Nf_max=16384] [Na=256] [Bmax=16250.0],max_low (FastImg) [Nf_max=16384] [Na=256] [Bmax=16250.0],max_low (ICAL) [Nf_max=16384] [Na=256] [Bmax=16250.0],max_low (DPrepA) [Nf_max=16384] [Na=256] [Bmax=16250.0],max_low (DPrepA_Image) [Nf_max=16384] [Na=256] [Bmax=16250.0],max_low (DPrepB) [Nf_max=16384] [Na=256] [Bmax=16250.0],max_low (DPrepC) [Nf_max=16384] [Na=256] [Bmax=16250.0],max_low (DPrepD) [Nf_max=16384] [Na=256] [Bmax=16250.0]
Coalesce time pred1 [s],,5.654143136745989,1.0,5.654143136745989,10.0,10.0,7.272581611088732,,,5.654143136745989,1.0,8.481214705118983,10.0,10.0,7.272581611088732,,,5.654143136745989,1.0,8.481214705118983,10.0,10.0,7.272581611088732,,,2.8197677416833486,1.0,,,2.8197677416833486,1.0,,,5.6520845781769555,1.0,5.6520845781769555,10.0,10.0,10.0,7.269933811973566,
Coalesce time pred2 [s],,2.8270715683729946,1.0,2.8270715683729946,5.654143136745989,5.654143136745989,2.909032644435493,,,2.8270715683729946,1.0,2.8270715683729946,5.654143136745989,5.654143136745989,2.909032644435493,,,2.8270715683729946,1.0,2.8270715683729946,5.654143136745989,5.654143136745989,2.909032644435493,,,2.8197677416833486,1.0,,,2.8197677416833486,1.0,,,2.8260422890884778,1.0,2.8260422890884778,5.6520845781769555,5.6520845781769555,5.6520845781769555,2.9079735247894263,
Coalesce time bw0 [s],(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),8.459303225050046,1.0,(undefined),(undefined),8.459303225050046,1.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,10.0,(undefined)
Coalesce time bw1 [s],,5.654143136745989,1.0,5.654143136745989,10.0,10.0,7.272581611088732,,,5.654143136745989,1.0,8.481214705118983,10.0,10.0,7.272581611088732,,,5.654143136745989,1.0,8.481214705118983,10.0,10.0,7.272581611088732,,,2.8197677416833486,1.0,,,2.8197677416833486,1.0,,,5.6520845781769555,1.0,5.6520845781769555,10.0,10.0,10.0,7.269933811973566,
Coalesce time bw2 [s],,2.8270715683729946,1.0,2.8270715683729946,5.654143136745989,5.654143136745989,2.909032644435493,,,2.8270715683729946,1.0,2.8270715683729946,5.654143136745989,5.654143136745989,2.909032644435493,,,2.8270715683729946,1.0,2.8270715683729946,5.654143136745989,5.654143136745989,2.909032644435493,,,2.8197677416833486,1.0,,,2.8197677416833486,1.0,,,2.8260422890884778,1.0,2.8260422890884778,5.6520845781769555,5.6520845781769555,5.6520845781769555,2.9079735247894263,
Combined samples full0,10.0,4.0,1.0,4.0,10.0,10.0,10.0,10.0,10.0,4.0,1.0,6.0,10.0,10.0,10.0,10.0,10.0,4.0,1.0,6.0,10.0,10.0,10.0,10.0,10.0,4.0,1.0,(undefined),10.0,4.0,1.0,(undefined),10.0,4.0,1.0,4.0,10.0,10.0,10.0,10.0,10.0
Combined samples full1,5.0,2.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0,2.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0,2.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0,2.0,1.0,,5.0,2.0,1.0,,5.0,2.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0
Combined samples full2,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,,2.0,1.0,1.0,,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0
Combined samples facet0,(undefined),4.0,1.0,4.0,10.0,10.0,10.0,(undefined),(undefined),4.0,1.0,6.0,10.0,10.0,10.0,(undefined),(undefined),4.0,1.0,6.0,10.0,10.0,10.0,(undefined),(undefined),3.0,1.0,(undefined),(undefined),3.0,1.0,(undefined),(undefined),4.0,1.0,4.0,10.0,10.0,10.0,10.0,(undefined)
Combined samples facet1,,2.0,1.0,2.0,5.0,5.0,5.0,,,2.0,1.0,3.0,5.0,5.0,5.0,,,2.0,1.0,3.0,5.0,5.0,5.0,,,1.0,1.0,,,1.0,1.0,,,2.0,1.0,2.0,5.0,5.0,5.0,5.0,
Combined samples facet2,,1.0,1.0,1.0,2.0,2.0,2.0,,,1.0,1.0,1.0,2.0,2.0,2.0,,,1.0,1.0,1.0,2.0,2.0,2.0,,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,
Kernel time pred0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,(undefined),10.0,10.0,10.0,(undefined),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred2 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,(undefined),10.0,10.0,10.0,(undefined),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward2 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Visibilities kernel pred0,(undefined),7.174737994015437,32.55476508226232,7.174737994020948,3.107914754907988,2.9916914269040205,3.824416600225792,(undefined),(undefined),7.174737994015437,32.55476508226232,5.264787166068776,3.107914754907988,2.9916914269040205,3.824416600225792,(undefined),(undefined),7.174737994015437,32.55476508226232,5.264787166068776,3.107914754907988,2.9916914269040205,3.824416600225792,(undefined),(undefined),8.873779162059611,32.64426593397331,(undefined),(undefined),8.873779162059611,32.64426593397331,(undefined),(undefined),7.4701454416139725,32.567468020591605,7.470145441612659,3.139846285708318,3.138195014446879,3.04549321734212,26.0744851475893,(undefined)
Visibilities kernel pred1,,25.373357167476154,64.99502025817469,25.373357167495637,6.212305088541041,5.979990231505138,8.31817159277868,,,25.373357167476154,64.99502025817469,12.411258681669274,6.212305088541041,5.979990231505138,8.31817159277868,,,25.373357167476154,64.99502025817469,12.411258681669274,6.212305088541041,5.979990231505138,8.31817159277868,,,53.23151077848612,65.24680525561551,,,53.23151077848612,65.24680525561551,,,26.42768513831411,65.03229589341818,26.42768513830946,6.276133233463737,6.2728325628262755,6.087534055616156,35.86619331340359,
Visibilities kernel pred2,,101.48275693196321,128.46895796714492,101.48275693204114,21.96811162351649,21.14659390369623,41.5847837879978,,,101.48275693196321,128.46895796714492,74.45580887326392,21.96811162351649,21.14659390369623,41.5847837879978,,,101.48275693196321,128.46895796714492,74.45580887326392,21.96811162351649,21.14659390369623,41.5847837879978,,,106.45185619249563,130.11232530676057,,,106.45185619249563,130.11232530676057,,,105.69962942280713,128.72716316713908,105.69962942278855,22.20190789150866,22.190231723596483,21.53473569818106,89.66548328350898,
Visibilities kernel bw0,(undefined),7.174737994015437,32.55476508226232,7.174737994020948,3.107914754907988,2.9916914269040205,3.824416600225792,(undefined),(undefined),7.174737994015437,32.55476508226232,5.264787166068776,3.107914754907988,2.9916914269040205,3.824416600225792,(undefined),(undefined),7.174737994015437,32.55476508226232,5.264787166068776,3.107914754907988,2.9916914269040205,3.824416600225792,(undefined),(undefined),8.873779162059611,32.64426593397331,(undefined),(undefined),8.873779162059611,32.64426593397331,(undefined),(undefined),7.4701454416139725,32.567468020591605,7.470145441612659,3.139846285708318,3.138195014446879,3.04549321734212,26.0744851475893,(undefined)
Visibilities kernel bw1,,25.373357167476154,64.99502025817469,25.373357167495637,6.212305088541041,5.979990231505138,8.31817159277868,,,25.373357167476154,64.99502025817469,12.411258681669274,6.212305088541041,5.979990231505138,8.31817159277868,,,25.373357167476154,64.99502025817469,12.411258681669274,6.212305088541041,5.979990231505138,8.31817159277868,,,53.23151077848612,65.24680525561551,,,53.23151077848612,65.24680525561551,,,26.42768513831411,65.03229589341818,26.42768513830946,6.276133233463737,6.2728325628262755,6.087534055616156,35.86619331340359,
Visibilities kernel bw2,,101.48275693196321,128.46895796714492,101.48275693204114,21.96811162351649,21.14659390369623,41.5847837879978,,,101.48275693196321,128.46895796714492,74.45580887326392,21.96811162351649,21.14659390369623,41.5847837879978,,,101.48275693196321,128.46895796714492,74.45580887326392,21.96811162351649,21.14659390369623,41.5847837879978,,,106.45185619249563,130.11232530676057,,,106.45185619249563,130.11232530676057,,,105.69962942280713,128.72716316713908,105.69962942278855,22.20190789150866,22.190231723596483,21.53473569818106,89.66548328350898,
Oversampling used pred0,(undefined),6.837805287355955,25.671297738388773,6.837805287360915,3.0570285653561484,2.945380887664818,3.7408272531056426,(undefined),(undefined),6.837805287355955,25.671297738388773,5.092328066973643,3.0570285653561484,2.945380887664818,3.7408272531056426,(undefined),(undefined),6.837805287355955,25.671297738388773,5.092328066973643,3.0570285653561484,2.945380887664818,3.7408272531056426,(undefined),(undefined),8.347019098170911,25.725283657850348,(undefined),(undefined),8.347019098170911,25.725283657850348,(undefined),(undefined),7.103116600255419,25.678964643980194,7.103116600254239,3.0876672010728257,3.0860831668796465,2.997089934396193,21.553146670555712,(undefined)
Oversampling used pred1,,21.081867861632325,41.00404563732292,21.08186786164549,5.964813799641213,5.752098704907397,7.857924080664425,,,21.081867861632325,41.00404563732292,11.362639082367508,5.964813799641213,5.752098704907397,7.857924080664425,,,21.081867861632325,41.00404563732292,11.362639082367508,5.964813799641213,5.752098704907397,7.857924080664425,,,36.323760932844756,41.09504865417958,,,36.323760932844756,41.09504865417958,,,21.78859420776469,41.01754099116667,21.788594207761598,6.023120786568498,6.020107061976859,5.850666102606013,27.618897855500812,
Oversampling used pred2,,51.05517102975431,55.53696315810915,51.0551710297702,18.717464896463845,18.127813540813897,30.752118066544426,,,51.05517102975431,55.53696315810915,44.18723500139489,18.717464896463845,18.127813540813897,30.752118066544426,,,51.05517102975431,55.53696315810915,44.18723500139489,18.717464896463845,18.127813540813897,30.752118066544426,,,52.02954833286302,55.75317944763027,,,52.02954833286302,55.75317944763027,,,51.88689907679367,55.57130659683478,51.886899076790115,18.883884424715994,18.875587689836685,18.407356426194944,48.40735942561735,
Oversampling used bw0,(undefined),6.837805287355955,25.671297738388773,6.837805287360915,3.0570285653561484,2.945380887664818,3.7408272531056426,(undefined),(undefined),6.837805287355955,25.671297738388773,5.092328066973643,3.0570285653561484,2.945380887664818,3.7408272531056426,(undefined),(undefined),6.837805287355955,25.671297738388773,5.092328066973643,3.0570285653561484,2.945380887664818,3.7408272531056426,(undefined),(undefined),8.347019098170911,25.725283657850348,(undefined),(undefined),8.347019098170911,25.725283657850348,(undefined),(undefined),7.103116600255419,25.678964643980194,7.103116600254239,3.0876672010728257,3.0860831668796465,2.997089934396193,21.553146670555712,(undefined)
Oversampling used bw1,,21.081867861632325,41.00404563732292,21.08186786164549,5.964813799641213,5.752098704907397,7.857924080664425,,,21.081867861632325,41.00404563732292,11.362639082367508,5.964813799641213,5.752098704907397,7.857924080664425,,,21.081867861632325,41.00404563732292,11.362639082367508,5.964813799641213,5.752098704907397,7.857924080664425,,,36.323760932844756,41.09504865417958,,,36.323760932844756,41.09504865417958,,,21.78859420776469,41.01754099116667,21.788594207761598,6.023120786568498,6.020107061976859,5.850666102606013,27.618897855500812,
Oversampling used bw2,,51.05517102975431,55.53696315810915,51.0551710297702,18.717464896463845,18.127813540813897,30.752118066544426,,,51.05517102975431,55.53696315810915,44.18723500139489,18.717464896463845,18.127813540813897,30.752118066544426,,,51.05517102975431,55.53696315810915,44.18723500139489,18.717464896463845,18.127813540813897,30.752118066544426,,,52.02954833286302,55.75317944763027,,,52.02954833286302,55.75317944763027,,,51.88689907679367,55.57130659683478,51.886899076790115,18.883884424715994,18.875587689836685,18.407356426194944,48.40735942561735,
-- Channelization --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Channels predict, no-smear0",(undefined),1648.215074483811,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1009.991056768289,727.1815092638062,(undefined),(undefined),1009.991056768289,727.1815092638062,(undefined),(undefined),2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,1666.3443177517802,(undefined)
"Channels predict, no-smear1",,3295.7371475272034,2372.6984303939844,3295.7371475272034,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,2019.558553451659,1453.9394929925988,,,2019.558553451659,1453.9394929925988,,,4627.836498461537,3331.7159644487933,4627.836498461537,1714.625960512763,1714.625960512763,1714.625960512763,3331.7159644487933,
"Channels predict, no-smear2",,6590.78122076136,4744.703814848597,6590.78122076136,2441.466451169051,2441.466451169051,4744.703814848597,,,6590.78122076136,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,,6590.78122076136,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,,4038.693502406632,2907.4553987723175,,,4038.693502406632,2907.4553987723175,,,9254.700144121867,6662.459115881312,9254.700144121867,3428.279241973887,3428.279241973887,3428.279241973887,6662.459115881312,
"Channels backward, no-smear0",(undefined),1648.215074483811,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1009.991056768289,727.1815092638062,(undefined),(undefined),1009.991056768289,727.1815092638062,(undefined),(undefined),2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,1666.3443177517802,(undefined)
"Channels backward, no-smear1",,3295.7371475272034,2372.6984303939844,3295.7371475272034,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,2019.558553451659,1453.9394929925988,,,2019.558553451659,1453.9394929925988,,,4627.836498461537,3331.7159644487933,4627.836498461537,1714.625960512763,1714.625960512763,1714.625960512763,3331.7159644487933,
"Channels backward, no-smear2",,6590.78122076136,4744.703814848597,6590.78122076136,2441.466451169051,2441.466451169051,4744.703814848597,,,6590.78122076136,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,,6590.78122076136,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,,4038.693502406632,2907.4553987723175,,,4038.693502406632,2907.4553987723175,,,9254.700144121867,6662.459115881312,9254.700144121867,3428.279241973887,3428.279241973887,3428.279241973887,6662.459115881312,
Frequencies predict ifft,16384.0,200.0,40.0,200.0,200,200.0,200.0,16384.0,16384.0,200.0,40.0,200.0,200,200.0,200.0,16384.0,16384.0,200.0,40.0,200.0,200,200.0,200.0,16384.0,16384.0,200.0,40.0,(undefined),16384.0,200.0,40.0,(undefined),16384.0,200.0,40.0,200.0,200,200.0,200.0,200.0,16384.0
Frequencies predict kernels0,(undefined),229.724775435509,364.52288461678205,229.72477543533262,196.55823135119923,204.19426345958126,392.216684738645,(undefined),(undefined),229.724775435509,364.52288461678205,208.75317142126877,196.55823135119923,204.19426345958126,392.216684738645,(undefined),(undefined),229.724775435509,364.52288461678205,208.75317142126877,196.55823135119923,204.19426345958126,392.216684738645,(undefined),(undefined),134.54709309432724,222.75933872570835,(undefined),(undefined),134.54709309432724,222.75933872570835,(undefined),(undefined),309.8205573919518,511.6591552951528,309.82055739200626,273.1978268674321,273.34157947621424,281.6618264222943,628.3537299878296,(undefined)
Frequencies predict kernels1,,229.724775435509,365.0584953999703,229.72477543533262,196.55823135119923,204.19426345958126,392.216684738645,,,229.724775435509,365.0584953999703,208.75317142126877,196.55823135119923,204.19426345958126,392.216684738645,,,229.724775435509,365.0584953999703,208.75317142126877,196.55823135119923,204.19426345958126,392.216684738645,,,134.54709309432724,222.83688638800666,,,134.54709309432724,222.83688638800666,,,309.8205573919518,512.317136997464,309.82055739200626,273.1978268674321,273.34157947621424,281.6618264222943,628.3537299878296,
Frequencies predict kernels2,,229.724775435509,369.32687008032116,229.72477543533262,196.55823135119923,204.19426345958126,392.216684738645,,,229.724775435509,369.32687008032116,208.75317142126877,196.55823135119923,204.19426345958126,392.216684738645,,,229.724775435509,369.32687008032116,208.75317142126877,196.55823135119923,204.19426345958126,392.216684738645,,,134.54709309432724,223.45733902745394,,,134.54709309432724,223.45733902745394,,,309.8205573919518,517.564354869748,309.82055739200626,273.1978268674321,273.34157947621424,281.6618264222943,628.3537299878296,
Frequencies predict de-grid0,16384.0,1648.215074483811,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1500.0,(undefined),16384.0,1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),16384.0,1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),16384.0,1009.991056768289,727.1815092638062,(undefined),16384.0,1009.991056768289,727.1815092638062,(undefined),16384.0,2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,16384.0,16384.0
Frequencies predict de-grid1,16384.0,3295.7371475272034,2372.6984303939844,3295.7371475272034,1221.0797008176821,1221.0797008176821,2372.6984303939844,,16384.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,16384.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,16384.0,2019.558553451659,1453.9394929925988,,16384.0,2019.558553451659,1453.9394929925988,,16384.0,4627.836498461537,3331.7159644487933,4627.836498461537,1714.625960512763,1714.625960512763,1714.625960512763,16384.0,16384.0
Frequencies predict de-grid2,16384.0,6590.78122076136,4744.703814848597,6590.78122076136,2441.466451169051,2441.466451169051,4744.703814848597,,16384.0,6590.78122076136,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,16384.0,6590.78122076136,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,16384.0,4038.693502406632,2907.4553987723175,,16384.0,4038.693502406632,2907.4553987723175,,16384.0,9254.700144121867,6662.459115881312,9254.700144121867,3428.279241973887,3428.279241973887,3428.279241973887,16384.0,16384.0
Frequencies total0,16384.0,6590.78122076136,4744.703814848597,6590.78122076136,2441.4664511690507,2441.4664511690507,4744.703814848597,8192.0,16384.0,6590.78122076136,4744.703814848597,4394.085175985427,2441.4664511690507,2441.4664511690507,4744.703814848597,8192.0,16384.0,6590.78122076136,4744.703814848597,4394.085175985427,2441.4664511690507,2441.4664511690507,4744.703814848597,8192.0,16384.0,4038.693502406632,2907.4553987723175,(undefined),16384.0,4038.693502406632,2907.4553987723175,(undefined),16384.0,9254.700144121867,6662.459115881312,9254.700144121867,3428.279241973887,3428.279241973887,3428.279241973887,16384.0,16384.0
Frequencies total1,16384.0,6590.78122076136,4744.703814848597,6590.78122076136,2441.4664511690507,2441.4664511690507,4744.703814848597,8192.0,16384.0,6590.78122076136,4744.703814848597,4394.085175985427,2441.4664511690507,2441.4664511690507,4744.703814848597,8192.0,16384.0,6590.78122076136,4744.703814848597,4394.085175985427,2441.4664511690507,2441.4664511690507,4744.703814848597,8192.0,16384.0,4038.693502406632,2907.4553987723175,,16384.0,4038.693502406632,2907.4553987723175,,16384.0,9254.700144121867,6662.459115881312,9254.700144121867,3428.279241973887,3428.279241973887,3428.279241973887,16384.0,16384.0
Frequencies total2,16384.0,6590.78122076136,4744.703814848597,6590.78122076136,2441.4664511690507,2441.4664511690507,4744.703814848597,8192.0,16384.0,6590.78122076136,4744.703814848597,4394.085175985427,2441.4664511690507,2441.4664511690507,4744.703814848597,8192.0,16384.0,6590.78122076136,4744.703814848597,4394.085175985427,2441.4664511690507,2441.4664511690507,4744.703814848597,8192.0,16384.0,4038.693502406632,2907.4553987723175,,16384.0,4038.693502406632,2907.4553987723175,,16384.0,9254.700144121867,6662.459115881312,9254.700144121867,3428.279241973887,3428.279241973887,3428.279241973887,16384.0,16384.0
Frequencies backward kernels0,(undefined),229.724775435509,364.52288461678205,229.72477543533262,196.55823135119923,204.19426345958126,392.216684738645,(undefined),(undefined),229.724775435509,364.52288461678205,208.75317142126877,196.55823135119923,204.19426345958126,392.216684738645,(undefined),(undefined),229.724775435509,364.52288461678205,208.75317142126877,196.55823135119923,204.19426345958126,392.216684738645,(undefined),(undefined),134.54709309432724,222.75933872570835,(undefined),(undefined),134.54709309432724,222.75933872570835,(undefined),(undefined),309.8205573919518,511.6591552951528,309.82055739200626,273.1978268674321,273.34157947621424,281.6618264222943,628.3537299878296,(undefined)
Frequencies backward kernels1,,229.724775435509,365.0584953999703,229.72477543533262,196.55823135119923,204.19426345958126,392.216684738645,,,229.724775435509,365.0584953999703,208.75317142126877,196.55823135119923,204.19426345958126,392.216684738645,,,229.724775435509,365.0584953999703,208.75317142126877,196.55823135119923,204.19426345958126,392.216684738645,,,134.54709309432724,222.83688638800666,,,134.54709309432724,222.83688638800666,,,309.8205573919518,512.317136997464,309.82055739200626,273.1978268674321,273.34157947621424,281.6618264222943,628.3537299878296,
Frequencies backward kernels2,,229.724775435509,369.32687008032116,229.72477543533262,196.55823135119923,204.19426345958126,392.216684738645,,,229.724775435509,369.32687008032116,208.75317142126877,196.55823135119923,204.19426345958126,392.216684738645,,,229.724775435509,369.32687008032116,208.75317142126877,196.55823135119923,204.19426345958126,392.216684738645,,,134.54709309432724,223.45733902745394,,,134.54709309432724,223.45733902745394,,,309.8205573919518,517.564354869748,309.82055739200626,273.1978268674321,273.34157947621424,281.6618264222943,628.3537299878296,
Frequencies backward grid0,16384.0,1648.215074483811,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1500.0,(undefined),16384.0,1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),16384.0,1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),16384.0,1009.991056768289,727.1815092638062,(undefined),16384.0,1009.991056768289,727.1815092638062,(undefined),16384.0,2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,16384.0,16384.0
Frequencies backward grid1,16384.0,3295.7371475272034,2372.6984303939844,3295.7371475272034,1221.0797008176821,1221.0797008176821,2372.6984303939844,,16384.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,16384.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,16384.0,2019.558553451659,1453.9394929925988,,16384.0,2019.558553451659,1453.9394929925988,,16384.0,4627.836498461537,3331.7159644487933,4627.836498461537,1714.625960512763,1714.625960512763,1714.625960512763,16384.0,16384.0
