,hpso01 (Ingest) [Na=256] [Bmax=4062.5],hpso01 (RCAL) [Na=256] [Bmax=4062.5],hpso01 (FastImg) [Na=256] [Bmax=4062.5],hpso01 (ICAL) [Na=256] [Bmax=4062.5],hpso01 (DPrepA) [Na=256] [Bmax=4062.5],hpso01 (DPrepB) [Na=256] [Bmax=4062.5],hpso01 (DPrepC) [Na=256] [Bmax=4062.5],hpso01 (DPrepD) [Na=256] [Bmax=4062.5],hpso02a (Ingest) [Na=256] [Bmax=4062.5],hpso02a (RCAL) [Na=256] [Bmax=4062.5],hpso02a (FastImg) [Na=256] [Bmax=4062.5],hpso02a (ICAL) [Na=256] [Bmax=4062.5],hpso02a (DPrepA) [Na=256] [Bmax=4062.5],hpso02a (DPrepB) [Na=256] [Bmax=4062.5],hpso02a (DPrepC) [Na=256] [Bmax=4062.5],hpso02a (DPrepD) [Na=256] [Bmax=4062.5],hpso02b (Ingest) [Na=256] [Bmax=4062.5],hpso02b (RCAL) [Na=256] [Bmax=4062.5],hpso02b (FastImg) [Na=256] [Bmax=4062.5],hpso02b (ICAL) [Na=256] [Bmax=4062.5],hpso02b (DPrepA) [Na=256] [Bmax=4062.5],hpso02b (DPrepB) [Na=256] [Bmax=4062.5],hpso02b (DPrepC) [Na=256] [Bmax=4062.5],hpso02b (DPrepD) [Na=256] [Bmax=4062.5],hpso04a (Ingest) [Nf_max=32768] [Na=256] [Bmax=4062.5],hpso04a (RCAL) [Nf_max=32768] [Na=256] [Bmax=4062.5],hpso04a (FastImg) [Nf_max=32768] [Na=256] [Bmax=4062.5],hpso04a (PSS) [Nf_max=32768] [Na=256] [Bmax=4062.5],hpso05a (Ingest) [Nf_max=32768] [Na=256] [Bmax=4062.5],hpso05a (RCAL) [Nf_max=32768] [Na=256] [Bmax=4062.5],hpso05a (FastImg) [Nf_max=32768] [Na=256] [Bmax=4062.5],hpso05a (PST) [Nf_max=32768] [Na=256] [Bmax=4062.5],max_low (Ingest) [Nf_max=32768] [Na=256] [Bmax=4062.5],max_low (RCAL) [Nf_max=32768] [Na=256] [Bmax=4062.5],max_low (FastImg) [Nf_max=32768] [Na=256] [Bmax=4062.5],max_low (ICAL) [Nf_max=32768] [Na=256] [Bmax=4062.5],max_low (DPrepA) [Nf_max=32768] [Na=256] [Bmax=4062.5],max_low (DPrepA_Image) [Nf_max=32768] [Na=256] [Bmax=4062.5],max_low (DPrepB) [Nf_max=32768] [Na=256] [Bmax=4062.5],max_low (DPrepC) [Nf_max=32768] [Na=256] [Bmax=4062.5],max_low (DPrepD) [Nf_max=32768] [Na=256] [Bmax=4062.5]
-- Channelization --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Channels predict, no-smear0",(undefined),1648.215074483811,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1009.991056768289,727.1815092638062,(undefined),(undefined),1009.991056768289,727.1815092638062,(undefined),(undefined),2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,1666.3443177517802,(undefined)
"Channels backward, no-smear0",(undefined),1648.215074483811,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1009.991056768289,727.1815092638062,(undefined),(undefined),1009.991056768289,727.1815092638062,(undefined),(undefined),2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,1666.3443177517802,(undefined)
Frequencies predict ifft,32768.0,200.0,40.0,200.0,200,200.0,200.0,32768.0,32768.0,200.0,40.0,200.0,200,200.0,200.0,32768.0,32768.0,200.0,40.0,200.0,200,200.0,200.0,32768.0,32768.0,200.0,40.0,(undefined),32768.0,200.0,40.0,(undefined),32768.0,200.0,40.0,200.0,200,200.0,200.0,200.0,32768.0
Frequencies predict kernels0,(undefined),197.1575843058405,364.52288461678205,197.15758430585288,189.29454121811784,190.60793490566508,369.79776593513685,(undefined),(undefined),197.1575843058405,364.52288461678205,192.242249920227,189.29454121811784,190.60793490566508,369.79776593513685,(undefined),(undefined),197.1575843058405,364.52288461678205,192.242249920227,189.29454121811784,190.60793490566508,369.79776593513685,(undefined),(undefined),119.16515868012262,222.75933835694266,(undefined),(undefined),119.16515868012262,222.75933835694266,(undefined),(undefined),273.86627101942935,511.6591552951528,273.8662710194464,265.24945908921336,265.25981853515935,266.68155980207246,522.9999557253736,(undefined)
Frequencies predict de-grid0,32768.0,1648.215074483811,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1500.0,(undefined),32768.0,1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),32768.0,1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),32768.0,1009.991056768289,727.1815092638062,(undefined),32768.0,1009.991056768289,727.1815092638062,(undefined),32768.0,2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,32768.0,(undefined)
Frequencies total0,32768.0,1648.2150744838107,1186.6956875807953,1648.2150744838107,610.88622741501,610.88622741501,1500.0,8192.0,32768.0,1648.2150744838107,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,8192.0,32768.0,1648.2150744838107,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,8192.0,32768.0,1009.9910567682889,727.1815092638062,(undefined),32768.0,1009.9910567682889,727.1815092638062,(undefined),32768.0,2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,32768.0,16384.0
Frequencies backward kernels0,(undefined),197.1575843058405,364.52288461678205,197.15758430585288,189.29454121811784,190.60793490566508,369.79776593513685,(undefined),(undefined),197.1575843058405,364.52288461678205,192.242249920227,189.29454121811784,190.60793490566508,369.79776593513685,(undefined),(undefined),197.1575843058405,364.52288461678205,192.242249920227,189.29454121811784,190.60793490566508,369.79776593513685,(undefined),(undefined),119.16515868012262,222.75933835694266,(undefined),(undefined),119.16515868012262,222.75933835694266,(undefined),(undefined),273.86627101942935,511.6591552951528,273.8662710194464,265.24945908921336,265.25981853515935,266.68155980207246,522.9999557253736,(undefined)
Frequencies backward grid0,32768.0,1648.215074483811,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1500.0,(undefined),32768.0,1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),32768.0,1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),32768.0,1009.991056768289,727.1815092638062,(undefined),32768.0,1009.991056768289,727.1815092638062,(undefined),32768.0,2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,32768.0,(undefined)
Frequencies backward fft,65536,40,40,40,200,500,1500,8192,65536,40,40,40,200,500,1500,8192,65536,40,40,40,200,500,1500,8192,65536,40,40,(undefined),65536,40,40,(undefined),65536,40,40,40,200,40,500,65536,16384
Channels out,65536,40,40,40,40,500,1500,8192,65536,40,40,40,40,500,1500,8192,65536,40,40,40,40,500,1500,8192,65536,40,40,128,65536,40,40,4096,65536,40,40,40,40,40,500,65536,16384
-- Visibility --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingest rate [M/s],44.533374095598234,44.533374095598234,503.5961429975368,44.533374095598234,44.533374095598234,44.533374095598234,86.55732068886103,86.55732068886103,44.533374095598234,44.533374095598234,503.5961429975368,44.533374095598234,44.533374095598234,44.533374095598234,86.55732068886103,86.55732068886103,44.533374095598234,44.533374095598234,503.5961429975368,44.533374095598234,44.533374095598234,44.533374095598234,86.55732068886103,86.55732068886103,44.64872545645367,44.64872545645367,503.5961429975368,(undefined),44.64872545645367,44.64872545645367,503.5961429975368,(undefined),44.549593696983266,44.549593696983266,503.5961429975368,44.549593696983266,44.549593696983266,44.549593696983266,44.549593696983266,86.58884592733757,86.58884592733757
Averaged rate0 [M/s],43.79156337405115,2.202695156504036,17.933979682589495,2.202695156504036,0.8163959638116284,0.8163959638116284,3.896278372713647,21.278874952846795,43.79156337405115,2.202695156504036,17.933979682589495,1.4687721063406085,0.8163959638116284,0.8163959638116284,3.896278372713647,21.278874952846795,43.79156337405115,2.202695156504036,17.933979682589495,1.4687721063406085,0.8163959638116284,0.8163959638116284,3.896278372713647,21.278874952846795,43.90499327986382,1.353260820316598,10.989555746408628,(undefined),43.90499327986382,1.353260820316598,10.989555746408628,(undefined),43.807512798867464,3.0941256778078823,25.182686219818457,3.0941256778078823,1.1467910352257333,1.1467910352257333,1.1467910352257333,85.1464999210053,42.57324996050265
Predict rate0 [M/s],(undefined),2.4908707402981856,17.933979682589495,2.4908707402981856,0.923203927130529,0.923203927130529,2.2668801956064,(undefined),(undefined),2.4908707402981856,17.933979682589495,1.6609295449019406,0.923203927130529,0.923203927130529,2.2668801956064,(undefined),(undefined),2.4908707402981856,17.933979682589495,1.6609295449019406,0.923203927130529,0.923203927130529,2.2668801956064,(undefined),(undefined),1.5263524828850759,10.989555746408628,(undefined),(undefined),1.5263524828850759,10.989555746408628,(undefined),(undefined),3.49765200529585,25.182686219818457,3.49765200529585,1.2963519849181904,1.2963519849181904,1.2963519849181904,49.520753499753674,(undefined)
Backward rate0 [M/s],(undefined),2.4908707402981856,17.933979682589495,2.4908707402981856,0.923203927130529,0.923203927130529,2.2668801956064,(undefined),(undefined),2.4908707402981856,17.933979682589495,1.6609295449019406,0.923203927130529,0.923203927130529,2.2668801956064,(undefined),(undefined),2.4908707402981856,17.933979682589495,1.6609295449019406,0.923203927130529,0.923203927130529,2.2668801956064,(undefined),(undefined),1.5263524828850759,10.989555746408628,(undefined),(undefined),1.5263524828850759,10.989555746408628,(undefined),(undefined),3.49765200529585,25.182686219818457,3.49765200529585,1.2963519849181904,1.2963519849181904,1.2963519849181904,49.520753499753674,(undefined)
-- Kernel Sizes --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta W earth0 [lambda],0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.22656956841670498,0.22656956841670498,0.22656956841670498,(undefined),0.22656956841670498,0.22656956841670498,0.22656956841670498,(undefined),0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373
Delta W snapshot0 [lambda],23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,62.234063581847245,62.234063581847245,0.10375653953011668,(undefined),62.234063581847245,62.234063581847245,0.10375653953011668,(undefined),25.930859825769687,25.930859825769687,0.04323189147088195,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687
Delta W max0 [lambda],23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,62.234063581847245,62.234063581847245,0.22656956841670498,(undefined),62.234063581847245,62.234063581847245,0.22656956841670498,(undefined),25.930859825769687,25.930859825769687,0.09440398684029373,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687
Delta W stack [lambda],(undefined),0.4585709601368872,0.1,0.4585709601374591,0.9575002600875588,1.4734443963523909,1.468925005504493,(undefined),(undefined),0.4585709601368872,0.1,0.6211693656541734,0.9575002600875588,1.4734443963523909,1.468925005504493,(undefined),(undefined),0.4585709601368872,0.1,0.6211693656541734,0.9575002600875588,1.4734443963523909,1.468925005504493,(undefined),(undefined),2.621084447364008,0.22656453798091633,(undefined),(undefined),2.621084447364008,0.22656453798091633,(undefined),(undefined),0.462962935250056,0.1,0.46296293525061505,0.9652869651161683,0.9695093819929008,1.4859175011423607,2.328390458108425,(undefined)
Delta W theory [lambda],(undefined),1.0,12.587303150687525,1.0,12.587303150687525,12.587303150687525,12.587303150687525,(undefined),(undefined),1.0,12.587303150687525,3.4612509132075626,12.587303150687525,12.587303150687525,12.587303150687525,(undefined),(undefined),1.0,12.587303150687525,3.4612509132075626,12.587303150687525,12.587303150687525,12.587303150687525,(undefined),(undefined),11.803825775723876,89.35330487828081,(undefined),(undefined),11.803825775723876,89.35330487828081,(undefined),(undefined),1.3581201072478302,15.152462172657435,1.3581201072478302,15.152462172657435,15.152462172657435,15.152462172657435,15.152462172657435,(undefined)
-- Kernel Sizes --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W kernel support pred0 [uv-pixels],(undefined),2.874778589231206,0.18455205923435844,2.8747785892339017,1.1234718402840618,1.5530269583470673,1.5494467410093793,(undefined),(undefined),2.874778589231206,0.18455205923435844,1.9630746428044568,1.1234718402840618,1.5530269583470673,1.5494467410093793,(undefined),(undefined),2.874778589231206,0.18455205923435844,1.9630746428044568,1.1234718402840618,1.5530269583470673,1.5494467410093793,(undefined),(undefined),2.5075694511153843,0.08981409127053162,(undefined),(undefined),2.5075694511153843,0.08981409127053162,(undefined),(undefined),2.5318080989269043,0.17264561380323334,2.5318080989292024,0.9885200519090501,0.9917655225757627,1.3667594009126094,1.9153623340380617,(undefined)
AW kernel support pred0 [uv-pixels],(undefined),9.44798136837188,9.001891993496013,9.4479813683727,9.069850548708686,9.133011153685993,9.132403035522719,(undefined),(undefined),9.44798136837188,9.001891993496013,9.21160474907721,9.069850548708686,9.133011153685993,9.132403035522719,(undefined),(undefined),9.44798136837188,9.001891993496013,9.21160474907721,9.069850548708686,9.133011153685993,9.132403035522719,(undefined),(undefined),9.342799609975968,9.000448131676041,(undefined),(undefined),9.342799609975968,9.000448131676041,(undefined),(undefined),9.349334321211957,9.001655764800468,9.34933432121258,9.054124579053807,9.05447949093541,9.103187972352487,9.20155491591784,(undefined)
W kernel support bw0 [uv-pixels],(undefined),2.874778589231206,0.18455205923435844,2.8747785892339017,1.1234718402840618,1.5530269583470673,1.5494467410093793,(undefined),(undefined),2.874778589231206,0.18455205923435844,1.9630746428044568,1.1234718402840618,1.5530269583470673,1.5494467410093793,(undefined),(undefined),2.874778589231206,0.18455205923435844,1.9630746428044568,1.1234718402840618,1.5530269583470673,1.5494467410093793,(undefined),(undefined),2.5075694511153843,0.08981409127053162,(undefined),(undefined),2.5075694511153843,0.08981409127053162,(undefined),(undefined),2.5318080989269043,0.17264561380323334,2.5318080989292024,0.9885200519090501,0.9917655225757627,1.3667594009126094,1.9153623340380617,(undefined)
AW kernel support bw0 [uv-pixels],(undefined),9.44798136837188,9.001891993496013,9.4479813683727,9.069850548708686,9.133011153685993,9.132403035522719,(undefined),(undefined),9.44798136837188,9.001891993496013,9.21160474907721,9.069850548708686,9.133011153685993,9.132403035522719,(undefined),(undefined),9.44798136837188,9.001891993496013,9.21160474907721,9.069850548708686,9.133011153685993,9.132403035522719,(undefined),(undefined),9.342799609975968,9.000448131676041,(undefined),(undefined),9.342799609975968,9.000448131676041,(undefined),(undefined),9.349334321211957,9.001655764800468,9.34933432121258,9.054124579053807,9.05447949093541,9.103187972352487,9.20155491591784,(undefined)
-- Data --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snapshot vis size0 [GB],0.019244339373362326,1.5859405126829058,0.0107603878095537,1.5859405126829058,0.058780509394437255,0.047024407515549795,0.07480854475610202,0.07480854475610203,0.019244339373362326,1.5859405126829058,0.0107603878095537,1.0575159165652381,0.058780509394437255,0.047024407515549795,0.07480854475610202,0.07480854475610203,0.019244339373362326,1.5859405126829058,0.0107603878095537,1.0575159165652381,0.058780509394437255,0.047024407515549795,0.07480854475610202,0.07480854475610203,0.01929418649994016,0.9743477906279505,0.006593733447845178,(undefined),0.01929418649994016,0.9743477906279505,0.006593733447845178,(undefined),0.0192513483979398,2.227770488021676,0.015109611731891076,2.227770488021676,0.08256895453625282,0.41284477268126407,0.06605516362900225,0.03741789547309804,0.07483579094619608
Facet size [GB],(undefined),0.07666133025518523,0.0037857447039597652,0.07666133025518523,0.010515957510999346,0.010515957510999346,0.010515957510999346,(undefined),(undefined),0.07666133025518523,0.0037857447039597652,0.034071702335637874,0.010515957510999346,0.010515957510999346,0.010515957510999346,(undefined),(undefined),0.07666133025518523,0.0037857447039597652,0.034071702335637874,0.010515957510999346,0.010515957510999346,0.010515957510999346,(undefined),(undefined),0.07745870133116228,0.0038251210533907297,(undefined),(undefined),0.07745870133116228,0.0038251210533907297,(undefined),(undefined),0.07677307527426595,0.0037912629765069583,0.07677307527426595,0.010531286045852666,0.010531286045852666,0.010531286045852666,0.010531286045852666,(undefined)
Image size [GB],0.010515957510999348,0.07666133025518525,0.0037857447039597644,0.07666133025518525,0.010515957510999348,0.010515957510999348,0.010515957510999348,0.010515957510999348,0.010515957510999348,0.07666133025518525,0.0037857447039597644,0.03407170233563788,0.010515957510999348,0.010515957510999348,0.010515957510999348,0.010515957510999348,0.010515957510999348,0.07666133025518525,0.0037857447039597644,0.03407170233563788,0.010515957510999348,0.010515957510999348,0.010515957510999348,0.010515957510999348,0.010625336259418689,0.07745870133116227,0.003825121053390729,(undefined),0.010625336259418689,0.07745870133116227,0.003825121053390729,(undefined),0.010531286045852666,0.07677307527426591,0.0037912629765069596,0.07677307527426591,0.010531286045852666,0.010531286045852666,0.010531286045852666,0.010531286045852666,0.010531286045852666
Image cube size [GB],5513.390331526826,24.53162568165928,0.6057191526335624,24.53162568165928,1.6825532017598959,42.06383004399739,126.19149013199217,689.1737914408533,5513.390331526826,24.53162568165928,0.6057191526335624,10.90294474740412,1.6825532017598959,42.06383004399739,126.19149013199217,689.1737914408533,5513.390331526826,24.53162568165928,0.6057191526335624,10.90294474740412,1.6825532017598959,42.06383004399739,126.19149013199217,689.1737914408533,2785.3681483890527,12.393392212985963,0.3060096842712583,(undefined),2785.3681483890527,12.393392212985963,0.3060096842712583,(undefined),2760.7134492040013,12.283692043882546,0.30330103812055675,12.283692043882546,0.8425028836682134,0.8425028836682134,21.062572091705334,2760.7134492040013,690.1783623010003
Calibration output [GB],0.0,1.179648,0.0,5.9392,0.0,0.0,0.0,0.0,0.0,1.179648,0.0,5.9392,0.0,0.0,0.0,0.0,0.0,1.179648,0.0,5.9392,0.0,0.0,0.0,0.0,0.0,0.1572864,0.0,(undefined),0.0,0.1572864,0.0,(undefined),0.0,1.4155776,0.0,9.9581952,0.0,0.0,0.0,0.0,0.0
Calibration process interval [s],600,10,600,600,600,600,600,600,600,10,600,600,600,600,600,600,600,10,600,600,600,600,600,600,600,10,600,600,600,10,600,600,600,10,600,600,600,600,600,600,600
Calibration process in [MB],0.0,11.606426601504769,0.0,3627.0083129702407,0.0,0.0,0.0,0.0,0.0,11.606426601504769,0.0,3627.0083129702407,0.0,0.0,0.0,0.0,0.0,11.606426601504769,0.0,3627.0083129702407,0.0,0.0,0.0,0.0,0.0,19.344044335841282,0.0,(undefined),0.0,19.344044335841282,0.0,(undefined),0.0,8.290304715360548,0.0,3585.556789393438,0.0,0.0,0.0,0.0,0.0
Calibration process out [MB],0.0,0.131072,0.0,40.96,0.0,0.0,0.0,0.0,0.0,0.131072,0.0,40.96,0.0,0.0,0.0,0.0,0.0,0.131072,0.0,40.96,0.0,0.0,0.0,0.0,0.0,0.21845333333333333,0.0,(undefined),0.0,0.21845333333333333,0.0,(undefined),0.0,0.09362285714285715,0.0,40.491885714285715,0.0,0.0,0.0,0.0,0.0
Cleaning memory [PetaBytes],(undefined),(undefined),(undefined),2.4914932332935202e-05,3.4176861910747882e-06,0.0003417686191074788,0.0010253058573224364,(undefined),(undefined),(undefined),(undefined),1.107330325908231e-05,3.4176861910747882e-06,0.0003417686191074788,0.0010253058573224364,(undefined),(undefined),(undefined),(undefined),1.107330325908231e-05,3.4176861910747882e-06,0.0003417686191074788,0.0010253058573224364,(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),3.493174924979101e-05,4.791735150862964e-06,4.791735150862964e-06,0.00034226679649021165,0.044861593549565024,(undefined)
Working (cache) memory [TeraBytes],(undefined),1.946270269657312e-06,5.149281446521983e-10,1.946270269662788e-06,1.161653265656442e-07,3.068505649592898e-07,3.047332912332698e-07,(undefined),(undefined),1.946270269657312e-06,5.149281446521983e-10,6.197269511059509e-07,1.161653265656442e-07,3.068505649592898e-07,3.047332912332698e-07,(undefined),(undefined),1.946270269657312e-06,5.149281446521983e-10,6.197269511059509e-07,1.161653265656442e-07,3.068505649592898e-07,3.047332912332698e-07,(undefined),(undefined),3.8749857464017555e-07,1.7805109080970873e-11,(undefined),(undefined),3.8749857464017555e-07,1.7805109080970873e-11,(undefined),(undefined),9.306370490693521e-07,2.950900944178148e-10,9.306370490718864e-07,5.539166677343238e-08,5.593903926979778e-08,1.4640779264379037e-07,4.029403985862246e-07,(undefined)
-- I/O --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Input Buffer Size [PetaBytes],0.07695367043719376,0.07695367043719376,0.43510706754987183,0.07695367043719376,0.03847683521859688,0.07695367043719376,0.14957105015035188,0.14957105015035188,0.07695367043719376,0.07695367043719376,0.43510706754987183,0.07695367043719376,0.03847683521859688,0.07695367043719376,0.14957105015035188,0.14957105015035188,0.07695367043719376,0.07695367043719376,0.43510706754987183,0.07695367043719376,0.03847683521859688,0.07695367043719376,0.14957105015035188,0.14957105015035188,0.005143533172583462,0.005143533172583462,0.02900713783665812,0.002102152,0.005143533172583462,0.005143533172583462,0.02900713783665812,0.00077309411328,0.04618901874503225,0.04618901874503225,0.2610642405299231,0.04618901874503225,0.023094509372516125,0.023094509372516125,0.04618901874503225,0.08977531545746359,0.08977531545746359
Total buffer ingest rate [TeraBytes/s],0.00427520391317743,0.00427520391317743,0.024172614863881767,0.00427520391317743,0.002137601956588715,0.00427520391317743,0.008309502786130659,0.008309502786130659,0.00427520391317743,0.00427520391317743,0.024172614863881767,0.00427520391317743,0.002137601956588715,0.00427520391317743,0.008309502786130659,0.008309502786130659,0.00427520391317743,0.00427520391317743,0.024172614863881767,0.00427520391317743,0.002137601956588715,0.00427520391317743,0.008309502786130659,0.008309502786130659,0.002143138821909776,0.002143138821909776,0.012086307431940883,(undefined),0.002143138821909776,0.002143138821909776,0.012086307431940883,(undefined),0.0021383804974551964,0.0021383804974551964,0.012086307431940883,0.0021383804974551964,0.0010691902487275982,0.0010691902487275982,0.0021383804974551964,0.004156264604512203,0.004156264604512203
Output size [TB],0.0,0.0,0.0,0.0,0.00037100298098805695,0.01855014904940285,0.05565044714820854,23.769961679881767,0.0,0.0,0.0,0.0,0.00037100298098805695,0.01855014904940285,0.05565044714820854,23.769961679881767,0.0,0.0,0.0,0.0,0.00037100298098805695,0.01855014904940285,0.05565044714820854,23.769961679881767,0.0,0.0,0.0,0.2147152,0.0,0.0,0.0,0.77309411328,0.0,0.0,0.0,0.0,0.0002600806401883774,0.0002600806401883774,0.009288594292442049,1.2174746310989644,28.52395401585812
Buffer Read Rate [TeraBytes/s],0.0042039900839089105,0.0004229174700487749,0.0017216620495285916,0.0021145873502438745,0.0004702440751554979,0.0009404881503109958,0.0044885126853661216,0.02451326394567951,0.0042039900839089105,0.0004229174700487749,0.0017216620495285916,0.0014100212220869842,0.0004702440751554979,0.0009404881503109958,0.0044885126853661216,0.02451326394567951,0.0042039900839089105,0.0004229174700487749,0.0017216620495285916,0.0014100212220869842,0.0004702440751554979,0.0009404881503109958,0.0044885126853661216,0.02451326394567951,0.0021074396774334635,0.0001299130387503934,0.0005274986758276142,0.0008758966666666667,0.0021074396774334635,0.0001299130387503934,0.0005274986758276142,0.0003221225472,0.002102760614345638,0.0002970360650695567,0.001208768938551286,0.0014851803253477837,0.0003302758181450112,0.0003302758181450112,0.0006605516362900224,0.04904438395449905,0.024522191977249527
Facet visibility rate [TeraBytes/s],0.0,0.00023912359106862584,0.0008608310247642959,0.0021521123196176326,0.0004874516735249194,0.0009749033470498388,0.0023938254865603584,(undefined),0.0,0.00023912359106862584,0.0008608310247642959,0.0014350431267952767,0.0004874516735249194,0.0009749033470498388,0.0023938254865603584,(undefined),0.0,0.00023912359106862584,0.0008608310247642959,0.0014350431267952767,0.0004874516735249194,0.0009749033470498388,0.0023938254865603584,(undefined),0.0,7.326491917848365e-05,0.0002637493379138071,(undefined),0.0,7.326491917848365e-05,0.0002637493379138071,(undefined),0.0,0.00016788729625420086,0.000604384469275643,0.0015109856662878075,0.00034223692401840226,0.00034223692401840226,0.0006844738480368045,0.026146957847869943,(undefined)
Image Write Rate [TeraBytes/s],0.0,4.0886042802765456e-05,0.0006057191526335625,0.0003679743852248892,0.0001542340434946571,0.0007711702174732854,0.002313510652419856,(undefined),0.0,4.0886042802765456e-05,0.0006057191526335625,0.0001635441712110618,0.0001542340434946571,0.0007711702174732854,0.002313510652419856,(undefined),0.0,4.0886042802765456e-05,0.0006057191526335625,0.0001635441712110618,0.0001542340434946571,0.0007711702174732854,0.002313510652419856,(undefined),0.0,2.0655653688309945e-05,0.00030600968427125835,(undefined),0.0,2.0655653688309945e-05,0.00030600968427125835,(undefined),0.0,2.0472820073137588e-05,0.00030330103812055664,0.00018425538065823833,7.722943100291955e-05,1.5445886200583913e-05,0.00038614715501459777,0.050613079902073366,(undefined)
-- Compute --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Compute Requirement [PetaFLOP/s],0.005903327694020225,0.0013002269320262745,0.005588200132074979,0.012217472862489278,0.00461471939495149,0.010053844026814548,0.03364119739441247,0.002320078293858792,0.005903327694020225,0.0013002269320262745,0.005588200132074979,0.007856328713923227,0.00461471939495149,0.010053844026814548,0.03364119739441247,0.002320078293858792,0.005903327694020225,0.0013002269320262745,0.005588200132074979,0.007856328713923227,0.00461471939495149,0.010053844026814548,0.03364119739441247,0.002320078293858792,0.0029592908813353995,0.0003880816776226281,0.0017134844932203694,0.00050088,0.0029592908813353995,0.0003880816776226281,0.0017134844932203694,2.755e-07,0.002952736287383495,0.0008882517528918349,0.003921970918370201,0.008307950388553679,0.003223767705305471,0.002613766097510868,0.005564953371899567,0.4654979107627581,0.0023209232948467624
