,hpso01 (Ingest) [Nf_max=65536] [Na=32] [Bmax=8125.0],hpso01 (RCAL) [Nf_max=65536] [Na=32] [Bmax=8125.0],hpso01 (FastImg) [Nf_max=65536] [Na=32] [Bmax=8125.0],hpso01 (ICAL) [Nf_max=65536] [Na=32] [Bmax=8125.0],hpso01 (DPrepA) [Nf_max=65536] [Na=32] [Bmax=8125.0],hpso01 (DPrepB) [Nf_max=65536] [Na=32] [Bmax=8125.0],hpso01 (DPrepC) [Nf_max=65536] [Na=32] [Bmax=8125.0],hpso01 (DPrepD) [Nf_max=65536] [Na=32] [Bmax=8125.0],hpso02a (Ingest) [Nf_max=65536] [Na=32] [Bmax=8125.0],hpso02a (RCAL) [Nf_max=65536] [Na=32] [Bmax=8125.0],hpso02a (FastImg) [Nf_max=65536] [Na=32] [Bmax=8125.0],hpso02a (ICAL) [Nf_max=65536] [Na=32] [Bmax=8125.0],hpso02a (DPrepA) [Nf_max=65536] [Na=32] [Bmax=8125.0],hpso02a (DPrepB) [Nf_max=65536] [Na=32] [Bmax=8125.0],hpso02a (DPrepC) [Nf_max=65536] [Na=32] [Bmax=8125.0],hpso02a (DPrepD) [Nf_max=65536] [Na=32] [Bmax=8125.0],hpso02b (Ingest) [Nf_max=65536] [Na=32] [Bmax=8125.0],hpso02b (RCAL) [Nf_max=65536] [Na=32] [Bmax=8125.0],hpso02b (FastImg) [Nf_max=65536] [Na=32] [Bmax=8125.0],hpso02b (ICAL) [Nf_max=65536] [Na=32] [Bmax=8125.0],hpso02b (DPrepA) [Nf_max=65536] [Na=32] [Bmax=8125.0],hpso02b (DPrepB) [Nf_max=65536] [Na=32] [Bmax=8125.0],hpso02b (DPrepC) [Nf_max=65536] [Na=32] [Bmax=8125.0],hpso02b (DPrepD) [Nf_max=65536] [Na=32] [Bmax=8125.0],hpso04a (Ingest) [Na=32] [Bmax=8125.0],hpso04a (RCAL) [Na=32] [Bmax=8125.0],hpso04a (FastImg) [Na=32] [Bmax=8125.0],hpso04a (PSS) [Na=32] [Bmax=8125.0],hpso05a (Ingest) [Na=32] [Bmax=8125.0],hpso05a (RCAL) [Na=32] [Bmax=8125.0],hpso05a (FastImg) [Na=32] [Bmax=8125.0],hpso05a (PST) [Na=32] [Bmax=8125.0],max_low (Ingest) [Na=32] [Bmax=8125.0],max_low (RCAL) [Na=32] [Bmax=8125.0],max_low (FastImg) [Na=32] [Bmax=8125.0],max_low (ICAL) [Na=32] [Bmax=8125.0],max_low (DPrepA) [Na=32] [Bmax=8125.0],max_low (DPrepA_Image) [Na=32] [Bmax=8125.0],max_low (DPrepB) [Na=32] [Bmax=8125.0],max_low (DPrepC) [Na=32] [Bmax=8125.0],max_low (DPrepD) [Na=32] [Bmax=8125.0]
Kernel time pred0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,(undefined),10.0,10.0,10.0,(undefined),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,(undefined),10.0,10.0,10.0,(undefined),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Visibilities kernel pred0,(undefined),2.2626612950455116,32.55476508226232,4.530907504147407,2.630480689725808,2.314388756105949,2.979270406415772,(undefined),(undefined),2.2626612950455116,32.55476508226232,3.8314585894877933,2.630480689725808,2.314388756105949,2.979270406415772,(undefined),(undefined),2.2626612950455116,32.55476508226232,3.8314585894877933,2.630480689725808,2.314388756105949,2.979270406415772,(undefined),(undefined),2.370099806326929,32.64426593397331,(undefined),(undefined),2.370099806326929,32.64426593397331,(undefined),(undefined),2.8967871208703224,32.567468020591605,4.936772688727461,2.7389386936436786,2.7408763045661324,2.450974839986111,88.207026345952,(undefined)
Visibilities kernel pred1,,4.522156086080191,64.99502319018,16.02348887045404,5.257978375464284,4.626152961149932,8.0999551867567,,,4.522156086080191,64.99502319018,13.548474662579212,5.257978375464284,4.626152961149932,8.0999551867567,,,4.522156086080191,64.99502319018,13.548474662579212,5.257978375464284,4.626152961149932,8.0999551867567,,,4.316973088622794,65.24680544773426,,,4.316973088622794,65.24680544773426,,,5.790533298209004,65.03229728536151,17.465185281443382,5.474772519228266,5.4786455445923705,4.899171248489996,151.66408083501946,
Visibilities kernel bw0,(undefined),2.2626612950455116,32.55476508226232,4.530907504147407,2.630480689725808,2.314388756105949,2.979270406415772,(undefined),(undefined),2.2626612950455116,32.55476508226232,3.8314585894877933,2.630480689725808,2.314388756105949,2.979270406415772,(undefined),(undefined),2.2626612950455116,32.55476508226232,3.8314585894877933,2.630480689725808,2.314388756105949,2.979270406415772,(undefined),(undefined),2.370099806326929,32.64426593397331,(undefined),(undefined),2.370099806326929,32.64426593397331,(undefined),(undefined),2.8967871208703224,32.567468020591605,4.936772688727461,2.7389386936436786,2.7408763045661324,2.450974839986111,88.207026345952,(undefined)
Visibilities kernel bw1,,4.522156086080191,64.99502319018,16.02348887045404,5.257978375464284,4.626152961149932,8.0999551867567,,,4.522156086080191,64.99502319018,13.548474662579212,5.257978375464284,4.626152961149932,8.0999551867567,,,4.522156086080191,64.99502319018,13.548474662579212,5.257978375464284,4.626152961149932,8.0999551867567,,,4.316973088622794,65.24680544773426,,,4.316973088622794,65.24680544773426,,,5.790533298209004,65.03229728536151,17.465185281443382,5.474772519228266,5.4786455445923705,4.899171248489996,151.66408083501946,
Oversampling used pred0,(undefined),2.2403718020613326,25.671297738388773,4.407559153393677,2.597083473285714,2.290662099545969,2.9334367848870926,(undefined),(undefined),2.2403718020613326,25.671297738388773,3.7475096103983105,2.597083473285714,2.290662099545969,2.9334367848870926,(undefined),(undefined),2.2403718020613326,25.671297738388773,3.7475096103983105,2.597083473285714,2.290662099545969,2.9334367848870926,(undefined),(undefined),2.3447795067120083,25.725283657850348,(undefined),(undefined),2.3447795067120083,25.725283657850348,(undefined),(undefined),2.8540612288291243,25.678964643980194,4.787242037981422,2.701872309033689,2.703742743117509,2.4232566237092996,48.04507840849522,(undefined)
Oversampling used pred1,,4.399345530050269,41.00404669914422,14.273426874383887,5.086011219763982,4.496878394209226,7.664657142086632,,,4.399345530050269,41.00404669914422,12.296945138465425,5.086011219763982,4.496878394209226,7.664657142086632,,,4.399345530050269,41.00404669914422,12.296945138465425,5.086011219763982,4.496878394209226,7.664657142086632,,,4.206446739419725,41.095048723479756,,,4.206446739419725,41.095048723479756,,,5.57804868192779,41.017541494961016,15.389716117964582,5.286809533746492,5.290390564308616,4.75216817407469,58.12666274747726,
Oversampling used bw0,(undefined),2.2403718020613326,25.671297738388773,4.407559153393677,2.597083473285714,2.290662099545969,2.9334367848870926,(undefined),(undefined),2.2403718020613326,25.671297738388773,3.7475096103983105,2.597083473285714,2.290662099545969,2.9334367848870926,(undefined),(undefined),2.2403718020613326,25.671297738388773,3.7475096103983105,2.597083473285714,2.290662099545969,2.9334367848870926,(undefined),(undefined),2.3447795067120083,25.725283657850348,(undefined),(undefined),2.3447795067120083,25.725283657850348,(undefined),(undefined),2.8540612288291243,25.678964643980194,4.787242037981422,2.701872309033689,2.703742743117509,2.4232566237092996,48.04507840849522,(undefined)
Oversampling used bw1,,4.399345530050269,41.00404669914422,14.273426874383887,5.086011219763982,4.496878394209226,7.664657142086632,,,4.399345530050269,41.00404669914422,12.296945138465425,5.086011219763982,4.496878394209226,7.664657142086632,,,4.399345530050269,41.00404669914422,12.296945138465425,5.086011219763982,4.496878394209226,7.664657142086632,,,4.206446739419725,41.095048723479756,,,4.206446739419725,41.095048723479756,,,5.57804868192779,41.017541494961016,15.389716117964582,5.286809533746492,5.290390564308616,4.75216817407469,58.12666274747726,
-- Channelization --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Channels predict, no-smear0",(undefined),494.94943095103616,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),494.94943095103616,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),494.94943095103616,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),303.29369179712205,727.1815092638062,(undefined),(undefined),303.29369179712205,727.1815092638062,(undefined),(undefined),926.3453367521058,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,1666.3443177517802,(undefined)
"Channels predict, no-smear1",,989.2061999638064,2372.6984303939844,3295.7371475272034,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,989.2061999638064,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,989.2061999638064,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,606.1640304773304,1453.9394929925988,,,606.1640304773304,1453.9394929925988,,,1851.718229295396,3331.7159644487933,4627.836498461537,1714.625960512763,1714.625960512763,1714.625960512763,3331.7159644487933,
"Channels backward, no-smear0",(undefined),494.94943095103616,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),494.94943095103616,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),494.94943095103616,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),303.29369179712205,727.1815092638062,(undefined),(undefined),303.29369179712205,727.1815092638062,(undefined),(undefined),926.3453367521058,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,1666.3443177517802,(undefined)
"Channels backward, no-smear1",,989.2061999638064,2372.6984303939844,3295.7371475272034,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,989.2061999638064,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,989.2061999638064,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,606.1640304773304,1453.9394929925988,,,606.1640304773304,1453.9394929925988,,,1851.718229295396,3331.7159644487933,4627.836498461537,1714.625960512763,1714.625960512763,1714.625960512763,3331.7159644487933,
Frequencies predict ifft,65536.0,200.0,40.0,200.0,200,200.0,200.0,40960.0,65536.0,200.0,40.0,200.0,200,200.0,200.0,40960.0,65536.0,200.0,40.0,200.0,200,200.0,200.0,40960.0,65536.0,200.0,40.0,(undefined),65536.0,200.0,40.0,(undefined),65536.0,200.0,40.0,200.0,200,200.0,200.0,200.0,65536.0
Frequencies predict kernels0,(undefined),218.74658484449864,364.52288461678205,363.7715122136354,232.23368633764295,263.9514324476975,503.4789714857013,(undefined),(undefined),218.74658484449864,364.52288461678205,286.84663871619074,232.23368633764295,263.9514324476975,503.4789714857013,(undefined),(undefined),218.74658484449864,364.52288461678205,286.84663871619074,232.23368633764295,263.9514324476975,503.4789714857013,(undefined),(undefined),127.96663287659288,222.75933872570835,(undefined),(undefined),127.96663287659288,222.75933872570835,(undefined),(undefined),319.7837114360654,511.6591552951528,468.80923438189876,313.1867040120344,312.9653025655517,349.9828590480969,742.979360203855,(undefined)
Frequencies predict kernels1,,218.74658484449864,365.0584789317333,363.7715122136354,232.23368633764295,263.9514324476975,503.4789714857013,,,218.74658484449864,365.0584789317333,286.84663871619074,232.23368633764295,263.9514324476975,503.4789714857013,,,218.74658484449864,365.0584789317333,286.84663871619074,232.23368633764295,263.9514324476975,503.4789714857013,,,140.414132317584,222.83688573186504,,,140.414132317584,222.83688573186504,,,319.7837114360654,512.3171260318907,468.80923438189876,313.1867040120344,312.9653025655517,349.9828590480969,742.979360203855,
Frequencies predict de-grid0,65536.0,494.94943095103616,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1500.0,(undefined),65536.0,494.94943095103616,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),65536.0,494.94943095103616,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),65536.0,303.29369179712205,727.1815092638062,(undefined),65536.0,303.29369179712205,727.1815092638062,(undefined),65536.0,926.3453367521058,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,65536.0,(undefined)
Frequencies predict de-grid1,65536.0,989.2061999638064,2372.6984303939844,3295.7371475272034,1221.0797008176821,1221.0797008176821,2372.6984303939844,,65536.0,989.2061999638064,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,65536.0,989.2061999638064,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,65536.0,606.1640304773304,1453.9394929925988,,65536.0,606.1640304773304,1453.9394929925988,,65536.0,1851.718229295396,3331.7159644487933,4627.836498461537,1714.625960512763,1714.625960512763,1714.625960512763,65536.0,
Frequencies total0,65536.0,3295.7371475272034,2372.6984303939844,3295.7371475272034,1221.0797008176821,1221.0797008176821,2372.6984303939844,8192.0,65536.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,8192.0,65536.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,8192.0,65536.0,2019.558553451659,1453.9394929925988,(undefined),65536.0,2019.558553451659,1453.9394929925988,(undefined),65536.0,4627.836498461537,3331.7159644487933,4627.836498461537,1714.625960512763,1714.625960512763,1714.625960512763,65536.0,16384.0
Frequencies total1,65536.0,3295.7371475272034,2372.6984303939844,3295.7371475272034,1221.0797008176821,1221.0797008176821,2372.6984303939844,8192.0,65536.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,8192.0,65536.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,8192.0,65536.0,2019.558553451659,1453.9394929925988,,65536.0,2019.558553451659,1453.9394929925988,,65536.0,4627.836498461537,3331.7159644487933,4627.836498461537,1714.625960512763,1714.625960512763,1714.625960512763,65536.0,16384.0
Frequencies backward kernels0,(undefined),218.74658484449864,364.52288461678205,363.7715122136354,232.23368633764295,263.9514324476975,503.4789714857013,(undefined),(undefined),218.74658484449864,364.52288461678205,286.84663871619074,232.23368633764295,263.9514324476975,503.4789714857013,(undefined),(undefined),218.74658484449864,364.52288461678205,286.84663871619074,232.23368633764295,263.9514324476975,503.4789714857013,(undefined),(undefined),127.96663287659288,222.75933872570835,(undefined),(undefined),127.96663287659288,222.75933872570835,(undefined),(undefined),319.7837114360654,511.6591552951528,468.80923438189876,313.1867040120344,312.9653025655517,349.9828590480969,742.979360203855,(undefined)
Frequencies backward kernels1,,218.74658484449864,365.0584789317333,363.7715122136354,232.23368633764295,263.9514324476975,503.4789714857013,,,218.74658484449864,365.0584789317333,286.84663871619074,232.23368633764295,263.9514324476975,503.4789714857013,,,218.74658484449864,365.0584789317333,286.84663871619074,232.23368633764295,263.9514324476975,503.4789714857013,,,140.414132317584,222.83688573186504,,,140.414132317584,222.83688573186504,,,319.7837114360654,512.3171260318907,468.80923438189876,313.1867040120344,312.9653025655517,349.9828590480969,742.979360203855,
Frequencies backward grid0,65536.0,494.94943095103616,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1500.0,(undefined),65536.0,494.94943095103616,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),65536.0,494.94943095103616,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),65536.0,303.29369179712205,727.1815092638062,(undefined),65536.0,303.29369179712205,727.1815092638062,(undefined),65536.0,926.3453367521058,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,65536.0,(undefined)
Frequencies backward grid1,65536.0,989.2061999638064,2372.6984303939844,3295.7371475272034,1221.0797008176821,1221.0797008176821,2372.6984303939844,,65536.0,989.2061999638064,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,65536.0,989.2061999638064,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,65536.0,606.1640304773304,1453.9394929925988,,65536.0,606.1640304773304,1453.9394929925988,,65536.0,1851.718229295396,3331.7159644487933,4627.836498461537,1714.625960512763,1714.625960512763,1714.625960512763,65536.0,
Frequencies backward fft,65536,40,40,40,200,500,1500,8192,65536,40,40,40,200,500,1500,8192,65536,40,40,40,200,500,1500,8192,65536,40,40,(undefined),65536,40,40,(undefined),65536,40,40,40,200,40,500,65536,16384
Channels out,65536,40,40,40,40,500,1500,8192,65536,40,40,40,40,500,1500,8192,65536,40,40,40,40,500,1500,8192,65536,40,40,128,65536,40,40,4096,65536,40,40,40,40,40,500,65536,16384
-- Visibility --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingest rate [M/s],3.7840146075355805,3.7840146075355805,21.39536022254387,3.7840146075355805,3.7840146075355805,3.7840146075355805,7.3548023819772945,7.3548023819772945,3.7840146075355805,3.7840146075355805,21.39536022254387,3.7840146075355805,3.7840146075355805,3.7840146075355805,7.3548023819772945,7.3548023819772945,3.7840146075355805,3.7840146075355805,21.39536022254387,3.7840146075355805,3.7840146075355805,3.7840146075355805,7.3548023819772945,7.3548023819772945,3.7938160484400822,3.7938160484400822,21.39536022254387,(undefined),3.7938160484400822,3.7938160484400822,21.39536022254387,(undefined),3.7853927920952684,3.7853927920952684,21.39536022254387,3.7853927920952684,3.7853927920952684,3.7853927920952684,3.7853927920952684,7.357481091267214,7.357481091267214
Averaged rate0 [M/s],2.6618401266580114,0.13386116617134589,0.5448931880464115,0.13386116617134589,0.0495959311749888,0.0495959311749888,0.18731078494038342,0.6467109054296575,2.6618401266580114,0.13386116617134589,0.5448931880464115,0.08925016019732182,0.0495959311749888,0.0495959311749888,0.18731078494038342,0.6467109054296575,2.6618401266580114,0.13386116617134589,0.5448931880464115,0.08925016019732182,0.0495959311749888,0.0495959311749888,0.18731078494038342,0.6467109054296575,2.668734885638781,0.08223978218363395,0.3338990389232775,(undefined),2.668734885638781,0.08223978218363395,0.3338990389232775,(undefined),2.6628096014997866,0.18803478183402303,0.7651327746831178,0.18803478183402303,0.0696673960973233,0.0696673960973233,0.0696673960973233,5.175571563825812,1.293892890956453
Averaged rate1 [M/s],0.7512691201040305,0.03778054118220412,0.1537888853032914,0.03778054118220412,0.013997794683993422,0.013997794683993422,0.05286598814814422,0.18252558747538986,0.7512691201040305,0.03778054118220412,0.1537888853032914,0.0251896756116489,0.013997794683993422,0.013997794683993422,0.05286598814814422,0.18252558747538986,0.7512691201040305,0.03778054118220412,0.1537888853032914,0.0251896756116489,0.013997794683993422,0.013997794683993422,0.05286598814814422,0.18252558747538986,0.7532150745063768,0.023211089268616966,0.09423858129692272,,0.7532150745063768,0.023211089268616966,0.09423858129692272,,0.7515427415375829,0.053070326682151364,0.21594859159353008,0.053070326682151364,0.01966269981499135,0.01966269981499135,0.01966269981499135,1.4607365242752666,0.36518413106881664
Predict rate0 [M/s],(undefined),0.01136657612690732,0.2725261618432718,0.03785146713198223,0.014029079284826666,0.014029079284826666,0.03444768924696,(undefined),(undefined),0.01136657612690732,0.2725261618432718,0.0252396156333138,0.014029079284826666,0.014029079284826666,0.03444768924696,(undefined),(undefined),0.01136657612690732,0.2725261618432718,0.0252396156333138,0.014029079284826666,0.014029079284826666,0.03444768924696,(undefined),(undefined),0.006965177897060348,0.1669981510483664,(undefined),(undefined),0.006965177897060348,0.1669981510483664,(undefined),(undefined),0.021273637530538035,0.38267807490900596,0.053150594198123215,0.019699466437482306,0.019699466437482306,0.019699466437482306,1.505042508325847,(undefined)
Predict rate1 [M/s],,0.006411641567204042,0.1537888853032914,0.03778054118220412,0.007914553474208089,0.007914553474208089,0.026432994074072107,,,0.006411641567204042,0.1537888853032914,0.0251896756116489,0.007914553474208089,0.007914553474208089,0.026432994074072107,,,0.006411641567204042,0.1537888853032914,0.0251896756116489,0.007914553474208089,0.007914553474208089,0.026432994074072107,,,0.003928914410862559,0.09423858129692272,,,0.003928914410862559,0.09423858129692272,,,0.01200210185716004,0.21594859159353008,0.053070326682151364,0.01111352423896355,0.01111352423896355,0.01111352423896355,0.7303682621376333,
Backward rate0 [M/s],(undefined),0.01136657612690732,0.2725261618432718,0.03785146713198223,0.014029079284826666,0.014029079284826666,0.03444768924696,(undefined),(undefined),0.01136657612690732,0.2725261618432718,0.0252396156333138,0.014029079284826666,0.014029079284826666,0.03444768924696,(undefined),(undefined),0.01136657612690732,0.2725261618432718,0.0252396156333138,0.014029079284826666,0.014029079284826666,0.03444768924696,(undefined),(undefined),0.006965177897060348,0.1669981510483664,(undefined),(undefined),0.006965177897060348,0.1669981510483664,(undefined),(undefined),0.021273637530538035,0.38267807490900596,0.053150594198123215,0.019699466437482306,0.019699466437482306,0.019699466437482306,1.505042508325847,(undefined)
Backward rate1 [M/s],,0.006411641567204042,0.1537888853032914,0.03778054118220412,0.007914553474208089,0.007914553474208089,0.026432994074072107,,,0.006411641567204042,0.1537888853032914,0.0251896756116489,0.007914553474208089,0.007914553474208089,0.026432994074072107,,,0.006411641567204042,0.1537888853032914,0.0251896756116489,0.007914553474208089,0.007914553474208089,0.026432994074072107,,,0.003928914410862559,0.09423858129692272,,,0.003928914410862559,0.09423858129692272,,,0.01200210185716004,0.21594859159353008,0.053070326682151364,0.01111352423896355,0.01111352423896355,0.01111352423896355,0.7303682621376333,
-- Kernel Sizes --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta W earth0 [lambda],0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.22656956841670498,0.22656956841670498,0.22656956841670498,(undefined),0.22656956841670498,0.22656956841670498,0.22656956841670498,(undefined),0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373
Delta W earth1 [lambda],0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.9062782736668199,0.9062782736668199,0.9062782736668199,,0.9062782736668199,0.9062782736668199,0.9062782736668199,,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493
Delta W snapshot0 [lambda],23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,62.234063581847245,62.234063581847245,0.10375653953011668,(undefined),62.234063581847245,62.234063581847245,0.10375653953011668,(undefined),25.930859825769687,25.930859825769687,0.04323189147088195,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687
Delta W snapshot1 [lambda],47.41642939569314,47.41642939569314,0.07905260154675557,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.07905260154675557,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.07905260154675557,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,124.46812716369449,124.46812716369449,0.20751307906023336,,124.46812716369449,124.46812716369449,0.20751307906023336,,51.861719651539374,51.861719651539374,0.0864637829417639,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374
Delta W max0 [lambda],23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,62.234063581847245,62.234063581847245,0.22656956841670498,(undefined),62.234063581847245,62.234063581847245,0.22656956841670498,(undefined),25.930859825769687,25.930859825769687,0.09440398684029373,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687
Delta W max1 [lambda],47.41642939569314,47.41642939569314,0.3452488661587885,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.3452488661587885,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.3452488661587885,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,124.46812716369449,124.46812716369449,0.9062782736668199,,124.46812716369449,124.46812716369449,0.9062782736668199,,51.861719651539374,51.861719651539374,0.37761594736117493,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374
Delta W stack [lambda],(undefined),11.723306674856833,0.3452426734747415,4.093528595019182,9.997031661012054,15.004583142584668,14.302775454974471,(undefined),(undefined),11.723306674856833,0.3452426734747415,5.697146782753602,9.997031661012054,15.004583142584668,14.302775454974471,(undefined),(undefined),11.723306674856833,0.3452426734747415,5.697146782753602,9.997031661012054,15.004583142584668,14.302775454974471,(undefined),(undefined),100.11530346503335,0.9062738016236467,(undefined),(undefined),100.11530346503335,0.9062738016236467,(undefined),(undefined),9.49052082098071,0.37761227632268674,4.171716840867529,10.110905559348003,10.078291241418402,15.23400591245877,19.519199588352826,(undefined)
