,hpso01 (Ingest) [Nf_max=16384] [Na=512],hpso01 (RCAL) [Nf_max=16384] [Na=512],hpso01 (FastImg) [Nf_max=16384] [Na=512],hpso01 (ICAL) [Nf_max=16384] [Na=512],hpso01 (DPrepA) [Nf_max=16384] [Na=512],hpso01 (DPrepB) [Nf_max=16384] [Na=512],hpso01 (DPrepC) [Nf_max=16384] [Na=512],hpso01 (DPrepD) [Nf_max=16384] [Na=512],hpso02a (Ingest) [Nf_max=16384] [Na=512],hpso02a (RCAL) [Nf_max=16384] [Na=512],hpso02a (FastImg) [Nf_max=16384] [Na=512],hpso02a (ICAL) [Nf_max=16384] [Na=512],hpso02a (DPrepA) [Nf_max=16384] [Na=512],hpso02a (DPrepB) [Nf_max=16384] [Na=512],hpso02a (DPrepC) [Nf_max=16384] [Na=512],hpso02a (DPrepD) [Nf_max=16384] [Na=512],hpso02b (Ingest) [Nf_max=16384] [Na=512],hpso02b (RCAL) [Nf_max=16384] [Na=512],hpso02b (FastImg) [Nf_max=16384] [Na=512],hpso02b (ICAL) [Nf_max=16384] [Na=512],hpso02b (DPrepA) [Nf_max=16384] [Na=512],hpso02b (DPrepB) [Nf_max=16384] [Na=512],hpso02b (DPrepC) [Nf_max=16384] [Na=512],hpso02b (DPrepD) [Nf_max=16384] [Na=512],hpso04a (Ingest) [Na=512],hpso04a (RCAL) [Na=512],hpso04a (FastImg) [Na=512],hpso04a (PSS) [Na=512],hpso05a (Ingest) [Nf_max=16384] [Na=512],hpso05a (RCAL) [Nf_max=16384] [Na=512],hpso05a (FastImg) [Nf_max=16384] [Na=512],hpso05a (PST) [Nf_max=16384] [Na=512],max_low (Ingest) [Nf_max=16384] [Na=512],max_low (RCAL) [Nf_max=16384] [Na=512],max_low (FastImg) [Nf_max=16384] [Na=512],max_low (ICAL) [Nf_max=16384] [Na=512],max_low (DPrepA) [Nf_max=16384] [Na=512],max_low (DPrepA_Image) [Nf_max=16384] [Na=512],max_low (DPrepB) [Nf_max=16384] [Na=512],max_low (DPrepC) [Nf_max=16384] [Na=512],max_low (DPrepD) [Nf_max=16384] [Na=512]
Coalesce time pred3 [s],,0.9,1.0,0.9,3.6,3.6,1.8,,,0.9,1.0,1.8,3.6,3.6,1.8,,,0.9,1.0,1.8,3.6,3.6,1.8,,,0.9,1.0,,,0.9,1.0,,,0.9,1.0,0.9,3.6,3.6,3.6,1.8,
Coalesce time pred4 [s],,0.9,0.9,0.9,1.8,1.8,0.9,,,0.9,0.9,0.9,1.8,1.8,0.9,,,0.9,0.9,0.9,1.8,1.8,0.9,,,0.9,0.9,,,0.9,0.9,,,0.9,0.9,0.9,1.8,1.8,1.8,0.9,
Coalesce time bw0 [s],(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,(undefined),(undefined),10.0,1.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,10.0,(undefined)
Coalesce time bw1 [s],,5.4,1.0,5.4,10.0,10.0,7.2,,,5.4,1.0,8.1,10.0,10.0,7.2,,,5.4,1.0,8.1,10.0,10.0,7.2,,,5.4,1.0,,,5.4,1.0,,,5.4,1.0,5.4,10.0,10.0,10.0,7.2,
Coalesce time bw2 [s],,2.7,1.0,2.7,7.2,7.2,3.6,,,2.7,1.0,3.6,7.2,7.2,3.6,,,2.7,1.0,3.6,7.2,7.2,3.6,,,2.7,1.0,,,2.7,1.0,,,2.7,1.0,2.7,7.2,7.2,7.2,3.6,
Coalesce time bw3 [s],,0.9,1.0,0.9,3.6,3.6,1.8,,,0.9,1.0,1.8,3.6,3.6,1.8,,,0.9,1.0,1.8,3.6,3.6,1.8,,,0.9,1.0,,,0.9,1.0,,,0.9,1.0,0.9,3.6,3.6,3.6,1.8,
Coalesce time bw4 [s],,0.9,0.9,0.9,1.8,1.8,0.9,,,0.9,0.9,0.9,1.8,1.8,0.9,,,0.9,0.9,0.9,1.8,1.8,0.9,,,0.9,0.9,,,0.9,0.9,,,0.9,0.9,0.9,1.8,1.8,1.8,0.9,
Combined samples full0,33.0,12.0,1.1111111111111112,12.0,33.0,33.0,17.0,17.0,33.0,12.0,1.1111111111111112,18.0,33.0,33.0,17.0,17.0,33.0,12.0,1.1111111111111112,18.0,33.0,33.0,17.0,17.0,33.0,12.0,1.1111111111111112,(undefined),33.0,12.0,1.1111111111111112,(undefined),33.0,12.0,1.1111111111111112,12.0,33.0,33.0,33.0,17.0,17.0
Combined samples full1,16.0,6.0,1.1111111111111112,6.0,16.0,16.0,8.0,8.0,16.0,6.0,1.1111111111111112,9.0,16.0,16.0,8.0,8.0,16.0,6.0,1.1111111111111112,9.0,16.0,16.0,8.0,8.0,16.0,6.0,1.1111111111111112,,16.0,6.0,1.1111111111111112,,16.0,6.0,1.1111111111111112,6.0,16.0,16.0,16.0,8.0,8.0
Combined samples full2,8.0,3.0,1.1111111111111112,3.0,8.0,8.0,4.0,4.0,8.0,3.0,1.1111111111111112,4.0,8.0,8.0,4.0,4.0,8.0,3.0,1.1111111111111112,4.0,8.0,8.0,4.0,4.0,8.0,3.0,1.1111111111111112,,8.0,3.0,1.1111111111111112,,8.0,3.0,1.1111111111111112,3.0,8.0,8.0,8.0,4.0,4.0
Combined samples full3,4.0,1.0,1.1111111111111112,1.0,4.0,4.0,2.0,2.0,4.0,1.0,1.1111111111111112,2.0,4.0,4.0,2.0,2.0,4.0,1.0,1.1111111111111112,2.0,4.0,4.0,2.0,2.0,4.0,1.0,1.1111111111111112,,4.0,1.0,1.1111111111111112,,4.0,1.0,1.1111111111111112,1.0,4.0,4.0,4.0,2.0,2.0
Combined samples full4,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,,2.0,1.0,1.0,,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0
Combined samples facet0,(undefined),12.0,1.1111111111111112,12.0,33.0,33.0,17.0,(undefined),(undefined),12.0,1.1111111111111112,18.0,33.0,33.0,17.0,(undefined),(undefined),12.0,1.1111111111111112,18.0,33.0,33.0,17.0,(undefined),(undefined),12.0,1.1111111111111112,(undefined),(undefined),12.0,1.1111111111111112,(undefined),(undefined),12.0,1.1111111111111112,12.0,33.0,33.0,33.0,17.0,(undefined)
Combined samples facet1,,6.0,1.1111111111111112,6.0,16.0,16.0,8.0,,,6.0,1.1111111111111112,9.0,16.0,16.0,8.0,,,6.0,1.1111111111111112,9.0,16.0,16.0,8.0,,,6.0,1.1111111111111112,,,6.0,1.1111111111111112,,,6.0,1.1111111111111112,6.0,16.0,16.0,16.0,8.0,
Combined samples facet2,,3.0,1.1111111111111112,3.0,8.0,8.0,4.0,,,3.0,1.1111111111111112,4.0,8.0,8.0,4.0,,,3.0,1.1111111111111112,4.0,8.0,8.0,4.0,,,3.0,1.1111111111111112,,,3.0,1.1111111111111112,,,3.0,1.1111111111111112,3.0,8.0,8.0,8.0,4.0,
Combined samples facet3,,1.0,1.1111111111111112,1.0,4.0,4.0,2.0,,,1.0,1.1111111111111112,2.0,4.0,4.0,2.0,,,1.0,1.1111111111111112,2.0,4.0,4.0,2.0,,,1.0,1.1111111111111112,,,1.0,1.1111111111111112,,,1.0,1.1111111111111112,1.0,4.0,4.0,4.0,2.0,
Combined samples facet4,,1.0,1.0,1.0,2.0,2.0,1.0,,,1.0,1.0,1.0,2.0,2.0,1.0,,,1.0,1.0,1.0,2.0,2.0,1.0,,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,1.0,2.0,2.0,2.0,1.0,
Kernel time pred0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,(undefined),10.0,10.0,10.0,(undefined),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred2 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred3 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred4 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,(undefined),10.0,10.0,10.0,(undefined),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward2 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward3 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward4 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Visibilities kernel pred0,(undefined),5.951511062956312,32.55476508226232,5.951511062935561,2.972253567405658,2.734907156963569,3.5088997536463578,(undefined),(undefined),5.951511062956312,32.55476508226232,4.661561144738243,2.972253567405658,2.734907156963569,3.5088997536463578,(undefined),(undefined),5.951511062956312,32.55476508226232,4.661561144738243,2.972253567405658,2.734907156963569,3.5088997536463578,(undefined),(undefined),6.428017639495071,32.64426593397331,(undefined),(undefined),6.428017639495071,32.64426593397331,(undefined),(undefined),6.260923142352207,32.567468020591605,6.260923142367706,3.029623261501146,3.002377053415733,2.8271986784618646,19.4805503999382,(undefined)
Visibilities kernel pred1,,22.037999590924642,64.99502025817469,22.037999590847804,5.941136555328424,5.46671288878227,7.708852720265325,,,22.037999590924642,64.99502025817469,11.506399069333874,5.941136555328424,5.46671288878227,7.708852720265325,,,22.037999590924642,64.99502025817469,11.506399069333874,5.941136555328424,5.46671288878227,7.708852720265325,,,23.80248066735306,65.24680525561551,,,23.80248066735306,65.24680525561551,,,23.18373111412241,65.03229589341818,23.183731114179807,6.0558121341576125,6.001350604359457,5.651192437115253,25.61147589854546,
Visibilities kernel pred2,,88.14272943823337,128.46894958994176,88.14272943792605,16.49847441018256,15.181004823479208,30.830907494531804,,,88.14272943823337,128.46894958994176,51.7706305157721,16.49847441018256,15.181004823479208,30.830907494531804,,,88.14272943823337,128.46894958994176,51.7706305157721,16.49847441018256,15.181004823479208,30.830907494531804,,,95.19993747950454,130.1123243148036,,,95.19993747950454,130.1123243148036,,,92.72517719866654,128.72715467010218,92.7251771988961,16.816929035953883,16.665689918637295,15.693304230400527,51.22295179709092,
Visibilities kernel pred3,,528.8285683904691,236.03072712920883,528.8285683886252,65.98453093592286,60.71540055818857,123.31462254741258,,,528.8285683904691,236.03072712920883,207.06619018303934,65.98453093592286,60.71540055818857,123.31462254741258,,,528.8285683904691,236.03072712920883,207.06619018303934,65.98453093592286,60.71540055818857,123.31462254741258,,,571.1696677358144,254.60091587588127,,,571.1696677358144,254.60091587588127,,,492.46629698355395,238.794756687367,492.46629698477307,67.25817211686102,66.65330147956846,62.76431057976882,102.44590359418184,
Visibilities kernel pred4,,657.341109078352,345.99481020845866,657.3411090760601,263.91938900479687,242.84436353816625,425.85047084253273,,,657.341109078352,345.99481020845866,772.1379776669338,263.91938900479687,242.84436353816625,425.85047084253273,,,657.341109078352,345.99481020845866,772.1379776669338,263.91938900479687,242.84436353816625,425.85047084253273,,,1142.3093775454338,488.1661807967462,,,1142.3093775454338,488.1661807967462,,,492.46629698355395,255.89900478156062,492.46629698477307,269.0135990591101,266.5942881860682,251.03942837147983,204.89180718836369,
Visibilities kernel bw0,(undefined),5.951511062956312,32.55476508226232,5.951511062935561,2.972253567405658,2.734907156963569,3.5088997536463578,(undefined),(undefined),5.951511062956312,32.55476508226232,4.661561144738243,2.972253567405658,2.734907156963569,3.5088997536463578,(undefined),(undefined),5.951511062956312,32.55476508226232,4.661561144738243,2.972253567405658,2.734907156963569,3.5088997536463578,(undefined),(undefined),6.428017639495071,32.64426593397331,(undefined),(undefined),6.428017639495071,32.64426593397331,(undefined),(undefined),6.260923142352207,32.567468020591605,6.260923142367706,3.029623261501146,3.002377053415733,2.8271986784618646,19.4805503999382,(undefined)
Visibilities kernel bw1,,22.037999590924642,64.99502025817469,22.037999590847804,5.941136555328424,5.46671288878227,7.708852720265325,,,22.037999590924642,64.99502025817469,11.506399069333874,5.941136555328424,5.46671288878227,7.708852720265325,,,22.037999590924642,64.99502025817469,11.506399069333874,5.941136555328424,5.46671288878227,7.708852720265325,,,23.80248066735306,65.24680525561551,,,23.80248066735306,65.24680525561551,,,23.18373111412241,65.03229589341818,23.183731114179807,6.0558121341576125,6.001350604359457,5.651192437115253,25.61147589854546,
Visibilities kernel bw2,,88.14272943823337,128.46894958994176,88.14272943792605,16.49847441018256,15.181004823479208,30.830907494531804,,,88.14272943823337,128.46894958994176,51.7706305157721,16.49847441018256,15.181004823479208,30.830907494531804,,,88.14272943823337,128.46894958994176,51.7706305157721,16.49847441018256,15.181004823479208,30.830907494531804,,,95.19993747950454,130.1123243148036,,,95.19993747950454,130.1123243148036,,,92.72517719866654,128.72715467010218,92.7251771988961,16.816929035953883,16.665689918637295,15.693304230400527,51.22295179709092,
Visibilities kernel bw3,,528.8285683904691,236.03072712920883,528.8285683886252,65.98453093592286,60.71540055818857,123.31462254741258,,,528.8285683904691,236.03072712920883,207.06619018303934,65.98453093592286,60.71540055818857,123.31462254741258,,,528.8285683904691,236.03072712920883,207.06619018303934,65.98453093592286,60.71540055818857,123.31462254741258,,,571.1696677358144,254.60091587588127,,,571.1696677358144,254.60091587588127,,,492.46629698355395,238.794756687367,492.46629698477307,67.25817211686102,66.65330147956846,62.76431057976882,102.44590359418184,
Visibilities kernel bw4,,657.341109078352,345.99481020845866,657.3411090760601,263.91938900479687,242.84436353816625,425.85047084253273,,,657.341109078352,345.99481020845866,772.1379776669338,263.91938900479687,242.84436353816625,425.85047084253273,,,657.341109078352,345.99481020845866,772.1379776669338,263.91938900479687,242.84436353816625,425.85047084253273,,,1142.3093775454338,488.1661807967462,,,1142.3093775454338,488.1661807967462,,,492.46629698355395,255.89900478156062,492.46629698477307,269.0135990591101,266.5942881860682,251.03942837147983,204.89180718836369,
Oversampling used pred0,(undefined),5.725968655398766,25.671297738388773,5.725968655379724,2.9266883317322225,2.6979803625295418,3.440662017430114,(undefined),(undefined),5.725968655398766,25.671297738388773,4.530049318151761,2.9266883317322225,2.6979803625295418,3.440662017430114,(undefined),(undefined),5.725968655398766,25.671297738388773,4.530049318151761,2.9266883317322225,2.6979803625295418,3.440662017430114,(undefined),(undefined),6.161631693999979,25.725283657850348,(undefined),(undefined),6.161631693999979,25.725283657850348,(undefined),(undefined),6.009231692621526,25.678964643980194,6.00923169263568,2.9818418322199776,2.955654359292197,2.787014440754561,16.908316150625453,(undefined)
Oversampling used pred1,,18.767276373270484,41.00404563732292,18.767276373215743,5.716446981878676,5.279356834054553,7.3166045348390085,,,18.767276373270484,41.00404563732292,10.607184089848708,5.716446981878676,5.279356834054553,7.3166045348390085,,,18.767276373270484,41.00404563732292,10.607184089848708,5.716446981878676,5.279356834054553,7.3166045348390085,,,20.00688602586328,41.09504865417958,,,20.00688602586328,41.09504865417958,,,19.576109017170253,41.01754099116667,19.576109017210406,5.821609290538731,5.771689466403693,5.449707394437361,21.242508558478214,
Oversampling used pred2,,48.028914741047004,55.53696204160445,48.028914740969704,14.644005928537716,13.609271477682007,24.616500014978946,,,48.028914741047004,55.53696204160445,35.679647563729276,14.644005928537716,13.609271477682007,24.616500014978946,,,48.028914741047004,55.53696204160445,35.679647563729276,14.644005928537716,13.609271477682007,24.616500014978946,,,49.708849713792674,55.753179318800974,,,49.708849713792674,55.753179318800974,,,49.140878889341295,55.57130546895441,49.14087888939502,14.890913351934763,14.773807516061439,14.014181943265967,35.43432696294049,
Oversampling used pred3,,63.984536888373974,62.44451571090015,63.984536888373526,41.35961777764023,39.40076654945756,54.82134767691079,,,63.984536888373974,62.44451571090015,61.54548102711146,41.35961777764023,39.40076654945756,54.82134767691079,,,63.984536888373974,62.44451571090015,61.54548102711146,41.35961777764023,39.40076654945756,54.82134767691079,,,63.99206205404883,62.838935826255636,,,63.99206205404883,62.838935826255636,,,63.972584643224046,62.51077177952567,63.97258464322457,41.8092090700801,41.59681584457498,40.18183998669646,51.250036311559555,
Oversampling used pred4,,63.99795663915205,63.72472004939453,63.99795663915198,62.99741031805273,62.602781662035504,63.92172775012416,,,63.99795663915205,63.72472004939453,63.999664879844595,62.99741031805273,62.602781662035504,63.92172775012416,,,63.99795663915205,63.72472004939453,63.999664879844595,62.99741031805273,62.602781662035504,63.92172775012416,,,63.99999901498874,63.97066377538476,,,63.99999901498874,63.97066377538476,,,63.972584643224046,62.86243022767664,63.97258464322457,63.07470169716511,63.03876747007861,62.77195367581884,61.45997540536641,
Oversampling used bw0,(undefined),5.725968655398766,25.671297738388773,5.725968655379724,2.9266883317322225,2.6979803625295418,3.440662017430114,(undefined),(undefined),5.725968655398766,25.671297738388773,4.530049318151761,2.9266883317322225,2.6979803625295418,3.440662017430114,(undefined),(undefined),5.725968655398766,25.671297738388773,4.530049318151761,2.9266883317322225,2.6979803625295418,3.440662017430114,(undefined),(undefined),6.161631693999979,25.725283657850348,(undefined),(undefined),6.161631693999979,25.725283657850348,(undefined),(undefined),6.009231692621526,25.678964643980194,6.00923169263568,2.9818418322199776,2.955654359292197,2.787014440754561,16.908316150625453,(undefined)
Oversampling used bw1,,18.767276373270484,41.00404563732292,18.767276373215743,5.716446981878676,5.279356834054553,7.3166045348390085,,,18.767276373270484,41.00404563732292,10.607184089848708,5.716446981878676,5.279356834054553,7.3166045348390085,,,18.767276373270484,41.00404563732292,10.607184089848708,5.716446981878676,5.279356834054553,7.3166045348390085,,,20.00688602586328,41.09504865417958,,,20.00688602586328,41.09504865417958,,,19.576109017170253,41.01754099116667,19.576109017210406,5.821609290538731,5.771689466403693,5.449707394437361,21.242508558478214,
Oversampling used bw2,,48.028914741047004,55.53696204160445,48.028914740969704,14.644005928537716,13.609271477682007,24.616500014978946,,,48.028914741047004,55.53696204160445,35.679647563729276,14.644005928537716,13.609271477682007,24.616500014978946,,,48.028914741047004,55.53696204160445,35.679647563729276,14.644005928537716,13.609271477682007,24.616500014978946,,,49.708849713792674,55.753179318800974,,,49.708849713792674,55.753179318800974,,,49.140878889341295,55.57130546895441,49.14087888939502,14.890913351934763,14.773807516061439,14.014181943265967,35.43432696294049,
Oversampling used bw3,,63.984536888373974,62.44451571090015,63.984536888373526,41.35961777764023,39.40076654945756,54.82134767691079,,,63.984536888373974,62.44451571090015,61.54548102711146,41.35961777764023,39.40076654945756,54.82134767691079,,,63.984536888373974,62.44451571090015,61.54548102711146,41.35961777764023,39.40076654945756,54.82134767691079,,,63.99206205404883,62.838935826255636,,,63.99206205404883,62.838935826255636,,,63.972584643224046,62.51077177952567,63.97258464322457,41.8092090700801,41.59681584457498,40.18183998669646,51.250036311559555,
Oversampling used bw4,,63.99795663915205,63.72472004939453,63.99795663915198,62.99741031805273,62.602781662035504,63.92172775012416,,,63.99795663915205,63.72472004939453,63.999664879844595,62.99741031805273,62.602781662035504,63.92172775012416,,,63.99795663915205,63.72472004939453,63.999664879844595,62.99741031805273,62.602781662035504,63.92172775012416,,,63.99999901498874,63.97066377538476,,,63.99999901498874,63.97066377538476,,,63.972584643224046,62.86243022767664,63.97258464322457,63.07470169716511,63.03876747007861,62.77195367581884,61.45997540536641,
-- Channelization --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Channels predict, no-smear0",(undefined),1648.215074483811,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1009.991056768289,727.1815092638062,(undefined),(undefined),1009.991056768289,727.1815092638062,(undefined),(undefined),2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,1666.3443177517802,(undefined)
"Channels predict, no-smear1",,3295.7371475272034,2372.6984303939844,3295.7371475272034,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,2019.558553451659,1453.9394929925988,,,2019.558553451659,1453.9394929925988,,,4627.836498461537,3331.7159644487933,4627.836498461537,1714.625960512763,1714.625960512763,1714.625960512763,3331.7159644487933,
"Channels predict, no-smear2",,6590.78122076136,4744.703814848597,6590.78122076136,2441.466451169051,2441.466451169051,4744.703814848597,,,6590.78122076136,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,,6590.78122076136,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,,4038.693502406632,2907.4553987723175,,,4038.693502406632,2907.4553987723175,,,9254.700144121867,6662.459115881312,9254.700144121867,3428.279241973887,3428.279241973887,3428.279241973887,6662.459115881312,
"Channels predict, no-smear3",,13180.869330776477,9488.714533153065,13180.869330776477,4882.239853545328,4882.239853545328,9488.714533153065,,,13180.869330776477,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,,,13180.869330776477,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,,,8076.963378093995,5814.487179478897,,,8076.963378093995,5814.487179478897,,,18508.427384292598,13323.945347729323,18508.427384292598,6855.585666930379,6855.585666930379,6855.585666930379,13323.945347729323,
"Channels predict, no-smear4",,26361.045532597625,18976.73594444234,26361.045532597625,9763.786609120725,9763.786609120725,18976.73594444234,,,26361.045532597625,18976.73594444234,17574.26139906265,9763.786609120725,9763.786609120725,18976.73594444234,,,26361.045532597625,18976.73594444234,17574.26139906265,9763.786609120725,9763.786609120725,18976.73594444234,,,16153.503118368213,11628.550725478857,,,16153.503118368213,11628.550725478857,,,37015.88183916187,26646.917775907757,37015.88183916187,13710.1984478155,13710.1984478155,13710.1984478155,26646.917775907757,
"Channels backward, no-smear0",(undefined),1648.215074483811,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1009.991056768289,727.1815092638062,(undefined),(undefined),1009.991056768289,727.1815092638062,(undefined),(undefined),2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,1666.3443177517802,(undefined)
"Channels backward, no-smear1",,3295.7371475272034,2372.6984303939844,3295.7371475272034,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,2019.558553451659,1453.9394929925988,,,2019.558553451659,1453.9394929925988,,,4627.836498461537,3331.7159644487933,4627.836498461537,1714.625960512763,1714.625960512763,1714.625960512763,3331.7159644487933,
"Channels backward, no-smear2",,6590.78122076136,4744.703814848597,6590.78122076136,2441.466451169051,2441.466451169051,4744.703814848597,,,6590.78122076136,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,,6590.78122076136,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,,4038.693502406632,2907.4553987723175,,,4038.693502406632,2907.4553987723175,,,9254.700144121867,6662.459115881312,9254.700144121867,3428.279241973887,3428.279241973887,3428.279241973887,6662.459115881312,
"Channels backward, no-smear3",,13180.869330776477,9488.714533153065,13180.869330776477,4882.239853545328,4882.239853545328,9488.714533153065,,,13180.869330776477,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,,,13180.869330776477,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,,,8076.963378093995,5814.487179478897,,,8076.963378093995,5814.487179478897,,,18508.427384292598,13323.945347729323,18508.427384292598,6855.585666930379,6855.585666930379,6855.585666930379,13323.945347729323,
"Channels backward, no-smear4",,26361.045532597625,18976.73594444234,26361.045532597625,9763.786609120725,9763.786609120725,18976.73594444234,,,26361.045532597625,18976.73594444234,17574.26139906265,9763.786609120725,9763.786609120725,18976.73594444234,,,26361.045532597625,18976.73594444234,17574.26139906265,9763.786609120725,9763.786609120725,18976.73594444234,,,16153.503118368213,11628.550725478857,,,16153.503118368213,11628.550725478857,,,37015.88183916187,26646.917775907757,37015.88183916187,13710.1984478155,13710.1984478155,13710.1984478155,26646.917775907757,
Frequencies predict ifft,16384.0,200.0,40.0,200.0,200,200.0,200.0,10240.0,16384.0,200.0,40.0,200.0,200,200.0,200.0,10240.0,16384.0,200.0,40.0,200.0,200,200.0,200.0,10240.0,16384.0,200.0,40.0,(undefined),16384.0,200.0,40.0,(undefined),16384.0,200.0,40.0,200.0,200,200.0,200.0,200.0,16384.0
