,hpso01 (Ingest) [Nf_max=8192] [Na=64],hpso01 (RCAL) [Nf_max=8192] [Na=64],hpso01 (FastImg) [Nf_max=8192] [Na=64],hpso01 (ICAL) [Nf_max=8192] [Na=64],hpso01 (DPrepA) [Nf_max=8192] [Na=64],hpso01 (DPrepB) [Nf_max=8192] [Na=64],hpso01 (DPrepC) [Nf_max=8192] [Na=64],hpso01 (DPrepD) [Nf_max=8192] [Na=64],hpso02a (Ingest) [Nf_max=8192] [Na=64],hpso02a (RCAL) [Nf_max=8192] [Na=64],hpso02a (FastImg) [Nf_max=8192] [Na=64],hpso02a (ICAL) [Nf_max=8192] [Na=64],hpso02a (DPrepA) [Nf_max=8192] [Na=64],hpso02a (DPrepB) [Nf_max=8192] [Na=64],hpso02a (DPrepC) [Nf_max=8192] [Na=64],hpso02a (DPrepD) [Nf_max=8192] [Na=64],hpso02b (Ingest) [Nf_max=8192] [Na=64],hpso02b (RCAL) [Nf_max=8192] [Na=64],hpso02b (FastImg) [Nf_max=8192] [Na=64],hpso02b (ICAL) [Nf_max=8192] [Na=64],hpso02b (DPrepA) [Nf_max=8192] [Na=64],hpso02b (DPrepB) [Nf_max=8192] [Na=64],hpso02b (DPrepC) [Nf_max=8192] [Na=64],hpso02b (DPrepD) [Nf_max=8192] [Na=64],hpso04a (Ingest) [Nf_max=8192] [Na=64],hpso04a (RCAL) [Nf_max=8192] [Na=64],hpso04a (FastImg) [Nf_max=8192] [Na=64],hpso04a (PSS) [Nf_max=8192] [Na=64],hpso05a (Ingest) [Nf_max=8192] [Na=64],hpso05a (RCAL) [Nf_max=8192] [Na=64],hpso05a (FastImg) [Nf_max=8192] [Na=64],hpso05a (PST) [Nf_max=8192] [Na=64],max_low (Ingest) [Nf_max=8192] [Na=64],max_low (RCAL) [Nf_max=8192] [Na=64],max_low (FastImg) [Nf_max=8192] [Na=64],max_low (ICAL) [Nf_max=8192] [Na=64],max_low (DPrepA) [Nf_max=8192] [Na=64],max_low (DPrepA_Image) [Nf_max=8192] [Na=64],max_low (DPrepB) [Nf_max=8192] [Na=64],max_low (DPrepC) [Nf_max=8192] [Na=64],max_low (DPrepD) [Nf_max=8192] [Na=64]
Coalesce time pred3 [s],,10.0,1.0,10.0,10.0,9.0,1.8,,,10.0,1.0,9.9,10.0,9.0,1.8,,,10.0,1.0,9.9,10.0,9.0,1.8,,,10.0,1.0,,,10.0,1.0,,,10.0,1.0,10.0,10.0,10.0,9.0,1.8,
Coalesce time pred4 [s],,6.3,0.9,5.4,6.3,4.5,0.9,,,6.3,0.9,4.5,6.3,4.5,0.9,,,6.3,0.9,4.5,6.3,4.5,0.9,,,5.4,0.9,,,5.4,0.9,,,6.3,0.9,5.4,6.3,6.3,4.5,0.9,
Coalesce time bw0 [s],(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,(undefined),(undefined),10.0,1.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,10.0,(undefined)
Coalesce time bw1 [s],,10.0,1.0,10.0,10.0,10.0,7.2,,,10.0,1.0,10.0,10.0,10.0,7.2,,,10.0,1.0,10.0,10.0,10.0,7.2,,,10.0,1.0,,,10.0,1.0,,,10.0,1.0,10.0,10.0,10.0,10.0,7.2,
Coalesce time bw2 [s],,10.0,1.0,10.0,10.0,10.0,3.6,,,10.0,1.0,10.0,10.0,10.0,3.6,,,10.0,1.0,10.0,10.0,10.0,3.6,,,10.0,1.0,,,10.0,1.0,,,10.0,1.0,10.0,10.0,10.0,10.0,3.6,
Coalesce time bw3 [s],,10.0,1.0,10.0,10.0,9.0,1.8,,,10.0,1.0,9.9,10.0,9.0,1.8,,,10.0,1.0,9.9,10.0,9.0,1.8,,,10.0,1.0,,,10.0,1.0,,,10.0,1.0,10.0,10.0,10.0,9.0,1.8,
Coalesce time bw4 [s],,6.3,0.9,5.4,6.3,4.5,0.9,,,6.3,0.9,4.5,6.3,4.5,0.9,,,6.3,0.9,4.5,6.3,4.5,0.9,,,5.4,0.9,,,5.4,0.9,,,6.3,0.9,5.4,6.3,6.3,4.5,0.9,
Combined samples full0,33.0,12.0,1.1111111111111112,12.0,33.0,33.0,17.0,17.0,33.0,12.0,1.1111111111111112,18.0,33.0,33.0,17.0,17.0,33.0,12.0,1.1111111111111112,18.0,33.0,33.0,17.0,17.0,33.0,12.0,1.1111111111111112,(undefined),33.0,12.0,1.1111111111111112,(undefined),33.0,12.0,1.1111111111111112,12.0,33.0,33.0,33.0,17.0,17.0
Combined samples full1,16.0,6.0,1.1111111111111112,6.0,16.0,16.0,8.0,8.0,16.0,6.0,1.1111111111111112,9.0,16.0,16.0,8.0,8.0,16.0,6.0,1.1111111111111112,9.0,16.0,16.0,8.0,8.0,16.0,6.0,1.1111111111111112,,16.0,6.0,1.1111111111111112,,16.0,6.0,1.1111111111111112,6.0,16.0,16.0,16.0,8.0,8.0
Combined samples full2,8.0,3.0,1.1111111111111112,3.0,8.0,8.0,4.0,4.0,8.0,3.0,1.1111111111111112,4.0,8.0,8.0,4.0,4.0,8.0,3.0,1.1111111111111112,4.0,8.0,8.0,4.0,4.0,8.0,3.0,1.1111111111111112,,8.0,3.0,1.1111111111111112,,8.0,3.0,1.1111111111111112,3.0,8.0,8.0,8.0,4.0,4.0
Combined samples full3,4.0,1.0,1.1111111111111112,1.0,4.0,4.0,2.0,2.0,4.0,1.0,1.1111111111111112,2.0,4.0,4.0,2.0,2.0,4.0,1.0,1.1111111111111112,2.0,4.0,4.0,2.0,2.0,4.0,1.0,1.1111111111111112,,4.0,1.0,1.1111111111111112,,4.0,1.0,1.1111111111111112,1.0,4.0,4.0,4.0,2.0,2.0
Combined samples full4,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,,2.0,1.0,1.0,,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0
Combined samples facet0,(undefined),115.0,1.1111111111111112,104.0,113.0,84.0,17.0,(undefined),(undefined),115.0,1.1111111111111112,94.0,113.0,84.0,17.0,(undefined),(undefined),115.0,1.1111111111111112,94.0,113.0,84.0,17.0,(undefined),(undefined),104.0,1.1111111111111112,(undefined),(undefined),104.0,1.1111111111111112,(undefined),(undefined),115.0,1.1111111111111112,104.0,113.0,113.0,84.0,17.0,(undefined)
Combined samples facet1,,57.0,1.1111111111111112,52.0,56.0,42.0,8.0,,,57.0,1.1111111111111112,47.0,56.0,42.0,8.0,,,57.0,1.1111111111111112,47.0,56.0,42.0,8.0,,,52.0,1.1111111111111112,,,52.0,1.1111111111111112,,,57.0,1.1111111111111112,52.0,56.0,56.0,42.0,8.0,
Combined samples facet2,,28.0,1.1111111111111112,26.0,28.0,21.0,4.0,,,28.0,1.1111111111111112,23.0,28.0,21.0,4.0,,,28.0,1.1111111111111112,23.0,28.0,21.0,4.0,,,26.0,1.1111111111111112,,,26.0,1.1111111111111112,,,28.0,1.1111111111111112,26.0,28.0,28.0,21.0,4.0,
Combined samples facet3,,14.0,1.1111111111111112,13.0,14.0,10.0,2.0,,,14.0,1.1111111111111112,11.0,14.0,10.0,2.0,,,14.0,1.1111111111111112,11.0,14.0,10.0,2.0,,,13.0,1.1111111111111112,,,13.0,1.1111111111111112,,,14.0,1.1111111111111112,13.0,14.0,14.0,10.0,2.0,
Combined samples facet4,,7.0,1.0,6.0,7.0,5.0,1.0,,,7.0,1.0,5.0,7.0,5.0,1.0,,,7.0,1.0,5.0,7.0,5.0,1.0,,,6.0,1.0,,,6.0,1.0,,,7.0,1.0,6.0,7.0,7.0,5.0,1.0,
Kernel time pred0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,(undefined),10.0,10.0,10.0,(undefined),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred2 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred3 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred4 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,(undefined),10.0,10.0,10.0,(undefined),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward2 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward3 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward4 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Visibilities kernel pred0,(undefined),0.9378083618152082,32.55476508226232,1.0233338911585295,0.9538467495464578,2.5119017415419984,2.397351305984066,(undefined),(undefined),0.9378083618152082,32.55476508226232,1.123887999481501,0.9538467495464578,2.5119017415419984,2.397351305984066,(undefined),(undefined),0.9378083618152082,32.55476508226232,1.123887999481501,0.9538467495464578,2.5119017415419984,2.397351305984066,(undefined),(undefined),1.05083711676933,32.64426593397331,(undefined),(undefined),1.05083711676933,32.64426593397331,(undefined),(undefined),0.9408992864762246,32.567468020591605,1.0276478670677662,0.9571422050729189,0.9571422050729189,1.8018978810409318,9.7402751999691,(undefined)
Visibilities kernel pred1,,1.7966232257457833,64.99502025817469,1.9371075159407198,1.8235313075134063,2.2919237258358853,3.981321922469022,,,1.7966232257457833,64.99502025817469,2.091902873376307,1.8235313075134063,2.2919237258358853,3.981321922469022,,,1.7966232257457833,64.99502025817469,2.091902873376307,1.8235313075134063,2.2919237258358853,3.981321922469022,,,2.0694168099287844,65.24680525561551,,,2.0694168099287844,65.24680525561551,,,1.8111472215019828,65.03229589341818,1.9570259423310246,1.83897877891184,1.83897877891184,2.278825779051935,9.191989258590029,
Visibilities kernel pred2,,3.2445622450365597,128.46894958994176,3.461480045560447,3.2783656211255185,3.686019680209894,15.922961866285231,,,3.2445622450365597,128.46894958994176,3.7518742654305424,3.2783656211255185,3.686019680209894,15.922961866285231,,,3.2445622450365597,128.46894958994176,3.7518742654305424,3.2783656211255185,3.686019680209894,15.922961866285231,,,3.985020801811123,130.1123243148036,,,3.985020801811123,130.1123243148036,,,3.3263260995654105,128.72715467010218,3.5935982158373414,3.375842815223426,3.3735075003863386,3.8081280539118456,11.529854368340283,
Visibilities kernel pred3,,6.329851738327188,203.77509618259774,6.919930079685581,6.415221415565707,7.578956658834593,54.98379190725985,,,6.329851738327188,203.77509618259774,7.576557934542848,6.415221415565707,7.578956658834593,54.98379190725985,,,6.329851738327188,203.77509618259774,7.576557934542848,6.415221415565707,7.578956658834593,54.98379190725985,,,7.264849131799506,254.60091587588127,,,7.264849131799506,254.60091587588127,,,6.6494509091403895,146.81887351904282,7.184051914183055,6.7484956730893995,6.743827250139635,8.093773108819642,15.738517944064347,
Visibilities kernel pred4,,20.08992731853949,150.5792453420527,25.623758305025877,20.36096601471528,30.310448691573292,109.9675838145197,,,20.08992731853949,150.5792453420527,33.330284338455606,20.36096601471528,30.310448691573292,109.9675838145197,,,20.08992731853949,150.5792453420527,33.330284338455606,20.36096601471528,30.310448691573292,109.9675838145197,,,25.049995323897168,343.8998909673917,,,25.049995323897168,343.8998909673917,,,21.10428532995186,111.83633923930914,26.601775227470185,21.41873116677858,21.403914280026683,32.36935127334721,31.477035888128693,
Visibilities kernel bw0,(undefined),0.9378083618152082,32.55476508226232,1.0233338911585295,0.9538467495464578,2.5119017415419984,2.397351305984066,(undefined),(undefined),0.9378083618152082,32.55476508226232,1.123887999481501,0.9538467495464578,2.5119017415419984,2.397351305984066,(undefined),(undefined),0.9378083618152082,32.55476508226232,1.123887999481501,0.9538467495464578,2.5119017415419984,2.397351305984066,(undefined),(undefined),1.05083711676933,32.64426593397331,(undefined),(undefined),1.05083711676933,32.64426593397331,(undefined),(undefined),0.9408992864762246,32.567468020591605,1.0276478670677662,0.9571422050729189,0.9571422050729189,1.8018978810409318,9.7402751999691,(undefined)
Visibilities kernel bw1,,1.7966232257457833,64.99502025817469,1.9371075159407198,1.8235313075134063,2.2919237258358853,3.981321922469022,,,1.7966232257457833,64.99502025817469,2.091902873376307,1.8235313075134063,2.2919237258358853,3.981321922469022,,,1.7966232257457833,64.99502025817469,2.091902873376307,1.8235313075134063,2.2919237258358853,3.981321922469022,,,2.0694168099287844,65.24680525561551,,,2.0694168099287844,65.24680525561551,,,1.8111472215019828,65.03229589341818,1.9570259423310246,1.83897877891184,1.83897877891184,2.278825779051935,9.191989258590029,
Visibilities kernel bw2,,3.2445622450365597,128.46894958994176,3.461480045560447,3.2783656211255185,3.686019680209894,15.922961866285231,,,3.2445622450365597,128.46894958994176,3.7518742654305424,3.2783656211255185,3.686019680209894,15.922961866285231,,,3.2445622450365597,128.46894958994176,3.7518742654305424,3.2783656211255185,3.686019680209894,15.922961866285231,,,3.985020801811123,130.1123243148036,,,3.985020801811123,130.1123243148036,,,3.3263260995654105,128.72715467010218,3.5935982158373414,3.375842815223426,3.3735075003863386,3.8081280539118456,11.529854368340283,
Visibilities kernel bw3,,6.329851738327188,203.77509618259774,6.919930079685581,6.415221415565707,7.578956658834593,54.98379190725985,,,6.329851738327188,203.77509618259774,7.576557934542848,6.415221415565707,7.578956658834593,54.98379190725985,,,6.329851738327188,203.77509618259774,7.576557934542848,6.415221415565707,7.578956658834593,54.98379190725985,,,7.264849131799506,254.60091587588127,,,7.264849131799506,254.60091587588127,,,6.6494509091403895,146.81887351904282,7.184051914183055,6.7484956730893995,6.743827250139635,8.093773108819642,15.738517944064347,
Visibilities kernel bw4,,20.08992731853949,150.5792453420527,25.623758305025877,20.36096601471528,30.310448691573292,109.9675838145197,,,20.08992731853949,150.5792453420527,33.330284338455606,20.36096601471528,30.310448691573292,109.9675838145197,,,20.08992731853949,150.5792453420527,33.330284338455606,20.36096601471528,30.310448691573292,109.9675838145197,,,25.049995323897168,343.8998909673917,,,25.049995323897168,343.8998909673917,,,21.10428532995186,111.83633923930914,26.601775227470185,21.41873116677858,21.403914280026683,32.36935127334721,31.477035888128693,
Oversampling used pred0,(undefined),0.9382665581010698,25.671297738388773,1.0231463851207607,0.954192569336044,2.482311086575173,2.3712341751788273,(undefined),(undefined),0.9382665581010698,25.671297738388773,1.1227952160369838,0.954192569336044,2.482311086575173,2.3712341751788273,(undefined),(undefined),0.9382665581010698,25.671297738388773,1.1227952160369838,0.954192569336044,2.482311086575173,2.3712341751788273,(undefined),(undefined),1.0504176819953415,25.725283657850348,(undefined),(undefined),1.0504176819953415,25.725283657850348,(undefined),(undefined),0.941336138439496,25.678964643980194,1.0274247633188978,0.9574644363783236,0.9574644363783236,1.7905975999528536,9.101295403625677,(undefined)
Oversampling used pred1,,1.7854298272809714,41.00404563732292,1.9229209915749337,1.81178816872454,2.268826256124001,3.889543915539349,,,1.7854298272809714,41.00404563732292,2.074066486491297,1.81178816872454,2.268826256124001,3.889543915539349,,,1.7854298272809714,41.00404563732292,2.074066486491297,1.81178816872454,2.268826256124001,3.889543915539349,,,2.052133481248788,41.09504865417958,,,2.052133481248788,41.09504865417958,,,1.7996584807274942,41.01754099116667,1.9423904304598452,1.826914997622616,1.826914997622616,2.2560915830968966,8.625214472342364,
Oversampling used pred2,,3.1880352100831004,55.53696204160445,3.395420473509006,3.220399700275827,3.6093477045008626,14.194640640576708,,,3.1880352100831004,55.53696204160445,3.6719464753005013,3.220399700275827,3.6093477045008626,14.194640640576708,,,3.1880352100831004,55.53696204160445,3.6719464753005013,3.220399700275827,3.6093477045008626,14.194640640576708,,,3.893045324100747,55.753179318800974,,,3.893045324100747,55.753179318800974,,,3.266289123192834,55.57130546895441,3.52138594468763,3.3136312296018247,3.3113993034192575,3.7253677174226993,10.626902815383332,
Oversampling used pred3,,6.072147221358378,61.414910507046415,6.607963643287519,6.149974960315909,7.200531490836511,37.077060278718186,,,6.072147221358378,61.414910507046415,7.19838579549414,6.149974960315909,7.200531490836511,37.077060278718186,,,6.072147221358378,61.414910507046415,7.19838579549414,6.149974960315909,7.200531490836511,37.077060278718186,,,6.9188667621709214,62.838935826255636,,,6.9188667621709214,62.838935826255636,,,6.362974973257359,57.66096179967834,6.846189162576039,6.4528066833843525,6.448575658713857,7.659172202996153,14.049761261780084,
Oversampling used pred4,,17.358078651692743,58.02545839694808,21.250778242813674,17.556741399206068,24.292371713868476,52.67430182444103,,,17.358078651692743,58.02545839694808,26.136565110524877,17.556741399206068,24.292371713868476,52.67430182444103,,,17.358078651692743,58.02545839694808,26.136565110524877,17.556741399206068,24.292371713868476,52.67430182444103,,,20.86275336630097,63.715486666732545,,,20.86275336630097,63.715486666732545,,,18.09723915316509,53.00275825380737,21.904163888108833,18.32398797345129,18.313328615143455,25.55921579378957,25.015213281169295,
Oversampling used bw0,(undefined),0.9382665581010698,25.671297738388773,1.0231463851207607,0.954192569336044,2.482311086575173,2.3712341751788273,(undefined),(undefined),0.9382665581010698,25.671297738388773,1.1227952160369838,0.954192569336044,2.482311086575173,2.3712341751788273,(undefined),(undefined),0.9382665581010698,25.671297738388773,1.1227952160369838,0.954192569336044,2.482311086575173,2.3712341751788273,(undefined),(undefined),1.0504176819953415,25.725283657850348,(undefined),(undefined),1.0504176819953415,25.725283657850348,(undefined),(undefined),0.941336138439496,25.678964643980194,1.0274247633188978,0.9574644363783236,0.9574644363783236,1.7905975999528536,9.101295403625677,(undefined)
Oversampling used bw1,,1.7854298272809714,41.00404563732292,1.9229209915749337,1.81178816872454,2.268826256124001,3.889543915539349,,,1.7854298272809714,41.00404563732292,2.074066486491297,1.81178816872454,2.268826256124001,3.889543915539349,,,1.7854298272809714,41.00404563732292,2.074066486491297,1.81178816872454,2.268826256124001,3.889543915539349,,,2.052133481248788,41.09504865417958,,,2.052133481248788,41.09504865417958,,,1.7996584807274942,41.01754099116667,1.9423904304598452,1.826914997622616,1.826914997622616,2.2560915830968966,8.625214472342364,
Oversampling used bw2,,3.1880352100831004,55.53696204160445,3.395420473509006,3.220399700275827,3.6093477045008626,14.194640640576708,,,3.1880352100831004,55.53696204160445,3.6719464753005013,3.220399700275827,3.6093477045008626,14.194640640576708,,,3.1880352100831004,55.53696204160445,3.6719464753005013,3.220399700275827,3.6093477045008626,14.194640640576708,,,3.893045324100747,55.753179318800974,,,3.893045324100747,55.753179318800974,,,3.266289123192834,55.57130546895441,3.52138594468763,3.3136312296018247,3.3113993034192575,3.7253677174226993,10.626902815383332,
Oversampling used bw3,,6.072147221358378,61.414910507046415,6.607963643287519,6.149974960315909,7.200531490836511,37.077060278718186,,,6.072147221358378,61.414910507046415,7.19838579549414,6.149974960315909,7.200531490836511,37.077060278718186,,,6.072147221358378,61.414910507046415,7.19838579549414,6.149974960315909,7.200531490836511,37.077060278718186,,,6.9188667621709214,62.838935826255636,,,6.9188667621709214,62.838935826255636,,,6.362974973257359,57.66096179967834,6.846189162576039,6.4528066833843525,6.448575658713857,7.659172202996153,14.049761261780084,
Oversampling used bw4,,17.358078651692743,58.02545839694808,21.250778242813674,17.556741399206068,24.292371713868476,52.67430182444103,,,17.358078651692743,58.02545839694808,26.136565110524877,17.556741399206068,24.292371713868476,52.67430182444103,,,17.358078651692743,58.02545839694808,26.136565110524877,17.556741399206068,24.292371713868476,52.67430182444103,,,20.86275336630097,63.715486666732545,,,20.86275336630097,63.715486666732545,,,18.09723915316509,53.00275825380737,21.904163888108833,18.32398797345129,18.313328615143455,25.55921579378957,25.015213281169295,
-- Channelization --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Channels predict, no-smear0",(undefined),180.42193493103704,1186.6956875807953,198.39498288443403,183.75027833146083,244.76982984711475,1186.6956875807953,(undefined),(undefined),180.42193493103704,1186.6956875807953,220.3620236804831,183.75027833146083,244.76982984711475,1186.6956875807953,(undefined),(undefined),180.42193493103704,1186.6956875807953,220.3620236804831,183.75027833146083,244.76982984711475,1186.6956875807953,(undefined),(undefined),121.57125287166222,727.1815092638062,(undefined),(undefined),121.57125287166222,727.1815092638062,(undefined),(undefined),253.34608837042035,1666.3443177517802,278.5836390858683,258.01971053861473,258.01971053861473,343.7026748873344,1666.3443177517802,(undefined)
"Channels predict, no-smear1",,360.1520532979532,2372.6984303939844,396.0980287317132,366.8087160120356,488.8474934882089,2372.6984303939844,,,360.1520532979532,2372.6984303939844,440.0319897527685,366.8087160120356,488.8474934882089,2372.6984303939844,,,360.1520532979532,2372.6984303939844,440.0319897527685,366.8087160120356,488.8474934882089,2372.6984303939844,,,242.71959454507825,1453.9394929925988,,,242.71959454507825,1453.9394929925988,,,505.72108874567516,3331.7159644487933,556.1960211322845,515.0682992841859,515.0682992841859,686.4337711722908,3331.7159644487933,
"Channels predict, no-smear2",,719.611626215311,4744.703814848597,791.5035165883376,732.92493954654,977.0023310935779,4744.703814848597,,,719.611626215311,4744.703814848597,879.3713781111805,732.92493954654,977.0023310935779,4744.703814848597,,,719.611626215311,4744.703814848597,879.3713781111805,732.92493954654,977.0023310935779,4744.703814848597,,,485.0159097761033,2907.4553987723175,,,485.0159097761033,2907.4553987723175,,,1010.4701580488418,6662.459115881312,1111.4199379380743,1029.1645621519401,1029.1645621519401,1371.8952766430345,6662.459115881312,
"Channels predict, no-smear3",,1438.530439024606,9488.714533153065,1582.3141894581538,1465.1570596251374,1953.3117608590187,9488.714533153065,,,1438.530439024606,9488.714533153065,1758.04988218571,1465.1570596251374,1953.3117608590187,9488.714533153065,,,1438.530439024606,9488.714533153065,1758.04988218571,1465.1570596251374,1953.3117608590187,9488.714533153065,,,969.6083556181683,5814.487179478897,,,969.6083556181683,5814.487179478897,,,2019.967829364343,13323.945347729323,2221.867346610081,2057.3566290643917,2057.3566290643917,2742.8179431826493,13323.945347729323,
"Channels predict, no-smear4",,2876.367897849623,18976.73594444234,3163.935383545188,2929.621136016344,3905.930497514414,18976.73594444234,,,2876.367897849623,18976.73594444234,3515.4067538246277,2929.621136016344,3905.930497514414,18976.73594444234,,,2876.367897849623,18976.73594444234,3515.4067538246277,2929.621136016344,3905.930497514414,18976.73594444234,,,1938.7931548514175,11628.550725478857,,,1938.7931548514175,11628.550725478857,,,4038.962937957228,26646.917775907757,4442.761951158458,4113.740533099671,4113.740533099671,5484.663103847904,26646.917775907757,
"Channels backward, no-smear0",(undefined),180.42193493103704,1186.6956875807953,198.39498288443403,183.75027833146083,244.76982984711475,1186.6956875807953,(undefined),(undefined),180.42193493103704,1186.6956875807953,220.3620236804831,183.75027833146083,244.76982984711475,1186.6956875807953,(undefined),(undefined),180.42193493103704,1186.6956875807953,220.3620236804831,183.75027833146083,244.76982984711475,1186.6956875807953,(undefined),(undefined),121.57125287166222,727.1815092638062,(undefined),(undefined),121.57125287166222,727.1815092638062,(undefined),(undefined),253.34608837042035,1666.3443177517802,278.5836390858683,258.01971053861473,258.01971053861473,343.7026748873344,1666.3443177517802,(undefined)
"Channels backward, no-smear1",,360.1520532979532,2372.6984303939844,396.0980287317132,366.8087160120356,488.8474934882089,2372.6984303939844,,,360.1520532979532,2372.6984303939844,440.0319897527685,366.8087160120356,488.8474934882089,2372.6984303939844,,,360.1520532979532,2372.6984303939844,440.0319897527685,366.8087160120356,488.8474934882089,2372.6984303939844,,,242.71959454507825,1453.9394929925988,,,242.71959454507825,1453.9394929925988,,,505.72108874567516,3331.7159644487933,556.1960211322845,515.0682992841859,515.0682992841859,686.4337711722908,3331.7159644487933,
"Channels backward, no-smear2",,719.611626215311,4744.703814848597,791.5035165883376,732.92493954654,977.0023310935779,4744.703814848597,,,719.611626215311,4744.703814848597,879.3713781111805,732.92493954654,977.0023310935779,4744.703814848597,,,719.611626215311,4744.703814848597,879.3713781111805,732.92493954654,977.0023310935779,4744.703814848597,,,485.0159097761033,2907.4553987723175,,,485.0159097761033,2907.4553987723175,,,1010.4701580488418,6662.459115881312,1111.4199379380743,1029.1645621519401,1029.1645621519401,1371.8952766430345,6662.459115881312,
"Channels backward, no-smear3",,1438.530439024606,9488.714533153065,1582.3141894581538,1465.1570596251374,1953.3117608590187,9488.714533153065,,,1438.530439024606,9488.714533153065,1758.04988218571,1465.1570596251374,1953.3117608590187,9488.714533153065,,,1438.530439024606,9488.714533153065,1758.04988218571,1465.1570596251374,1953.3117608590187,9488.714533153065,,,969.6083556181683,5814.487179478897,,,969.6083556181683,5814.487179478897,,,2019.967829364343,13323.945347729323,2221.867346610081,2057.3566290643917,2057.3566290643917,2742.8179431826493,13323.945347729323,
"Channels backward, no-smear4",,2876.367897849623,18976.73594444234,3163.935383545188,2929.621136016344,3905.930497514414,18976.73594444234,,,2876.367897849623,18976.73594444234,3515.4067538246277,2929.621136016344,3905.930497514414,18976.73594444234,,,2876.367897849623,18976.73594444234,3515.4067538246277,2929.621136016344,3905.930497514414,18976.73594444234,,,1938.7931548514175,11628.550725478857,,,1938.7931548514175,11628.550725478857,,,4038.962937957228,26646.917775907757,4442.761951158458,4113.740533099671,4113.740533099671,5484.663103847904,26646.917775907757,
