,hpso01 (Ingest) [Nf_max=8192] [Na=32] [Bmax=32500.0],hpso01 (RCAL) [Nf_max=8192] [Na=32] [Bmax=32500.0],hpso01 (FastImg) [Nf_max=8192] [Na=32] [Bmax=32500.0],hpso01 (ICAL) [Nf_max=8192] [Na=32] [Bmax=32500.0],hpso01 (DPrepA) [Nf_max=8192] [Na=32] [Bmax=32500.0],hpso01 (DPrepB) [Nf_max=8192] [Na=32] [Bmax=32500.0],hpso01 (DPrepC) [Nf_max=8192] [Na=32] [Bmax=32500.0],hpso01 (DPrepD) [Nf_max=8192] [Na=32] [Bmax=32500.0],hpso02a (Ingest) [Nf_max=8192] [Na=32] [Bmax=32500.0],hpso02a (RCAL) [Nf_max=8192] [Na=32] [Bmax=32500.0],hpso02a (FastImg) [Nf_max=8192] [Na=32] [Bmax=32500.0],hpso02a (ICAL) [Nf_max=8192] [Na=32] [Bmax=32500.0],hpso02a (DPrepA) [Nf_max=8192] [Na=32] [Bmax=32500.0],hpso02a (DPrepB) [Nf_max=8192] [Na=32] [Bmax=32500.0],hpso02a (DPrepC) [Nf_max=8192] [Na=32] [Bmax=32500.0],hpso02a (DPrepD) [Nf_max=8192] [Na=32] [Bmax=32500.0],hpso02b (Ingest) [Nf_max=8192] [Na=32] [Bmax=32500.0],hpso02b (RCAL) [Nf_max=8192] [Na=32] [Bmax=32500.0],hpso02b (FastImg) [Nf_max=8192] [Na=32] [Bmax=32500.0],hpso02b (ICAL) [Nf_max=8192] [Na=32] [Bmax=32500.0],hpso02b (DPrepA) [Nf_max=8192] [Na=32] [Bmax=32500.0],hpso02b (DPrepB) [Nf_max=8192] [Na=32] [Bmax=32500.0],hpso02b (DPrepC) [Nf_max=8192] [Na=32] [Bmax=32500.0],hpso02b (DPrepD) [Nf_max=8192] [Na=32] [Bmax=32500.0],hpso04a (Ingest) [Nf_max=8192] [Na=32] [Bmax=32500.0],hpso04a (RCAL) [Nf_max=8192] [Na=32] [Bmax=32500.0],hpso04a (FastImg) [Nf_max=8192] [Na=32] [Bmax=32500.0],hpso04a (PSS) [Nf_max=8192] [Na=32] [Bmax=32500.0],hpso05a (Ingest) [Nf_max=8192] [Na=32] [Bmax=32500.0],hpso05a (RCAL) [Nf_max=8192] [Na=32] [Bmax=32500.0],hpso05a (FastImg) [Nf_max=8192] [Na=32] [Bmax=32500.0],hpso05a (PST) [Nf_max=8192] [Na=32] [Bmax=32500.0],max_low (Ingest) [Nf_max=8192] [Na=32] [Bmax=32500.0],max_low (RCAL) [Nf_max=8192] [Na=32] [Bmax=32500.0],max_low (FastImg) [Nf_max=8192] [Na=32] [Bmax=32500.0],max_low (ICAL) [Nf_max=8192] [Na=32] [Bmax=32500.0],max_low (DPrepA) [Nf_max=8192] [Na=32] [Bmax=32500.0],max_low (DPrepA_Image) [Nf_max=8192] [Na=32] [Bmax=32500.0],max_low (DPrepB) [Nf_max=8192] [Na=32] [Bmax=32500.0],max_low (DPrepC) [Nf_max=8192] [Na=32] [Bmax=32500.0],max_low (DPrepD) [Nf_max=8192] [Na=32] [Bmax=32500.0]
Coalesce time full2 [s],7.067678920932487,2.8270715683729946,1.0,2.8270715683729946,7.067678920932487,7.067678920932487,3.6,3.6,7.067678920932487,2.8270715683729946,1.0,4.240607352559492,7.067678920932487,7.067678920932487,3.6,3.6,7.067678920932487,2.8270715683729946,1.0,4.240607352559492,7.067678920932487,7.067678920932487,3.6,3.6,7.049419354208371,2.8197677416833486,1.0,,7.049419354208371,2.8197677416833486,1.0,,7.065105722721194,2.8260422890884778,1.0,2.8260422890884778,7.065105722721194,7.065105722721194,7.065105722721194,3.6,3.6
Coalesce time full3 [s],2.8270715683729946,1.4135357841864973,1.0,1.4135357841864973,2.8270715683729946,2.8270715683729946,1.8,1.8,2.8270715683729946,1.4135357841864973,1.0,1.4135357841864973,2.8270715683729946,2.8270715683729946,1.8,1.8,2.8270715683729946,1.4135357841864973,1.0,1.4135357841864973,2.8270715683729946,2.8270715683729946,1.8,1.8,2.8197677416833486,1.4098838708416743,1.0,,2.8197677416833486,1.4098838708416743,1.0,,2.8260422890884778,1.4130211445442389,1.0,1.4130211445442389,2.8260422890884778,2.8260422890884778,2.8260422890884778,1.8,1.8
Coalesce time pred0 [s],(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,(undefined),(undefined),10.0,1.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,10.0,(undefined)
Coalesce time pred1 [s],,10.0,1.0,10.0,10.0,10.0,7.2,,,10.0,1.0,10.0,10.0,10.0,7.2,,,10.0,1.0,10.0,10.0,10.0,7.2,,,10.0,1.0,,,10.0,1.0,,,10.0,1.0,10.0,10.0,10.0,10.0,7.2,
Coalesce time pred2 [s],,10.0,1.0,10.0,10.0,7.067678920932487,3.6,,,10.0,1.0,10.0,10.0,7.067678920932487,3.6,,,10.0,1.0,10.0,10.0,7.067678920932487,3.6,,,10.0,1.0,,,10.0,1.0,,,10.0,1.0,10.0,10.0,10.0,7.065105722721194,3.6,
Coalesce time pred3 [s],,9.894750489305482,1.0,7.067678920932487,8.481214705118983,2.8270715683729946,1.8,,,9.894750489305482,1.0,7.067678920932487,8.481214705118983,2.8270715683729946,1.8,,,9.894750489305482,1.0,7.067678920932487,8.481214705118983,2.8270715683729946,1.8,,,9.86918709589172,1.0,,,9.86918709589172,1.0,,,9.891148011809673,1.0,7.065105722721194,8.478126867265434,8.478126867265434,2.8260422890884778,1.8,
Coalesce time bw0 [s],(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,(undefined),(undefined),10.0,1.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,10.0,(undefined)
Coalesce time bw1 [s],,10.0,1.0,10.0,10.0,10.0,7.2,,,10.0,1.0,10.0,10.0,10.0,7.2,,,10.0,1.0,10.0,10.0,10.0,7.2,,,10.0,1.0,,,10.0,1.0,,,10.0,1.0,10.0,10.0,10.0,10.0,7.2,
Coalesce time bw2 [s],,10.0,1.0,10.0,10.0,7.067678920932487,3.6,,,10.0,1.0,10.0,10.0,7.067678920932487,3.6,,,10.0,1.0,10.0,10.0,7.067678920932487,3.6,,,10.0,1.0,,,10.0,1.0,,,10.0,1.0,10.0,10.0,10.0,7.065105722721194,3.6,
Coalesce time bw3 [s],,9.894750489305482,1.0,7.067678920932487,8.481214705118983,2.8270715683729946,1.8,,,9.894750489305482,1.0,7.067678920932487,8.481214705118983,2.8270715683729946,1.8,,,9.894750489305482,1.0,7.067678920932487,8.481214705118983,2.8270715683729946,1.8,,,9.86918709589172,1.0,,,9.86918709589172,1.0,,,9.891148011809673,1.0,7.065105722721194,8.478126867265434,8.478126867265434,2.8260422890884778,1.8,
Combined samples full0,21.0,8.0,1.1111111111111112,8.0,21.0,21.0,17.0,17.0,21.0,8.0,1.1111111111111112,12.0,21.0,21.0,17.0,17.0,21.0,8.0,1.1111111111111112,12.0,21.0,21.0,17.0,17.0,21.0,8.0,1.1111111111111112,(undefined),21.0,8.0,1.1111111111111112,(undefined),21.0,8.0,1.1111111111111112,8.0,21.0,21.0,21.0,17.0,17.0
Combined samples full1,10.0,4.0,1.1111111111111112,4.0,10.0,10.0,8.0,8.0,10.0,4.0,1.1111111111111112,6.0,10.0,10.0,8.0,8.0,10.0,4.0,1.1111111111111112,6.0,10.0,10.0,8.0,8.0,10.0,4.0,1.1111111111111112,,10.0,4.0,1.1111111111111112,,10.0,4.0,1.1111111111111112,4.0,10.0,10.0,10.0,8.0,8.0
Combined samples full2,5.0,2.0,1.1111111111111112,2.0,5.0,5.0,4.0,4.0,5.0,2.0,1.1111111111111112,3.0,5.0,5.0,4.0,4.0,5.0,2.0,1.1111111111111112,3.0,5.0,5.0,4.0,4.0,5.0,2.0,1.1111111111111112,,5.0,2.0,1.1111111111111112,,5.0,2.0,1.1111111111111112,2.0,5.0,5.0,5.0,4.0,4.0
Combined samples full3,2.0,1.0,1.1111111111111112,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.1111111111111112,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.1111111111111112,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.1111111111111112,,2.0,1.0,1.1111111111111112,,2.0,1.0,1.1111111111111112,1.0,2.0,2.0,2.0,2.0,2.0
Combined samples facet0,(undefined),60.0,1.1111111111111112,40.0,54.0,21.0,17.0,(undefined),(undefined),60.0,1.1111111111111112,40.0,54.0,21.0,17.0,(undefined),(undefined),60.0,1.1111111111111112,40.0,54.0,21.0,17.0,(undefined),(undefined),60.0,1.1111111111111112,(undefined),(undefined),60.0,1.1111111111111112,(undefined),(undefined),59.0,1.1111111111111112,46.0,54.0,54.0,21.0,17.0,(undefined)
Combined samples facet1,,30.0,1.1111111111111112,20.0,27.0,10.0,8.0,,,30.0,1.1111111111111112,20.0,27.0,10.0,8.0,,,30.0,1.1111111111111112,20.0,27.0,10.0,8.0,,,30.0,1.1111111111111112,,,30.0,1.1111111111111112,,,29.0,1.1111111111111112,23.0,27.0,27.0,10.0,8.0,
Combined samples facet2,,15.0,1.1111111111111112,10.0,13.0,5.0,4.0,,,15.0,1.1111111111111112,10.0,13.0,5.0,4.0,,,15.0,1.1111111111111112,10.0,13.0,5.0,4.0,,,15.0,1.1111111111111112,,,15.0,1.1111111111111112,,,14.0,1.1111111111111112,11.0,13.0,13.0,5.0,4.0,
Combined samples facet3,,7.0,1.1111111111111112,5.0,6.0,2.0,2.0,,,7.0,1.1111111111111112,5.0,6.0,2.0,2.0,,,7.0,1.1111111111111112,5.0,6.0,2.0,2.0,,,7.0,1.1111111111111112,,,7.0,1.1111111111111112,,,7.0,1.1111111111111112,5.0,6.0,6.0,2.0,2.0,
Kernel time pred0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,(undefined),10.0,10.0,10.0,(undefined),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred2 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred3 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,(undefined),10.0,10.0,10.0,(undefined),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward2 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward3 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Visibilities kernel pred0,(undefined),1.123887999481501,32.55476508226232,1.5397922189429074,1.2296755237398123,1.895682854749788,2.397351305984066,(undefined),(undefined),1.123887999481501,32.55476508226232,1.5397922189429074,1.2296755237398123,1.895682854749788,2.397351305984066,(undefined),(undefined),1.123887999481501,32.55476508226232,1.5397922189429074,1.2296755237398123,1.895682854749788,2.397351305984066,(undefined),(undefined),1.1639053714691188,32.64426593397331,(undefined),(undefined),1.1639053714691188,32.64426593397331,(undefined),(undefined),1.1301201349685357,32.567468020591605,1.3958556612744255,1.2386342431751762,1.2386342431751762,1.9802125616307114,9.7402751999691,(undefined)
Visibilities kernel pred1,,2.091902873376307,64.99502025817469,2.574071769579728,2.2408023372820587,3.034038485816721,4.302145425688195,,,2.091902873376307,64.99502025817469,2.574071769579728,2.2408023372820587,3.034038485816721,4.302145425688195,,,2.091902873376307,64.99502025817469,2.574071769579728,2.2408023372820587,3.034038485816721,4.302145425688195,,,2.2812321782409986,65.24680525561551,,,2.2812321782409986,65.24680525561551,,,2.119715100521201,65.03229589341818,2.4811811804388206,2.278825779051935,2.278825779051935,3.319309987762492,9.191989258590029,
Visibilities kernel pred2,,3.756875707603371,128.46894958994176,4.95605511342951,4.070387380285709,8.583235391888316,17.206068459283095,,,3.756875707603371,128.46894958994176,4.956055113441276,4.070387380285709,8.583235391888316,17.206068459283095,,,3.756875707603371,128.46894958994176,4.956055113441276,4.070387380285709,8.583235391888316,17.206068459283095,,,4.339145700582337,130.1123243148036,,,4.339145700582337,130.1123243148036,,,3.914753009169074,128.72715467010218,4.767608885831525,4.259294536533703,4.2609550921048145,9.39368389679593,11.529854368340283,
Visibilities kernel pred3,,7.590682864541259,203.77512448583346,14.020877286882607,9.595191582587763,42.91008574229255,59.414504390067975,,,7.590682864541259,203.77512448583346,14.02087728691589,9.595191582587763,42.91008574229255,59.414504390067975,,,7.590682864541259,203.77512448583346,14.02087728691589,9.595191582587763,42.91008574229255,59.414504390067975,,,7.8083490160076785,254.6009197829895,,,7.8083490160076785,254.6009197829895,,,7.912552334308967,146.81889192760806,13.492078851471886,10.044163721736558,10.048079603083156,46.96175554639913,16.61284148452769,
Visibilities kernel bw0,(undefined),1.123887999481501,32.55476508226232,1.5397922189429074,1.2296755237398123,1.895682854749788,2.397351305984066,(undefined),(undefined),1.123887999481501,32.55476508226232,1.5397922189429074,1.2296755237398123,1.895682854749788,2.397351305984066,(undefined),(undefined),1.123887999481501,32.55476508226232,1.5397922189429074,1.2296755237398123,1.895682854749788,2.397351305984066,(undefined),(undefined),1.1639053714691188,32.64426593397331,(undefined),(undefined),1.1639053714691188,32.64426593397331,(undefined),(undefined),1.1301201349685357,32.567468020591605,1.3958556612744255,1.2386342431751762,1.2386342431751762,1.9802125616307114,9.7402751999691,(undefined)
Visibilities kernel bw1,,2.091902873376307,64.99502025817469,2.574071769579728,2.2408023372820587,3.034038485816721,4.302145425688195,,,2.091902873376307,64.99502025817469,2.574071769579728,2.2408023372820587,3.034038485816721,4.302145425688195,,,2.091902873376307,64.99502025817469,2.574071769579728,2.2408023372820587,3.034038485816721,4.302145425688195,,,2.2812321782409986,65.24680525561551,,,2.2812321782409986,65.24680525561551,,,2.119715100521201,65.03229589341818,2.4811811804388206,2.278825779051935,2.278825779051935,3.319309987762492,9.191989258590029,
Visibilities kernel bw2,,3.756875707603371,128.46894958994176,4.95605511342951,4.070387380285709,8.583235391888316,17.206068459283095,,,3.756875707603371,128.46894958994176,4.956055113441276,4.070387380285709,8.583235391888316,17.206068459283095,,,3.756875707603371,128.46894958994176,4.956055113441276,4.070387380285709,8.583235391888316,17.206068459283095,,,4.339145700582337,130.1123243148036,,,4.339145700582337,130.1123243148036,,,3.914753009169074,128.72715467010218,4.767608885831525,4.259294536533703,4.2609550921048145,9.39368389679593,11.529854368340283,
Visibilities kernel bw3,,7.590682864541259,203.77512448583346,14.020877286882607,9.595191582587763,42.91008574229255,59.414504390067975,,,7.590682864541259,203.77512448583346,14.02087728691589,9.595191582587763,42.91008574229255,59.414504390067975,,,7.590682864541259,203.77512448583346,14.02087728691589,9.595191582587763,42.91008574229255,59.414504390067975,,,7.8083490160076785,254.6009197829895,,,7.8083490160076785,254.6009197829895,,,7.912552334308967,146.81889192760806,13.492078851471886,10.044163721736558,10.048079603083156,46.96175554639913,16.61284148452769,
Oversampling used pred0,(undefined),1.1227952160369838,25.671297738388773,1.5332830662125545,1.2274601534343148,1.882410533234264,2.3712341751788273,(undefined),(undefined),1.1227952160369838,25.671297738388773,1.5332830662125545,1.2274601534343148,1.882410533234264,2.3712341751788273,(undefined),(undefined),1.1227952160369838,25.671297738388773,1.5332830662125545,1.2274601534343148,1.882410533234264,2.3712341751788273,(undefined),(undefined),1.1624084410490951,25.725283657850348,(undefined),(undefined),1.1624084410490951,25.725283657850348,(undefined),(undefined),1.1289660527069856,25.678964643980194,1.3915251376889586,1.2363157995122478,1.2363157995122478,1.9650467016994568,9.101295403625677,(undefined)
Oversampling used pred1,,2.074066486491297,41.00404563732292,2.5425120912267403,2.2191078429929476,2.9860844315478374,4.192482637013754,,,2.074066486491297,41.00404563732292,2.5425120912267403,2.2191078429929476,2.9860844315478374,4.192482637013754,,,2.074066486491297,41.00404563732292,2.5425120912267403,2.2191078429929476,2.9860844315478374,4.192482637013754,,,2.258431437373119,41.09504865417958,,,2.258431437373119,41.09504865417958,,,2.1011839131252685,41.01754099116667,2.452541728810573,2.2560915830968966,2.2560915830968966,3.259578149099056,8.625214472342364,
Oversampling used pred2,,3.676697996944796,55.53696204160445,4.805220239559404,3.9737978199264035,8.091790576962048,15.190948596264136,,,3.676697996944796,55.53696204160445,4.8052202395703745,3.9737978199264035,8.091790576962048,15.190948596264136,,,3.676697996944796,55.53696204160445,4.8052202395703745,3.9737978199264035,8.091790576962048,15.190948596264136,,,4.227321939538363,55.753179318800974,,,4.227321939538363,55.753179318800974,,,3.82649401477493,55.57130546895441,4.629285866121485,4.152109043208597,4.153674106251543,8.800825629939567,10.626902815383332,
Oversampling used pred3,,7.211019593532448,61.4149116592967,12.680166117853076,8.975717866496218,31.438854049446114,38.89160482999924,,,7.211019593532448,61.4149116592967,12.680166117879978,8.975717866496218,31.438854049446114,38.89160482999924,,,7.211019593532448,61.4149116592967,12.680166117879978,8.975717866496218,31.438854049446114,38.89160482999924,,,7.405352379782194,62.83893589769653,,,7.405352379782194,62.83893589769653,,,7.498149791467689,57.660963637394765,12.251005119159082,9.363398919685586,9.366768183808496,33.451591382992795,14.732820683398948,
Oversampling used bw0,(undefined),1.1227952160369838,25.671297738388773,1.5332830662125545,1.2274601534343148,1.882410533234264,2.3712341751788273,(undefined),(undefined),1.1227952160369838,25.671297738388773,1.5332830662125545,1.2274601534343148,1.882410533234264,2.3712341751788273,(undefined),(undefined),1.1227952160369838,25.671297738388773,1.5332830662125545,1.2274601534343148,1.882410533234264,2.3712341751788273,(undefined),(undefined),1.1624084410490951,25.725283657850348,(undefined),(undefined),1.1624084410490951,25.725283657850348,(undefined),(undefined),1.1289660527069856,25.678964643980194,1.3915251376889586,1.2363157995122478,1.2363157995122478,1.9650467016994568,9.101295403625677,(undefined)
Oversampling used bw1,,2.074066486491297,41.00404563732292,2.5425120912267403,2.2191078429929476,2.9860844315478374,4.192482637013754,,,2.074066486491297,41.00404563732292,2.5425120912267403,2.2191078429929476,2.9860844315478374,4.192482637013754,,,2.074066486491297,41.00404563732292,2.5425120912267403,2.2191078429929476,2.9860844315478374,4.192482637013754,,,2.258431437373119,41.09504865417958,,,2.258431437373119,41.09504865417958,,,2.1011839131252685,41.01754099116667,2.452541728810573,2.2560915830968966,2.2560915830968966,3.259578149099056,8.625214472342364,
Oversampling used bw2,,3.676697996944796,55.53696204160445,4.805220239559404,3.9737978199264035,8.091790576962048,15.190948596264136,,,3.676697996944796,55.53696204160445,4.8052202395703745,3.9737978199264035,8.091790576962048,15.190948596264136,,,3.676697996944796,55.53696204160445,4.8052202395703745,3.9737978199264035,8.091790576962048,15.190948596264136,,,4.227321939538363,55.753179318800974,,,4.227321939538363,55.753179318800974,,,3.82649401477493,55.57130546895441,4.629285866121485,4.152109043208597,4.153674106251543,8.800825629939567,10.626902815383332,
Oversampling used bw3,,7.211019593532448,61.4149116592967,12.680166117853076,8.975717866496218,31.438854049446114,38.89160482999924,,,7.211019593532448,61.4149116592967,12.680166117879978,8.975717866496218,31.438854049446114,38.89160482999924,,,7.211019593532448,61.4149116592967,12.680166117879978,8.975717866496218,31.438854049446114,38.89160482999924,,,7.405352379782194,62.83893589769653,,,7.405352379782194,62.83893589769653,,,7.498149791467689,57.660963637394765,12.251005119159082,9.363398919685586,9.366768183808496,33.451591382992795,14.732820683398948,
-- Channelization --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Channels predict, no-smear0",(undefined),220.3620236804831,1186.6956875807953,330.1970670581991,244.76982984711475,610.88622741501,1186.6956875807953,(undefined),(undefined),220.3620236804831,1186.6956875807953,330.1970670581991,244.76982984711475,610.88622741501,1186.6956875807953,(undefined),(undefined),220.3620236804831,1186.6956875807953,330.1970670581991,244.76982984711475,610.88622741501,1186.6956875807953,(undefined),(undefined),135.0322014892287,727.1815092638062,(undefined),(undefined),135.0322014892287,727.1815092638062,(undefined),(undefined),309.4295094091071,1666.3443177517802,397.5604709294264,343.7026748873344,343.7026748873344,857.7991819532908,1666.3443177517802,(undefined)
"Channels predict, no-smear1",,440.0319897527685,2372.6984303939844,659.7017142056897,488.8474934882089,1221.0797008176821,2372.6984303939844,,,440.0319897527685,2372.6984303939844,659.7017142056897,488.8474934882089,1221.0797008176821,2372.6984303939844,,,440.0319897527685,2372.6984303939844,659.7017142056897,488.8474934882089,1221.0797008176821,2372.6984303939844,,,269.64141827656647,1453.9394929925988,,,269.64141827656647,1453.9394929925988,,,617.8875925970663,3331.7159644487933,794.1491768611579,686.4337711722908,686.4337711722908,1714.625960512763,3331.7159644487933,
"Channels predict, no-smear2",,879.3713781111805,4744.703814848597,1318.7106453111485,977.0023310935779,2441.466451169051,4744.703814848597,,,879.3713781111805,4744.703814848597,1318.7106453111485,977.0023310935779,2441.466451169051,4744.703814848597,,,879.3713781111805,4744.703814848597,1318.7106453111485,977.0023310935779,2441.466451169051,4744.703814848597,,,538.8595203451565,2907.4553987723175,,,538.8595203451565,2907.4553987723175,,,1234.8029959489847,6662.459115881312,1587.3259945359346,1371.8952766430345,1371.8952766430345,3428.279241973887,6662.459115881312,
"Channels predict, no-smear3",,1758.04988218571,9488.714533153065,2636.728325593491,1953.3117608590187,4882.239853545328,9488.714533153065,,,1758.04988218571,9488.714533153065,2636.728325593491,1953.3117608590187,4882.239853545328,9488.714533153065,,,1758.04988218571,9488.714533153065,2636.728325593491,1953.3117608590187,4882.239853545328,9488.714533153065,,,1077.2955582735788,5814.487179478897,,,1077.2955582735788,5814.487179478897,,,2468.633420089928,13323.945347729323,3173.6793321543814,2742.8179431826493,2742.8179431826493,6855.585666930379,13323.945347729323,
"Channels backward, no-smear0",(undefined),220.3620236804831,1186.6956875807953,330.1970670581991,244.76982984711475,610.88622741501,1186.6956875807953,(undefined),(undefined),220.3620236804831,1186.6956875807953,330.1970670581991,244.76982984711475,610.88622741501,1186.6956875807953,(undefined),(undefined),220.3620236804831,1186.6956875807953,330.1970670581991,244.76982984711475,610.88622741501,1186.6956875807953,(undefined),(undefined),135.0322014892287,727.1815092638062,(undefined),(undefined),135.0322014892287,727.1815092638062,(undefined),(undefined),309.4295094091071,1666.3443177517802,397.5604709294264,343.7026748873344,343.7026748873344,857.7991819532908,1666.3443177517802,(undefined)
"Channels backward, no-smear1",,440.0319897527685,2372.6984303939844,659.7017142056897,488.8474934882089,1221.0797008176821,2372.6984303939844,,,440.0319897527685,2372.6984303939844,659.7017142056897,488.8474934882089,1221.0797008176821,2372.6984303939844,,,440.0319897527685,2372.6984303939844,659.7017142056897,488.8474934882089,1221.0797008176821,2372.6984303939844,,,269.64141827656647,1453.9394929925988,,,269.64141827656647,1453.9394929925988,,,617.8875925970663,3331.7159644487933,794.1491768611579,686.4337711722908,686.4337711722908,1714.625960512763,3331.7159644487933,
"Channels backward, no-smear2",,879.3713781111805,4744.703814848597,1318.7106453111485,977.0023310935779,2441.466451169051,4744.703814848597,,,879.3713781111805,4744.703814848597,1318.7106453111485,977.0023310935779,2441.466451169051,4744.703814848597,,,879.3713781111805,4744.703814848597,1318.7106453111485,977.0023310935779,2441.466451169051,4744.703814848597,,,538.8595203451565,2907.4553987723175,,,538.8595203451565,2907.4553987723175,,,1234.8029959489847,6662.459115881312,1587.3259945359346,1371.8952766430345,1371.8952766430345,3428.279241973887,6662.459115881312,
"Channels backward, no-smear3",,1758.04988218571,9488.714533153065,2636.728325593491,1953.3117608590187,4882.239853545328,9488.714533153065,,,1758.04988218571,9488.714533153065,2636.728325593491,1953.3117608590187,4882.239853545328,9488.714533153065,,,1758.04988218571,9488.714533153065,2636.728325593491,1953.3117608590187,4882.239853545328,9488.714533153065,,,1077.2955582735788,5814.487179478897,,,1077.2955582735788,5814.487179478897,,,2468.633420089928,13323.945347729323,3173.6793321543814,2742.8179431826493,2742.8179431826493,6855.585666930379,13323.945347729323,
Frequencies predict ifft,8192.0,200.0,40.0,200.0,200,200.0,200.0,8192.0,8192.0,200.0,40.0,200.0,200,200.0,200.0,8192.0,8192.0,200.0,40.0,200.0,200,200.0,200.0,8192.0,8192.0,200.0,40.0,(undefined),8192.0,200.0,40.0,(undefined),8192.0,200.0,40.0,200.0,200,200.0,200.0,200.0,8192.0
Frequencies predict kernels0,(undefined),196.07115992175898,364.52288461678205,214.44261309807425,199.05237204583554,322.2512805263733,625.6905261468467,(undefined),(undefined),196.07115992175898,364.52288461678205,214.44261309807425,199.05237204583554,322.2512805263733,625.6905261468467,(undefined),(undefined),196.07115992175898,364.52288461678205,214.44261309807425,199.05237204583554,322.2512805263733,625.6905261468467,(undefined),(undefined),116.01647762720326,222.75933872570835,(undefined),(undefined),116.01647762720326,222.75933872570835,(undefined),(undefined),273.80231520051814,511.6591552951528,284.8148859219807,277.48520338519785,277.48520338519785,433.18540573588245,841.0439984309672,(undefined)
Frequencies predict kernels1,,210.3501053290118,365.0584953999703,256.2872263322324,218.15734719428568,402.46018846691874,765.9932802320737,,,210.3501053290118,365.0584953999703,256.2872263322324,218.15734719428568,402.46018846691874,765.9932802320737,,,210.3501053290118,365.0584953999703,256.2872263322324,218.15734719428568,402.46018846691874,765.9932802320737,,,118.19990128513804,222.83688638800666,,,118.19990128513804,222.83688638800666,,,291.495584687366,512.317136997464,320.0689990404913,301.22257589075963,301.22257589075963,516.5609620174621,1237.7927625562772,
