,hpso01 (Ingest) [Nf_max=65536] [Na=128] [Bmax=8125.0],hpso01 (RCAL) [Nf_max=65536] [Na=128] [Bmax=8125.0],hpso01 (FastImg) [Nf_max=65536] [Na=128] [Bmax=8125.0],hpso01 (ICAL) [Nf_max=65536] [Na=128] [Bmax=8125.0],hpso01 (DPrepA) [Nf_max=65536] [Na=128] [Bmax=8125.0],hpso01 (DPrepB) [Nf_max=65536] [Na=128] [Bmax=8125.0],hpso01 (DPrepC) [Nf_max=65536] [Na=128] [Bmax=8125.0],hpso01 (DPrepD) [Nf_max=65536] [Na=128] [Bmax=8125.0],hpso02a (Ingest) [Nf_max=65536] [Na=128] [Bmax=8125.0],hpso02a (RCAL) [Nf_max=65536] [Na=128] [Bmax=8125.0],hpso02a (FastImg) [Nf_max=65536] [Na=128] [Bmax=8125.0],hpso02a (ICAL) [Nf_max=65536] [Na=128] [Bmax=8125.0],hpso02a (DPrepA) [Nf_max=65536] [Na=128] [Bmax=8125.0],hpso02a (DPrepB) [Nf_max=65536] [Na=128] [Bmax=8125.0],hpso02a (DPrepC) [Nf_max=65536] [Na=128] [Bmax=8125.0],hpso02a (DPrepD) [Nf_max=65536] [Na=128] [Bmax=8125.0],hpso02b (Ingest) [Nf_max=65536] [Na=128] [Bmax=8125.0],hpso02b (RCAL) [Nf_max=65536] [Na=128] [Bmax=8125.0],hpso02b (FastImg) [Nf_max=65536] [Na=128] [Bmax=8125.0],hpso02b (ICAL) [Nf_max=65536] [Na=128] [Bmax=8125.0],hpso02b (DPrepA) [Nf_max=65536] [Na=128] [Bmax=8125.0],hpso02b (DPrepB) [Nf_max=65536] [Na=128] [Bmax=8125.0],hpso02b (DPrepC) [Nf_max=65536] [Na=128] [Bmax=8125.0],hpso02b (DPrepD) [Nf_max=65536] [Na=128] [Bmax=8125.0],hpso04a (Ingest) [Na=128] [Bmax=8125.0],hpso04a (RCAL) [Na=128] [Bmax=8125.0],hpso04a (FastImg) [Na=128] [Bmax=8125.0],hpso04a (PSS) [Na=128] [Bmax=8125.0],hpso05a (Ingest) [Na=128] [Bmax=8125.0],hpso05a (RCAL) [Na=128] [Bmax=8125.0],hpso05a (FastImg) [Na=128] [Bmax=8125.0],hpso05a (PST) [Na=128] [Bmax=8125.0],max_low (Ingest) [Na=128] [Bmax=8125.0],max_low (RCAL) [Na=128] [Bmax=8125.0],max_low (FastImg) [Na=128] [Bmax=8125.0],max_low (ICAL) [Na=128] [Bmax=8125.0],max_low (DPrepA) [Na=128] [Bmax=8125.0],max_low (DPrepA_Image) [Na=128] [Bmax=8125.0],max_low (DPrepB) [Na=128] [Bmax=8125.0],max_low (DPrepC) [Na=128] [Bmax=8125.0],max_low (DPrepD) [Na=128] [Bmax=8125.0]
Max Baseline [km],8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125
Dump time [s],5.654143136745989,5.654143136745989,1.0,5.654143136745989,5.654143136745989,5.654143136745989,2.909032644435493,2.909032644435493,5.654143136745989,5.654143136745989,1.0,5.654143136745989,5.654143136745989,5.654143136745989,2.909032644435493,2.909032644435493,5.654143136745989,5.654143136745989,1.0,5.654143136745989,5.654143136745989,5.654143136745989,2.909032644435493,2.909032644435493,5.639535483366697,5.639535483366697,1.0,9.375,5.639535483366697,5.639535483366697,1.0,(undefined),5.6520845781769555,5.6520845781769555,1.0,5.6520845781769555,5.6520845781769555,5.6520845781769555,5.6520845781769555,2.9079735247894263,2.9079735247894263
Observation Time [s],18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0
Pointing Time [s],7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,720000.0,720000.0,720000.0,720000.0,720000.0,720000.0,720000.0,720000.0,72000.0,72000.0,72000.0,72000.0,72000.0,72000.0,72000.0,72000.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0
Total Time [s],18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,45900000.0,45900000.0,45900000.0,45900000.0,15480000.0,15480000.0,15480000.0,15480000.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0
Snapshot Time [s],600,600,1.0,600,600,600,600,600,600,600,1.0,600,600,600,600,600,600,600,1.0,600,600,600,600,600,600,600,1.0,600,600,600,1.0,600,600,600,1.0,600,600,600,600,600,600
Facets,(undefined),1.0,1.0,1.0,1.0,1.0,1.0,(undefined),(undefined),1.0,1.0,1.0,1.0,1.0,1.0,(undefined),(undefined),1.0,1.0,1.0,1.0,1.0,1.0,(undefined),(undefined),1.0,1.0,(undefined),(undefined),1.0,1.0,(undefined),(undefined),1.0,1.0,1.0,1.0,1.0,1.0,1.0,(undefined)
w-stacking planes,(undefined),33.33710690051657,1.0000179371917863,33.33710690024214,14.294539311791677,9.34446747888224,9.808644893357323,(undefined),(undefined),33.33710690051657,1.0000179371917863,24.38178066553922,14.294539311791677,9.34446747888224,9.808644893357323,(undefined),(undefined),33.33710690051657,1.0000179371917863,24.38178066553922,14.294539311791677,9.34446747888224,9.808644893357323,(undefined),(undefined),15.241617510139406,1.0000049606656645,(undefined),(undefined),15.241617510139406,1.0000049606656645,(undefined),(undefined),35.953169625507506,1.0000097217138277,35.95316962582622,15.495903401368176,15.442980048341903,10.113698393129884,7.545824504249018,(undefined)
w-stacking planes predict,(undefined),33.33710690051657,1.0000179371917863,33.33710690024214,14.294539311791677,9.34446747888224,9.808644893357323,(undefined),(undefined),33.33710690051657,1.0000179371917863,24.38178066553922,14.294539311791677,9.34446747888224,9.808644893357323,(undefined),(undefined),33.33710690051657,1.0000179371917863,24.38178066553922,14.294539311791677,9.34446747888224,9.808644893357323,(undefined),(undefined),15.241617510139406,1.0000049606656645,(undefined),(undefined),15.241617510139406,1.0000049606656645,(undefined),(undefined),35.953169625507506,1.0000097217138277,35.95316962582622,15.495903401368176,15.442980048341903,10.113698393129884,7.545824504249018,(undefined)
Stations/antennas,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128
Max Baseline [per bin]0 [km],4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625
Max Baseline [per bin]1 [km],8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125
Baseline fraction [per bin]0 [%],46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759
Baseline fraction [per bin]1 [%],13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736
-- Image --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facet FoV size [deg],(undefined),42.72857525988047,15.825398244400175,42.72857525988047,15.825398244400175,15.825398244400175,15.825398244400175,(undefined),(undefined),42.72857525988047,15.825398244400175,28.485716839920315,15.825398244400175,15.825398244400175,15.825398244400175,(undefined),(undefined),42.72857525988047,15.825398244400175,28.485716839920315,15.825398244400175,15.825398244400175,15.825398244400175,(undefined),(undefined),16.31971496748411,6.044338876845966,(undefined),(undefined),16.31971496748411,6.044338876845966,(undefined),(undefined),39.08035431440457,14.474205301631324,39.08035431440457,14.474205301631324,14.474205301631324,14.474205301631324,14.474205301631324,(undefined)
Total FoV size [deg],15.825398244400175,42.72857525988047,15.825398244400175,42.72857525988047,15.825398244400175,15.825398244400175,15.825398244400175,15.825398244400175,15.825398244400175,42.72857525988047,15.825398244400175,28.485716839920315,15.825398244400175,15.825398244400175,15.825398244400175,15.825398244400175,15.825398244400175,42.72857525988047,15.825398244400175,28.485716839920315,15.825398244400175,15.825398244400175,15.825398244400175,15.825398244400175,6.044338876845965,16.31971496748411,6.044338876845965,(undefined),6.044338876845965,16.31971496748411,6.044338876845965,(undefined),14.474205301631324,39.08035431440457,14.474205301631324,39.08035431440457,14.474205301631324,14.474205301631324,14.474205301631324,14.474205301631324,14.474205301631324
Output FoV size [deg],(undefined),(undefined),(undefined),(undefined),6.646667262648073,6.646667262648073,6.646667262648073,(undefined),(undefined),(undefined),(undefined),(undefined),6.646667262648073,6.646667262648073,6.646667262648073,(undefined),(undefined),(undefined),(undefined),(undefined),6.646667262648073,6.646667262648073,6.646667262648073,(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),6.079166226685156,6.079166226685156,6.079166226685156,6.079166226685156,(undefined)
PSF size [arcs],124.22749827705982,124.22749827705982,124.22749827705982,124.22749827705982,124.22749827705982,124.22749827705982,124.22749827705982,124.22749827705982,124.22749827705982,124.22749827705982,124.22749827705982,124.22749827705982,124.22749827705982,124.22749827705982,124.22749827705982,124.22749827705982,124.22749827705982,124.22749827705982,124.22749827705982,124.22749827705982,124.22749827705982,124.22749827705982,124.22749827705982,124.22749827705982,47.20249626645066,47.20249626645066,47.20249626645066,(undefined),47.20249626645066,47.20249626645066,47.20249626645066,(undefined),113.53807503583582,113.53807503583582,113.53807503583582,113.53807503583582,113.53807503583582,113.53807503583582,113.53807503583582,113.53807503583582,113.53807503583582
Pixel size [arcs],24.845499655411963,24.845499655411963,41.409166092353274,24.845499655411963,24.845499655411963,24.845499655411963,24.845499655411963,24.845499655411963,24.845499655411963,24.845499655411963,41.409166092353274,24.845499655411963,24.845499655411963,24.845499655411963,24.845499655411963,24.845499655411963,24.845499655411963,24.845499655411963,41.409166092353274,24.845499655411963,24.845499655411963,24.845499655411963,24.845499655411963,24.845499655411963,9.440499253290131,9.440499253290131,15.734165422150218,(undefined),9.440499253290131,9.440499253290131,15.734165422150218,(undefined),22.70761500716716,22.70761500716716,37.84602501194527,22.70761500716716,22.70761500716716,22.70761500716716,22.70761500716716,22.70761500716716,22.70761500716716
Facet side length [pixels],(undefined),6191.176392866918,1375.8169761926486,6191.176392866918,2293.028293654414,2293.028293654414,2293.028293654414,(undefined),(undefined),6191.176392866918,1375.8169761926486,4127.450928577945,2293.028293654414,2293.028293654414,2293.028293654414,(undefined),(undefined),6191.176392866918,1375.8169761926486,4127.450928577945,2293.028293654414,2293.028293654414,2293.028293654414,(undefined),(undefined),6223.290983521591,1382.953551893687,(undefined),(undefined),6223.290983521591,1382.953551893687,(undefined),(undefined),6195.687018978038,1376.8193375506748,6195.687018978038,2294.698895917792,2294.698895917792,2294.698895917792,2294.698895917792,(undefined)
Image side length [pixels],2293.028293654414,6191.176392866918,1375.8169761926483,6191.176392866918,2293.028293654414,2293.028293654414,2293.028293654414,2293.028293654414,2293.028293654414,6191.176392866918,1375.8169761926483,4127.450928577945,2293.028293654414,2293.028293654414,2293.028293654414,2293.028293654414,2293.028293654414,6191.176392866918,1375.8169761926483,4127.450928577945,2293.028293654414,2293.028293654414,2293.028293654414,2293.028293654414,2304.922586489478,6223.290983521591,1382.9535518936868,(undefined),2304.922586489478,6223.290983521591,1382.9535518936868,(undefined),2294.698895917792,6195.6870189780375,1376.819337550675,6195.6870189780375,2294.698895917792,2294.698895917792,2294.698895917792,2294.698895917792,2294.698895917792
Output image side length [pixels],(undefined),(undefined),(undefined),(undefined),963.0718833348539,963.0718833348539,963.0718833348539,(undefined),(undefined),(undefined),(undefined),(undefined),963.0718833348539,963.0718833348539,963.0718833348539,(undefined),(undefined),(undefined),(undefined),(undefined),963.0718833348539,963.0718833348539,963.0718833348539,(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),963.7735362854725,963.7735362854725,963.7735362854725,963.7735362854725,(undefined)
Grid side dimension [lambda],8301.898094537486,8301.898094537486,4981.138856722492,8301.898094537486,8301.898094537486,8301.898094537486,8301.898094537486,8301.898094537486,8301.898094537486,8301.898094537486,4981.138856722492,8301.898094537486,8301.898094537486,8301.898094537486,8301.898094537486,8301.898094537486,8301.898094537486,8301.898094537486,4981.138856722492,8301.898094537486,8301.898094537486,8301.898094537486,8301.898094537486,8301.898094537486,21848.929883153214,21848.929883153214,13109.357929891929,(undefined),21848.929883153214,21848.929883153214,13109.357929891929,(undefined),9083.508161556967,9083.508161556967,5450.104896934179,9083.508161556967,9083.508161556967,9083.508161556967,9083.508161556967,9083.508161556967,9083.508161556967
Baselines dimension [lambda],4981.138856722491,4981.138856722491,4981.138856722491,4981.138856722491,4981.138856722491,4981.138856722491,4981.138856722491,4981.138856722491,4981.138856722491,4981.138856722491,4981.138856722491,4981.138856722491,4981.138856722491,4981.138856722491,4981.138856722491,4981.138856722491,4981.138856722491,4981.138856722491,4981.138856722491,4981.138856722491,4981.138856722491,4981.138856722491,4981.138856722491,4981.138856722491,13109.357929891929,13109.357929891929,13109.357929891929,(undefined),13109.357929891929,13109.357929891929,13109.357929891929,(undefined),5450.10489693418,5450.10489693418,5450.10489693418,5450.10489693418,5450.10489693418,5450.10489693418,5450.10489693418,5450.10489693418,5450.10489693418
Epsilon (approx),0.6666666666666672,0.6666666666666672,0.342997170285018,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.342997170285018,0.342997170285018,0.6666666666666672,0.6666666666666672,0.342997170285018,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.342997170285018,0.342997170285018,0.6666666666666672,0.6666666666666672,0.342997170285018,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.342997170285018,0.342997170285018,0.6666666666666672,0.6666666666666672,0.342997170285018,(undefined),0.6666666666666672,0.6666666666666672,0.342997170285018,(undefined),0.6666666666666672,0.6666666666666672,0.342997170285018,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.342997170285018,0.342997170285018
Qbw,2.2049999999999983,2.2049999999999983,4.285749642711291,2.2049999999999983,2.2049999999999983,2.2049999999999983,4.285749642711291,4.285749642711291,2.2049999999999983,2.2049999999999983,4.285749642711291,2.2049999999999983,2.2049999999999983,2.2049999999999983,4.285749642711291,4.285749642711291,2.2049999999999983,2.2049999999999983,4.285749642711291,2.2049999999999983,2.2049999999999983,2.2049999999999983,4.285749642711291,4.285749642711291,2.2049999999999983,2.2049999999999983,4.285749642711291,(undefined),2.2049999999999983,2.2049999999999983,4.285749642711291,(undefined),2.2049999999999983,2.2049999999999983,4.285749642711291,2.2049999999999983,2.2049999999999983,2.2049999999999983,2.2049999999999983,4.285749642711291,4.285749642711291
Max subband ratio,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35
Number subbands,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
Station/antenna diameter,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
-- Time Coalescing --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ionospheric timescale [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Coalesce time full0 [s],28.270715683729946,11.308286273491978,1.0,11.308286273491978,28.270715683729946,28.270715683729946,14.545163222177464,14.545163222177464,28.270715683729946,11.308286273491978,1.0,16.962429410237966,28.270715683729946,28.270715683729946,14.545163222177464,14.545163222177464,28.270715683729946,11.308286273491978,1.0,16.962429410237966,28.270715683729946,28.270715683729946,14.545163222177464,14.545163222177464,28.197677416833486,11.279070966733395,1.0,(undefined),28.197677416833486,11.279070966733395,1.0,(undefined),28.260422890884776,11.304169156353911,1.0,11.304169156353911,28.260422890884776,28.260422890884776,28.260422890884776,14.539867623947131,14.539867623947131
Coalesce time full1 [s],11.308286273491978,5.654143136745989,1.0,5.654143136745989,11.308286273491978,11.308286273491978,5.818065288870986,5.818065288870986,11.308286273491978,5.654143136745989,1.0,5.654143136745989,11.308286273491978,11.308286273491978,5.818065288870986,5.818065288870986,11.308286273491978,5.654143136745989,1.0,5.654143136745989,11.308286273491978,11.308286273491978,5.818065288870986,5.818065288870986,11.279070966733395,5.639535483366697,1.0,,11.279070966733395,5.639535483366697,1.0,,11.304169156353911,5.6520845781769555,1.0,5.6520845781769555,11.304169156353911,11.304169156353911,11.304169156353911,5.815947049578853,5.815947049578853
Coalesce time pred0 [s],(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),5.639535483366697,1.0,(undefined),(undefined),5.639535483366697,1.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,10.0,(undefined)
Coalesce time pred1 [s],,5.654143136745989,1.0,5.654143136745989,10.0,10.0,5.818065288870986,,,5.654143136745989,1.0,5.654143136745989,10.0,10.0,5.818065288870986,,,5.654143136745989,1.0,5.654143136745989,10.0,10.0,5.818065288870986,,,5.639535483366697,1.0,,,5.639535483366697,1.0,,,5.6520845781769555,1.0,5.6520845781769555,10.0,10.0,10.0,5.815947049578853,
Coalesce time bw0 [s],(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),5.639535483366697,1.0,(undefined),(undefined),5.639535483366697,1.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,10.0,(undefined)
Coalesce time bw1 [s],,5.654143136745989,1.0,5.654143136745989,10.0,10.0,5.818065288870986,,,5.654143136745989,1.0,5.654143136745989,10.0,10.0,5.818065288870986,,,5.654143136745989,1.0,5.654143136745989,10.0,10.0,5.818065288870986,,,5.639535483366697,1.0,,,5.639535483366697,1.0,,,5.6520845781769555,1.0,5.6520845781769555,10.0,10.0,10.0,5.815947049578853,
Combined samples full0,5.0,2.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0,2.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0,2.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0,2.0,1.0,(undefined),5.0,2.0,1.0,(undefined),5.0,2.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0
Combined samples full1,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,,2.0,1.0,1.0,,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0
Combined samples facet0,(undefined),2.0,1.0,2.0,5.0,5.0,5.0,(undefined),(undefined),2.0,1.0,3.0,5.0,5.0,5.0,(undefined),(undefined),2.0,1.0,3.0,5.0,5.0,5.0,(undefined),(undefined),1.0,1.0,(undefined),(undefined),1.0,1.0,(undefined),(undefined),2.0,1.0,2.0,5.0,5.0,5.0,5.0,(undefined)
Combined samples facet1,,1.0,1.0,1.0,2.0,2.0,2.0,,,1.0,1.0,1.0,2.0,2.0,2.0,,,1.0,1.0,1.0,2.0,2.0,2.0,,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,
