,hpso01 (Ingest) [Nf_max=8192] [Na=128],hpso01 (RCAL) [Nf_max=8192] [Na=128],hpso01 (FastImg) [Nf_max=8192] [Na=128],hpso01 (ICAL) [Nf_max=8192] [Na=128],hpso01 (DPrepA) [Nf_max=8192] [Na=128],hpso01 (DPrepB) [Nf_max=8192] [Na=128],hpso01 (DPrepC) [Nf_max=8192] [Na=128],hpso01 (DPrepD) [Nf_max=8192] [Na=128],hpso02a (Ingest) [Nf_max=8192] [Na=128],hpso02a (RCAL) [Nf_max=8192] [Na=128],hpso02a (FastImg) [Nf_max=8192] [Na=128],hpso02a (ICAL) [Nf_max=8192] [Na=128],hpso02a (DPrepA) [Nf_max=8192] [Na=128],hpso02a (DPrepB) [Nf_max=8192] [Na=128],hpso02a (DPrepC) [Nf_max=8192] [Na=128],hpso02a (DPrepD) [Nf_max=8192] [Na=128],hpso02b (Ingest) [Nf_max=8192] [Na=128],hpso02b (RCAL) [Nf_max=8192] [Na=128],hpso02b (FastImg) [Nf_max=8192] [Na=128],hpso02b (ICAL) [Nf_max=8192] [Na=128],hpso02b (DPrepA) [Nf_max=8192] [Na=128],hpso02b (DPrepB) [Nf_max=8192] [Na=128],hpso02b (DPrepC) [Nf_max=8192] [Na=128],hpso02b (DPrepD) [Nf_max=8192] [Na=128],hpso04a (Ingest) [Nf_max=8192] [Na=128],hpso04a (RCAL) [Nf_max=8192] [Na=128],hpso04a (FastImg) [Nf_max=8192] [Na=128],hpso04a (PSS) [Nf_max=8192] [Na=128],hpso05a (Ingest) [Nf_max=8192] [Na=128],hpso05a (RCAL) [Nf_max=8192] [Na=128],hpso05a (FastImg) [Nf_max=8192] [Na=128],hpso05a (PST) [Nf_max=8192] [Na=128],max_low (Ingest) [Nf_max=8192] [Na=128],max_low (RCAL) [Nf_max=8192] [Na=128],max_low (FastImg) [Nf_max=8192] [Na=128],max_low (ICAL) [Nf_max=8192] [Na=128],max_low (DPrepA) [Nf_max=8192] [Na=128],max_low (DPrepA_Image) [Nf_max=8192] [Na=128],max_low (DPrepB) [Nf_max=8192] [Na=128],max_low (DPrepC) [Nf_max=8192] [Na=128],max_low (DPrepD) [Nf_max=8192] [Na=128]
Coalesce time pred3 [s],,9.0,1.0,9.0,3.6,9.0,1.8,,,9.0,1.0,9.9,3.6,9.0,1.8,,,9.0,1.0,9.9,3.6,9.0,1.8,,,8.1,1.0,,,8.1,1.0,,,9.0,1.0,9.0,3.6,3.6,3.6,1.8,
Coalesce time pred4 [s],,4.5,0.9,4.5,1.8,4.5,0.9,,,4.5,0.9,4.5,1.8,4.5,0.9,,,4.5,0.9,4.5,1.8,4.5,0.9,,,3.6,0.9,,,3.6,0.9,,,4.5,0.9,4.5,1.8,1.8,1.8,0.9,
Coalesce time bw0 [s],(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,(undefined),(undefined),10.0,1.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,10.0,(undefined)
Coalesce time bw1 [s],,10.0,1.0,10.0,10.0,10.0,7.2,,,10.0,1.0,10.0,10.0,10.0,7.2,,,10.0,1.0,10.0,10.0,10.0,7.2,,,10.0,1.0,,,10.0,1.0,,,10.0,1.0,10.0,10.0,10.0,10.0,7.2,
Coalesce time bw2 [s],,10.0,1.0,10.0,7.2,10.0,3.6,,,10.0,1.0,10.0,7.2,10.0,3.6,,,10.0,1.0,10.0,7.2,10.0,3.6,,,10.0,1.0,,,10.0,1.0,,,10.0,1.0,10.0,7.2,7.2,7.2,3.6,
Coalesce time bw3 [s],,9.0,1.0,9.0,3.6,9.0,1.8,,,9.0,1.0,9.9,3.6,9.0,1.8,,,9.0,1.0,9.9,3.6,9.0,1.8,,,8.1,1.0,,,8.1,1.0,,,9.0,1.0,9.0,3.6,3.6,3.6,1.8,
Coalesce time bw4 [s],,4.5,0.9,4.5,1.8,4.5,0.9,,,4.5,0.9,4.5,1.8,4.5,0.9,,,4.5,0.9,4.5,1.8,4.5,0.9,,,3.6,0.9,,,3.6,0.9,,,4.5,0.9,4.5,1.8,1.8,1.8,0.9,
Combined samples full0,33.0,12.0,1.1111111111111112,12.0,33.0,33.0,17.0,17.0,33.0,12.0,1.1111111111111112,18.0,33.0,33.0,17.0,17.0,33.0,12.0,1.1111111111111112,18.0,33.0,33.0,17.0,17.0,33.0,12.0,1.1111111111111112,(undefined),33.0,12.0,1.1111111111111112,(undefined),33.0,12.0,1.1111111111111112,12.0,33.0,33.0,33.0,17.0,17.0
Combined samples full1,16.0,6.0,1.1111111111111112,6.0,16.0,16.0,8.0,8.0,16.0,6.0,1.1111111111111112,9.0,16.0,16.0,8.0,8.0,16.0,6.0,1.1111111111111112,9.0,16.0,16.0,8.0,8.0,16.0,6.0,1.1111111111111112,,16.0,6.0,1.1111111111111112,,16.0,6.0,1.1111111111111112,6.0,16.0,16.0,16.0,8.0,8.0
Combined samples full2,8.0,3.0,1.1111111111111112,3.0,8.0,8.0,4.0,4.0,8.0,3.0,1.1111111111111112,4.0,8.0,8.0,4.0,4.0,8.0,3.0,1.1111111111111112,4.0,8.0,8.0,4.0,4.0,8.0,3.0,1.1111111111111112,,8.0,3.0,1.1111111111111112,,8.0,3.0,1.1111111111111112,3.0,8.0,8.0,8.0,4.0,4.0
Combined samples full3,4.0,1.0,1.1111111111111112,1.0,4.0,4.0,2.0,2.0,4.0,1.0,1.1111111111111112,2.0,4.0,4.0,2.0,2.0,4.0,1.0,1.1111111111111112,2.0,4.0,4.0,2.0,2.0,4.0,1.0,1.1111111111111112,,4.0,1.0,1.1111111111111112,,4.0,1.0,1.1111111111111112,1.0,4.0,4.0,4.0,2.0,2.0
Combined samples full4,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,,2.0,1.0,1.0,,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0
Combined samples facet0,(undefined),83.0,1.1111111111111112,83.0,33.0,84.0,17.0,(undefined),(undefined),83.0,1.1111111111111112,94.0,33.0,84.0,17.0,(undefined),(undefined),83.0,1.1111111111111112,94.0,33.0,84.0,17.0,(undefined),(undefined),73.0,1.1111111111111112,(undefined),(undefined),73.0,1.1111111111111112,(undefined),(undefined),83.0,1.1111111111111112,83.0,33.0,33.0,33.0,17.0,(undefined)
Combined samples facet1,,41.0,1.1111111111111112,41.0,16.0,42.0,8.0,,,41.0,1.1111111111111112,47.0,16.0,42.0,8.0,,,41.0,1.1111111111111112,47.0,16.0,42.0,8.0,,,36.0,1.1111111111111112,,,36.0,1.1111111111111112,,,41.0,1.1111111111111112,41.0,16.0,16.0,16.0,8.0,
Combined samples facet2,,20.0,1.1111111111111112,20.0,8.0,21.0,4.0,,,20.0,1.1111111111111112,23.0,8.0,21.0,4.0,,,20.0,1.1111111111111112,23.0,8.0,21.0,4.0,,,18.0,1.1111111111111112,,,18.0,1.1111111111111112,,,20.0,1.1111111111111112,20.0,8.0,8.0,8.0,4.0,
Combined samples facet3,,10.0,1.1111111111111112,10.0,4.0,10.0,2.0,,,10.0,1.1111111111111112,11.0,4.0,10.0,2.0,,,10.0,1.1111111111111112,11.0,4.0,10.0,2.0,,,9.0,1.1111111111111112,,,9.0,1.1111111111111112,,,10.0,1.1111111111111112,10.0,4.0,4.0,4.0,2.0,
Combined samples facet4,,5.0,1.0,5.0,2.0,5.0,1.0,,,5.0,1.0,5.0,2.0,5.0,1.0,,,5.0,1.0,5.0,2.0,5.0,1.0,,,4.0,1.0,,,4.0,1.0,,,5.0,1.0,5.0,2.0,2.0,2.0,1.0,
Kernel time pred0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,(undefined),10.0,10.0,10.0,(undefined),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred2 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred3 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred4 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,(undefined),10.0,10.0,10.0,(undefined),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward2 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward3 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward4 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Visibilities kernel pred0,(undefined),1.2424165560319664,32.55476508226232,1.2424165560319664,2.279926020082353,2.5119017415419984,2.414943138879221,(undefined),(undefined),1.2424165560319664,32.55476508226232,1.123887999481501,2.279926020082353,2.5119017415419984,2.414943138879221,(undefined),(undefined),1.2424165560319664,32.55476508226232,1.123887999481501,2.279926020082353,2.5119017415419984,2.414943138879221,(undefined),(undefined),1.4782321154595863,32.64426593397331,(undefined),(undefined),1.4782321154595863,32.64426593397331,(undefined),(undefined),1.251761901152716,32.567468020591605,1.251761901152716,2.385876896225651,2.3600248627685065,2.0054396294193877,9.7402751999691,(undefined)
Visibilities kernel pred1,,2.3175424091707844,64.99502025817469,2.317542409176849,4.557266570354837,2.2919237258358853,5.30549240287912,,,2.3175424091707844,64.99502025817469,2.104662533000753,4.557266570354837,2.2919237258358853,5.30549240287912,,,2.3175424091707844,64.99502025817469,2.104662533000753,4.557266570354837,2.2919237258358853,5.30549240287912,,,2.842609314858167,65.24680525561551,,,2.842609314858167,65.24680525561551,,,2.378752887218872,65.03229589341818,2.378752887541237,4.769049156168204,4.717374395186584,4.00860588723529,9.191989258590029,
Visibilities kernel pred2,,4.631841510405917,128.46894958994176,4.631841510418038,12.655481857919249,4.176639461805824,21.21887022904201,,,4.631841510405917,128.46894958994176,4.206012370018141,12.655481857919249,4.176639461805824,21.21887022904201,,,4.631841510405917,128.46894958994176,4.206012370018141,12.655481857919249,4.176639461805824,21.21887022904201,,,5.341043152216398,130.1123243148036,,,5.341043152216398,130.1123243148036,,,4.754178014353153,128.72715467010218,4.754178014997431,13.243601262972907,13.100100974468889,11.131857997791103,12.007010529543495,
Visibilities kernel pred3,,10.289376197512153,203.77509618259774,10.289376197539077,50.614742515071306,9.278129780783946,73.2711636803651,,,10.289376197512153,203.77509618259774,8.493647212132636,50.614742515071306,9.278129780783946,73.2711636803651,,,10.289376197512153,203.77509618259774,8.493647212132636,50.614742515071306,9.278129780783946,73.2711636803651,,,13.183729336965659,254.60091587588127,,,13.183729336965659,254.60091587588127,,,10.561141227077343,146.81887351904282,10.561141228508571,52.96688897763346,52.39296926361267,44.52111438391533,24.01402105908699,
Visibilities kernel pred4,,41.150293653798784,150.57924648959624,41.15029365390646,169.8548138237693,37.105935464928955,146.5423273607302,,,41.150293653798784,150.57924648959624,37.36468183793976,169.8548138237693,37.105935464928955,146.5423273607302,,,41.150293653798784,150.57924648959624,37.36468183793976,169.8548138237693,37.105935464928955,146.5423273607302,,,59.31770968104768,343.8998910708939,,,59.31770968104768,343.8998910708939,,,42.2371660034784,111.83634002349527,42.23716600920232,126.58429945608314,125.21270247642978,106.39994502361405,48.02804211817398,
Visibilities kernel bw0,(undefined),1.2424165560319664,32.55476508226232,1.2424165560319664,2.279926020082353,2.5119017415419984,2.414943138879221,(undefined),(undefined),1.2424165560319664,32.55476508226232,1.123887999481501,2.279926020082353,2.5119017415419984,2.414943138879221,(undefined),(undefined),1.2424165560319664,32.55476508226232,1.123887999481501,2.279926020082353,2.5119017415419984,2.414943138879221,(undefined),(undefined),1.4782321154595863,32.64426593397331,(undefined),(undefined),1.4782321154595863,32.64426593397331,(undefined),(undefined),1.251761901152716,32.567468020591605,1.251761901152716,2.385876896225651,2.3600248627685065,2.0054396294193877,9.7402751999691,(undefined)
Visibilities kernel bw1,,2.3175424091707844,64.99502025817469,2.317542409176849,4.557266570354837,2.2919237258358853,5.30549240287912,,,2.3175424091707844,64.99502025817469,2.104662533000753,4.557266570354837,2.2919237258358853,5.30549240287912,,,2.3175424091707844,64.99502025817469,2.104662533000753,4.557266570354837,2.2919237258358853,5.30549240287912,,,2.842609314858167,65.24680525561551,,,2.842609314858167,65.24680525561551,,,2.378752887218872,65.03229589341818,2.378752887541237,4.769049156168204,4.717374395186584,4.00860588723529,9.191989258590029,
Visibilities kernel bw2,,4.631841510405917,128.46894958994176,4.631841510418038,12.655481857919249,4.176639461805824,21.21887022904201,,,4.631841510405917,128.46894958994176,4.206012370018141,12.655481857919249,4.176639461805824,21.21887022904201,,,4.631841510405917,128.46894958994176,4.206012370018141,12.655481857919249,4.176639461805824,21.21887022904201,,,5.341043152216398,130.1123243148036,,,5.341043152216398,130.1123243148036,,,4.754178014353153,128.72715467010218,4.754178014997431,13.243601262972907,13.100100974468889,11.131857997791103,12.007010529543495,
Visibilities kernel bw3,,10.289376197512153,203.77509618259774,10.289376197539077,50.614742515071306,9.278129780783946,73.2711636803651,,,10.289376197512153,203.77509618259774,8.493647212132636,50.614742515071306,9.278129780783946,73.2711636803651,,,10.289376197512153,203.77509618259774,8.493647212132636,50.614742515071306,9.278129780783946,73.2711636803651,,,13.183729336965659,254.60091587588127,,,13.183729336965659,254.60091587588127,,,10.561141227077343,146.81887351904282,10.561141228508571,52.96688897763346,52.39296926361267,44.52111438391533,24.01402105908699,
Visibilities kernel bw4,,41.150293653798784,150.57924648959624,41.15029365390646,169.8548138237693,37.105935464928955,146.5423273607302,,,41.150293653798784,150.57924648959624,37.36468183793976,169.8548138237693,37.105935464928955,146.5423273607302,,,41.150293653798784,150.57924648959624,37.36468183793976,169.8548138237693,37.105935464928955,146.5423273607302,,,59.31770968104768,343.8998910708939,,,59.31770968104768,343.8998910708939,,,42.2371660034784,111.83634002349527,42.23716600920232,126.58429945608314,125.21270247642978,106.39994502361405,48.02804211817398,
Oversampling used pred0,(undefined),1.2400542203914142,25.671297738388773,1.2400542203914142,2.257161409819396,2.482311086575173,2.388305595462512,(undefined),(undefined),1.2400542203914142,25.671297738388773,1.1227952160369838,2.257161409819396,2.482311086575173,2.388305595462512,(undefined),(undefined),1.2400542203914142,25.671297738388773,1.1227952160369838,2.257161409819396,2.482311086575173,2.388305595462512,(undefined),(undefined),1.472694062992538,25.725283657850348,(undefined),(undefined),1.472694062992538,25.725283657850348,(undefined),(undefined),1.2492901623809871,25.678964643980194,1.2492901623809871,2.3600966598297575,2.3349962785690366,1.9896873549778604,9.101295403625677,(undefined)
Oversampling used pred1,,2.2937268087119307,41.00404563732292,2.293726808717828,4.432291556030286,2.268826256124001,5.130078175351379,,,2.2937268087119307,41.00404563732292,2.0865088609718256,4.432291556030286,2.268826256124001,5.130078175351379,,,2.2937268087119307,41.00404563732292,2.0865088609718256,4.432291556030286,2.268826256124001,5.130078175351379,,,2.8018685525152804,41.09504865417958,,,2.8018685525152804,41.09504865417958,,,2.3531808025619654,41.01754099116667,2.353180802874931,4.630632490939313,4.5822984757875815,3.9153664849578576,8.625214472342364,
Oversampling used pred2,,4.502208760701102,55.53696204160445,4.502208760712456,11.56469953762371,4.07415541903903,18.17999709012072,,,4.502208760701102,55.53696204160445,4.101869208868074,11.56469953762371,4.07415541903903,18.17999709012072,,,4.502208760701102,55.53696204160445,4.101869208868074,11.56469953762371,4.07415541903903,18.17999709012072,,,5.1630282119282,55.753179318800974,,,5.1630282119282,55.753179318800974,,,4.616726791321547,55.57130546895441,4.616726791924073,12.048108695617415,11.930570177944233,10.291320928868494,11.026467849855244,
Oversampling used pred3,,9.573981867381079,61.414910507046415,9.573981867404157,35.159401910884085,8.700283409181615,43.81413428825744,,,9.573981867381079,61.414910507046415,8.012855879597218,35.159401910884085,8.700283409181615,43.81413428825744,,,9.573981867381079,61.414910507046415,8.012855879597218,35.159401910884085,8.700283409181615,43.81413428825744,,,11.999100963792507,62.838935826255636,,,11.999100963792507,62.838935826255636,,,9.80641945376096,57.66096179967834,9.806419454982453,36.208183461352384,35.95585429895918,32.25457306497297,20.153201430274684,
Oversampling used pred4,,30.523839134536217,58.02545850491955,30.523839134592983,59.589672972936185,28.32230990874514,57.633294147929625,,,30.523839134536217,58.02545850491955,28.467394640871,59.589672972936185,28.32230990874514,57.633294147929625,,,30.523839134536217,58.02545850491955,28.467394640871,59.589672972936185,28.32230990874514,57.633294147929625,,,38.853301469645004,63.715486667196295,,,38.853301469645004,63.715486667196295,,,31.09195634725703,53.00275838961937,31.09195635022344,55.282013119296415,55.09165259529762,52.01975830046152,33.96028523728022,
Oversampling used bw0,(undefined),1.2400542203914142,25.671297738388773,1.2400542203914142,2.257161409819396,2.482311086575173,2.388305595462512,(undefined),(undefined),1.2400542203914142,25.671297738388773,1.1227952160369838,2.257161409819396,2.482311086575173,2.388305595462512,(undefined),(undefined),1.2400542203914142,25.671297738388773,1.1227952160369838,2.257161409819396,2.482311086575173,2.388305595462512,(undefined),(undefined),1.472694062992538,25.725283657850348,(undefined),(undefined),1.472694062992538,25.725283657850348,(undefined),(undefined),1.2492901623809871,25.678964643980194,1.2492901623809871,2.3600966598297575,2.3349962785690366,1.9896873549778604,9.101295403625677,(undefined)
Oversampling used bw1,,2.2937268087119307,41.00404563732292,2.293726808717828,4.432291556030286,2.268826256124001,5.130078175351379,,,2.2937268087119307,41.00404563732292,2.0865088609718256,4.432291556030286,2.268826256124001,5.130078175351379,,,2.2937268087119307,41.00404563732292,2.0865088609718256,4.432291556030286,2.268826256124001,5.130078175351379,,,2.8018685525152804,41.09504865417958,,,2.8018685525152804,41.09504865417958,,,2.3531808025619654,41.01754099116667,2.353180802874931,4.630632490939313,4.5822984757875815,3.9153664849578576,8.625214472342364,
Oversampling used bw2,,4.502208760701102,55.53696204160445,4.502208760712456,11.56469953762371,4.07415541903903,18.17999709012072,,,4.502208760701102,55.53696204160445,4.101869208868074,11.56469953762371,4.07415541903903,18.17999709012072,,,4.502208760701102,55.53696204160445,4.101869208868074,11.56469953762371,4.07415541903903,18.17999709012072,,,5.1630282119282,55.753179318800974,,,5.1630282119282,55.753179318800974,,,4.616726791321547,55.57130546895441,4.616726791924073,12.048108695617415,11.930570177944233,10.291320928868494,11.026467849855244,
Oversampling used bw3,,9.573981867381079,61.414910507046415,9.573981867404157,35.159401910884085,8.700283409181615,43.81413428825744,,,9.573981867381079,61.414910507046415,8.012855879597218,35.159401910884085,8.700283409181615,43.81413428825744,,,9.573981867381079,61.414910507046415,8.012855879597218,35.159401910884085,8.700283409181615,43.81413428825744,,,11.999100963792507,62.838935826255636,,,11.999100963792507,62.838935826255636,,,9.80641945376096,57.66096179967834,9.806419454982453,36.208183461352384,35.95585429895918,32.25457306497297,20.153201430274684,
Oversampling used bw4,,30.523839134536217,58.02545850491955,30.523839134592983,59.589672972936185,28.32230990874514,57.633294147929625,,,30.523839134536217,58.02545850491955,28.467394640871,59.589672972936185,28.32230990874514,57.633294147929625,,,30.523839134536217,58.02545850491955,28.467394640871,59.589672972936185,28.32230990874514,57.633294147929625,,,38.853301469645004,63.715486667196295,,,38.853301469645004,63.715486667196295,,,31.09195634725703,53.00275838961937,31.09195635022344,55.282013119296415,55.09165259529762,52.01975830046152,33.96028523728022,
-- Channelization --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Channels predict, no-smear0",(undefined),247.8208046142168,1186.6956875807953,247.8208046142168,610.88622741501,244.76982984711475,1186.6956875807953,(undefined),(undefined),247.8208046142168,1186.6956875807953,220.3620236804831,610.88622741501,244.76982984711475,1186.6956875807953,(undefined),(undefined),247.8208046142168,1186.6956875807953,220.3620236804831,610.88622741501,244.76982984711475,1186.6956875807953,(undefined),(undefined),173.49201273618584,727.1815092638062,(undefined),(undefined),173.49201273618584,727.1815092638062,(undefined),(undefined),347.98681916370214,1666.3443177517802,347.98681916370214,857.7991819532908,857.7991819532908,857.7991819532908,1666.3443177517802,(undefined)
"Channels predict, no-smear1",,494.94943095103616,2372.6984303939844,494.94943095103616,1221.0797008176821,488.8474934882089,2372.6984303939844,,,494.94943095103616,2372.6984303939844,440.0319897527685,1221.0797008176821,488.8474934882089,2372.6984303939844,,,494.94943095103616,2372.6984303939844,440.0319897527685,1221.0797008176821,488.8474934882089,2372.6984303939844,,,346.56089358407,1453.9394929925988,,,346.56089358407,1453.9394929925988,,,695.0020427868894,3331.7159644487933,695.0020427868894,1714.625960512763,1714.625960512763,1714.625960512763,3331.7159644487933,
"Channels predict, no-smear2",,989.2061999638064,4744.703814848597,989.2061999638064,2441.466451169051,977.0023310935779,4744.703814848597,,,989.2061999638064,4744.703814848597,879.3713781111805,2441.466451169051,977.0023310935779,4744.703814848597,,,989.2061999638064,4744.703814848597,879.3713781111805,2441.466451169051,977.0023310935779,4744.703814848597,,,692.6983971273273,2907.4553987723175,,,692.6983971273273,2907.4553987723175,,,1389.0318113753438,6662.459115881312,1389.0318113753438,3428.279241973887,3428.279241973887,3428.279241973887,6662.459115881312,
"Channels predict, no-smear3",,1977.719495566752,9488.714533153065,1977.719495566752,4882.239853545328,1953.3117608590187,9488.714533153065,,,1977.719495566752,9488.714533153065,1758.04988218571,4882.239853545328,1953.3117608590187,9488.714533153065,,,1977.719495566752,9488.714533153065,1758.04988218571,4882.239853545328,1953.3117608590187,9488.714533153065,,,1384.973274861189,5814.487179478897,,,1384.973274861189,5814.487179478897,,,2777.0910083918284,13323.945347729323,2777.0910083918284,6855.585666930379,6855.585666930379,6855.585666930379,13323.945347729323,
"Channels predict, no-smear4",,3954.7459654110153,18976.73594444234,3954.7459654110153,9763.786609120725,3905.930497514414,18976.73594444234,,,3954.7459654110153,18976.73594444234,3515.4067538246277,9763.786609120725,3905.930497514414,18976.73594444234,,,3954.7459654110153,18976.73594444234,3515.4067538246277,9763.786609120725,3905.930497514414,18976.73594444234,,,2769.5229655837834,11628.550725478857,,,2769.5229655837834,11628.550725478857,,,5553.209232136797,26646.917775907757,5553.209232136797,13710.1984478155,13710.1984478155,13710.1984478155,26646.917775907757,
"Channels backward, no-smear0",(undefined),247.8208046142168,1186.6956875807953,247.8208046142168,610.88622741501,244.76982984711475,1186.6956875807953,(undefined),(undefined),247.8208046142168,1186.6956875807953,220.3620236804831,610.88622741501,244.76982984711475,1186.6956875807953,(undefined),(undefined),247.8208046142168,1186.6956875807953,220.3620236804831,610.88622741501,244.76982984711475,1186.6956875807953,(undefined),(undefined),173.49201273618584,727.1815092638062,(undefined),(undefined),173.49201273618584,727.1815092638062,(undefined),(undefined),347.98681916370214,1666.3443177517802,347.98681916370214,857.7991819532908,857.7991819532908,857.7991819532908,1666.3443177517802,(undefined)
"Channels backward, no-smear1",,494.94943095103616,2372.6984303939844,494.94943095103616,1221.0797008176821,488.8474934882089,2372.6984303939844,,,494.94943095103616,2372.6984303939844,440.0319897527685,1221.0797008176821,488.8474934882089,2372.6984303939844,,,494.94943095103616,2372.6984303939844,440.0319897527685,1221.0797008176821,488.8474934882089,2372.6984303939844,,,346.56089358407,1453.9394929925988,,,346.56089358407,1453.9394929925988,,,695.0020427868894,3331.7159644487933,695.0020427868894,1714.625960512763,1714.625960512763,1714.625960512763,3331.7159644487933,
"Channels backward, no-smear2",,989.2061999638064,4744.703814848597,989.2061999638064,2441.466451169051,977.0023310935779,4744.703814848597,,,989.2061999638064,4744.703814848597,879.3713781111805,2441.466451169051,977.0023310935779,4744.703814848597,,,989.2061999638064,4744.703814848597,879.3713781111805,2441.466451169051,977.0023310935779,4744.703814848597,,,692.6983971273273,2907.4553987723175,,,692.6983971273273,2907.4553987723175,,,1389.0318113753438,6662.459115881312,1389.0318113753438,3428.279241973887,3428.279241973887,3428.279241973887,6662.459115881312,
"Channels backward, no-smear3",,1977.719495566752,9488.714533153065,1977.719495566752,4882.239853545328,1953.3117608590187,9488.714533153065,,,1977.719495566752,9488.714533153065,1758.04988218571,4882.239853545328,1953.3117608590187,9488.714533153065,,,1977.719495566752,9488.714533153065,1758.04988218571,4882.239853545328,1953.3117608590187,9488.714533153065,,,1384.973274861189,5814.487179478897,,,1384.973274861189,5814.487179478897,,,2777.0910083918284,13323.945347729323,2777.0910083918284,6855.585666930379,6855.585666930379,6855.585666930379,13323.945347729323,
"Channels backward, no-smear4",,3954.7459654110153,18976.73594444234,3954.7459654110153,9763.786609120725,3905.930497514414,18976.73594444234,,,3954.7459654110153,18976.73594444234,3515.4067538246277,9763.786609120725,3905.930497514414,18976.73594444234,,,3954.7459654110153,18976.73594444234,3515.4067538246277,9763.786609120725,3905.930497514414,18976.73594444234,,,2769.5229655837834,11628.550725478857,,,2769.5229655837834,11628.550725478857,,,5553.209232136797,26646.917775907757,5553.209232136797,13710.1984478155,13710.1984478155,13710.1984478155,26646.917775907757,
