,hpso01 (Ingest) [Na=512] [Bmax=16250.0],hpso01 (RCAL) [Na=512] [Bmax=16250.0],hpso01 (FastImg) [Na=512] [Bmax=16250.0],hpso01 (ICAL) [Na=512] [Bmax=16250.0],hpso01 (DPrepA) [Na=512] [Bmax=16250.0],hpso01 (DPrepB) [Na=512] [Bmax=16250.0],hpso01 (DPrepC) [Na=512] [Bmax=16250.0],hpso01 (DPrepD) [Na=512] [Bmax=16250.0],hpso02a (Ingest) [Na=512] [Bmax=16250.0],hpso02a (RCAL) [Na=512] [Bmax=16250.0],hpso02a (FastImg) [Na=512] [Bmax=16250.0],hpso02a (ICAL) [Na=512] [Bmax=16250.0],hpso02a (DPrepA) [Na=512] [Bmax=16250.0],hpso02a (DPrepB) [Na=512] [Bmax=16250.0],hpso02a (DPrepC) [Na=512] [Bmax=16250.0],hpso02a (DPrepD) [Na=512] [Bmax=16250.0],hpso02b (Ingest) [Na=512] [Bmax=16250.0],hpso02b (RCAL) [Na=512] [Bmax=16250.0],hpso02b (FastImg) [Na=512] [Bmax=16250.0],hpso02b (ICAL) [Na=512] [Bmax=16250.0],hpso02b (DPrepA) [Na=512] [Bmax=16250.0],hpso02b (DPrepB) [Na=512] [Bmax=16250.0],hpso02b (DPrepC) [Na=512] [Bmax=16250.0],hpso02b (DPrepD) [Na=512] [Bmax=16250.0],hpso04a (Ingest) [Nf_max=32768] [Na=512] [Bmax=16250.0],hpso04a (RCAL) [Nf_max=32768] [Na=512] [Bmax=16250.0],hpso04a (FastImg) [Nf_max=32768] [Na=512] [Bmax=16250.0],hpso04a (PSS) [Nf_max=32768] [Na=512] [Bmax=16250.0],hpso05a (Ingest) [Nf_max=32768] [Na=512] [Bmax=16250.0],hpso05a (RCAL) [Nf_max=32768] [Na=512] [Bmax=16250.0],hpso05a (FastImg) [Nf_max=32768] [Na=512] [Bmax=16250.0],hpso05a (PST) [Nf_max=32768] [Na=512] [Bmax=16250.0],max_low (Ingest) [Nf_max=32768] [Na=512] [Bmax=16250.0],max_low (RCAL) [Nf_max=32768] [Na=512] [Bmax=16250.0],max_low (FastImg) [Nf_max=32768] [Na=512] [Bmax=16250.0],max_low (ICAL) [Nf_max=32768] [Na=512] [Bmax=16250.0],max_low (DPrepA) [Nf_max=32768] [Na=512] [Bmax=16250.0],max_low (DPrepA_Image) [Nf_max=32768] [Na=512] [Bmax=16250.0],max_low (DPrepB) [Nf_max=32768] [Na=512] [Bmax=16250.0],max_low (DPrepC) [Nf_max=32768] [Na=512] [Bmax=16250.0],max_low (DPrepD) [Nf_max=32768] [Na=512] [Bmax=16250.0]
Coalesce time bw0 [s],(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),8.459303225050046,1.0,(undefined),(undefined),8.459303225050046,1.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,10.0,(undefined)
Coalesce time bw1 [s],,5.654143136745989,1.0,5.654143136745989,10.0,10.0,7.272581611088732,,,5.654143136745989,1.0,8.481214705118983,10.0,10.0,7.272581611088732,,,5.654143136745989,1.0,8.481214705118983,10.0,10.0,7.272581611088732,,,2.8197677416833486,1.0,,,2.8197677416833486,1.0,,,5.6520845781769555,1.0,5.6520845781769555,10.0,10.0,10.0,7.269933811973566,
Coalesce time bw2 [s],,2.8270715683729946,1.0,2.8270715683729946,5.654143136745989,5.654143136745989,2.909032644435493,,,2.8270715683729946,1.0,2.8270715683729946,5.654143136745989,5.654143136745989,2.909032644435493,,,2.8270715683729946,1.0,2.8270715683729946,5.654143136745989,5.654143136745989,2.909032644435493,,,2.8197677416833486,1.0,,,2.8197677416833486,1.0,,,2.8260422890884778,1.0,2.8260422890884778,5.6520845781769555,5.6520845781769555,5.6520845781769555,2.9079735247894263,
Combined samples full0,10.0,4.0,1.0,4.0,10.0,10.0,10.0,10.0,10.0,4.0,1.0,6.0,10.0,10.0,10.0,10.0,10.0,4.0,1.0,6.0,10.0,10.0,10.0,10.0,10.0,4.0,1.0,(undefined),10.0,4.0,1.0,(undefined),10.0,4.0,1.0,4.0,10.0,10.0,10.0,10.0,10.0
Combined samples full1,5.0,2.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0,2.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0,2.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0,2.0,1.0,,5.0,2.0,1.0,,5.0,2.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0
Combined samples full2,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,,2.0,1.0,1.0,,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0
Combined samples facet0,(undefined),4.0,1.0,4.0,10.0,10.0,10.0,(undefined),(undefined),4.0,1.0,6.0,10.0,10.0,10.0,(undefined),(undefined),4.0,1.0,6.0,10.0,10.0,10.0,(undefined),(undefined),3.0,1.0,(undefined),(undefined),3.0,1.0,(undefined),(undefined),4.0,1.0,4.0,10.0,10.0,10.0,10.0,(undefined)
Combined samples facet1,,2.0,1.0,2.0,5.0,5.0,5.0,,,2.0,1.0,3.0,5.0,5.0,5.0,,,2.0,1.0,3.0,5.0,5.0,5.0,,,1.0,1.0,,,1.0,1.0,,,2.0,1.0,2.0,5.0,5.0,5.0,5.0,
Combined samples facet2,,1.0,1.0,1.0,2.0,2.0,2.0,,,1.0,1.0,1.0,2.0,2.0,2.0,,,1.0,1.0,1.0,2.0,2.0,2.0,,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,
Kernel time pred0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,(undefined),10.0,10.0,10.0,(undefined),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred2 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,(undefined),10.0,10.0,10.0,(undefined),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward2 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Visibilities kernel pred0,(undefined),7.9359537461563425,32.55476508226232,7.935953746154244,3.1868263180236993,3.129754316545727,3.979969117953223,(undefined),(undefined),7.9359537461563425,32.55476508226232,5.568832404756316,3.1868263180236993,3.129754316545727,3.979969117953223,(undefined),(undefined),7.9359537461563425,32.55476508226232,5.568832404756316,3.1868263180236993,3.129754316545727,3.979969117953223,(undefined),(undefined),9.62825628983999,32.64426593397331,(undefined),(undefined),9.62825628983999,32.64426593397331,(undefined),(undefined),8.115255914707609,32.567468020591605,8.115255914716524,3.2023809696809673,3.201524207113951,3.157191564070222,59.230746406153585,(undefined)
Visibilities kernel pred1,,28.06538566756783,64.99502025817469,28.065385667560413,6.370038727893377,6.2559594454307765,8.6565009824349,,,28.06538566756783,64.99502025817469,13.128017781182633,6.370038727893377,6.2559594454307765,8.6565009824349,,,28.06538566756783,64.99502025817469,13.128017781182633,6.370038727893377,6.2559594454307765,8.6565009824349,,,57.75742432964564,65.24680525561551,,,57.75742432964564,65.24680525561551,,,28.70994009514183,65.03229589341818,28.70994009517337,6.401131711927901,6.3994191580221536,6.310804127534676,81.47357037639142,
Visibilities kernel pred2,,112.24973869655624,128.46895646418946,112.24973869652655,22.52589334007564,22.122483273224336,43.27618367811228,,,112.24973869655624,128.46895646418946,78.75568529114564,22.52589334007564,22.122483273224336,43.27618367811228,,,112.24973869655624,128.46895646418946,78.75568529114564,22.52589334007564,22.122483273224336,43.27618367811228,,,115.50273397976329,130.1123253561444,,,115.50273397976329,130.1123253561444,,,114.82768970968111,128.72716246668278,114.82768970980726,22.6440917334072,22.638033550341245,22.324556657563367,203.68392594097855,
Visibilities kernel bw0,(undefined),7.9359537461563425,32.55476508226232,7.935953746154244,3.1868263180236993,3.129754316545727,3.979969117953223,(undefined),(undefined),7.9359537461563425,32.55476508226232,5.568832404756316,3.1868263180236993,3.129754316545727,3.979969117953223,(undefined),(undefined),7.9359537461563425,32.55476508226232,5.568832404756316,3.1868263180236993,3.129754316545727,3.979969117953223,(undefined),(undefined),9.62825628983999,32.64426593397331,(undefined),(undefined),9.62825628983999,32.64426593397331,(undefined),(undefined),8.115255914707609,32.567468020591605,8.115255914716524,3.2023809696809673,3.201524207113951,3.157191564070222,59.230746406153585,(undefined)
Visibilities kernel bw1,,28.06538566756783,64.99502025817469,28.065385667560413,6.370038727893377,6.2559594454307765,8.6565009824349,,,28.06538566756783,64.99502025817469,13.128017781182633,6.370038727893377,6.2559594454307765,8.6565009824349,,,28.06538566756783,64.99502025817469,13.128017781182633,6.370038727893377,6.2559594454307765,8.6565009824349,,,57.75742432964564,65.24680525561551,,,57.75742432964564,65.24680525561551,,,28.70994009514183,65.03229589341818,28.70994009517337,6.401131711927901,6.3994191580221536,6.310804127534676,81.47357037639142,
Visibilities kernel bw2,,112.24973869655624,128.46895646418946,112.24973869652655,22.52589334007564,22.122483273224336,43.27618367811228,,,112.24973869655624,128.46895646418946,78.75568529114564,22.52589334007564,22.122483273224336,43.27618367811228,,,112.24973869655624,128.46895646418946,78.75568529114564,22.52589334007564,22.122483273224336,43.27618367811228,,,115.50273397976329,130.1123253561444,,,115.50273397976329,130.1123253561444,,,114.82768970968111,128.72716246668278,114.82768970980726,22.6440917334072,22.638033550341245,22.324556657563367,203.68392594097855,
Oversampling used pred0,(undefined),7.518968795827348,25.671297738388773,7.5189687958254865,3.1327170299403804,3.077985516940622,3.8882632817864717,(undefined),(undefined),7.518968795827348,25.671297738388773,5.373716333686026,3.1327170299403804,3.077985516940622,3.8882632817864717,(undefined),(undefined),7.518968795827348,25.671297738388773,5.373716333686026,3.1327170299403804,3.077985516940622,3.8882632817864717,(undefined),(undefined),9.004362366814803,25.725283657850348,(undefined),(undefined),9.004362366814803,25.725283657850348,(undefined),(undefined),7.6782301456321065,25.678964643980194,7.678230145640015,3.1476252661280597,3.146804203670726,3.104303719372723,38.818838750939676,(undefined)
Oversampling used pred1,,22.863353300188862,41.00404563732292,22.86335330018406,6.108796947563043,6.00469837296292,8.156260977007278,,,22.863353300188862,41.00404563732292,11.95345715046279,6.108796947563043,6.00469837296292,8.156260977007278,,,22.863353300188862,41.00404563732292,11.95345715046279,6.108796947563043,6.00469837296292,8.156260977007278,,,38.2277444389489,41.09504865417958,,,38.2277444389489,41.09504865417958,,,23.27880582918624,41.01754099116667,23.278805829206462,6.13713721240012,6.1355766351405805,6.054768079488873,46.26024415887119,
Oversampling used pred2,,53.07412172793725,55.53696295779686,53.074121727932145,19.11349135365173,18.827417553453905,31.62604328186484,,,53.07412172793725,55.53696295779686,45.4844589142013,19.11349135365173,18.827417553453905,31.62604328186484,,,53.07412172793725,55.53696295779686,45.4844589142013,19.11349135365173,18.827417553453905,31.62604328186484,,,53.619751706261624,55.75317945404394,,,53.619751706261624,55.75317945404394,,,53.508812322351204,55.571306503857556,53.508812322372044,19.1969667535613,19.19269205221469,18.970942844145128,61.41119621753499,
Oversampling used bw0,(undefined),7.518968795827348,25.671297738388773,7.5189687958254865,3.1327170299403804,3.077985516940622,3.8882632817864717,(undefined),(undefined),7.518968795827348,25.671297738388773,5.373716333686026,3.1327170299403804,3.077985516940622,3.8882632817864717,(undefined),(undefined),7.518968795827348,25.671297738388773,5.373716333686026,3.1327170299403804,3.077985516940622,3.8882632817864717,(undefined),(undefined),9.004362366814803,25.725283657850348,(undefined),(undefined),9.004362366814803,25.725283657850348,(undefined),(undefined),7.6782301456321065,25.678964643980194,7.678230145640015,3.1476252661280597,3.146804203670726,3.104303719372723,38.818838750939676,(undefined)
Oversampling used bw1,,22.863353300188862,41.00404563732292,22.86335330018406,6.108796947563043,6.00469837296292,8.156260977007278,,,22.863353300188862,41.00404563732292,11.95345715046279,6.108796947563043,6.00469837296292,8.156260977007278,,,22.863353300188862,41.00404563732292,11.95345715046279,6.108796947563043,6.00469837296292,8.156260977007278,,,38.2277444389489,41.09504865417958,,,38.2277444389489,41.09504865417958,,,23.27880582918624,41.01754099116667,23.278805829206462,6.13713721240012,6.1355766351405805,6.054768079488873,46.26024415887119,
Oversampling used bw2,,53.07412172793725,55.53696295779686,53.074121727932145,19.11349135365173,18.827417553453905,31.62604328186484,,,53.07412172793725,55.53696295779686,45.4844589142013,19.11349135365173,18.827417553453905,31.62604328186484,,,53.07412172793725,55.53696295779686,45.4844589142013,19.11349135365173,18.827417553453905,31.62604328186484,,,53.619751706261624,55.75317945404394,,,53.619751706261624,55.75317945404394,,,53.508812322351204,55.571306503857556,53.508812322372044,19.1969667535613,19.19269205221469,18.970942844145128,61.41119621753499,
-- Channelization --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Channels predict, no-smear0",(undefined),1648.215074483811,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1009.991056768289,727.1815092638062,(undefined),(undefined),1009.991056768289,727.1815092638062,(undefined),(undefined),2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,1666.3443177517802,(undefined)
"Channels predict, no-smear1",,3295.7371475272034,2372.6984303939844,3295.7371475272034,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,2019.558553451659,1453.9394929925988,,,2019.558553451659,1453.9394929925988,,,4627.836498461537,3331.7159644487933,4627.836498461537,1714.625960512763,1714.625960512763,1714.625960512763,3331.7159644487933,
"Channels predict, no-smear2",,6590.78122076136,4744.703814848597,6590.78122076136,2441.466451169051,2441.466451169051,4744.703814848597,,,6590.78122076136,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,,6590.78122076136,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,,4038.693502406632,2907.4553987723175,,,4038.693502406632,2907.4553987723175,,,9254.700144121867,6662.459115881312,9254.700144121867,3428.279241973887,3428.279241973887,3428.279241973887,6662.459115881312,
"Channels backward, no-smear0",(undefined),1648.215074483811,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1009.991056768289,727.1815092638062,(undefined),(undefined),1009.991056768289,727.1815092638062,(undefined),(undefined),2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,1666.3443177517802,(undefined)
"Channels backward, no-smear1",,3295.7371475272034,2372.6984303939844,3295.7371475272034,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,2019.558553451659,1453.9394929925988,,,2019.558553451659,1453.9394929925988,,,4627.836498461537,3331.7159644487933,4627.836498461537,1714.625960512763,1714.625960512763,1714.625960512763,3331.7159644487933,
"Channels backward, no-smear2",,6590.78122076136,4744.703814848597,6590.78122076136,2441.466451169051,2441.466451169051,4744.703814848597,,,6590.78122076136,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,,6590.78122076136,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,,4038.693502406632,2907.4553987723175,,,4038.693502406632,2907.4553987723175,,,9254.700144121867,6662.459115881312,9254.700144121867,3428.279241973887,3428.279241973887,3428.279241973887,6662.459115881312,
Frequencies predict ifft,32768.0,200.0,40.0,200.0,200,200.0,200.0,32768.0,32768.0,200.0,40.0,200.0,200,200.0,200.0,32768.0,32768.0,200.0,40.0,200.0,200,200.0,200.0,32768.0,32768.0,200.0,40.0,(undefined),32768.0,200.0,40.0,(undefined),32768.0,200.0,40.0,200.0,200,200.0,200.0,200.0,32768.0
Frequencies predict kernels0,(undefined),207.6896019312233,364.52288461678205,207.6896019312782,191.69109529440857,195.18663947055052,376.88734649564424,(undefined),(undefined),207.6896019312233,364.52288461678205,197.35573597728757,191.69109529440857,195.18663947055052,376.88734649564424,(undefined),(undefined),207.6896019312233,364.52288461678205,197.35573597728757,191.69109529440857,195.18663947055052,376.88734649564424,(undefined),(undefined),124.00388555049331,222.75933872570835,(undefined),(undefined),124.00388555049331,222.75933872570835,(undefined),(undefined),285.1918225185356,511.6591552951528,285.1918225182223,267.86294012943375,267.934623154564,271.69690674310056,553.226187212047,(undefined)
Frequencies predict kernels1,,207.6896019312233,365.0584953999703,207.6896019312782,191.69109529440857,195.18663947055052,376.88734649564424,,,207.6896019312233,365.0584953999703,197.35573597728757,191.69109529440857,195.18663947055052,376.88734649564424,,,207.6896019312233,365.0584953999703,197.35573597728757,191.69109529440857,195.18663947055052,376.88734649564424,,,124.00388555049331,222.83688638800666,,,124.00388555049331,222.83688638800666,,,285.1918225185356,512.317136997464,285.1918225182223,267.86294012943375,267.934623154564,271.69690674310056,553.226187212047,
Frequencies predict kernels2,,207.6896019312233,369.326874401068,207.6896019312782,191.69109529440857,195.18663947055052,376.88734649564424,,,207.6896019312233,369.326874401068,197.35573597728757,191.69109529440857,195.18663947055052,376.88734649564424,,,207.6896019312233,369.326874401068,197.35573597728757,191.69109529440857,195.18663947055052,376.88734649564424,,,124.00388555049331,223.45733894264123,,,124.00388555049331,223.45733894264123,,,285.1918225185356,517.564357686024,285.1918225182223,267.86294012943375,267.934623154564,271.69690674310056,553.226187212047,
Frequencies predict de-grid0,32768.0,1648.215074483811,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1500.0,(undefined),32768.0,1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),32768.0,1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),32768.0,1009.991056768289,727.1815092638062,(undefined),32768.0,1009.991056768289,727.1815092638062,(undefined),32768.0,2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,32768.0,(undefined)
Frequencies predict de-grid1,32768.0,3295.7371475272034,2372.6984303939844,3295.7371475272034,1221.0797008176821,1221.0797008176821,2372.6984303939844,,32768.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,32768.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,32768.0,2019.558553451659,1453.9394929925988,,32768.0,2019.558553451659,1453.9394929925988,,32768.0,4627.836498461537,3331.7159644487933,4627.836498461537,1714.625960512763,1714.625960512763,1714.625960512763,32768.0,
Frequencies predict de-grid2,32768.0,6590.78122076136,4744.703814848597,6590.78122076136,2441.466451169051,2441.466451169051,4744.703814848597,,32768.0,6590.78122076136,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,32768.0,6590.78122076136,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,32768.0,4038.693502406632,2907.4553987723175,,32768.0,4038.693502406632,2907.4553987723175,,32768.0,9254.700144121867,6662.459115881312,9254.700144121867,3428.279241973887,3428.279241973887,3428.279241973887,32768.0,
Frequencies total0,32768.0,6590.78122076136,4744.703814848597,6590.78122076136,2441.4664511690507,2441.4664511690507,4744.703814848597,8192.0,32768.0,6590.78122076136,4744.703814848597,4394.085175985427,2441.4664511690507,2441.4664511690507,4744.703814848597,8192.0,32768.0,6590.78122076136,4744.703814848597,4394.085175985427,2441.4664511690507,2441.4664511690507,4744.703814848597,8192.0,32768.0,4038.693502406632,2907.4553987723175,(undefined),32768.0,4038.693502406632,2907.4553987723175,(undefined),32768.0,9254.700144121867,6662.459115881312,9254.700144121867,3428.279241973887,3428.279241973887,3428.279241973887,32768.0,16384.0
Frequencies total1,32768.0,6590.78122076136,4744.703814848597,6590.78122076136,2441.4664511690507,2441.4664511690507,4744.703814848597,8192.0,32768.0,6590.78122076136,4744.703814848597,4394.085175985427,2441.4664511690507,2441.4664511690507,4744.703814848597,8192.0,32768.0,6590.78122076136,4744.703814848597,4394.085175985427,2441.4664511690507,2441.4664511690507,4744.703814848597,8192.0,32768.0,4038.693502406632,2907.4553987723175,,32768.0,4038.693502406632,2907.4553987723175,,32768.0,9254.700144121867,6662.459115881312,9254.700144121867,3428.279241973887,3428.279241973887,3428.279241973887,32768.0,16384.0
Frequencies total2,32768.0,6590.78122076136,4744.703814848597,6590.78122076136,2441.4664511690507,2441.4664511690507,4744.703814848597,8192.0,32768.0,6590.78122076136,4744.703814848597,4394.085175985427,2441.4664511690507,2441.4664511690507,4744.703814848597,8192.0,32768.0,6590.78122076136,4744.703814848597,4394.085175985427,2441.4664511690507,2441.4664511690507,4744.703814848597,8192.0,32768.0,4038.693502406632,2907.4553987723175,,32768.0,4038.693502406632,2907.4553987723175,,32768.0,9254.700144121867,6662.459115881312,9254.700144121867,3428.279241973887,3428.279241973887,3428.279241973887,32768.0,16384.0
Frequencies backward kernels0,(undefined),207.6896019312233,364.52288461678205,207.6896019312782,191.69109529440857,195.18663947055052,376.88734649564424,(undefined),(undefined),207.6896019312233,364.52288461678205,197.35573597728757,191.69109529440857,195.18663947055052,376.88734649564424,(undefined),(undefined),207.6896019312233,364.52288461678205,197.35573597728757,191.69109529440857,195.18663947055052,376.88734649564424,(undefined),(undefined),124.00388555049331,222.75933872570835,(undefined),(undefined),124.00388555049331,222.75933872570835,(undefined),(undefined),285.1918225185356,511.6591552951528,285.1918225182223,267.86294012943375,267.934623154564,271.69690674310056,553.226187212047,(undefined)
Frequencies backward kernels1,,207.6896019312233,365.0584953999703,207.6896019312782,191.69109529440857,195.18663947055052,376.88734649564424,,,207.6896019312233,365.0584953999703,197.35573597728757,191.69109529440857,195.18663947055052,376.88734649564424,,,207.6896019312233,365.0584953999703,197.35573597728757,191.69109529440857,195.18663947055052,376.88734649564424,,,124.00388555049331,222.83688638800666,,,124.00388555049331,222.83688638800666,,,285.1918225185356,512.317136997464,285.1918225182223,267.86294012943375,267.934623154564,271.69690674310056,553.226187212047,
Frequencies backward kernels2,,207.6896019312233,369.326874401068,207.6896019312782,191.69109529440857,195.18663947055052,376.88734649564424,,,207.6896019312233,369.326874401068,197.35573597728757,191.69109529440857,195.18663947055052,376.88734649564424,,,207.6896019312233,369.326874401068,197.35573597728757,191.69109529440857,195.18663947055052,376.88734649564424,,,124.00388555049331,223.45733894264123,,,124.00388555049331,223.45733894264123,,,285.1918225185356,517.564357686024,285.1918225182223,267.86294012943375,267.934623154564,271.69690674310056,553.226187212047,
Frequencies backward grid0,32768.0,1648.215074483811,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1500.0,(undefined),32768.0,1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),32768.0,1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),32768.0,1009.991056768289,727.1815092638062,(undefined),32768.0,1009.991056768289,727.1815092638062,(undefined),32768.0,2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,32768.0,(undefined)
Frequencies backward grid1,32768.0,3295.7371475272034,2372.6984303939844,3295.7371475272034,1221.0797008176821,1221.0797008176821,2372.6984303939844,,32768.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,32768.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,32768.0,2019.558553451659,1453.9394929925988,,32768.0,2019.558553451659,1453.9394929925988,,32768.0,4627.836498461537,3331.7159644487933,4627.836498461537,1714.625960512763,1714.625960512763,1714.625960512763,32768.0,
Frequencies backward grid2,32768.0,6590.78122076136,4744.703814848597,6590.78122076136,2441.466451169051,2441.466451169051,4744.703814848597,,32768.0,6590.78122076136,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,32768.0,6590.78122076136,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,32768.0,4038.693502406632,2907.4553987723175,,32768.0,4038.693502406632,2907.4553987723175,,32768.0,9254.700144121867,6662.459115881312,9254.700144121867,3428.279241973887,3428.279241973887,3428.279241973887,32768.0,
Frequencies backward fft,65536,40,40,40,200,500,1500,8192,65536,40,40,40,200,500,1500,8192,65536,40,40,40,200,500,1500,8192,65536,40,40,(undefined),65536,40,40,(undefined),65536,40,40,40,200,40,500,65536,16384
Channels out,65536,40,40,40,40,500,1500,8192,65536,40,40,40,40,500,1500,8192,65536,40,40,40,40,500,1500,8192,65536,40,40,128,65536,40,40,4096,65536,40,40,40,40,40,500,65536,16384
-- Visibility --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
