,hpso01 (Ingest) [Nf_max=65536] [Na=64] [Bmax=16250.0],hpso01 (RCAL) [Nf_max=65536] [Na=64] [Bmax=16250.0],hpso01 (FastImg) [Nf_max=65536] [Na=64] [Bmax=16250.0],hpso01 (ICAL) [Nf_max=65536] [Na=64] [Bmax=16250.0],hpso01 (DPrepA) [Nf_max=65536] [Na=64] [Bmax=16250.0],hpso01 (DPrepB) [Nf_max=65536] [Na=64] [Bmax=16250.0],hpso01 (DPrepC) [Nf_max=65536] [Na=64] [Bmax=16250.0],hpso01 (DPrepD) [Nf_max=65536] [Na=64] [Bmax=16250.0],hpso02a (Ingest) [Nf_max=65536] [Na=64] [Bmax=16250.0],hpso02a (RCAL) [Nf_max=65536] [Na=64] [Bmax=16250.0],hpso02a (FastImg) [Nf_max=65536] [Na=64] [Bmax=16250.0],hpso02a (ICAL) [Nf_max=65536] [Na=64] [Bmax=16250.0],hpso02a (DPrepA) [Nf_max=65536] [Na=64] [Bmax=16250.0],hpso02a (DPrepB) [Nf_max=65536] [Na=64] [Bmax=16250.0],hpso02a (DPrepC) [Nf_max=65536] [Na=64] [Bmax=16250.0],hpso02a (DPrepD) [Nf_max=65536] [Na=64] [Bmax=16250.0],hpso02b (Ingest) [Nf_max=65536] [Na=64] [Bmax=16250.0],hpso02b (RCAL) [Nf_max=65536] [Na=64] [Bmax=16250.0],hpso02b (FastImg) [Nf_max=65536] [Na=64] [Bmax=16250.0],hpso02b (ICAL) [Nf_max=65536] [Na=64] [Bmax=16250.0],hpso02b (DPrepA) [Nf_max=65536] [Na=64] [Bmax=16250.0],hpso02b (DPrepB) [Nf_max=65536] [Na=64] [Bmax=16250.0],hpso02b (DPrepC) [Nf_max=65536] [Na=64] [Bmax=16250.0],hpso02b (DPrepD) [Nf_max=65536] [Na=64] [Bmax=16250.0],hpso04a (Ingest) [Na=64] [Bmax=16250.0],hpso04a (RCAL) [Na=64] [Bmax=16250.0],hpso04a (FastImg) [Na=64] [Bmax=16250.0],hpso04a (PSS) [Na=64] [Bmax=16250.0],hpso05a (Ingest) [Na=64] [Bmax=16250.0],hpso05a (RCAL) [Na=64] [Bmax=16250.0],hpso05a (FastImg) [Na=64] [Bmax=16250.0],hpso05a (PST) [Na=64] [Bmax=16250.0],max_low (Ingest) [Na=64] [Bmax=16250.0],max_low (RCAL) [Na=64] [Bmax=16250.0],max_low (FastImg) [Na=64] [Bmax=16250.0],max_low (ICAL) [Na=64] [Bmax=16250.0],max_low (DPrepA) [Na=64] [Bmax=16250.0],max_low (DPrepA_Image) [Na=64] [Bmax=16250.0],max_low (DPrepB) [Na=64] [Bmax=16250.0],max_low (DPrepC) [Na=64] [Bmax=16250.0],max_low (DPrepD) [Na=64] [Bmax=16250.0]
Coalesce time bw0 [s],(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,(undefined),(undefined),10.0,1.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,10.0,(undefined)
Coalesce time bw1 [s],,10.0,1.0,10.0,10.0,10.0,7.272581611088732,,,10.0,1.0,8.481214705118983,10.0,10.0,7.272581611088732,,,10.0,1.0,8.481214705118983,10.0,10.0,7.272581611088732,,,10.0,1.0,,,10.0,1.0,,,10.0,1.0,10.0,10.0,10.0,10.0,7.269933811973566,
Coalesce time bw2 [s],,10.0,1.0,8.481214705118983,5.654143136745989,5.654143136745989,2.909032644435493,,,10.0,1.0,2.8270715683729946,5.654143136745989,5.654143136745989,2.909032644435493,,,10.0,1.0,2.8270715683729946,5.654143136745989,5.654143136745989,2.909032644435493,,,8.459303225050046,1.0,,,8.459303225050046,1.0,,,8.478126867265434,1.0,8.478126867265434,5.6520845781769555,5.6520845781769555,5.6520845781769555,2.9079735247894263,
Combined samples full0,10.0,4.0,1.0,4.0,10.0,10.0,10.0,10.0,10.0,4.0,1.0,6.0,10.0,10.0,10.0,10.0,10.0,4.0,1.0,6.0,10.0,10.0,10.0,10.0,10.0,4.0,1.0,(undefined),10.0,4.0,1.0,(undefined),10.0,4.0,1.0,4.0,10.0,10.0,10.0,10.0,10.0
Combined samples full1,5.0,2.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0,2.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0,2.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0,2.0,1.0,,5.0,2.0,1.0,,5.0,2.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0
Combined samples full2,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,,2.0,1.0,1.0,,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0
Combined samples facet0,(undefined),16.0,1.0,13.0,10.0,10.0,10.0,(undefined),(undefined),16.0,1.0,6.0,10.0,10.0,10.0,(undefined),(undefined),16.0,1.0,6.0,10.0,10.0,10.0,(undefined),(undefined),13.0,1.0,(undefined),(undefined),13.0,1.0,(undefined),(undefined),13.0,1.0,13.0,10.0,10.0,10.0,10.0,(undefined)
Combined samples facet1,,8.0,1.0,6.0,5.0,5.0,5.0,,,8.0,1.0,3.0,5.0,5.0,5.0,,,8.0,1.0,3.0,5.0,5.0,5.0,,,6.0,1.0,,,6.0,1.0,,,6.0,1.0,6.0,5.0,5.0,5.0,5.0,
Combined samples facet2,,4.0,1.0,3.0,2.0,2.0,2.0,,,4.0,1.0,1.0,2.0,2.0,2.0,,,4.0,1.0,1.0,2.0,2.0,2.0,,,3.0,1.0,,,3.0,1.0,,,3.0,1.0,3.0,2.0,2.0,2.0,2.0,
Kernel time pred0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,(undefined),10.0,10.0,10.0,(undefined),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred2 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,(undefined),10.0,10.0,10.0,(undefined),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward2 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Visibilities kernel pred0,(undefined),1.8770581863942715,32.55476508226232,2.2439250433994307,2.659336219908324,2.3469049086690363,3.068228103128135,(undefined),(undefined),1.8770581863942715,32.55476508226232,3.9825518201234646,2.659336219908324,2.3469049086690363,3.068228103128135,(undefined),(undefined),1.8770581863942715,32.55476508226232,3.9825518201234646,2.659336219908324,2.3469049086690363,3.068228103128135,(undefined),(undefined),2.370099806326929,32.64426593397331,(undefined),(undefined),2.370099806326929,32.64426593397331,(undefined),(undefined),2.3162974441091286,32.567468020591605,2.3162974441147233,2.7641373764482,2.7625257714512785,2.4807464161906267,82.80320707982766,(undefined)
Visibilities kernel pred1,,3.750834509651883,64.99502025817469,4.484709803423047,5.315656713231531,4.691148392478429,6.67344866301931,,,3.750834509651883,64.99502025817469,9.388505041812248,5.315656713231531,4.691148392478429,6.67344866301931,,,3.750834509651883,64.99502025817469,9.388505041812248,5.315656713231531,4.691148392478429,6.67344866301931,,,4.517044760472016,65.24680525561551,,,4.517044760472016,65.24680525561551,,,4.629354500273816,65.03229589341818,4.629354500284998,5.525141319544646,5.5219199364704386,4.958680651762458,113.89815811452223,
Visibilities kernel pred2,,7.498385721030592,128.46895585196089,10.571926942258077,18.7973607806164,16.58895853626672,33.362370164722414,,,7.498385721030592,128.46895585196089,56.32214708660237,18.7973607806164,16.58895853626672,33.362370164722414,,,7.498385721030592,128.46895585196089,56.32214708660237,18.7973607806164,16.58895853626672,33.362370164722414,,,10.675741742022556,130.11232529129114,,,10.675741742022556,130.11232529129114,,,10.916877777159813,128.72716122959338,10.916877777186178,19.54526363622131,19.5338679491579,17.541401209718654,284.7453952863056,
Visibilities kernel bw0,(undefined),1.8770581863942715,32.55476508226232,2.2439250433994307,2.659336219908324,2.3469049086690363,3.068228103128135,(undefined),(undefined),1.8770581863942715,32.55476508226232,3.9825518201234646,2.659336219908324,2.3469049086690363,3.068228103128135,(undefined),(undefined),1.8770581863942715,32.55476508226232,3.9825518201234646,2.659336219908324,2.3469049086690363,3.068228103128135,(undefined),(undefined),2.370099806326929,32.64426593397331,(undefined),(undefined),2.370099806326929,32.64426593397331,(undefined),(undefined),2.3162974441091286,32.567468020591605,2.3162974441147233,2.7641373764482,2.7625257714512785,2.4807464161906267,82.80320707982766,(undefined)
Visibilities kernel bw1,,3.750834509651883,64.99502025817469,4.484709803423047,5.315656713231531,4.691148392478429,6.67344866301931,,,3.750834509651883,64.99502025817469,9.388505041812248,5.315656713231531,4.691148392478429,6.67344866301931,,,3.750834509651883,64.99502025817469,9.388505041812248,5.315656713231531,4.691148392478429,6.67344866301931,,,4.517044760472016,65.24680525561551,,,4.517044760472016,65.24680525561551,,,4.629354500273816,65.03229589341818,4.629354500284998,5.525141319544646,5.5219199364704386,4.958680651762458,113.89815811452223,
Visibilities kernel bw2,,7.498385721030592,128.46895585196089,10.571926942258077,18.7973607806164,16.58895853626672,33.362370164722414,,,7.498385721030592,128.46895585196089,56.32214708660237,18.7973607806164,16.58895853626672,33.362370164722414,,,7.498385721030592,128.46895585196089,56.32214708660237,18.7973607806164,16.58895853626672,33.362370164722414,,,10.675741742022556,130.11232529129114,,,10.675741742022556,130.11232529129114,,,10.916877777159813,128.72716122959338,10.916877777186178,19.54526363622131,19.5338679491579,17.541401209718654,284.7453952863056,
Oversampling used pred0,(undefined),1.8641882796847256,25.671297738388773,2.222145997533893,2.6249802890737826,2.3222538797041707,3.01892732969182,(undefined),(undefined),1.8641882796847256,25.671297738388773,3.89070817571114,2.6249802890737826,2.3222538797041707,3.01892732969182,(undefined),(undefined),1.8641882796847256,25.671297738388773,3.89070817571114,2.6249802890737826,2.3222538797041707,3.01892732969182,(undefined),(undefined),2.3447795067120083,25.725283657850348,(undefined),(undefined),2.3447795067120083,25.725283657850348,(undefined),(undefined),2.292516974144341,25.678964643980194,2.292516974149777,2.726192900369277,2.724637743396549,2.452120322841047,46.62784529318711,(undefined)
Oversampling used pred1,,3.670958628808634,41.00404563732292,4.364187619886373,5.139500799496027,4.557752918978146,6.384753341595818,,,3.670958628808634,41.00404563732292,8.796323486860544,5.139500799496027,4.557752918978146,6.384753341595818,,,3.670958628808634,41.00404563732292,8.796323486860544,5.139500799496027,4.557752918978146,6.384753341595818,,,4.394547783450683,41.09504865417958,,,4.394547783450683,41.09504865417958,,,4.499878405335757,41.01754099116667,4.499878405346237,5.333363887510565,5.330387566117075,4.807667769675028,53.35410649557801,
Oversampling used pred2,,7.12841518041234,55.536962876199695,9.815623846902142,16.398915921919425,14.7142869649187,26.155692635073287,,,7.12841518041234,55.536962876199695,37.6385739857684,16.398915921919425,14.7142869649187,26.155692635073287,,,7.12841518041234,55.536962876199695,37.6385739857684,16.398915921919425,14.7142869649187,26.155692635073287,,,9.904138185831805,55.75317944562119,,,9.904138185831805,55.75317944562119,,,10.1091774597665,55.57130633964869,10.109177459788874,16.95628411708593,16.947840736725972,15.448026856331325,63.27775368852651,
Oversampling used bw0,(undefined),1.8641882796847256,25.671297738388773,2.222145997533893,2.6249802890737826,2.3222538797041707,3.01892732969182,(undefined),(undefined),1.8641882796847256,25.671297738388773,3.89070817571114,2.6249802890737826,2.3222538797041707,3.01892732969182,(undefined),(undefined),1.8641882796847256,25.671297738388773,3.89070817571114,2.6249802890737826,2.3222538797041707,3.01892732969182,(undefined),(undefined),2.3447795067120083,25.725283657850348,(undefined),(undefined),2.3447795067120083,25.725283657850348,(undefined),(undefined),2.292516974144341,25.678964643980194,2.292516974149777,2.726192900369277,2.724637743396549,2.452120322841047,46.62784529318711,(undefined)
Oversampling used bw1,,3.670958628808634,41.00404563732292,4.364187619886373,5.139500799496027,4.557752918978146,6.384753341595818,,,3.670958628808634,41.00404563732292,8.796323486860544,5.139500799496027,4.557752918978146,6.384753341595818,,,3.670958628808634,41.00404563732292,8.796323486860544,5.139500799496027,4.557752918978146,6.384753341595818,,,4.394547783450683,41.09504865417958,,,4.394547783450683,41.09504865417958,,,4.499878405335757,41.01754099116667,4.499878405346237,5.333363887510565,5.330387566117075,4.807667769675028,53.35410649557801,
Oversampling used bw2,,7.12841518041234,55.536962876199695,9.815623846902142,16.398915921919425,14.7142869649187,26.155692635073287,,,7.12841518041234,55.536962876199695,37.6385739857684,16.398915921919425,14.7142869649187,26.155692635073287,,,7.12841518041234,55.536962876199695,37.6385739857684,16.398915921919425,14.7142869649187,26.155692635073287,,,9.904138185831805,55.75317944562119,,,9.904138185831805,55.75317944562119,,,10.1091774597665,55.57130633964869,10.109177459788874,16.95628411708593,16.947840736725972,15.448026856331325,63.27775368852651,
-- Channelization --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Channels predict, no-smear0",(undefined),396.0980287317132,1186.6956875807953,494.94943095103616,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),396.0980287317132,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),396.0980287317132,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),303.29369179712205,727.1815092638062,(undefined),(undefined),303.29369179712205,727.1815092638062,(undefined),(undefined),695.0020427868894,1666.3443177517802,695.0020427868894,857.7991819532908,857.7991819532908,857.7991819532908,1666.3443177517802,(undefined)
"Channels predict, no-smear1",,791.5035165883376,2372.6984303939844,989.2061999638064,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,791.5035165883376,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,791.5035165883376,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,606.1640304773304,1453.9394929925988,,,606.1640304773304,1453.9394929925988,,,1389.0318113753438,3331.7159644487933,1389.0318113753438,1714.625960512763,1714.625960512763,1714.625960512763,3331.7159644487933,
"Channels predict, no-smear2",,1582.3141894581538,4744.703814848597,1977.719495566752,2441.466451169051,2441.466451169051,4744.703814848597,,,1582.3141894581538,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,,1582.3141894581538,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,,1211.9045600514535,2907.4553987723175,,,1211.9045600514535,2907.4553987723175,,,2777.0910083918284,6662.459115881312,2777.0910083918284,3428.279241973887,3428.279241973887,3428.279241973887,6662.459115881312,
"Channels backward, no-smear0",(undefined),396.0980287317132,1186.6956875807953,494.94943095103616,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),396.0980287317132,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),396.0980287317132,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),303.29369179712205,727.1815092638062,(undefined),(undefined),303.29369179712205,727.1815092638062,(undefined),(undefined),695.0020427868894,1666.3443177517802,695.0020427868894,857.7991819532908,857.7991819532908,857.7991819532908,1666.3443177517802,(undefined)
"Channels backward, no-smear1",,791.5035165883376,2372.6984303939844,989.2061999638064,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,791.5035165883376,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,791.5035165883376,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,606.1640304773304,1453.9394929925988,,,606.1640304773304,1453.9394929925988,,,1389.0318113753438,3331.7159644487933,1389.0318113753438,1714.625960512763,1714.625960512763,1714.625960512763,3331.7159644487933,
"Channels backward, no-smear2",,1582.3141894581538,4744.703814848597,1977.719495566752,2441.466451169051,2441.466451169051,4744.703814848597,,,1582.3141894581538,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,,1582.3141894581538,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,,1211.9045600514535,2907.4553987723175,,,1211.9045600514535,2907.4553987723175,,,2777.0910083918284,6662.459115881312,2777.0910083918284,3428.279241973887,3428.279241973887,3428.279241973887,6662.459115881312,
Frequencies predict ifft,65536.0,200.0,40.0,200.0,200,200.0,200.0,40960.0,65536.0,200.0,40.0,200.0,200,200.0,200.0,40960.0,65536.0,200.0,40.0,200.0,200,200.0,200.0,40960.0,65536.0,200.0,40.0,(undefined),65536.0,200.0,40.0,(undefined),65536.0,200.0,40.0,200.0,200,200.0,200.0,200.0,65536.0
Frequencies predict kernels0,(undefined),211.02064475294523,364.52288461678205,220.5730678958925,229.7137995721614,260.2944095257155,488.8815138844184,(undefined),(undefined),211.02064475294523,364.52288461678205,275.96402191717846,229.7137995721614,260.2944095257155,488.8815138844184,(undefined),(undefined),211.02064475294523,364.52288461678205,275.96402191717846,229.7137995721614,260.2944095257155,488.8815138844184,(undefined),(undefined),127.96663287659288,222.75933872570835,(undefined),(undefined),127.96663287659288,222.75933872570835,(undefined),(undefined),300.04870253362225,511.6591552951528,300.04870253289755,310.33160264108386,310.5126441961302,345.78269522223326,791.4669287726869,(undefined)
Frequencies predict kernels1,,211.02064475294523,365.0584953999703,220.5730678958925,229.7137995721614,260.2944095257155,488.8815138844184,,,211.02064475294523,365.0584953999703,275.96402191717846,229.7137995721614,260.2944095257155,488.8815138844184,,,211.02064475294523,365.0584953999703,275.96402191717846,229.7137995721614,260.2944095257155,488.8815138844184,,,134.19482485136768,222.83688638800666,,,134.19482485136768,222.83688638800666,,,300.04870253362225,512.317136997464,300.04870253289755,310.33160264108386,310.5126441961302,345.78269522223326,791.4669287726869,
Frequencies predict kernels2,,211.02064475294523,369.3268761611232,220.5730678958925,229.7137995721614,260.2944095257155,488.8815138844184,,,211.02064475294523,369.3268761611232,275.96402191717846,229.7137995721614,260.2944095257155,488.8815138844184,,,211.02064475294523,369.3268761611232,275.96402191717846,229.7137995721614,260.2944095257155,488.8815138844184,,,134.19482485136768,223.45733905402145,,,134.19482485136768,223.45733905402145,,,300.04870253362225,517.5643626599034,300.04870253289755,310.33160264108386,310.5126441961302,345.78269522223326,791.4669287726869,
Frequencies predict de-grid0,65536.0,396.0980287317132,1186.6956875807953,494.94943095103616,610.88622741501,610.88622741501,1500.0,(undefined),65536.0,396.0980287317132,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),65536.0,396.0980287317132,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),65536.0,303.29369179712205,727.1815092638062,(undefined),65536.0,303.29369179712205,727.1815092638062,(undefined),65536.0,695.0020427868894,1666.3443177517802,695.0020427868894,857.7991819532908,857.7991819532908,857.7991819532908,65536.0,(undefined)
Frequencies predict de-grid1,65536.0,791.5035165883376,2372.6984303939844,989.2061999638064,1221.0797008176821,1221.0797008176821,2372.6984303939844,,65536.0,791.5035165883376,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,65536.0,791.5035165883376,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,65536.0,606.1640304773304,1453.9394929925988,,65536.0,606.1640304773304,1453.9394929925988,,65536.0,1389.0318113753438,3331.7159644487933,1389.0318113753438,1714.625960512763,1714.625960512763,1714.625960512763,65536.0,
Frequencies predict de-grid2,65536.0,1582.3141894581538,4744.703814848597,1977.719495566752,2441.466451169051,2441.466451169051,4744.703814848597,,65536.0,1582.3141894581538,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,65536.0,1582.3141894581538,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,65536.0,1211.9045600514535,2907.4553987723175,,65536.0,1211.9045600514535,2907.4553987723175,,65536.0,2777.0910083918284,6662.459115881312,2777.0910083918284,3428.279241973887,3428.279241973887,3428.279241973887,65536.0,
Frequencies total0,65536.0,6590.78122076136,4744.703814848597,6590.78122076136,2441.4664511690507,2441.4664511690507,4744.703814848597,8192.0,65536.0,6590.78122076136,4744.703814848597,4394.085175985427,2441.4664511690507,2441.4664511690507,4744.703814848597,8192.0,65536.0,6590.78122076136,4744.703814848597,4394.085175985427,2441.4664511690507,2441.4664511690507,4744.703814848597,8192.0,65536.0,4038.693502406632,2907.4553987723175,(undefined),65536.0,4038.693502406632,2907.4553987723175,(undefined),65536.0,9254.700144121867,6662.459115881312,9254.700144121867,3428.279241973887,3428.279241973887,3428.279241973887,65536.0,16384.0
Frequencies total1,65536.0,6590.78122076136,4744.703814848597,6590.78122076136,2441.4664511690507,2441.4664511690507,4744.703814848597,8192.0,65536.0,6590.78122076136,4744.703814848597,4394.085175985427,2441.4664511690507,2441.4664511690507,4744.703814848597,8192.0,65536.0,6590.78122076136,4744.703814848597,4394.085175985427,2441.4664511690507,2441.4664511690507,4744.703814848597,8192.0,65536.0,4038.693502406632,2907.4553987723175,,65536.0,4038.693502406632,2907.4553987723175,,65536.0,9254.700144121867,6662.459115881312,9254.700144121867,3428.279241973887,3428.279241973887,3428.279241973887,65536.0,16384.0
Frequencies total2,65536.0,6590.78122076136,4744.703814848597,6590.78122076136,2441.4664511690507,2441.4664511690507,4744.703814848597,8192.0,65536.0,6590.78122076136,4744.703814848597,4394.085175985427,2441.4664511690507,2441.4664511690507,4744.703814848597,8192.0,65536.0,6590.78122076136,4744.703814848597,4394.085175985427,2441.4664511690507,2441.4664511690507,4744.703814848597,8192.0,65536.0,4038.693502406632,2907.4553987723175,,65536.0,4038.693502406632,2907.4553987723175,,65536.0,9254.700144121867,6662.459115881312,9254.700144121867,3428.279241973887,3428.279241973887,3428.279241973887,65536.0,16384.0
Frequencies backward kernels0,(undefined),211.02064475294523,364.52288461678205,220.5730678958925,229.7137995721614,260.2944095257155,488.8815138844184,(undefined),(undefined),211.02064475294523,364.52288461678205,275.96402191717846,229.7137995721614,260.2944095257155,488.8815138844184,(undefined),(undefined),211.02064475294523,364.52288461678205,275.96402191717846,229.7137995721614,260.2944095257155,488.8815138844184,(undefined),(undefined),127.96663287659288,222.75933872570835,(undefined),(undefined),127.96663287659288,222.75933872570835,(undefined),(undefined),300.04870253362225,511.6591552951528,300.04870253289755,310.33160264108386,310.5126441961302,345.78269522223326,791.4669287726869,(undefined)
Frequencies backward kernels1,,211.02064475294523,365.0584953999703,220.5730678958925,229.7137995721614,260.2944095257155,488.8815138844184,,,211.02064475294523,365.0584953999703,275.96402191717846,229.7137995721614,260.2944095257155,488.8815138844184,,,211.02064475294523,365.0584953999703,275.96402191717846,229.7137995721614,260.2944095257155,488.8815138844184,,,134.19482485136768,222.83688638800666,,,134.19482485136768,222.83688638800666,,,300.04870253362225,512.317136997464,300.04870253289755,310.33160264108386,310.5126441961302,345.78269522223326,791.4669287726869,
Frequencies backward kernels2,,211.02064475294523,369.3268761611232,220.5730678958925,229.7137995721614,260.2944095257155,488.8815138844184,,,211.02064475294523,369.3268761611232,275.96402191717846,229.7137995721614,260.2944095257155,488.8815138844184,,,211.02064475294523,369.3268761611232,275.96402191717846,229.7137995721614,260.2944095257155,488.8815138844184,,,134.19482485136768,223.45733905402145,,,134.19482485136768,223.45733905402145,,,300.04870253362225,517.5643626599034,300.04870253289755,310.33160264108386,310.5126441961302,345.78269522223326,791.4669287726869,
Frequencies backward grid0,65536.0,396.0980287317132,1186.6956875807953,494.94943095103616,610.88622741501,610.88622741501,1500.0,(undefined),65536.0,396.0980287317132,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),65536.0,396.0980287317132,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),65536.0,303.29369179712205,727.1815092638062,(undefined),65536.0,303.29369179712205,727.1815092638062,(undefined),65536.0,695.0020427868894,1666.3443177517802,695.0020427868894,857.7991819532908,857.7991819532908,857.7991819532908,65536.0,(undefined)
Frequencies backward grid1,65536.0,791.5035165883376,2372.6984303939844,989.2061999638064,1221.0797008176821,1221.0797008176821,2372.6984303939844,,65536.0,791.5035165883376,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,65536.0,791.5035165883376,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,65536.0,606.1640304773304,1453.9394929925988,,65536.0,606.1640304773304,1453.9394929925988,,65536.0,1389.0318113753438,3331.7159644487933,1389.0318113753438,1714.625960512763,1714.625960512763,1714.625960512763,65536.0,
Frequencies backward grid2,65536.0,1582.3141894581538,4744.703814848597,1977.719495566752,2441.466451169051,2441.466451169051,4744.703814848597,,65536.0,1582.3141894581538,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,65536.0,1582.3141894581538,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,65536.0,1211.9045600514535,2907.4553987723175,,65536.0,1211.9045600514535,2907.4553987723175,,65536.0,2777.0910083918284,6662.459115881312,2777.0910083918284,3428.279241973887,3428.279241973887,3428.279241973887,65536.0,
Frequencies backward fft,65536,40,40,40,200,500,1500,8192,65536,40,40,40,200,500,1500,8192,65536,40,40,40,200,500,1500,8192,65536,40,40,(undefined),65536,40,40,(undefined),65536,40,40,40,200,40,500,65536,16384
Channels out,65536,40,40,40,40,500,1500,8192,65536,40,40,40,40,500,1500,8192,65536,40,40,40,40,500,1500,8192,65536,40,40,128,65536,40,40,4096,65536,40,40,40,40,40,500,65536,16384
-- Visibility --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
