,hpso01 (Ingest) [Nf_max=16384] [Na=64],hpso01 (RCAL) [Nf_max=16384] [Na=64],hpso01 (FastImg) [Nf_max=16384] [Na=64],hpso01 (ICAL) [Nf_max=16384] [Na=64],hpso01 (DPrepA) [Nf_max=16384] [Na=64],hpso01 (DPrepB) [Nf_max=16384] [Na=64],hpso01 (DPrepC) [Nf_max=16384] [Na=64],hpso01 (DPrepD) [Nf_max=16384] [Na=64],hpso02a (Ingest) [Nf_max=16384] [Na=64],hpso02a (RCAL) [Nf_max=16384] [Na=64],hpso02a (FastImg) [Nf_max=16384] [Na=64],hpso02a (ICAL) [Nf_max=16384] [Na=64],hpso02a (DPrepA) [Nf_max=16384] [Na=64],hpso02a (DPrepB) [Nf_max=16384] [Na=64],hpso02a (DPrepC) [Nf_max=16384] [Na=64],hpso02a (DPrepD) [Nf_max=16384] [Na=64],hpso02b (Ingest) [Nf_max=16384] [Na=64],hpso02b (RCAL) [Nf_max=16384] [Na=64],hpso02b (FastImg) [Nf_max=16384] [Na=64],hpso02b (ICAL) [Nf_max=16384] [Na=64],hpso02b (DPrepA) [Nf_max=16384] [Na=64],hpso02b (DPrepB) [Nf_max=16384] [Na=64],hpso02b (DPrepC) [Nf_max=16384] [Na=64],hpso02b (DPrepD) [Nf_max=16384] [Na=64],hpso04a (Ingest) [Nf_max=16384] [Na=64],hpso04a (RCAL) [Nf_max=16384] [Na=64],hpso04a (FastImg) [Nf_max=16384] [Na=64],hpso04a (PSS) [Nf_max=16384] [Na=64],hpso05a (Ingest) [Nf_max=16384] [Na=64],hpso05a (RCAL) [Nf_max=16384] [Na=64],hpso05a (FastImg) [Nf_max=16384] [Na=64],hpso05a (PST) [Nf_max=16384] [Na=64],max_low (Ingest) [Nf_max=16384] [Na=64],max_low (RCAL) [Nf_max=16384] [Na=64],max_low (FastImg) [Nf_max=16384] [Na=64],max_low (ICAL) [Nf_max=16384] [Na=64],max_low (DPrepA) [Nf_max=16384] [Na=64],max_low (DPrepA_Image) [Nf_max=16384] [Na=64],max_low (DPrepB) [Nf_max=16384] [Na=64],max_low (DPrepC) [Nf_max=16384] [Na=64],max_low (DPrepD) [Nf_max=16384] [Na=64]
Coalesce time pred3 [s],,10.0,1.0,9.0,10.0,9.0,4.5,,,10.0,1.0,9.9,10.0,9.0,4.5,,,10.0,1.0,9.9,10.0,9.0,4.5,,,9.0,1.0,,,9.0,1.0,,,10.0,1.0,9.0,9.0,10.0,9.0,1.8,
Coalesce time pred4 [s],,6.3,0.9,4.5,6.3,4.5,1.8,,,6.3,0.9,4.5,6.3,4.5,1.8,,,6.3,0.9,4.5,6.3,4.5,1.8,,,4.5,0.9,,,4.5,0.9,,,5.4,0.9,4.5,4.5,6.3,4.5,0.9,
Coalesce time bw0 [s],(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,(undefined),(undefined),10.0,1.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,10.0,(undefined)
Coalesce time bw1 [s],,10.0,1.0,10.0,10.0,10.0,10.0,,,10.0,1.0,10.0,10.0,10.0,10.0,,,10.0,1.0,10.0,10.0,10.0,10.0,,,10.0,1.0,,,10.0,1.0,,,10.0,1.0,10.0,10.0,10.0,10.0,7.2,
Coalesce time bw2 [s],,10.0,1.0,10.0,10.0,10.0,9.0,,,10.0,1.0,10.0,10.0,10.0,9.0,,,10.0,1.0,10.0,10.0,10.0,9.0,,,10.0,1.0,,,10.0,1.0,,,10.0,1.0,10.0,10.0,10.0,10.0,3.6,
Coalesce time bw3 [s],,10.0,1.0,9.0,10.0,9.0,4.5,,,10.0,1.0,9.9,10.0,9.0,4.5,,,10.0,1.0,9.9,10.0,9.0,4.5,,,9.0,1.0,,,9.0,1.0,,,10.0,1.0,9.0,9.0,10.0,9.0,1.8,
Coalesce time bw4 [s],,6.3,0.9,4.5,6.3,4.5,1.8,,,6.3,0.9,4.5,6.3,4.5,1.8,,,6.3,0.9,4.5,6.3,4.5,1.8,,,4.5,0.9,,,4.5,0.9,,,5.4,0.9,4.5,4.5,6.3,4.5,0.9,
Combined samples full0,33.0,12.0,1.1111111111111112,12.0,33.0,33.0,17.0,17.0,33.0,12.0,1.1111111111111112,18.0,33.0,33.0,17.0,17.0,33.0,12.0,1.1111111111111112,18.0,33.0,33.0,17.0,17.0,33.0,12.0,1.1111111111111112,(undefined),33.0,12.0,1.1111111111111112,(undefined),33.0,12.0,1.1111111111111112,12.0,33.0,33.0,33.0,17.0,17.0
Combined samples full1,16.0,6.0,1.1111111111111112,6.0,16.0,16.0,8.0,8.0,16.0,6.0,1.1111111111111112,9.0,16.0,16.0,8.0,8.0,16.0,6.0,1.1111111111111112,9.0,16.0,16.0,8.0,8.0,16.0,6.0,1.1111111111111112,,16.0,6.0,1.1111111111111112,,16.0,6.0,1.1111111111111112,6.0,16.0,16.0,16.0,8.0,8.0
Combined samples full2,8.0,3.0,1.1111111111111112,3.0,8.0,8.0,4.0,4.0,8.0,3.0,1.1111111111111112,4.0,8.0,8.0,4.0,4.0,8.0,3.0,1.1111111111111112,4.0,8.0,8.0,4.0,4.0,8.0,3.0,1.1111111111111112,,8.0,3.0,1.1111111111111112,,8.0,3.0,1.1111111111111112,3.0,8.0,8.0,8.0,4.0,4.0
Combined samples full3,4.0,1.0,1.1111111111111112,1.0,4.0,4.0,2.0,2.0,4.0,1.0,1.1111111111111112,2.0,4.0,4.0,2.0,2.0,4.0,1.0,1.1111111111111112,2.0,4.0,4.0,2.0,2.0,4.0,1.0,1.1111111111111112,,4.0,1.0,1.1111111111111112,,4.0,1.0,1.1111111111111112,1.0,4.0,4.0,4.0,2.0,2.0
Combined samples full4,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,,2.0,1.0,1.0,,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0
Combined samples facet0,(undefined),115.0,1.1111111111111112,83.0,113.0,84.0,43.0,(undefined),(undefined),115.0,1.1111111111111112,94.0,113.0,84.0,43.0,(undefined),(undefined),115.0,1.1111111111111112,94.0,113.0,84.0,43.0,(undefined),(undefined),83.0,1.1111111111111112,(undefined),(undefined),83.0,1.1111111111111112,(undefined),(undefined),104.0,1.1111111111111112,83.0,84.0,113.0,84.0,17.0,(undefined)
Combined samples facet1,,57.0,1.1111111111111112,41.0,56.0,42.0,21.0,,,57.0,1.1111111111111112,47.0,56.0,42.0,21.0,,,57.0,1.1111111111111112,47.0,56.0,42.0,21.0,,,41.0,1.1111111111111112,,,41.0,1.1111111111111112,,,52.0,1.1111111111111112,41.0,42.0,56.0,42.0,8.0,
Combined samples facet2,,28.0,1.1111111111111112,20.0,28.0,21.0,10.0,,,28.0,1.1111111111111112,23.0,28.0,21.0,10.0,,,28.0,1.1111111111111112,23.0,28.0,21.0,10.0,,,20.0,1.1111111111111112,,,20.0,1.1111111111111112,,,26.0,1.1111111111111112,20.0,21.0,28.0,21.0,4.0,
Combined samples facet3,,14.0,1.1111111111111112,10.0,14.0,10.0,5.0,,,14.0,1.1111111111111112,11.0,14.0,10.0,5.0,,,14.0,1.1111111111111112,11.0,14.0,10.0,5.0,,,10.0,1.1111111111111112,,,10.0,1.1111111111111112,,,13.0,1.1111111111111112,10.0,10.0,14.0,10.0,2.0,
Combined samples facet4,,7.0,1.0,5.0,7.0,5.0,2.0,,,7.0,1.0,5.0,7.0,5.0,2.0,,,7.0,1.0,5.0,7.0,5.0,2.0,,,5.0,1.0,,,5.0,1.0,,,6.0,1.0,5.0,5.0,7.0,5.0,1.0,
Kernel time pred0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,(undefined),10.0,10.0,10.0,(undefined),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred2 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred3 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred4 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,(undefined),10.0,10.0,10.0,(undefined),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward2 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward3 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward4 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Visibilities kernel pred0,(undefined),0.9378083618152082,32.55476508226232,1.2424165560319664,0.9538467495464578,2.5119017415419984,3.8836426584270725,(undefined),(undefined),0.9378083618152082,32.55476508226232,1.123887999481501,0.9538467495464578,2.5119017415419984,3.8836426584270725,(undefined),(undefined),0.9378083618152082,32.55476508226232,1.123887999481501,0.9538467495464578,2.5119017415419984,3.8836426584270725,(undefined),(undefined),1.3032175936613573,32.64426593397331,(undefined),(undefined),1.3032175936613573,32.64426593397331,(undefined),(undefined),1.0276478670677662,32.567468020591605,1.251761901152716,1.2386342431751762,0.9571422050729189,1.8018978810409318,19.4805503999382,(undefined)
Visibilities kernel pred1,,1.7966232257457833,64.99502025817469,2.2576731887737265,1.8235313075134063,2.2919237258358853,3.543011715538084,,,1.7966232257457833,64.99502025817469,2.091902873376307,1.8235313075134063,2.2919237258358853,3.543011715538084,,,1.7966232257457833,64.99502025817469,2.091902873376307,1.8235313075134063,2.2919237258358853,3.543011715538084,,,2.5356436716389505,65.24680525561551,,,2.5356436716389505,65.24680525561551,,,1.9570259423310246,65.03229589341818,2.2970604584738434,2.278825779051935,1.83897877891184,2.278825779051935,18.383978517180058,
Visibilities kernel pred2,,3.2445622450365597,128.46894958994176,4.064092643426646,3.2783656211255185,3.686019680209894,4.126967328921428,,,3.2445622450365597,128.46894958994176,3.7518742654305424,3.2783656211255185,3.686019680209894,4.126967328921428,,,3.2445622450365597,128.46894958994176,3.7518742654305424,3.2783656211255185,3.686019680209894,4.126967328921428,,,4.736891304015918,130.1123243148036,,,4.736891304015918,130.1123243148036,,,3.593598177689135,128.72715467010218,4.257549428983812,4.229378190887774,3.3735075003862214,3.8081280539118456,23.059708736680566,
Visibilities kernel pred3,,6.329851807506101,236.03072712920883,9.028153924483847,6.415221415565707,7.578956658834593,16.504856011633095,,,6.329851807506101,236.03072712920883,7.576557934542848,6.415221415565707,7.578956658834593,16.504856011633095,,,6.329851807506101,236.03072712920883,7.576557934542848,6.415221415565707,7.578956658834593,16.504856011633095,,,9.373511447266504,254.60091587588127,,,9.373511447266504,254.60091587588127,,,7.184051837920022,238.794756687367,9.457908531192928,9.395286609840014,6.743827250139401,8.09377310869129,36.84069664739436,
Visibilities kernel pred4,,20.08992753810219,301.1584910066139,36.10628846810297,20.36096601471528,30.310448691573292,82.51674611047041,,,20.08992753810219,301.1584910066139,33.330284338455606,20.36096601471528,30.310448691573292,82.51674611047041,,,20.08992753810219,301.1584910066139,33.330284338455606,20.36096601471528,30.310448691573292,82.51674611047041,,,37.48749348424339,488.16617757274065,,,37.48749348424339,488.16617757274065,,,26.60177494507634,223.67267869627395,37.82500812066688,37.57448207391597,21.40391428002594,32.369351272833896,73.68139329478872,
Visibilities kernel bw0,(undefined),0.9378083618152082,32.55476508226232,1.2424165560319664,0.9538467495464578,2.5119017415419984,3.8836426584270725,(undefined),(undefined),0.9378083618152082,32.55476508226232,1.123887999481501,0.9538467495464578,2.5119017415419984,3.8836426584270725,(undefined),(undefined),0.9378083618152082,32.55476508226232,1.123887999481501,0.9538467495464578,2.5119017415419984,3.8836426584270725,(undefined),(undefined),1.3032175936613573,32.64426593397331,(undefined),(undefined),1.3032175936613573,32.64426593397331,(undefined),(undefined),1.0276478670677662,32.567468020591605,1.251761901152716,1.2386342431751762,0.9571422050729189,1.8018978810409318,19.4805503999382,(undefined)
Visibilities kernel bw1,,1.7966232257457833,64.99502025817469,2.2576731887737265,1.8235313075134063,2.2919237258358853,3.543011715538084,,,1.7966232257457833,64.99502025817469,2.091902873376307,1.8235313075134063,2.2919237258358853,3.543011715538084,,,1.7966232257457833,64.99502025817469,2.091902873376307,1.8235313075134063,2.2919237258358853,3.543011715538084,,,2.5356436716389505,65.24680525561551,,,2.5356436716389505,65.24680525561551,,,1.9570259423310246,65.03229589341818,2.2970604584738434,2.278825779051935,1.83897877891184,2.278825779051935,18.383978517180058,
Visibilities kernel bw2,,3.2445622450365597,128.46894958994176,4.064092643426646,3.2783656211255185,3.686019680209894,4.126967328921428,,,3.2445622450365597,128.46894958994176,3.7518742654305424,3.2783656211255185,3.686019680209894,4.126967328921428,,,3.2445622450365597,128.46894958994176,3.7518742654305424,3.2783656211255185,3.686019680209894,4.126967328921428,,,4.736891304015918,130.1123243148036,,,4.736891304015918,130.1123243148036,,,3.593598177689135,128.72715467010218,4.257549428983812,4.229378190887774,3.3735075003862214,3.8081280539118456,23.059708736680566,
Visibilities kernel bw3,,6.329851807506101,236.03072712920883,9.028153924483847,6.415221415565707,7.578956658834593,16.504856011633095,,,6.329851807506101,236.03072712920883,7.576557934542848,6.415221415565707,7.578956658834593,16.504856011633095,,,6.329851807506101,236.03072712920883,7.576557934542848,6.415221415565707,7.578956658834593,16.504856011633095,,,9.373511447266504,254.60091587588127,,,9.373511447266504,254.60091587588127,,,7.184051837920022,238.794756687367,9.457908531192928,9.395286609840014,6.743827250139401,8.09377310869129,36.84069664739436,
Visibilities kernel bw4,,20.08992753810219,301.1584910066139,36.10628846810297,20.36096601471528,30.310448691573292,82.51674611047041,,,20.08992753810219,301.1584910066139,33.330284338455606,20.36096601471528,30.310448691573292,82.51674611047041,,,20.08992753810219,301.1584910066139,33.330284338455606,20.36096601471528,30.310448691573292,82.51674611047041,,,37.48749348424339,488.16617757274065,,,37.48749348424339,488.16617757274065,,,26.60177494507634,223.67267869627395,37.82500812066688,37.57448207391597,21.40391428002594,32.369351272833896,73.68139329478872,
Oversampling used pred0,(undefined),0.9382665581010698,25.671297738388773,1.2400542203914142,0.954192569336044,2.482311086575173,3.7970055701066627,(undefined),(undefined),0.9382665581010698,25.671297738388773,1.1227952160369838,0.954192569336044,2.482311086575173,3.7970055701066627,(undefined),(undefined),0.9382665581010698,25.671297738388773,1.1227952160369838,0.954192569336044,2.482311086575173,3.7970055701066627,(undefined),(undefined),1.3001191393759228,25.725283657850348,(undefined),(undefined),1.3001191393759228,25.725283657850348,(undefined),(undefined),1.0274247633188978,25.678964643980194,1.2492901623809871,1.2363157995122478,0.9574644363783236,1.7905975999528536,16.908316150625453,(undefined)
Oversampling used pred1,,1.7854298272809714,41.00404563732292,2.2355201161383675,1.81178816872454,2.268826256124001,3.4731862021745172,,,1.7854298272809714,41.00404563732292,2.074066486491297,1.81178816872454,2.268826256124001,3.4731862021745172,,,1.7854298272809714,41.00404563732292,2.074066486491297,1.81178816872454,2.268826256124001,3.4731862021745172,,,2.5053080288934666,41.09504865417958,,,2.5053080288934666,41.09504865417958,,,1.9423904304598452,41.01754099116667,2.2738198035702695,2.2560915830968966,1.826914997622616,2.2560915830968966,16.088017621342473,
Oversampling used pred2,,3.1880352100831004,55.53696204160445,3.967847021721788,3.220399700275827,3.6093477045008626,4.02725981889057,,,3.1880352100831004,55.53696204160445,3.6719464753005013,3.220399700275827,3.6093477045008626,4.02725981889057,,,3.1880352100831004,55.53696204160445,3.6719464753005013,3.220399700275827,3.6093477045008626,4.02725981889057,,,4.600558249497084,55.753179318800974,,,4.600558249497084,55.753179318800974,,,3.5213859083537997,55.57130546895441,4.150464246356904,4.123906066258776,3.311399303419144,3.7253677174226993,19.489257764397877,
Oversampling used pred3,,6.072147284468123,62.44451571090015,8.482155444705782,6.149974960315909,7.200531490836511,14.64896594375012,,,6.072147284468123,62.44451571090015,7.19838579549414,6.149974960315909,7.200531490836511,14.64896594375012,,,6.072147284468123,62.44451571090015,7.19838579549414,6.149974960315909,7.200531490836511,14.64896594375012,,,8.783287008441896,62.838935826255636,,,8.783287008441896,62.838935826255636,,,6.846189093933319,62.51077177952567,8.85662764239843,8.802218844879967,6.448575658713644,7.659172202882267,28.17296981541338,
Oversampling used pred4,,17.358078812968927,63.44226332522964,27.756198855438193,17.556741399206068,24.292371713868476,46.5492974294135,,,17.358078812968927,63.44226332522964,26.136565110524877,17.556741399206068,24.292371713868476,46.5492974294135,,,17.358078812968927,63.44226332522964,26.136565110524877,17.556741399206068,24.292371713868476,46.5492974294135,,,28.536051185641412,63.970663773895275,,,28.536051185641412,63.970663773895275,,,21.904163700898586,62.110323037349126,28.724052662558776,28.58460095707514,18.31332861514292,25.55921579347882,43.94412356488624,
Oversampling used bw0,(undefined),0.9382665581010698,25.671297738388773,1.2400542203914142,0.954192569336044,2.482311086575173,3.7970055701066627,(undefined),(undefined),0.9382665581010698,25.671297738388773,1.1227952160369838,0.954192569336044,2.482311086575173,3.7970055701066627,(undefined),(undefined),0.9382665581010698,25.671297738388773,1.1227952160369838,0.954192569336044,2.482311086575173,3.7970055701066627,(undefined),(undefined),1.3001191393759228,25.725283657850348,(undefined),(undefined),1.3001191393759228,25.725283657850348,(undefined),(undefined),1.0274247633188978,25.678964643980194,1.2492901623809871,1.2363157995122478,0.9574644363783236,1.7905975999528536,16.908316150625453,(undefined)
Oversampling used bw1,,1.7854298272809714,41.00404563732292,2.2355201161383675,1.81178816872454,2.268826256124001,3.4731862021745172,,,1.7854298272809714,41.00404563732292,2.074066486491297,1.81178816872454,2.268826256124001,3.4731862021745172,,,1.7854298272809714,41.00404563732292,2.074066486491297,1.81178816872454,2.268826256124001,3.4731862021745172,,,2.5053080288934666,41.09504865417958,,,2.5053080288934666,41.09504865417958,,,1.9423904304598452,41.01754099116667,2.2738198035702695,2.2560915830968966,1.826914997622616,2.2560915830968966,16.088017621342473,
Oversampling used bw2,,3.1880352100831004,55.53696204160445,3.967847021721788,3.220399700275827,3.6093477045008626,4.02725981889057,,,3.1880352100831004,55.53696204160445,3.6719464753005013,3.220399700275827,3.6093477045008626,4.02725981889057,,,3.1880352100831004,55.53696204160445,3.6719464753005013,3.220399700275827,3.6093477045008626,4.02725981889057,,,4.600558249497084,55.753179318800974,,,4.600558249497084,55.753179318800974,,,3.5213859083537997,55.57130546895441,4.150464246356904,4.123906066258776,3.311399303419144,3.7253677174226993,19.489257764397877,
Oversampling used bw3,,6.072147284468123,62.44451571090015,8.482155444705782,6.149974960315909,7.200531490836511,14.64896594375012,,,6.072147284468123,62.44451571090015,7.19838579549414,6.149974960315909,7.200531490836511,14.64896594375012,,,6.072147284468123,62.44451571090015,7.19838579549414,6.149974960315909,7.200531490836511,14.64896594375012,,,8.783287008441896,62.838935826255636,,,8.783287008441896,62.838935826255636,,,6.846189093933319,62.51077177952567,8.85662764239843,8.802218844879967,6.448575658713644,7.659172202882267,28.17296981541338,
Oversampling used bw4,,17.358078812968927,63.44226332522964,27.756198855438193,17.556741399206068,24.292371713868476,46.5492974294135,,,17.358078812968927,63.44226332522964,26.136565110524877,17.556741399206068,24.292371713868476,46.5492974294135,,,17.358078812968927,63.44226332522964,26.136565110524877,17.556741399206068,24.292371713868476,46.5492974294135,,,28.536051185641412,63.970663773895275,,,28.536051185641412,63.970663773895275,,,21.904163700898586,62.110323037349126,28.724052662558776,28.58460095707514,18.31332861514292,25.55921579347882,43.94412356488624,
-- Channelization --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Channels predict, no-smear0",(undefined),180.42193493103704,1186.6956875807953,247.8208046142168,183.75027833146083,244.76982984711475,475.0938802294614,(undefined),(undefined),180.42193493103704,1186.6956875807953,220.3620236804831,183.75027833146083,244.76982984711475,475.0938802294614,(undefined),(undefined),180.42193493103704,1186.6956875807953,220.3620236804831,183.75027833146083,244.76982984711475,475.0938802294614,(undefined),(undefined),151.85837503115962,727.1815092638062,(undefined),(undefined),151.85837503115962,727.1815092638062,(undefined),(undefined),278.5836390858683,1666.3443177517802,347.98681916370214,343.7026748873344,258.01971053861473,343.7026748873344,1666.3443177517802,(undefined)
"Channels predict, no-smear1",,360.1520532979532,2372.6984303939844,494.94943095103616,366.8087160120356,488.8474934882089,949.4951187953998,,,360.1520532979532,2372.6984303939844,440.0319897527685,366.8087160120356,488.8474934882089,949.4951187953998,,,360.1520532979532,2372.6984303939844,440.0319897527685,366.8087160120356,488.8474934882089,949.4951187953998,,,303.29369179712205,1453.9394929925988,,,303.29369179712205,1453.9394929925988,,,556.1960211322845,3331.7159644487933,695.0020427868894,686.4337711722908,515.0682992841859,686.4337711722908,3331.7159644487933,
"Channels predict, no-smear2",,719.611626215311,4744.703814848597,989.2061999638064,732.92493954654,977.0023310935779,1898.2973433839127,,,719.611626215311,4744.703814848597,879.3713781111805,732.92493954654,977.0023310935779,1898.2973433839127,,,719.611626215311,4744.703814848597,879.3713781111805,732.92493954654,977.0023310935779,1898.2973433839127,,,606.1640304773304,2907.4553987723175,,,606.1640304773304,2907.4553987723175,,,1111.4199379380743,6662.459115881312,1389.0318113753438,1371.8952766430345,1029.1645621519401,1371.8952766430345,6662.459115881312,
"Channels predict, no-smear3",,1438.530439024606,9488.714533153065,1977.719495566752,1465.1570596251374,1953.3117608590187,3795.901666127971,,,1438.530439024606,9488.714533153065,1758.04988218571,1465.1570596251374,1953.3117608590187,3795.901666127971,,,1438.530439024606,9488.714533153065,1758.04988218571,1465.1570596251374,1953.3117608590187,3795.901666127971,,,1211.9045600514535,5814.487179478897,,,1211.9045600514535,5814.487179478897,,,2221.867346610081,13323.945347729323,2777.0910083918284,2742.8179431826493,2057.3566290643917,2742.8179431826493,13323.945347729323,
"Channels predict, no-smear4",,2876.367897849623,18976.73594444234,3954.7459654110153,2929.621136016344,3905.930497514414,7591.110248363827,,,2876.367897849623,18976.73594444234,3515.4067538246277,2929.621136016344,3905.930497514414,7591.110248363827,,,2876.367897849623,18976.73594444234,3515.4067538246277,2929.621136016344,3905.930497514414,7591.110248363827,,,2423.3855452164803,11628.550725478857,,,2423.3855452164803,11628.550725478857,,,4442.761951158458,26646.917775907757,5553.209232136797,5484.663103847904,4113.740533099671,5484.663103847904,26646.917775907757,
"Channels backward, no-smear0",(undefined),180.42193493103704,1186.6956875807953,247.8208046142168,183.75027833146083,244.76982984711475,475.0938802294614,(undefined),(undefined),180.42193493103704,1186.6956875807953,220.3620236804831,183.75027833146083,244.76982984711475,475.0938802294614,(undefined),(undefined),180.42193493103704,1186.6956875807953,220.3620236804831,183.75027833146083,244.76982984711475,475.0938802294614,(undefined),(undefined),151.85837503115962,727.1815092638062,(undefined),(undefined),151.85837503115962,727.1815092638062,(undefined),(undefined),278.5836390858683,1666.3443177517802,347.98681916370214,343.7026748873344,258.01971053861473,343.7026748873344,1666.3443177517802,(undefined)
"Channels backward, no-smear1",,360.1520532979532,2372.6984303939844,494.94943095103616,366.8087160120356,488.8474934882089,949.4951187953998,,,360.1520532979532,2372.6984303939844,440.0319897527685,366.8087160120356,488.8474934882089,949.4951187953998,,,360.1520532979532,2372.6984303939844,440.0319897527685,366.8087160120356,488.8474934882089,949.4951187953998,,,303.29369179712205,1453.9394929925988,,,303.29369179712205,1453.9394929925988,,,556.1960211322845,3331.7159644487933,695.0020427868894,686.4337711722908,515.0682992841859,686.4337711722908,3331.7159644487933,
"Channels backward, no-smear2",,719.611626215311,4744.703814848597,989.2061999638064,732.92493954654,977.0023310935779,1898.2973433839127,,,719.611626215311,4744.703814848597,879.3713781111805,732.92493954654,977.0023310935779,1898.2973433839127,,,719.611626215311,4744.703814848597,879.3713781111805,732.92493954654,977.0023310935779,1898.2973433839127,,,606.1640304773304,2907.4553987723175,,,606.1640304773304,2907.4553987723175,,,1111.4199379380743,6662.459115881312,1389.0318113753438,1371.8952766430345,1029.1645621519401,1371.8952766430345,6662.459115881312,
"Channels backward, no-smear3",,1438.530439024606,9488.714533153065,1977.719495566752,1465.1570596251374,1953.3117608590187,3795.901666127971,,,1438.530439024606,9488.714533153065,1758.04988218571,1465.1570596251374,1953.3117608590187,3795.901666127971,,,1438.530439024606,9488.714533153065,1758.04988218571,1465.1570596251374,1953.3117608590187,3795.901666127971,,,1211.9045600514535,5814.487179478897,,,1211.9045600514535,5814.487179478897,,,2221.867346610081,13323.945347729323,2777.0910083918284,2742.8179431826493,2057.3566290643917,2742.8179431826493,13323.945347729323,
"Channels backward, no-smear4",,2876.367897849623,18976.73594444234,3954.7459654110153,2929.621136016344,3905.930497514414,7591.110248363827,,,2876.367897849623,18976.73594444234,3515.4067538246277,2929.621136016344,3905.930497514414,7591.110248363827,,,2876.367897849623,18976.73594444234,3515.4067538246277,2929.621136016344,3905.930497514414,7591.110248363827,,,2423.3855452164803,11628.550725478857,,,2423.3855452164803,11628.550725478857,,,4442.761951158458,26646.917775907757,5553.209232136797,5484.663103847904,4113.740533099671,5484.663103847904,26646.917775907757,
