,hpso01 (Ingest) [],hpso01 (RCAL) [],hpso01 (FastImg) [],hpso01 (ICAL) [],hpso01 (DPrepA) [],hpso01 (DPrepB) [],hpso01 (DPrepC) [],hpso01 (DPrepD) [],hpso02a (Ingest) [],hpso02a (RCAL) []
-- Parameters --,,,,,,,,,,
Telescope,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low
Band,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Coalesce time full2 [s],7.2,2.7,1.0,2.7,7.2,7.2,3.6,3.6,7.2,2.7
Coalesce time full3 [s],3.6,0.9,1.0,0.9,3.6,3.6,1.8,1.8,3.6,0.9
Coalesce time full4 [s],1.8,0.9,0.9,0.9,1.8,1.8,0.9,0.9,1.8,0.9
Coalesce time pred0 [s],(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0
Coalesce time pred1 [s],,5.4,1.0,5.4,10.0,10.0,7.2,,,5.4
Coalesce time pred2 [s],,2.7,1.0,2.7,7.2,7.2,3.6,,,2.7
Coalesce time pred3 [s],,0.9,1.0,0.9,3.6,3.6,1.8,,,0.9
Coalesce time pred4 [s],,0.9,0.9,0.9,1.8,1.8,0.9,,,0.9
Coalesce time bw0 [s],(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0
Coalesce time bw1 [s],,5.4,1.0,5.4,10.0,10.0,7.2,,,5.4
Coalesce time bw2 [s],,2.7,1.0,2.7,7.2,7.2,3.6,,,2.7
Coalesce time bw3 [s],,0.9,1.0,0.9,3.6,3.6,1.8,,,0.9
Coalesce time bw4 [s],,0.9,0.9,0.9,1.8,1.8,0.9,,,0.9
Combined samples full0,33.0,12.0,1.1111111111111112,12.0,33.0,33.0,17.0,17.0,33.0,12.0
Combined samples full1,16.0,6.0,1.1111111111111112,6.0,16.0,16.0,8.0,8.0,16.0,6.0
Combined samples full2,8.0,3.0,1.1111111111111112,3.0,8.0,8.0,4.0,4.0,8.0,3.0
Combined samples full3,4.0,1.0,1.1111111111111112,1.0,4.0,4.0,2.0,2.0,4.0,1.0
Combined samples full4,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0
Combined samples facet0,(undefined),12.0,1.1111111111111112,12.0,33.0,33.0,17.0,(undefined),(undefined),12.0
Combined samples facet1,,6.0,1.1111111111111112,6.0,16.0,16.0,8.0,,,6.0
Combined samples facet2,,3.0,1.1111111111111112,3.0,8.0,8.0,4.0,,,3.0
Combined samples facet3,,1.0,1.1111111111111112,1.0,4.0,4.0,2.0,,,1.0
Combined samples facet4,,1.0,1.0,1.0,2.0,2.0,1.0,,,1.0
Kernel time pred0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred2 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred3 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred4 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward2 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward3 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward4 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Visibilities kernel pred0,(undefined),6.017714258950438,32.55476508226232,6.017714258947549,2.972253567405658,2.734907156963569,3.5157457475172302,(undefined),(undefined),6.017714258950438
Visibilities kernel pred1,,22.283145065880998,64.99502025817469,22.283145065870304,5.941136555328424,5.46671288878227,7.723892978517091,,,22.283145065880998
Visibilities kernel pred2,,89.12320823273265,128.46894958994176,89.12320823268988,16.49847441018256,15.181004823479208,30.89105974126433,,,89.12320823273265
Visibilities kernel pred3,,534.7111318252174,236.03072712920883,534.7111318249608,65.98453093592286,60.71540055818857,123.55521396051049,,,534.7111318252174
Visibilities kernel pred4,,1069.3941453405644,404.46590976959305,1069.3941453400512,263.91938900479687,242.84436353816625,494.20280517355945,,,1069.3941453405644
Visibilities kernel bw0,(undefined),6.017714258950438,32.55476508226232,6.017714258947549,2.972253567405658,2.734907156963569,3.5157457475172302,(undefined),(undefined),6.017714258950438
Visibilities kernel bw1,,22.283145065880998,64.99502025817469,22.283145065870304,5.941136555328424,5.46671288878227,7.723892978517091,,,22.283145065880998
Visibilities kernel bw2,,89.12320823273265,128.46894958994176,89.12320823268988,16.49847441018256,15.181004823479208,30.89105974126433,,,89.12320823273265
Visibilities kernel bw3,,534.7111318252174,236.03072712920883,534.7111318249608,65.98453093592286,60.71540055818857,123.55521396051049,,,534.7111318252174
Visibilities kernel bw4,,1069.3941453405644,404.46590976959305,1069.3941453400512,263.91938900479687,242.84436353816625,494.20280517355945,,,1069.3941453405644
Oversampling used pred0,(undefined),5.78669300796814,25.671297738388773,5.786693007965496,2.9266883317322225,2.6979803625295418,3.4471907587912725,(undefined),(undefined),5.78669300796814
Oversampling used pred1,,18.941566912390144,41.00404563732292,18.941566912382555,5.716446981878676,5.279356834054553,7.3300289374653715,,,18.941566912390144
Oversampling used pred2,,48.273628981612184,55.53696204160445,48.27362898160159,14.644005928537716,13.609271477682007,24.65379030194176,,,48.273628981612184
Oversampling used pred3,,63.98590504991095,62.44451571090015,63.98590504991089,41.35961777764023,39.40076654945756,54.85605905046077,,,63.98590504991095
Oversampling used pred4,,63.999996894443576,63.89038602956677,63.999996894443576,62.99741031805273,62.602781662035504,63.973324216420366,,,63.999996894443576
Oversampling used bw0,(undefined),5.78669300796814,25.671297738388773,5.786693007965496,2.9266883317322225,2.6979803625295418,3.4471907587912725,(undefined),(undefined),5.78669300796814
Oversampling used bw1,,18.941566912390144,41.00404563732292,18.941566912382555,5.716446981878676,5.279356834054553,7.3300289374653715,,,18.941566912390144
Oversampling used bw2,,48.273628981612184,55.53696204160445,48.27362898160159,14.644005928537716,13.609271477682007,24.65379030194176,,,48.273628981612184
Oversampling used bw3,,63.98590504991095,62.44451571090015,63.98590504991089,41.35961777764023,39.40076654945756,54.85605905046077,,,63.98590504991095
Oversampling used bw4,,63.999996894443576,63.89038602956677,63.999996894443576,62.99741031805273,62.602781662035504,63.973324216420366,,,63.999996894443576
-- Channelization --,,,,,,,,,,
"Channels predict, no-smear0",(undefined),1648.215074483811,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1648.215074483811
"Channels predict, no-smear1",,3295.7371475272034,2372.6984303939844,3295.7371475272034,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,3295.7371475272034
"Channels predict, no-smear2",,6590.78122076136,4744.703814848597,6590.78122076136,2441.466451169051,2441.466451169051,4744.703814848597,,,6590.78122076136
"Channels predict, no-smear3",,13180.869330776477,9488.714533153065,13180.869330776477,4882.239853545328,4882.239853545328,9488.714533153065,,,13180.869330776477
"Channels predict, no-smear4",,26361.045532597625,18976.73594444234,26361.045532597625,9763.786609120725,9763.786609120725,18976.73594444234,,,26361.045532597625
"Channels backward, no-smear0",(undefined),1648.215074483811,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1648.215074483811
"Channels backward, no-smear1",,3295.7371475272034,2372.6984303939844,3295.7371475272034,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,3295.7371475272034
"Channels backward, no-smear2",,6590.78122076136,4744.703814848597,6590.78122076136,2441.466451169051,2441.466451169051,4744.703814848597,,,6590.78122076136
"Channels backward, no-smear3",,13180.869330776477,9488.714533153065,13180.869330776477,4882.239853545328,4882.239853545328,9488.714533153065,,,13180.869330776477
"Channels backward, no-smear4",,26361.045532597625,18976.73594444234,26361.045532597625,9763.786609120725,9763.786609120725,18976.73594444234,,,26361.045532597625
Frequencies predict ifft,32768.0,200.0,40.0,200.0,200,200.0,200.0,32768.0,32768.0,200.0
Frequencies predict kernels0,(undefined),273.8938745774346,364.52288461678205,273.89387457756607,205.5296473067149,223.3663493327673,426.6520128935031,(undefined),(undefined),273.8938745774346
Frequencies predict kernels1,,273.8938745774346,365.0584953999703,273.89387457756607,205.5296473067149,223.3663493327673,426.6520128935031,,,273.8938745774346
Frequencies predict kernels2,,273.8938745774346,369.3268941633874,273.89387457756607,205.5296473067149,223.3663493327673,426.6520128935031,,,273.8938745774346
Frequencies predict kernels3,,273.8938745774346,402.0118333134956,273.89387457756607,205.5296473067149,223.3663493327673,426.6520128935031,,,273.8938745774346
Frequencies predict kernels4,,273.8938745774346,521.3112317056056,273.89387457756607,205.5296473067149,223.3663493327673,426.6520128935031,,,273.8938745774346
Frequencies predict de-grid0,32768.0,1648.215074483811,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1500.0,(undefined),32768.0,1648.215074483811
Frequencies predict de-grid1,32768.0,3295.7371475272034,2372.6984303939844,3295.7371475272034,1221.0797008176821,1221.0797008176821,2372.6984303939844,,32768.0,3295.7371475272034
Frequencies predict de-grid2,32768.0,6590.78122076136,4744.703814848597,6590.78122076136,2441.466451169051,2441.466451169051,4744.703814848597,,32768.0,6590.78122076136
Frequencies predict de-grid3,32768.0,13180.869330776477,9488.714533153065,13180.869330776477,4882.239853545328,4882.239853545328,9488.714533153065,,32768.0,13180.869330776477
Frequencies predict de-grid4,32768.0,26361.045532597625,18976.73594444234,26361.045532597625,9763.786609120725,9763.786609120725,18976.73594444234,,32768.0,26361.045532597625
Frequencies total0,32768.0,26361.045532597625,18976.735944442335,26361.045532597625,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,32768.0,26361.045532597625
Frequencies total1,32768.0,26361.045532597625,18976.735944442335,26361.045532597625,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,32768.0,26361.045532597625
Frequencies total2,32768.0,26361.045532597625,18976.735944442335,26361.045532597625,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,32768.0,26361.045532597625
Frequencies total3,32768.0,26361.045532597625,18976.735944442335,26361.045532597625,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,32768.0,26361.045532597625
Frequencies total4,32768.0,26361.045532597625,18976.735944442335,26361.045532597625,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,32768.0,26361.045532597625
Frequencies backward kernels0,(undefined),273.8938745774346,364.52288461678205,273.89387457756607,205.5296473067149,223.3663493327673,426.6520128935031,(undefined),(undefined),273.8938745774346
Frequencies backward kernels1,,273.8938745774346,365.0584953999703,273.89387457756607,205.5296473067149,223.3663493327673,426.6520128935031,,,273.8938745774346
Frequencies backward kernels2,,273.8938745774346,369.3268941633874,273.89387457756607,205.5296473067149,223.3663493327673,426.6520128935031,,,273.8938745774346
Frequencies backward kernels3,,273.8938745774346,402.0118333134956,273.89387457756607,205.5296473067149,223.3663493327673,426.6520128935031,,,273.8938745774346
Frequencies backward kernels4,,273.8938745774346,521.3112317056056,273.89387457756607,205.5296473067149,223.3663493327673,426.6520128935031,,,273.8938745774346
Frequencies backward grid0,32768.0,1648.215074483811,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1500.0,(undefined),32768.0,1648.215074483811
Frequencies backward grid1,32768.0,3295.7371475272034,2372.6984303939844,3295.7371475272034,1221.0797008176821,1221.0797008176821,2372.6984303939844,,32768.0,3295.7371475272034
Frequencies backward grid2,32768.0,6590.78122076136,4744.703814848597,6590.78122076136,2441.466451169051,2441.466451169051,4744.703814848597,,32768.0,6590.78122076136
Frequencies backward grid3,32768.0,13180.869330776477,9488.714533153065,13180.869330776477,4882.239853545328,4882.239853545328,9488.714533153065,,32768.0,13180.869330776477
Frequencies backward grid4,32768.0,26361.045532597625,18976.73594444234,26361.045532597625,9763.786609120725,9763.786609120725,18976.73594444234,,32768.0,26361.045532597625
Frequencies backward fft,65536,40,40,40,200,500,1500,8192,65536,40
Channels out,65536,40,40,40,40,500,1500,8192,65536,40
-- Visibility --,,,,,,,,,,
Ingest rate [M/s],4781.50656,4781.50656,4781.50656,4781.50656,4781.50656,4781.50656,4781.50656,4781.50656,4781.50656,4781.50656
Averaged rate0 [M/s],2205.2379118408826,1774.059356819092,1277.106248403254,1774.059356819092,657.0883909166673,657.0883909166673,1277.106248403254,1277.106248403254,2205.2379118408826,1774.059356819092
Averaged rate1 [M/s],622.3991925949363,500.7047563307835,360.4463235445622,500.7047563307835,185.45449530596892,185.45449530596892,360.4463235445622,360.4463235445622,622.3991925949363,500.7047563307835
Averaged rate2 [M/s],704.1232296509295,566.449722820674,407.7746765574224,566.449722820674,209.80557131459295,209.80557131459295,407.7746765574224,407.7746765574224,704.1232296509295,566.449722820674
Averaged rate3 [M/s],885.3073126667203,712.2078362899492,512.7027313891663,712.2078362899492,263.7924708365472,263.7924708365472,512.7027313891663,512.7027313891663,885.3073126667203,712.2078362899492
Averaged rate4 [M/s],345.79756213542004,278.18558595315744,200.25967489244863,278.18558595315744,103.03630391370866,103.03630391370866,200.25967489244863,200.25967489244863,345.79756213542004,278.18558595315744
Predict rate0 [M/s],(undefined),9.98301920229312,71.87657739453515,9.98301920229312,3.700056523636865,3.700056523636865,9.085300234940158,(undefined),(undefined),9.98301920229312
Predict rate1 [M/s],,10.43326893934158,40.560578265797105,10.43326893934158,2.0873996517782367,2.0873996517782367,5.633413648027376,,,10.43326893934158
Predict rate2 [M/s],,47.207867015433585,91.75935536082312,47.207867015433585,6.557820292211706,6.557820292211706,25.488709822450865,,,47.207867015433585
Predict rate3 [M/s],,356.1132814282506,230.7246559938554,356.1132814282506,32.97639957074414,32.97639957074414,128.18036444103078,,,356.1132814282506
Predict rate4 [M/s],,278.18558595315744,200.25967489244866,278.18558595315744,51.51815195685433,51.51815195685433,200.25967489244866,,,278.18558595315744
Backward rate0 [M/s],(undefined),9.98301920229312,71.87657739453515,9.98301920229312,3.700056523636865,3.700056523636865,9.085300234940158,(undefined),(undefined),9.98301920229312
Backward rate1 [M/s],,10.43326893934158,40.560578265797105,10.43326893934158,2.0873996517782367,2.0873996517782367,5.633413648027376,,,10.43326893934158
Backward rate2 [M/s],,47.207867015433585,91.75935536082312,47.207867015433585,6.557820292211706,6.557820292211706,25.488709822450865,,,47.207867015433585
Backward rate3 [M/s],,356.1132814282506,230.7246559938554,356.1132814282506,32.97639957074414,32.97639957074414,128.18036444103078,,,356.1132814282506
Backward rate4 [M/s],,278.18558595315744,200.25967489244866,278.18558595315744,51.51815195685433,51.51815195685433,200.25967489244866,,,278.18558595315744
-- Kernel Sizes --,,,,,,,,,,
Delta W earth0 [lambda],0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713
Delta W earth1 [lambda],0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885
Delta W earth2 [lambda],1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154
Delta W earth3 [lambda],5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616
Delta W earth4 [lambda],22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466
Delta W snapshot0 [lambda],23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657
Delta W snapshot1 [lambda],47.41642939569314,47.41642939569314,0.07905260154675557,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314
Delta W snapshot2 [lambda],94.83285879138629,94.83285879138629,0.15810520309351114,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629
Delta W snapshot3 [lambda],189.66571758277257,189.66571758277257,0.3162104061870223,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257
Delta W snapshot4 [lambda],379.33143516554514,379.33143516554514,0.6324208123740446,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514
Delta W max0 [lambda],23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657
Delta W max1 [lambda],47.41642939569314,47.41642939569314,0.3452488661587885,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314
Delta W max2 [lambda],94.83285879138629,94.83285879138629,1.380995464635154,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629
Delta W max3 [lambda],189.66571758277257,189.66571758277257,5.523981858540616,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257
Delta W max4 [lambda],379.33143516554514,379.33143516554514,22.095927434162466,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514
Delta W stack [lambda],(undefined),2.2653280672080394,15.704846683672654,2.26532806721066,5.193550671926364,8.500832949766846,7.886575822235041,(undefined),(undefined),2.2653280672080394
Delta W theory [lambda],(undefined),1.0,12.587303150687525,1.0,12.587303150687525,12.587303150687525,12.587303150687525,(undefined),(undefined),1.0
-- Kernel Sizes --,,,,,,,,,,
W kernel support pred0 [uv-pixels],(undefined),9.571439561603464,0.18455205923435844,9.571439561611815,4.0042653679769,5.802482378701222,5.483832971092437,(undefined),(undefined),9.571439561603464
W kernel support pred1 [uv-pixels],,9.571439561603464,0.5223241974335304,9.571439561611815,4.0042653679769,5.802482378701222,5.483832971092437,,,9.571439561603464
W kernel support pred2 [uv-pixels],,9.571439561603464,1.4792330461194296,9.571439561611815,4.0042653679769,5.802482378701222,5.483832971092437,,,9.571439561603464
W kernel support pred3 [uv-pixels],,9.571439561603464,4.194501294411046,9.571439561611815,4.0042653679769,5.802482378701222,5.483832971092437,,,9.571439561603464
W kernel support pred4 [uv-pixels],,9.571439561603464,9.215421119976833,9.571439561611815,4.0042653679769,5.802482378701222,5.483832971092437,,,9.571439561603464
AW kernel support pred0 [uv-pixels],(undefined),13.13820593846161,9.001891993496013,13.138205938467696,9.850590902944818,10.708351962610223,10.539090285923187,(undefined),(undefined),13.13820593846161
AW kernel support pred1 [uv-pixels],,13.13820593846161,9.015144068023794,13.138205938467696,9.850590902944818,10.708351962610223,10.539090285923187,,,13.13820593846161
AW kernel support pred2 [uv-pixels],,13.13820593846161,9.120752732353388,13.138205938467696,9.850590902944818,10.708351962610223,10.539090285923187,,,13.13820593846161
AW kernel support pred3 [uv-pixels],,13.13820593846161,9.92944314192976,13.138205938467696,9.850590902944818,10.708351962610223,10.539090285923187,,,13.13820593846161
AW kernel support pred4 [uv-pixels],,13.13820593846161,12.881148489886879,13.138205938467696,9.850590902944818,10.708351962610223,10.539090285923187,,,13.13820593846161
W kernel support bw0 [uv-pixels],(undefined),9.571439561603464,0.18455205923435844,9.571439561611815,4.0042653679769,5.802482378701222,5.483832971092437,(undefined),(undefined),9.571439561603464
W kernel support bw1 [uv-pixels],,9.571439561603464,0.5223241974335304,9.571439561611815,4.0042653679769,5.802482378701222,5.483832971092437,,,9.571439561603464
W kernel support bw2 [uv-pixels],,9.571439561603464,1.4792330461194296,9.571439561611815,4.0042653679769,5.802482378701222,5.483832971092437,,,9.571439561603464
W kernel support bw3 [uv-pixels],,9.571439561603464,4.194501294411046,9.571439561611815,4.0042653679769,5.802482378701222,5.483832971092437,,,9.571439561603464
W kernel support bw4 [uv-pixels],,9.571439561603464,9.215421119976833,9.571439561611815,4.0042653679769,5.802482378701222,5.483832971092437,,,9.571439561603464
AW kernel support bw0 [uv-pixels],(undefined),13.13820593846161,9.001891993496013,13.138205938467696,9.850590902944818,10.708351962610223,10.539090285923187,(undefined),(undefined),13.13820593846161
AW kernel support bw1 [uv-pixels],,13.13820593846161,9.015144068023794,13.138205938467696,9.850590902944818,10.708351962610223,10.539090285923187,,,13.13820593846161
AW kernel support bw2 [uv-pixels],,13.13820593846161,9.120752732353388,13.138205938467696,9.850590902944818,10.708351962610223,10.539090285923187,,,13.13820593846161
AW kernel support bw3 [uv-pixels],,13.13820593846161,9.92944314192976,13.138205938467696,9.850590902944818,10.708351962610223,10.539090285923187,,,13.13820593846161
AW kernel support bw4 [uv-pixels],,13.13820593846161,12.881148489886879,13.138205938467696,9.850590902944818,10.708351962610223,10.539090285923187,,,13.13820593846161
-- Data --,,,,,,,,,,
Snapshot vis size0 [GB],0.9690986917269505,1277.3227369097463,0.7662637490419525,1277.3227369097463,47.31036414600006,37.84829131680005,24.52043996934248,4.489826654542691,0.9690986917269505,1277.3227369097463
